,account_nm,thstrm_amount
0,유동자산,3958265726800.0
1,현금및현금성자산,1011701875328.0
2,매출채권및기타채권,1046794723821.0
3,재고자산,729058574260.0
4,기타투자자산,932699739874.0
5,기타유동자산,158666025997.0
6,매각예정비유동자산,79344787520.0
7,비유동자산,10942045507407.0
8,매출채권및기타채권,5145658180.0
9,관계기업투자,5525570909727.0
10,유형자산,2503794949241.0
11,무형자산,941686030402.0
12,투자부동산,145683976159.0
13,종업원급여자산,15732302823.0
14,이연법인세자산,38421655680.0
15,기타투자자산,1626791063141.0
16,기타비유동자산,139218962054.0
17,자산총계,14900311234207.0
18,유동부채,2212795893287.0
19,매입채무및기타채무,1658167209814.0
20,미지급법인세,43097065919.0
21,선수금,77372218374.0
22,선수수익,50198579787.0
23,단기차입금,383960819393.0
24,비유동부채,1723405113962.0
25,매입채무및기타채무,218037566906.0
26,장기선수수익,69135389783.0
27,장기차입금,566585621889.0
28,종업원급여부채,
29,파생상품부채,19211000000.0
30,이연법인세부채,850435535384.0
31,부채총계,3936201007249.0
32,지배기업의 소유주에게 귀속되는 자본,10722130891929.0
33,납입자본,356712130000.0
34,자본금,356712130000.0
35,기타자본구성요소,5370701484132.0
36,기타자본잉여금,5031244206194.0
37,기타자본,-251530117715.0
38,기타포괄손익누계액,590987395653.0
39,이익잉여금(결손금),4994717277797.0
40,비지배지분,241979335029.0
41,자본총계,10964110226958.0
42,자본과부채총계,14900311234207.0
43,매출액,5200822510213.0
44,매출원가,4450250017519.0
45,매출총이익,750572492694.0
46,판매비와관리비,1676905126686.0
47,영업이익(손실),-926332633992.0
48,기타수익,522463321541.0
49,기타비용,649922869981.0
50,금융수익,285569134952.0
51,금융비용,297649578505.0
52,지분법손익,245178733518.0
53,법인세비용차감전이익(손실),-820693892467.0
54,법인세비용(수익),57809852547.0
55,계속사업이익(손실),-878503745014.0
56,중단사업이익(손실),1089614935226.0
57,당기순이익(손실),211111190212.0
58,기타포괄손익,-222175443064.0
59,후속기간에 당기손익으로 재분류되지 않는 항목,-7514539894.0
60,순확정급여제도의 재측정요소,-9891811881.0
61,법인세효과,2377271987.0
62,후속기간에 당기손익으로 재분류되는 항목,-214660903170.0
63,파생상품평가손익,
64,매도가능금융자산평가손익,-319318208339.0
65,지분법자본변동,107468284369.0
66,해외사업환산손익,-54772638958.0
67,법인세효과,51961659758.0
68,총포괄손익,-11064252852.0
69,지배기업지분,219405853323.0
70,비지배지분,-8294663111.0
71,지배기업지분,21129717383.0
72,비지배지분,-32193970235.0
73,기본주당이익(손실),3133.0
74,계속영업기본주당이익(손실),-12434.0
75,중단영업기본주당이익(손실),15567.0
76,희석주당이익(손실),3133.0
77,계속영업희석주당이익(손실),-12434.0
78,중단영업희석주당이익(손실),15567.0
79,영업활동현금흐름,-1309519499261.0
80,당기순이익(손실),211111190212.0
81,조정,150042110160.0
82,자산 및 부채의 증감,-1412929477523.0
83,이자수취,26597528604.0
84,이자지급,41711984363.0
85,배당금수취,11784589039.0
86,법인세납부(환급),254413455390.0
87,투자활동현금흐름,1854263840116.0
88,기타투자자산의 감소,102684288895.0
89,유형자산의 처분,79348617419.0
90,무형자산의 처분,158377646.0
91,투자부동산의 처분,2568198660.0
92,매각예정비유동자산의 처분,947177078429.0
93,종속기업및관계기업투자의 감소,3794963259.0
94,사업부문매각으로 인한 순현금흐름,2084194057413.0
95,기타투자자산의 증가,514869799935.0
96,기타비유동자산의 증가,9148836409.0
97,유형자산의 취득,832629248011.0
98,무형자산의 취득,9013857250.0
99,종속기업및관계기업투자의 증가,
100,사업결합으로인한순현금흐름,
101,재무활동현금흐름,-818702101147.0
102,단기차입금의 차입,506456966617.0
103,사채의발행,
104,장기차입금의 차입,67928374262.0
105,종속기업의 유상증자,49592088583.0
106,자기주식처분,
107,종속기업의 취득,
108,배당금지급,72677362476.0
109,단기차입금의 상환,615069068991.0
110,유동성장기차입금의 상환,500000000000.0
111,장기차입금의 상환,
112,종속기업의 유상감자,14251654212.0
113,비지배지분의 감소,
114,자기주식취득,240681444930.0
115,신주발행비용,
116,비지배지분과 자본거래,
117,현금및현금성자산의순증가(감소),-273957760292.0
118,기초현금및현금성자산,1287968374149.0
119,환율변동으로 인한 현금흐름,-2308738529.0
120,당기말의 현금,1011701875328.0
121,기초자본,11253192852845.0
122,기초자본,241196625669.0
123,기초자본,11011996227176.0
124,기초자본,781748991699.0
125,기초자본,-10848672785.0
126,기초자본,5031244206194.0
127,기초자본,4853139572068.0
128,기초자본,356712130000.0
129,연차배당,72677362476.0
130,연차배당,2363754776.0
131,연차배당,70313607700.0
132,연차배당,70313607700.0
133,당기순이익(손실),211111190212.0
134,당기순이익(손실),-8294663111.0
135,당기순이익(손실),219405853323.0
136,당기순이익(손실),219405853323.0
137,확정급여제도의  재측정요소,-7514539894.0
138,확정급여제도의  재측정요소,-7514539894.0
139,확정급여제도의  재측정요소,-7514539894.0
140,파생상품평가손익,
141,파생상품평가손익,
142,파생상품평가손익,
143,매도가능금융자산평가손익,-242780721164.0
144,매도가능금융자산평가손익,-30476002.0
145,매도가능금융자산평가손익,-242750245162.0
146,매도가능금융자산평가손익,-242750245162.0
147,매도가능금융자산평가손익(매각예정자산),
148,매도가능금융자산평가손익(매각예정자산),
149,매도가능금융자산평가손익(매각예정자산),
150,지분법자본변동,81316913850.0
151,지분법자본변동,81316913850.0
152,지분법자본변동,81316913850.0
153,해외사업환산손익,-53197095856.0
154,해외사업환산손익,-23868831122.0
155,해외사업환산손익,-29328264734.0
156,해외사업환산손익,-29328264734.0
157,자기주식처분,
158,자기주식처분,
159,자기주식처분,
160,자기주식처분,
161,자기주식취득,-240681444930.0
162,자기주식취득,-240681444930.0
163,자기주식취득,-240681444930.0
164,주식선택권행사,
165,주식선택권행사,
166,주식선택권행사,
167,주식선택권행사,
168,사업결합에 따른 신주발행,
169,사업결합에 따른 신주발행,
170,사업결합에 따른 신주발행,
171,사업결합에 따른 신주발행,
172,사업결합에 따른 신주발행,
173,사업결합에 따른 신주발행,
174,종속회사의 유상증자,49592088583.0
175,종속회사의 유상증자,49592088583.0
176,종속회사의 유상증자,
177,종속회사의 유상감자,-14251654212.0
178,종속회사의 유상감자,-14251654212.0
179,종속회사의 유상감자,
180,종속기업의 취득,
181,종속기업의 취득,
182,종속기업의 취득,
183,비지배지분의 취득,
184,비지배지분의 취득,
185,비지배지분의 취득,
186,비지배지분의 취득,
187,자본거래,
188,자본거래,
189,기타,
190,기타,
191,기타,
192,기말자본,10964110226958.0
193,기말자본,241979335029.0
194,기말자본,10722130891929.0
195,기말자본,590987395653.0
196,기말자본,-251530117715.0
197,기말자본,5031244206194.0
198,기말자본,4994717277797.0
199,기말자본,356712130000.0
