,account_nm,thstrm_amount
0,유동자산,428271449863.0
1,현금및현금성자산,87046624159.0
2,유동당기손익인식금융자산,10012519907.0
3,기타유동금융자산,0.0
4,단기매도가능금융자산,0.0
5,매출채권 및 기타유동채권,190294707461.0
6,기타유동자산,2184981593.0
7,재고자산,138732616743.0
8,당기법인세자산,0.0
9,비유동자산,1335371804304.0
10,매도가능금융자산,2085760826.0
11,기타비유동금융자산,2928636690.0
12,관계기업투자,137887037664.0
13,투자부동산,18770616495.0
14,유형자산,1161243454921.0
15,무형자산,5252929974.0
16,순확정급여자산,7203367734.0
17,자산총계,1763643254167.0
18,유동부채,318919819598.0
19,매입채무 및 기타유동채무,97427402043.0
20,단기차입금,128460633330.0
21,기타금융부채,3682226248.0
22,기타유동부채,30446731494.0
23,당기법인세부채,58902826483.0
24,비유동부채,151659903376.0
25,장기차입금,58000000000.0
26,기타금융부채,669217680.0
27,퇴직급여채무,0.0
28,이연법인세부채,92365961173.0
29,기타비유동부채,624724523.0
30,부채총계,470579722974.0
31,지배기업의 소유주에게 귀속되는 자본,1286053515090.0
32,자본금,41000000000.0
33,자본잉여금,264297830279.0
34,이익잉여금,984447031054.0
35,기타자본구성요소,-52571118.0
36,자기주식,-3638775125.0
37,비지배지분,7010016103.0
38,자본총계,1293063531193.0
39,자본과부채총계,1763643254167.0
40,매출액,1596377041938.0
41,매출원가,1200599243199.0
42,매출총이익,395777798739.0
43,판매비와관리비,52759719811.0
44,영업이익(손실),343018078928.0
45,기타수익,9764368096.0
46,기타비용,770842018.0
47,금융수익,12297592714.0
48,금융원가,11618088908.0
49,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,7514162363.0
50,법인세비용차감전순이익(손실),360205271175.0
51,법인세비용,87309798094.0
52,당기순이익(손실),272895473081.0
53,지배회사지분 순이익,272133228632.0
54,비지배주주지분 순이익,762244449.0
55,세후기타포괄손익,3108769153.0
56,당기손익으로 재분류되는 세후기타포괄손익,-115629539.0
57,매도가능금융자산 평가손익,-21409418.0
58,지분법자본변동,-94220121.0
59,당기손익으로 재분류되지 않는 세후기타포괄손익,3224398692.0
60,확정급여제도의 보험수리적손익의 세후기타포괄손익,3224398692.0
61,총포괄손익,276004242234.0
62,지배주주지분,275234773718.0
63,비지배주주지분,769468516.0
64,기본주당이익,44062.0
65,영업활동현금흐름,322565912850.0
66,세전순이익,360205271175.0
67,조정,75961719425.0
68,순운전자본의 변동,-15424109979.0
69,이자지급,6872712630.0
70,이자수취,2663689435.0
71,법인세납부,93967944576.0
72,투자활동현금흐름,-278010729318.0
73,기타금융자산의 처분,0.0
74,매도가능금융자산의 처분,26830000.0
75,당기손익인식금융자산의 처분,33400000000.0
76,대여금의 회수,517911360.0
77,보증금의 감소,99600000.0
78,유형자산의 처분,74970000.0
79,무형자산의 처분,426716251.0
80,관계기업투자의 감소,0.0
81,단기금융상품의 취득,0.0
82,매도가능증권의 취득,0.0
83,관계기업주식 취득,0.0
84,대여금의 대여,734000000.0
85,보증금의 증가,0.0
86,유형자산의 취득,262743317769.0
87,투자부동산의 취득,2618931890.0
88,무형자산의 취득,3059717270.0
89,당기손익인식금융자산의 취득,43400000000.0
90,기타금융자산의 취득,790000.0
91,재무활동현금흐름,-91920082320.0
92,차입금의 차입,60000000000.0
93,사채의 발행,0.0
94,예수보증금의 증가,608217680.0
95,파생상품부채의 감소,0.0
96,차입금의 상환,84000000000.0
97,사채의 상환,50000000000.0
98,유동성장기부채의상환,0.0
99,배당금의 지급,18528300000.0
100,예수보증금의감소,0.0
101,현금의 증가,-47364898788.0
102,기초의 현금,134354790299.0
103,현금및현금성자산에 대한 환율변동효과,56732648.0
104,기말의 현금,87046624159.0
105,기초자본,1035587588959.0
106,기초자본,6240547586.0
107,기초자본,1029347041373.0
108,기초자본,63058421.0
109,기초자본,727624927798.0
110,기초자본,-3638775125.0
111,기초자본,41000000000.0
112,기초자본,264297830279.0
113,당기순이익,272895473081.0
114,당기순이익,762244449.0
115,당기순이익,272133228632.0
116,당기순이익,272133228632.0
117,보험수리적손익,3224398692.0
118,보험수리적손익,7224068.0
119,보험수리적손익,3217174624.0
120,보험수리적손익,3217174624.0
121,매도가능금융자산의 평가에 따른 증가(감소),-21409418.0
122,매도가능금융자산의 평가에 따른 증가(감소),-21409418.0
123,매도가능금융자산의 평가에 따른 증가(감소),-21409418.0
124,배당금지급,18528300000.0
125,배당금지급,18528300000.0
126,배당금지급,18528300000.0
127,지분법자본변동,-94220121.0
128,지분법자본변동,-94220121.0
129,지분법자본변동,-94220121.0
130,자본 증가(감소) 합계,
131,자본 증가(감소) 합계,
132,자본 증가(감소) 합계,
133,자본 증가(감소) 합계,
134,자본 증가(감소) 합계,
135,기말자본,1293063531193.0
136,기말자본,7010016103.0
137,기말자본,1286053515090.0
138,기말자본,-52571118.0
139,기말자본,984447031054.0
140,기말자본,-3638775125.0
141,기말자본,41000000000.0
142,기말자본,264297830279.0
