,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
59,007310,오뚜기,1255000,30000,2.4,5954,7514681000,1260000,1285000,1233000,4317200000000,0.3,3440000,571061.0,16.6,60,2016-01-04
2210,007310,오뚜기,1255000,0,0.0,9201,11586814000,1258000,1309000,1210000,4317200000000,0.3,3440000,571366.0,16.61,62,2016-01-05
4360,007310,오뚜기,1273000,18000,1.4,8078,10212890000,1263000,1287000,1241000,4379120000000,0.31,3440000,574739.0,16.71,63,2016-01-06
6506,007310,오뚜기,1294000,21000,1.6,5854,7530292000,1274000,1328000,1269000,4451360000000,0.32,3440000,586349.0,17.05,60,2016-01-07
8657,007310,오뚜기,1295000,1000,0.1,4704,6053306000,1309000,1309000,1267000,4454800000000,0.31,3440000,583602.0,16.97,62,2016-01-08
10805,007310,오뚜기,1283000,-12000,-0.9,4709,6048048000,1278000,1302000,1272000,4413520000000,0.31,3440000,585541.0,17.02,61,2016-01-11
12953,007310,오뚜기,1277000,-6000,-0.5,4200,5410207000,1295000,1301000,1265000,4392880000000,0.31,3440000,585184.0,17.01,60,2016-01-12
15105,007310,오뚜기,1258000,-19000,-1.5,7203,9049804000,1277000,1280000,1236000,4327520000000,0.3,3440000,585468.0,17.02,63,2016-01-13
17255,007310,오뚜기,1238000,-20000,-1.6,6756,8316162000,1252000,1266000,1220000,4258720000000,0.3,3440000,587789.0,17.09,64,2016-01-14
19401,007310,오뚜기,1280000,42000,3.4,7326,9322500000,1247000,1289000,1240000,4403200000000,0.32,3440000,589405.0,17.13,61,2016-01-15
21548,007310,오뚜기,1300000,20000,1.6,4870,6316520000,1281000,1310000,1281000,4472000000000,0.32,3440000,588066.0,17.09,59,2016-01-18
23697,007310,오뚜기,1315000,15000,1.2,5862,7652361000,1297000,1315000,1292000,4523600000000,0.32,3440000,588826.0,17.12,59,2016-01-19
25846,007310,오뚜기,1295000,-20000,-1.5,5062,6591318000,1302000,1325000,1275000,4454800000000,0.32,3440000,579709.0,16.85,59,2016-01-20
