,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
300,007340,동아타이어,23250,-550,-2.3,16216,377730250,23450,23500,22950,551653215000,0.04,23727020,954799.0,4.02,301,2016-01-04
2453,007340,동아타이어,22800,-450,-1.9,14990,341757750,23400,23400,22650,540976056000,0.04,23727020,964092.0,4.06,305,2016-01-05
4614,007340,동아타이어,21900,-900,-4.0,75847,1654101950,22650,22800,21250,519621738000,0.04,23727020,971399.0,4.09,317,2016-01-06
6764,007340,동아타이어,21550,-350,-1.6,12904,278603750,21800,21900,21350,511317281000,0.04,23727020,970948.0,4.09,318,2016-01-07
8916,007340,동아타이어,21750,200,0.9,10121,218947300,21700,21850,21350,516062685000,0.04,23727020,969783.0,4.09,321,2016-01-08
11052,007340,동아타이어,22400,650,3.0,23931,531690200,21400,22550,21400,531485248000,0.04,23727020,964733.0,4.07,308,2016-01-11
13205,007340,동아타이어,22300,-100,-0.4,17247,381586600,22800,22800,21650,529112546000,0.04,23727020,965516.0,4.07,312,2016-01-12
15349,007340,동아타이어,22600,300,1.4,12064,268575650,22200,22600,21850,536230652000,0.04,23727020,964658.0,4.07,307,2016-01-13
17515,007340,동아타이어,21450,-1150,-5.1,63374,1362442550,22550,22550,21050,508944579000,0.04,23727020,966228.0,4.07,324,2016-01-14
19651,007340,동아타이어,21950,500,2.3,22535,488857700,21550,22050,21450,520808089000,0.04,23727020,966247.0,4.07,311,2016-01-15
21795,007340,동아타이어,22400,450,2.0,20840,466648250,22000,22800,21700,531485248000,0.04,23727020,960083.0,4.05,306,2016-01-18
23944,007340,동아타이어,22350,-50,-0.2,13518,301933850,22250,22600,22100,530298897000,0.04,23727020,957253.0,4.03,306,2016-01-19
26103,007340,동아타이어,21300,-1050,-4.7,49886,1051448050,22750,22750,19900,505385526000,0.04,23727020,958218.0,4.04,316,2016-01-20
28245,007340,동아타이어,21900,600,2.8,32168,678417200,21550,21950,20400,519621738000,0.04,23727020,962060.0,4.05,309,2016-01-21
30386,007340,동아타이어,22600,700,3.2,18540,416128250,22300,22750,21850,536230652000,0.04,23727020,958339.0,4.04,303,2016-01-22
32536,007340,동아타이어,22850,250,1.1,20017,457263250,22750,23250,22200,542162407000,0.04,23727020,952958.0,4.02,305,2016-01-25
34683,007340,동아타이어,22700,-150,-0.7,7191,162871050,22800,22950,22450,538603354000,0.04,23727020,953212.0,4.02,305,2016-01-26
36834,007340,동아타이어,22650,-50,-0.2,11816,269458900,22700,23250,22550,537417003000,0.04,23727020,953276.0,4.02,308,2016-01-27
38982,007340,동아타이어,22600,-50,-0.2,5014,112926250,22300,22750,22300,536230652000,0.04,23727020,955628.0,4.03,307,2016-01-28
41130,007340,동아타이어,23000,400,1.8,12722,288978300,22200,23050,22200,545721460000,0.04,23727020,957051.0,4.03,305,2016-01-29
43281,007340,동아타이어,22800,-200,-0.9,8449,194084850,22650,23350,22650,540976056000,0.04,23727020,958855.0,4.04,306,2016-02-01
45434,007340,동아타이어,22600,-200,-0.9,17918,403447750,22550,22950,22250,536230652000,0.04,23727020,963870.0,4.06,309,2016-02-02
47588,007340,동아타이어,22250,-350,-1.6,8510,189202550,22400,22600,22050,527926195000,0.04,23727020,973250.0,4.1,312,2016-02-03
49734,007340,동아타이어,22850,600,2.7,22376,506759750,22450,23050,22100,542162407000,0.04,23727020,967000.0,4.08,306,2016-02-04
51885,007340,동아타이어,22950,100,0.4,5172,118705900,23000,23050,22850,544535109000,0.04,23727020,964172.0,4.06,304,2016-02-05
54027,007340,동아타이어,23200,250,1.1,11314,259580050,23300,23300,22500,550466864000,0.04,23727020,964153.0,4.06,292,2016-02-11
56182,007340,동아타이어,22700,-500,-2.2,19233,435875950,23400,23400,22350,538603354000,0.04,23727020,962574.0,4.06,293,2016-02-12
58337,007340,동아타이어,22900,200,0.9,9519,219284950,22450,23250,22450,543348758000,0.04,23727020,964734.0,4.07,294,2016-02-15
60493,007340,동아타이어,23050,150,0.7,26651,617036700,22800,23550,22700,546907811000,0.04,23727020,966379.0,4.07,295,2016-02-16
62626,007340,동아타이어,24900,1850,8.0,167837,4180590450,24100,26100,24000,590802798000,0.04,23727020,942391.0,3.97,273,2016-02-17
