,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
74,008770,호텔신라,78100,800,1.0,287659,22576702800,77800,79300,77400,3065278250100,0.22,39248121,11535124.0,29.39,75,2016-01-04
2223,008770,호텔신라,78500,400,0.5,236187,18528363800,78300,78900,77400,3080977498500,0.22,39248121,11866941.0,30.24,75,2016-01-05
4375,008770,호텔신라,77300,-1200,-1.5,370562,28666048400,78900,79100,76500,3033879753300,0.21,39248121,11898088.0,30.32,78,2016-01-06
6527,008770,호텔신라,73500,-3800,-4.9,856384,63994927700,77300,78300,73200,2884736893500,0.2,39248121,11575651.0,29.49,81,2016-01-07
8679,008770,호텔신라,71600,-1900,-2.6,797043,57077463000,72900,72900,70600,2810165463600,0.2,39248121,11615178.0,29.59,84,2016-01-08
10828,008770,호텔신라,70100,-1500,-2.1,545819,38553796300,71000,71500,70100,2751293282100,0.2,39248121,11659922.0,29.71,84,2016-01-11
12976,008770,호텔신라,71400,1300,1.8,597321,42184149800,70600,71700,69500,2802315839400,0.2,39248121,11783477.0,30.02,83,2016-01-12
15127,008770,호텔신라,70500,-900,-1.3,611361,43192362700,71000,71700,69800,2766992530500,0.19,39248121,11672668.0,29.74,85,2016-01-13
17278,008770,호텔신라,68300,-2200,-3.1,1137023,77259781400,69600,69600,66800,2680646664300,0.19,39248121,11574539.0,29.49,87,2016-01-14
19428,008770,호텔신라,66700,-1600,-2.3,836933,56461648900,69300,69600,66300,2617849670700,0.19,39248121,11490935.0,29.28,88,2016-01-15
21579,008770,호텔신라,65000,-1700,-2.6,814220,53469407300,65800,67600,64700,2551127865000,0.18,39248121,11290203.0,28.77,90,2016-01-18
23729,008770,호텔신라,64000,-1000,-1.5,750643,48132693500,65000,65500,63200,2511879744000,0.18,39248121,11053426.0,28.16,91,2016-01-19
25876,008770,호텔신라,65100,1100,1.7,1335431,87384306200,64500,68100,63500,2555052677100,0.19,39248121,10647440.0,27.13,89,2016-01-20
28026,008770,호텔신라,63600,-1500,-2.3,993273,64472094500,66000,67000,63200,2496180495600,0.18,39248121,10528936.0,26.83,90,2016-01-21
30173,008770,호텔신라,65000,1400,2.2,931188,60406357000,64200,65700,63900,2551127865000,0.18,39248121,10273227.0,26.18,90,2016-01-22
32317,008770,호텔신라,68500,3500,5.4,1120034,75785375500,66800,68700,65600,2688496288500,0.19,39248121,10224787.0,26.05,86,2016-01-25
34467,008770,호텔신라,67200,-1300,-1.9,819137,54620585300,68200,68300,65300,2637473731200,0.19,39248121,10002093.0,25.48,89,2016-01-26
36611,008770,호텔신라,69300,2100,3.1,805032,55403592400,68300,69600,67600,2719894785300,0.19,39248121,9941056.0,25.33,85,2016-01-27
38759,008770,호텔신라,71300,2000,2.9,1312957,93397766000,69000,72900,68500,2798391027300,0.2,39248121,9691980.0,24.69,84,2016-01-28
40921,008770,호텔신라,65100,-6200,-8.7,3165236,210475034200,68500,69700,64800,2555052677100,0.18,39248121,8475640.0,21.6,96,2016-01-29
43068,008770,호텔신라,66700,1600,2.5,1374353,90197503600,65700,67200,63200,2617849670700,0.18,39248121,8319280.0,21.2,93,2016-02-01
45218,008770,호텔신라,66600,-100,-0.2,481936,32101936300,66400,67300,65700,2613924858600,0.19,39248121,8278237.0,21.09,93,2016-02-02
47363,008770,호텔신라,68800,2200,3.3,1066665,72360384600,66100,68900,65800,2700270724800,0.19,39248121,8110783.0,20.67,87,2016-02-03
49507,008770,호텔신라,73500,4700,6.8,1691917,121769352400,70600,73700,69700,2884736893500,0.2,39248121,8109203.0,20.66,79,2016-02-04
51664,008770,호텔신라,72400,-1100,-1.5,962711,69600953500,73500,73500,71600,2841563960400,0.2,39248121,7711982.0,19.65,83,2016-02-05
53819,008770,호텔신라,69500,-2900,-4.0,930732,65015958600,69000,71200,68900,2727744409500,0.2,39248121,7895135.0,20.12,84,2016-02-11
55974,008770,호텔신라,65400,-4100,-5.9,1250696,82601077300,68700,69000,63900,2566827113400,0.19,39248121,7820347.0,19.93,85,2016-02-12
58129,008770,호텔신라,67400,2000,3.1,619700,41480923400,66400,67700,65800,2645323355400,0.19,39248121,7790013.0,19.85,86,2016-02-15
60283,008770,호텔신라,66700,-700,-1.0,695158,46613847800,68100,68300,66200,2617849670700,0.19,39248121,7689063.0,19.59,85,2016-02-16
62442,008770,호텔신라,65200,-1500,-2.2,1094847,72981830800,67100,68900,64800,2558977489200,0.19,39248121,7853367.0,20.01,89,2016-02-17
64596,008770,호텔신라,66200,1000,1.5,840481,55283007600,66200,66200,65200,2598225610200,0.19,39248121,7864905.0,20.04,88,2016-02-18
66751,008770,호텔신라,65200,-1000,-1.5,521102,34098671000,65700,66100,65100,2558977489200,0.18,39248121,7613081.0,19.4,88,2016-02-19
68905,008770,호텔신라,65200,0,0.0,430600,28078937500,65200,65800,64700,2558977489200,0.18,39248121,7589339.0,19.34,87,2016-02-22
71062,008770,호텔신라,63700,-1500,-2.3,909845,58858658300,65800,66500,63700,2500105307700,0.18,39248121,7283659.0,18.56,89,2016-02-23
73221,008770,호텔신라,60900,-2800,-4.4,1445650,88691638500,63400,63400,60500,2390210568900,0.17,39248121,7246647.0,18.46,94,2016-02-24
75375,008770,호텔신라,63100,2200,3.6,1239832,78094544000,61500,64200,61000,2476556435100,0.18,39248121,7238208.0,18.44,93,2016-02-25
77530,008770,호텔신라,62400,-700,-1.1,583340,36558020600,63200,63900,61500,2449082750400,0.17,39248121,7195599.0,18.33,93,2016-02-26
79683,008770,호텔신라,63400,1000,1.6,344561,21830607900,62900,64000,62900,2488330871400,0.18,39248121,7165208.0,18.26,91,2016-02-29
81836,008770,호텔신라,67200,3800,6.0,1077585,71417460300,64400,67400,64000,2637473731200,0.18,39248121,7312854.0,18.63,87,2016-03-02
83992,008770,호텔신라,70700,3500,5.2,1741434,122125592100,69000,71300,68600,2774842154700,0.19,39248121,7405186.0,18.87,85,2016-03-03
86148,008770,호텔신라,73200,2500,3.5,1513252,110435935000,72500,73700,72100,2872962457200,0.2,39248121,7655843.0,19.51,83,2016-03-04
88311,008770,호텔신라,72000,-1200,-1.6,908002,66325682600,73900,74500,72000,2825864712000,0.2,39248121,7734756.0,19.71,86,2016-03-07
90467,008770,호텔신라,74500,2500,3.5,1777333,133865493600,73500,77000,73200,2923985014500,0.2,39248121,7788630.0,19.84,82,2016-03-08
92628,008770,호텔신라,74000,-500,-0.7,775865,57467650200,75200,75900,73000,2904360954000,0.2,39248121,7703555.0,19.63,83,2016-03-09
94790,008770,호텔신라,71500,-2500,-3.4,1028619,74261765200,73700,73800,71500,2806240651500,0.19,39248121,7640766.0,19.47,85,2016-03-10
96954,008770,호텔신라,70800,-700,-1.0,633907,45135648000,71800,72700,70400,2778766966800,0.19,39248121,7627455.0,19.43,88,2016-03-11
