,account_nm,thstrm_amount
0,유동자산,96436378984.0
1,현금및현금성자산,9499037857.0
2,단기금융상품,37420000000.0
3,당기손익인식금융자산,8024000000.0
4,매출채권및기타채권,22677684584.0
5,재고자산,17626224221.0
6,기타유동자산,946535684.0
7,당기법인세자산,242896638.0
8,비유동자산,28294444178.0
9,장기금융상품,573208433.0
10,매도가능금융자산,1208529812.0
11,장기매출채권및기타채권,1079277293.0
12,유형자산,13779348116.0
13,무형자산,11654080524.0
14,이연법인세자산,
15,기타비유동자산,
16,자산총계,124730823162.0
17,유동부채,14393783665.0
18,매입채무 및 기타유동채무,8932150434.0
19,단기차입금,
20,충당부채,2683209921.0
21,기타유동부채,2778423310.0
22,비유동부채,5979581853.0
23,장기매입채무및기타채무,2557840622.0
24,장기차입금,
25,퇴직급여채무,3299586329.0
26,비유동충당부채,122154902.0
27,비유동종업원급여충당부채,122154902.0
28,부채총계,20373365518.0
29,자본금,26120319000.0
30,기타불입자본,108468518920.0
31,기타자본구성요소,36790476.0
32,이익잉여금,-30268170752.0
33,자본총계,104357457644.0
34,부채및자본총계,124730823162.0
35,I.매출액,82881524071.0
36,II.매출원가,44379161087.0
37,III.매출총이익,38502362984.0
38,Ⅳ.판매비와관리비,29214146768.0
39,V.경상연구비,9002815635.0
40,VI.영업이익(손실),285400581.0
41,금융수익,1150342036.0
42,금융원가,176745505.0
43,기타이익,1027583264.0
44,기타손실,612972939.0
45,VII. 법인세비용차감전순이익(손실),1673607437.0
46,Ⅷ. 법인세비용(수익),352418987.0
47,당기순이익(손실),2026026424.0
48,지배기업의 소유주에게 귀속되는 당기순이익(손실),2026026424.0
49,X. 기타포괄손익,216054831.0
50,XI. 총포괄손익,2242081255.0
51,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",2242081255.0
52,기본 및 희석주당순이익(손실),40.0
53,I. 영업활동현금흐름,3950368121.0
54,영업에서 창출된 현금흐름,3367406581.0
55,당기순손익,2026026424.0
56,비현금비용(수익)조정,3830620188.0
57,영업자산부채의 변동,-2489240031.0
58,이자의 수취,810604309.0
59,배당금수취,
60,이자의 지급,
61,법인세의 납부(환급),227642769.0
62,Ⅱ. 투자활동현금흐름,-10803442117.0
63,단기금융상품의 처분,66306000000.0
64,장기금융상품의 처분,
65,당기손익인식금융자산의 처분,70191749380.0
66,매도가능금융자산의 처분,
67,만기보유금융자산의 처분,
68,기계장치의 처분,46363636.0
69,차량운반구의 처분,15609091.0
70,기타유형자산의 처분,164201818.0
71,회원가입권의 처분,
72,단기금융상품의 취득,64750000000.0
73,당기손익인식금융자산의 취득,78025804152.0
74,장기금융상품의 취득,120000000.0
75,매도가능금융자산의 취득,600000000.0
76,건물의 취득,
77,기계장치의 취득,
78,차량운반구의 취득,10000000.0
79,기타의유형자산의 취득,6804370.0
80,건설중인자산의 취득,2971167683.0
81,개발비의 취득,1043589837.0
82,기타의무형자산의 취득,
83,Ⅲ. 재무활동현금흐름,7062997750.0
84,단기차입금의 차입,
85,주식의 발행 (유상증자),
86,장기차입금의 증가,
87,장기차입금의 상환,
88,신주인수권의 행사,4499997750.0
89,단기차입금의 상환,
90,자기주식의 취득,
91,자기주식의 처분,
92,주식선택권의 행사,2563000000.0
93,Ⅳ. 환율변동효과 반영전 현금및현금성자산의 순증가(감소),209923754.0
94,Ⅴ. 현금및현금성자산에 대한 환율변동효과,1457298.0
95,VI. 기초 현금및현금성자산,9287656805.0
96,Ⅶ. 기말 현금및현금성자산,9499037857.0
97,기초자본,95216399378.0
98,기초자본,95216399378.0
99,기초자본,1019900463.0
100,기초자본,34033020.0
101,기초자본,872360039.0
102,기초자본,-32507494551.0
103,기초자본,628467479.0
104,기초자본,-4822036186.0
105,기초자본,7013272441.0
106,기초자본,25767378000.0
107,기초자본,97210518673.0
108,당기순이익(손실),2026026424.0
109,당기순이익(손실),2026026424.0
110,당기순이익(손실),2026026424.0
111,기타포괄손익,216054831.0
112,기타포괄손익,216054831.0
113,기타포괄손익,216054831.0
114,총포괄손익,2242081255.0
115,총포괄손익,2242081255.0
116,총포괄손익,2242081255.0
117,해외사업환산이익,2757456.0
118,해외사업환산이익,2757456.0
119,해외사업환산이익,2757456.0
120,확정급여제도의 재측정손익,213297375.0
121,확정급여제도의 재측정손익,213297375.0
122,확정급여제도의 재측정손익,213297375.0
123,신주의 발행(유상증자),
124,신주의 발행(유상증자),
125,신주의 발행(유상증자),
126,신주의 발행(유상증자),
127,신주인수권행사,4677257808.0
128,신주인수권행사,4677257808.0
129,신주인수권행사,-628467479.0
130,신주인수권행사,352941000.0
131,신주인수권행사,4952784287.0
132,주식선택권,193599201.0
133,주식선택권,193599201.0
134,주식선택권,193599201.0
135,주식선택권행사,2028120002.0
136,주식선택권행사,2028120002.0
137,주식선택권행사,890712319.0
138,주식선택권행사,1022439600.0
139,주식선택권행사,1896392721.0
140,주식선택권 소멸,
141,주식선택권 소멸,
142,자기주식매입,
143,자기주식매입,
144,자기주식매입,
145,자기주식처분,
146,자기주식처분,
147,자기주식처분,
148,자기주식처분,
149,자기주식처분,
150,기말자본,104357457644.0
151,기말자본,104357457644.0
152,기말자본,322787345.0
153,기말자본,36790476.0
154,기말자본,872360039.0
155,기말자본,-30268170752.0
156,기말자본,
157,기말자본,-3799596586.0
158,기말자본,8909665162.0
159,기말자본,26120319000.0
160,기말자본,102163302960.0
