,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
243,009420,한올바이오파마,13750,600,4.6,598435,8303205000,13200,14200,13200,708602895000,0.05,51534756,594839.0,1.15,244,2016-01-04
2387,009420,한올바이오파마,14150,400,2.9,479848,6696006050,13450,14200,13450,729216797400,0.05,51534756,528519.0,1.03,239,2016-01-05
4541,009420,한올바이오파마,14200,50,0.4,895923,12906805100,14400,15000,13900,731793535200,0.05,51534756,540689.0,1.05,244,2016-01-06
6685,009420,한올바이오파마,14300,100,0.7,498661,7031589300,14200,14600,13650,736947010800,0.05,51534756,563553.0,1.09,239,2016-01-07
8836,009420,한올바이오파마,14400,100,0.7,619689,8836938600,13800,14600,13750,742100486400,0.05,51534756,552432.0,1.07,241,2016-01-08
10981,009420,한올바이오파마,14300,-100,-0.7,598513,8629435000,14400,14600,14100,736947010800,0.05,51534756,561790.0,1.09,237,2016-01-11
13121,009420,한올바이오파마,14750,450,3.2,881370,13000459950,14500,15100,14500,760137651000,0.05,51534756,554224.0,1.08,228,2016-01-12
15281,009420,한올바이오파마,14250,-500,-3.4,938388,13453412700,14950,15200,13850,734370273000,0.05,51534756,454614.0,0.88,239,2016-01-13
17427,009420,한올바이오파마,14400,150,1.0,636980,9051631700,13850,14550,13650,742100486400,0.05,51534756,498474.0,0.97,236,2016-01-14
19582,009420,한올바이오파마,13950,-450,-3.1,536766,7595972650,14650,14650,13750,718909846200,0.05,51534756,476664.0,0.92,242,2016-01-15
21728,009420,한올바이오파마,13950,0,0.0,284589,3953041950,13750,14150,13600,718909846200,0.05,51534756,511154.0,0.99,239,2016-01-18
23869,009420,한올바이오파마,14450,500,3.6,474939,6755716550,13900,14500,13900,744677224200,0.05,51534756,536472.0,1.04,231,2016-01-19
26016,009420,한올바이오파마,14300,-150,-1.0,661415,9597166000,14450,14850,14100,736947010800,0.05,51534756,510218.0,0.99,229,2016-01-20
28165,009420,한올바이오파마,14450,150,1.0,393444,5671389850,14300,14650,14000,744677224200,0.05,51534756,520726.0,1.01,229,2016-01-21
30314,009420,한올바이오파마,14150,-300,-2.1,490318,7070274850,14700,15000,13950,729216797400,0.05,51534756,468936.0,0.91,231,2016-01-22
32460,009420,한올바이오파마,14500,350,2.5,375429,5401567200,14150,14500,14150,747253962000,0.05,51534756,519098.0,1.01,229,2016-01-25
34603,009420,한올바이오파마,14950,450,3.1,960982,14261472050,14400,15100,14400,770444602200,0.06,51534756,548429.0,1.06,225,2016-01-26
36760,009420,한올바이오파마,14300,-650,-4.4,656061,9560144550,15150,15150,14250,736947010800,0.05,51534756,479410.0,0.93,234,2016-01-27
38914,009420,한올바이오파마,13950,-350,-2.4,728503,10029438400,13950,14100,13400,718909846200,0.05,51534756,479754.0,0.93,239,2016-01-28
41073,009420,한올바이오파마,13450,-500,-3.6,327171,4443597850,13850,14000,13350,693142468200,0.05,51534756,481054.0,0.93,248,2016-01-29
43220,009420,한올바이오파마,13700,250,1.9,270647,3692456950,13500,13900,13450,706026157200,0.05,51534756,497281.0,0.96,245,2016-02-01
45374,009420,한올바이오파마,13450,-250,-1.8,267818,3582291300,13600,13800,13050,693142468200,0.05,51534756,503369.0,0.98,249,2016-02-02
47531,009420,한올바이오파마,13000,-450,-3.4,280498,3694973200,13400,13550,12850,669951828000,0.05,51534756,526627.0,1.02,255,2016-02-03
