,account_nm,thstrm_amount
0,유동자산,325694439632.0
1,현금및현금성자산,35729028110.0
2,단기금융상품,237828941365.0
3,단기매매금융자산,10081883102.0
4,매출채권,22952838997.0
5,미수금,1750496810.0
6,미수수익,1721036175.0
7,선급금,207805200.0
8,선급비용,142775824.0
9,재고자산,15279634049.0
10,매각예정비유동자산,
11,비유동자산,107426815009.0
12,장기성미수금,2550363125.0
13,매도가능금융자산,1676284260.0
14,유형자산,96600815343.0
15,무형자산,1373012581.0
16,보증금,333340950.0
17,이연법인세자산,4892998750.0
18,자산총계,433121254641.0
19,유동부채,27249970557.0
20,매입채무,15118004409.0
21,미지급금,1553877287.0
22,단기차입금,
23,예수금,324304238.0
24,미지급비용,2480463484.0
25,선수금,357731586.0
26,당기법인세부채,4362472589.0
27,선수수익,
28,판매보증충당부채,3053116964.0
29,비유동부채,14167215295.0
30,퇴직급여채무,61057455.0
31,판매보증충당부채,11063819636.0
32,수입보증금,15000000.0
33,이연법인세부채,3027338204.0
34,부채총계,41417185852.0
35,지배기업의 소유주지분,391704068789.0
36,자본금,16500000000.0
37,자본잉여금,35331327515.0
38,자본조정,-15636113570.0
39,기타포괄손익누계액,1502866803.0
40,이익잉여금,354005988041.0
41,자본총계,391704068789.0
42,자본과부채총계,433121254641.0
43,매출액,195300520053.0
44,매출원가,178159017384.0
45,매출총이익,17141502669.0
46,판매비와관리비,14772941496.0
47,영업이익,2368561173.0
48,금융수익,5036100116.0
49,금융원가,1289735309.0
50,기타수익,15888644458.0
51,기타비용,998624519.0
52,법인세비용차감전순이익,21004945919.0
53,법인세비용(수익),-743627751.0
54,당기순이익,21748573670.0
55,지배기업소유주지분,21748573670.0
56,비지배지분,
57,기본및희석주당이익,955.0
58,당기순이익,21748573670.0
59,기타포괄손익,147575505.0
60,매도가능금융자산평가손익,28252660.0
61,해외사업장환산손익,-562608266.0
62,법인세효과,129314055.0
63,법인세효과 차감후 금액,-405041551.0
64,확정급여제도의 재측정요소,729046247.0
65,법인세효과,-176429191.0
66,법인세효과 차감후 금액,552617056.0
67,총포괄손익,21896149175.0
68,지배기업소유주지분,21896149175.0
69,비지배지분,
70,영업활동현금흐름,9276602603.0
71,당기순이익,21748573670.0
72,비현금항목및운전자본의조정,-10090132329.0
73,퇴직급여,1409350701.0
74,감가상각비,9465182690.0
75,기타의감가상각비,
76,무형자산상각비,157973826.0
77,대손상각비,15781751.0
78,기타의대손상각비,736195047.0
79,유형자산처분손실,117522965.0
80,유형자산처분이익,40400000.0
81,무형자산처분손실,21226583.0
82,매각예정비유동자산처분이익,13969152800.0
83,외화환산손실,308230392.0
84,외화환산이익,311391494.0
85,판매보증충당부채환입,-1083571969.0
86,단기매매금융자산평가이익,-95581946.0
87,단기매매금융자산평가손실,35511173.0
88,단기매매금융자산처분손실,53651314.0
89,이자수익,3911244976.0
90,이자비용,942304.0
91,배당금수익,-24927791.0
92,법인세비용,-743627751.0
93,매출채권의 감소(증가),284627888.0
94,미수금의 감소(증가),255580966.0
95,장기미수금의 감소(증가),
96,선급금의 감소(증가),-115608800.0
97,선급비용의 감소(증가),-59381498.0
98,재고자산의 감소(증가),3027366614.0
99,매입채무의 증가(감소),145717392.0
100,미지급금의 증가(감소),-1106363454.0
101,미지급비용의 증가(감소),-588662997.0
102,선수금의 증가(감소),-1775281751.0
103,예수금의 증가(감소),-59442804.0
104,선수수익의 증가(감소),-8011312.0
105,퇴직급여채무의 감소,1109334700.0
106,사외적립자산의 감소(증가),73990100.0
107,국민연금전환금의 감소,1143000.0
108,판매보증비의 지급,-1198140992.0
109,법인세납부,2406766529.0
110,배당금수익 수취액,24927791.0
111,투자활동현금흐름,-792113592.0
112,단기금융상품의 감소,225408299416.0
113,단기금융상품의 증가,240033635735.0
114,단기매매금융자산의 감소,5813171500.0
115,단기매매금융자산의 증가,5000000000.0
116,매도가능금융자산의 감소,
117,매도가능금융자산의 증가,
118,유형자산의 취득,12148931156.0
119,유형자산의 처분,46850000.0
120,매각예정비유동자산의 처분,20881000000.0
121,보증금의 증가,60700000.0
122,보증금의 감소,11830000.0
123,수입보증금의 감소,23000000.0
124,수입보증금의 증가,15000000.0
125,무형자산의 취득,269140189.0
126,이자수익수취액,4567142572.0
127,재무활동현금흐름,-10324874380.0
128,자기주식의 취득,3401036220.0
129,자기주식의 처분,
130,단기차입금의 차입,
131,단기차입금의 상환,523200000.0
132,비지배주식의 취득,
133,배당금지급,6400638160.0
134,환율변동효과 반영전 현금및현금성자산의 순증가(감소),-1840385369.0
135,외화환산으로 인한 현금의 변동액,-2565153.0
136,현금의 증가(감소),-1842950522.0
137,기초현금및현금성자산,37571978632.0
138,기말현금및현금성자산,35729028110.0
139,기초자본,379609593994.0
140,기초자본,
141,기초자본,379609593994.0
142,기초자본,1907908354.0
143,기초자본,338105435475.0
144,기초자본,16500000000.0
145,기초자본,35331327515.0
146,기초자본,-12235077350.0
147,당기순이익,21748573670.0
148,당기순이익,
149,당기순이익,21748573670.0
150,당기순이익,21748573670.0
151,매도가능금융자산평가손익,21415515.0
152,매도가능금융자산평가손익,21415515.0
153,매도가능금융자산평가손익,21415515.0
154,해외사업장외화환산차이,-426457066.0
155,해외사업장외화환산차이,-426457066.0
156,해외사업장외화환산차이,-426457066.0
157,확정급여제도의재측정요소,552617056.0
158,확정급여제도의재측정요소,552617056.0
159,확정급여제도의재측정요소,552617056.0
160,배당금지급,6400638160.0
161,배당금지급,6400638160.0
162,배당금지급,6400638160.0
163,비지배지분의소각,
164,비지배지분의소각,
165,비지배지분의소각,
166,비지배지분의소각,
167,자기주식의취득,-3401036220.0
168,자기주식의취득,-3401036220.0
169,자기주식의취득,-3401036220.0
170,자기주식의처분,
171,자기주식의처분,
172,자기주식의처분,
173,자기주식의처분,
174,기말자본,391704068789.0
175,기말자본,391704068789.0
176,기말자본,1502866803.0
177,기말자본,354005988041.0
178,기말자본,16500000000.0
179,기말자본,35331327515.0
180,기말자본,15636113570.0
