,account_nm,thstrm_amount
0,유동자산,1981389629000.0
1,현금및현금성자산,338606921000.0
2,단기금융자산,159164806000.0
3,매출채권및기타채권,578900788000.0
4,유동파생상품자산,580810000.0
5,매각예정자산,43352169000.0
6,재고자산,789966317000.0
7,당기법인세자산,11129805000.0
8,기타유동자산,59688013000.0
9,비유동자산,4267165774000.0
10,장기금융자산,49321362000.0
11,장기매출채권및기타채권,37643403000.0
12,이연법인세자산,178882811000.0
13,관계기업및공동기업투자,103915959000.0
14,투자부동산,74220804000.0
15,유형자산,3463078860000.0
16,무형자산,34291805000.0
17,비유동법인세자산,316681333000.0
18,기타비유동자산,9129437000.0
19,자산총계,6248555403000.0
20,유동부채,1437938519000.0
21,단기금융부채,1040522289000.0
22,매입채무및기타채무,363525045000.0
23,유동파생상품부채,10347048000.0
24,당기법인세부채,12327101000.0
25,매각예정자산관련부채,4929369000.0
26,충당부채,207427000.0
27,기타유동부채,6080240000.0
28,비유동부채,1546019350000.0
29,장기금융부채,1203693170000.0
30,장기매입채무및기타채무,27727111000.0
31,비유동충당부채,9678039000.0
32,순확정급여부채,24238316000.0
33,이연법인세부채,
34,기타비유동부채,280682714000.0
35,부채총계,2983957869000.0
36,지배회사의 소유주지분,3195684835000.0
37,납입자본,912878558000.0
38,자본금,127246855000.0
39,기타불입자본,785631703000.0
40,기타자본구성요소,25588360000.0
41,이익잉여금,2257217917000.0
42,매각예정자산관련자본인식,
43,비지배주주지분,68912699000.0
44,자본총계,3264597534000.0
45,부채와자본총계,6248555403000.0
46,매출액,2739362364000.0
47,제품매출,2328107060000.0
48,상품매출,368970942000.0
49,임대수익,4698374000.0
50,임가공수입,26981623000.0
51,용역매출,5686464000.0
52,기타매출,4917901000.0
53,매출원가,2409468339000.0
54,제품매출원가,2061920923000.0
55,상품매출원가,317695075000.0
56,임대원가,4074079000.0
57,임가공원가,18263604000.0
58,용역원가,4346773000.0
59,기타매출원가,3167885000.0
60,매출총이익,329894025000.0
61,판매비와관리비,208540104000.0
62,급여,56481101000.0
63,퇴직급여,8293694000.0
64,복리후생비,9304584000.0
65,여비교통비,3542149000.0
66,감가상각비,3028732000.0
67,무형자산상각비,1737876000.0
68,경상개발비,26458974000.0
69,수수료,11389437000.0
70,운반비,41478815000.0
71,판매경비,13221328000.0
72,대손상각비(환입),-4111306000.0
73,기타,37714720000.0
