,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
126,010060,OCI,72700,-2300,-3.1,204389,14978170000,74100,74400,72500,1733849271700,0.12,23849371,3017016.0,12.65,127,2016-01-04
2274,010060,OCI,73600,900,1.2,91649,6712779200,72400,73800,72400,1755313705600,0.12,23849371,3010088.0,12.62,126,2016-01-05
4424,010060,OCI,73400,-200,-0.3,104938,7677169200,73600,74000,72600,1750543831400,0.12,23849371,3006539.0,12.61,127,2016-01-06
6575,010060,OCI,71600,-1800,-2.4,149911,10814518000,72600,73100,71500,1707614963600,0.12,23849371,2993147.0,12.55,129,2016-01-07
8724,010060,OCI,71700,100,0.1,108391,7695865500,70500,71900,70200,1709999900700,0.12,23849371,3000891.0,12.58,129,2016-01-08
10871,010060,OCI,71700,0,0.0,98230,6998061800,71000,72300,70600,1709999900700,0.12,23849371,2978563.0,12.49,127,2016-01-11
13020,010060,OCI,70900,-800,-1.1,74272,5304557000,72200,72900,70900,1690920403900,0.12,23849371,2972030.0,12.46,127,2016-01-12
15170,010060,OCI,70800,-100,-0.1,140296,9964595100,71200,71700,70300,1688535466800,0.12,23849371,2970882.0,12.46,128,2016-01-13
17320,010060,OCI,69000,-1800,-2.5,210998,14599600300,70000,70600,68400,1645606599000,0.12,23849371,2959498.0,12.41,129,2016-01-14
19469,010060,OCI,66400,-2600,-3.8,241294,16303616300,69000,70200,66200,1583598234400,0.11,23849371,2961501.0,12.42,129,2016-01-15
21621,010060,OCI,65200,-1200,-1.8,161821,10565521500,65000,66200,64900,1554978989200,0.11,23849371,2978086.0,12.49,132,2016-01-18
23776,010060,OCI,62500,-2700,-4.1,280849,17713626600,65000,65300,62400,1490585687500,0.11,23849371,2994201.0,12.55,138,2016-01-19
25924,010060,OCI,62000,-500,-0.8,173937,10824641500,62900,63800,60900,1478661002000,0.11,23849371,3001657.0,12.59,137,2016-01-20
28077,010060,OCI,60500,-1500,-2.4,190720,11664894600,61500,62300,60300,1442886945500,0.11,23849371,2997418.0,12.57,141,2016-01-21
30225,010060,OCI,61600,1100,1.8,178468,10991355900,61700,62800,60400,1469121253600,0.11,23849371,3007409.0,12.61,142,2016-01-22
32367,010060,OCI,65000,3400,5.5,277009,17891148100,62900,66100,62500,1550209115000,0.11,23849371,3058791.0,12.83,136,2016-01-25
34517,010060,OCI,63400,-1600,-2.5,120442,7650908600,64000,64400,63000,1512050121400,0.11,23849371,3064341.0,12.85,139,2016-01-26
36659,010060,OCI,65600,2200,3.5,190773,12519324900,65500,66900,64800,1564518737600,0.11,23849371,3073926.0,12.89,133,2016-01-27
38809,010060,OCI,66000,400,0.6,123051,8143725600,65300,67000,64800,1574058486000,0.11,23849371,3079902.0,12.91,134,2016-01-28
40961,010060,OCI,66300,300,0.4,111189,7330252500,66800,66900,65400,1581213297300,0.11,23849371,3088116.0,12.95,136,2016-01-29
43112,010060,OCI,66500,200,0.3,87493,5825431400,67300,67500,66000,1585983171500,0.11,23849371,3106914.0,13.03,137,2016-02-01
45260,010060,OCI,66500,0,0.0,71192,4719743500,66600,66900,65500,1585983171500,0.11,23849371,3114882.0,13.06,135,2016-02-02
47411,010060,OCI,64900,-1600,-2.4,73016,4757660700,65800,66000,64800,1547824177900,0.11,23849371,3117235.0,13.07,135,2016-02-03
49558,010060,OCI,69000,4100,6.3,224762,15415063400,65800,69600,65600,1645606599000,0.12,23849371,3151746.0,13.22,130,2016-02-04
51711,010060,OCI,69000,0,0.0,87938,6078876400,68700,70600,68100,1645606599000,0.12,23849371,3173922.0,13.31,130,2016-02-05
53870,010060,OCI,65100,-3900,-5.6,150869,9956867400,65700,67500,65100,1552594052100,0.11,23849371,3152907.0,13.22,135,2016-02-11
56020,010060,OCI,65300,200,0.3,164685,10704841300,64800,66400,63000,1557363926300,0.12,23849371,3148475.0,13.2,131,2016-02-12
58172,010060,OCI,67300,2000,3.1,121153,8084049000,67100,67400,65700,1605062668300,0.12,23849371,3127408.0,13.11,129,2016-02-15
60325,010060,OCI,71600,4300,6.4,338297,23807956300,68000,72300,67900,1707614963600,0.12,23849371,3136895.0,13.15,127,2016-02-16
62467,010060,OCI,77900,6300,8.8,959396,73509474700,70600,80100,70500,1857866000900,0.13,23849371,3157717.0,13.24,114,2016-02-17
64621,010060,OCI,81300,3400,4.4,780402,64276517500,79700,84000,79700,1938953862300,0.14,23849371,3133437.0,13.14,113,2016-02-18
66776,010060,OCI,82400,1100,1.4,252286,20717447700,81300,83100,80600,1965188170400,0.14,23849371,3174474.0,13.31,113,2016-02-19
68931,010060,OCI,83000,600,0.7,183982,15080173000,81600,83000,81000,1979497793000,0.14,23849371,3204392.0,13.44,113,2016-02-22
71082,010060,OCI,87300,4300,5.2,441430,37911122500,84500,87800,84500,2082050088300,0.15,23849371,3183802.0,13.35,109,2016-02-23
73237,010060,OCI,86000,-1300,-1.5,219164,18899225100,86600,87600,84600,2051045906000,0.15,23849371,3179767.0,13.33,110,2016-02-24
75389,010060,OCI,89700,3700,4.3,418678,37411710300,89400,90400,87100,2139288578700,0.15,23849371,3181640.0,13.34,107,2016-02-25
77546,010060,OCI,88200,-1500,-1.7,146086,12946114400,90200,90200,87800,2103514522200,0.15,23849371,3180792.0,13.34,109,2016-02-26
79696,010060,OCI,91300,3100,3.5,331662,30146749300,87900,92600,85700,2177447572300,0.15,23849371,3215840.0,13.48,104,2016-02-29
81850,010060,OCI,96200,4900,5.4,300921,28570218100,93200,96200,92500,2294309490200,0.16,23849371,3235872.0,13.57,101,2016-03-02
84010,010060,OCI,95700,-500,-0.5,322065,31234254700,96600,99900,93600,2282384804700,0.16,23849371,3253298.0,13.64,103,2016-03-03
86169,010060,OCI,96000,300,0.3,208659,19870138400,96900,97600,93400,2289539616000,0.16,23849371,3283816.0,13.77,104,2016-03-04
88325,010060,OCI,97500,1500,1.6,158439,15498110500,96000,98800,95400,2325313672500,0.16,23849371,3280803.0,13.76,100,2016-03-07
90485,010060,OCI,97400,-100,-0.1,150535,14768759500,99500,100500,96500,2322928735400,0.16,23849371,3281372.0,13.76,100,2016-03-08
92652,010060,OCI,93600,-3800,-3.9,281659,26745222200,97400,97700,93600,2232301125600,0.15,23849371,3288198.0,13.79,107,2016-03-09
94811,010060,OCI,95900,2300,2.5,224595,21572619600,94700,97100,94700,2287154678900,0.16,23849371,3331550.0,13.97,106,2016-03-10
96974,010060,OCI,93500,-2400,-2.5,174505,16425594500,95900,96700,92700,2229916188500,0.15,23849371,3352518.0,14.06,108,2016-03-11
99131,010060,OCI,94500,1000,1.1,165078,15507859000,94400,95800,92500,2253765559500,0.15,23849371,3362702.0,14.1,103,2016-03-14
101297,010060,OCI,91600,-2900,-3.1,178433,16510271000,94500,95000,91200,2184602383600,0.15,23849371,3380922.0,14.18,107,2016-03-15
103458,010060,OCI,91600,0,0.0,139304,12735529100,91300,92700,90500,2184602383600,0.15,23849371,3424400.0,14.36,107,2016-03-16
105617,010060,OCI,94000,2400,2.6,220213,20732642500,93300,95500,92600,2241840874000,0.15,23849371,3421682.0,14.35,104,2016-03-17
107779,010060,OCI,94200,200,0.2,165865,15809475100,96200,96300,94100,2246610748200,0.15,23849371,3411586.0,14.3,104,2016-03-18
109940,010060,OCI,93400,-800,-0.8,96485,9060202500,94800,94900,92600,2227531251400,0.15,23849371,3445120.0,14.45,103,2016-03-21
112100,010060,OCI,95400,2000,2.1,103243,9715068800,94000,95600,92500,2275229993400,0.15,23849371,3470836.0,14.55,101,2016-03-22
114264,010060,OCI,94200,-1200,-1.3,100368,9430878600,95800,95800,93600,2246610748200,0.15,23849371,3453893.0,14.48,103,2016-03-23
116429,010060,OCI,91200,-3000,-3.2,202615,18531214400,92800,92900,90500,2175062635200,0.15,23849371,3438209.0,14.42,106,2016-03-24
118589,010060,OCI,91700,500,0.6,101265,9336877600,90600,93000,90500,2186987320700,0.15,23849371,3454743.0,14.49,104,2016-03-25
120750,010060,OCI,91700,0,0.0,65696,6032205000,92900,92900,91200,2186987320700,0.15,23849371,3450435.0,14.47,103,2016-03-28
122912,010060,OCI,95000,3300,3.6,204332,19376712300,91800,96200,91600,2265690245000,0.15,23849371,3470708.0,14.55,103,2016-03-29
125066,010060,OCI,105000,10000,10.5,583689,58825860200,95800,105000,95100,2504183955000,0.17,23849371,3485289.0,14.61,95,2016-03-30
127228,010060,OCI,106000,1000,1.0,374810,39734987500,106000,108000,103500,2528033326000,0.17,23849371,3457293.0,14.5,93,2016-03-31
129397,010060,OCI,100000,-6000,-5.7,308249,31670597165,106000,106500,99900,2384937100000,0.16,23849371,3428295.0,14.37,98,2016-04-01
131560,010060,OCI,101000,1000,1.0,176665,17986328900,100500,103000,99200,2408786471000,0.16,23849371,3420089.0,14.34,97,2016-04-04
133722,010060,OCI,101000,0,0.0,242670,24053763600,100500,102500,96500,2408786471000,0.17,23849371,3374655.0,14.15,95,2016-04-05
135884,010060,OCI,103500,2500,2.5,231858,23909545900,100500,106000,99800,2468409898500,0.17,23849371,3319222.0,13.92,93,2016-04-06
138052,010060,OCI,101500,-2000,-1.9,178392,18295999500,105500,106000,101000,2420711156500,0.17,23849371,3285154.0,13.77,96,2016-04-07
140219,010060,OCI,101500,0,0.0,136783,13696676500,99900,102000,99000,2420711156500,0.17,23849371,3289997.0,13.79,97,2016-04-08
142385,010060,OCI,99800,-1700,-1.7,120828,12160925700,102000,103500,99500,2380167225800,0.16,23849371,3275520.0,13.73,97,2016-04-11
144550,010060,OCI,105000,5200,5.2,169685,17418596100,99000,105000,98600,2504183955000,0.17,23849371,3298510.0,13.83,95,2016-04-12
146717,010060,OCI,103500,-1500,-1.4,254203,26711772500,107500,108500,103500,2468409898500,0.17,23849371,3266681.0,13.7,97,2016-04-14
148884,010060,OCI,99600,-3900,-3.8,319123,31914157600,103500,103500,99100,2375397351600,0.16,23849371,3199432.0,13.42,99,2016-04-15
151053,010060,OCI,94500,-5100,-5.1,368593,35170347800,97700,98000,94200,2253765559500,0.15,23849371,3206698.0,13.45,104,2016-04-18
153213,010060,OCI,98900,4400,4.7,357917,35358540300,96200,101000,96000,2358702791900,0.16,23849371,3218246.0,13.49,100,2016-04-19
155375,010060,OCI,103500,4600,4.6,583883,61227237900,100500,107500,100500,2468409898500,0.17,23849371,3266308.0,13.7,98,2016-04-20
