,account_nm,thstrm_amount
0,유동자산,9950789795899.0
1,현금및현금성자산,984075446227.0
2,단기금융상품,786472432910.0
3,매출채권,389247494187.0
4,미청구공사,5054636276591.0
5,미수금,127079891765.0
6,선급금,360295600190.0
7,선급비용,70920559668.0
8,유동성파생금융상품,210751182260.0
9,유동성확정계약자산,479975331410.0
10,재고자산,1226085739772.0
11,기타유동금융자산,90498037968.0
12,기타유동자산,170751802951.0
13,비유동자산,7266672882754.0
14,매도가능금융자산,26288657767.0
15,관계기업 및 공동기업투자,3467930910.0
16,유형자산,6442424538523.0
17,투자부동산,16839560548.0
18,무형자산,96140776471.0
19,장기선급비용,67969654036.0
20,비유동파생금융상품,82036715609.0
21,비유동확정계약자산,106939864653.0
22,비유동매출채권,24500208329.0
23,이연법인세자산,378626371165.0
24,기타비유동금융자산,21438604743.0
25,자산총계,17217462678653.0
26,유동부채,9045743305814.0
27,매입채무,1320711146304.0
28,단기차입금,2693765875576.0
29,미지급금,137670063887.0
30,선수금,311598353495.0
31,초과청구공사,1543796723983.0
32,미지급비용,523036322263.0
33,당기법인세부채,
34,유동성파생금융상품,782199306518.0
35,유동성확정계약부채,209642478076.0
36,유동성장기부채,1158721568655.0
37,충당부채,325215360649.0
38,기타유동부채,39386106408.0
39,비유동부채,1896408600575.0
40,사채,499347207263.0
41,장기차입금,975460567761.0
42,순확정급여부채,101304890943.0
43,기타충당부채,24072508000.0
44,비유동파생금융상품,117833674399.0
45,비유동확정계약부채,34123353398.0
46,기타비유동금융부채,18199268257.0
47,기타비유동부채,
48,이연법인세부채,126067130554.0
49,부채총계,10942151906389.0
50,지배기업의 소유주에게 귀속되는 지분,6264309339227.0
51,자본금,1950574225000.0
52,보통주자본금,1950000000000.0
53,우선주자본금,574225000.0
54,주식발행초과금,752018095705.0
55,기타포괄손익누계액,1006041933242.0
56,기타자본항목,-963896146243.0
57,이익잉여금,3519571231523.0
58,비지배지분,11001433037.0
59,자본총계,6275310772264.0
60,부채와자본총계,17217462678653.0
61,매출액,10414188640168.0
62,매출원가,9939108513682.0
63,매출총이익(손실),475080126486.0
64,판매비와관리비,622279642054.0
