,account_nm,thstrm_amount
0,유동자산,72449600000000.0
1,현금및현금성자산,7890089000000.0
2,단기금융상품,7361735000000.0
3,기타금융자산,12723993000000.0
4,매출채권,4437552000000.0
5,기타채권,3181030000000.0
6,재고자산,10523812000000.0
7,기타자산,1389803000000.0
8,당기법인세자산,46924000000.0
9,금융업채권,24865594000000.0
10,매각예정비유동자산,29068000000.0
11,비유동자산,106386328000000.0
12,장기금융상품,99484000000.0
13,기타금융자산,2560550000000.0
14,장기성매출채권,138105000000.0
15,기타채권,1301059000000.0
16,기타자산,661407000000.0
17,유형자산,29405716000000.0
18,투자부동산,211671000000.0
19,무형자산,4586172000000.0
20,공동기업 및 관계기업투자,18070121000000.0
21,이연법인세자산,1116774000000.0
22,금융업채권,26918009000000.0
23,운용리스자산,21317260000000.0
24,자산총계,178835928000000.0
25,유동부채,43609793000000.0
26,매입채무,6985942000000.0
27,미지급금,4946723000000.0
28,단기차입금,8760678000000.0
29,유동성장기부채,14836967000000.0
30,당기법인세부채,540909000000.0
31,충당부채,1925562000000.0
32,기타금융부채,138106000000.0
33,기타부채,5474906000000.0
34,비유동부채,62881557000000.0
35,장기성미지급금,22586000000.0
36,사채,36456392000000.0
37,장기차입금,13389983000000.0
38,순확정급여부채,492173000000.0
39,충당부채,5047078000000.0
40,기타금융부채,23454000000.0
41,기타부채,2827665000000.0
42,이연법인세부채,4622226000000.0
43,부채총계,106491350000000.0
44,지배기업소유주지분,67189658000000.0
45,자본금,1488993000000.0
46,자본잉여금,4202597000000.0
47,기타자본항목,-1640096000000.0
48,기타포괄손익누계액,-1223244000000.0
49,이익잉여금,64361408000000.0
50,비지배지분,5154920000000.0
51,자본총계,72344578000000.0
52,부채와자본총계,178835928000000.0
53,매출액,93649024000000.0
54,매출원가,75959720000000.0
55,매출총이익,17689304000000.0
56,판매비와관리비,12495804000000.0
57,영업이익,5193500000000.0
58,공동기업및관계기업투자손익,1729447000000.0
59,금융수익,1111238000000.0
60,금융비용,678037000000.0
61,기타수익,1177887000000.0
62,기타비용,1226963000000.0
63,법인세비용차감전순이익,7307072000000.0
64,법인세비용,1587419000000.0
65,연결당기순이익,5719653000000.0
66,지배기업소유주지분,5406435000000.0
67,비지배지분,313218000000.0
68,보통주 기본주당이익,20118.0
69,1우선주 기본주당이익,20156.0
70,보통주 희석주당이익,20118.0
71,1우선주 희석주당이익,20156.0
72,연결당기순이익,5719653000000.0
73,기타포괄손익,255742000000.0
74,후속적으로 당기손익으로 재분류되지 않는 항목,9832000000.0
75,확정급여제도의 재측정요소,-2601000000.0
76,지분법이익잉여금,12433000000.0
77,후속적으로 당기손익으로 재분류될 수 있는 항목,245910000000.0
78,매도가능금융자산 평가손익,-152755000000.0
79,현금흐름위험회피 파생상품평가손익,37066000000.0
80,지분법자본변동,-114037000000.0
81,해외사업환산손익,475636000000.0
82,총포괄이익,5975395000000.0
83,지배기업소유주지분,5614509000000.0
84,비지배지분,360886000000.0
85,영업활동으로 인한 현금흐름,996964000000.0
86,영업으로부터 창출된 현금흐름,3319870000000.0
87,연결당기순이익,5719653000000.0
88,조정,11165345000000.0
89,영업활동으로 인한 자산부채의 변동,-13565128000000.0
90,이자의 수취,486709000000.0
91,이자의 지급,1670859000000.0
92,배당금의 수취,932038000000.0
93,법인세의 지급,2070794000000.0
94,투자활동으로 인한 현금흐름,-6311750000000.0
95,단기금융상품의 순증감,-419325000000.0
96,기타금융자산(유동)의 순증감,-1580624000000.0
97,기타금융자산(비유동)의 감소,595927000000.0
98,기타채권의 감소,147797000000.0
99,장기금융상품의 감소,14000000.0
100,유형자산의 처분,133286000000.0
101,무형자산의 처분,10613000000.0
102,종속기업의 처분,
103,공동기업 및 관계기업투자의 처분,12477000000.0
104,기타금융자산(비유동)의 증가,244563000000.0
105,기타채권의 증가,-168083000000.0
106,장기금융상품의 증가,11146000000.0
107,유형자산의 취득,2971161000000.0
108,무형자산의 취득,1406352000000.0
109,사업결합으로 인한 현금유출,2370000000.0
110,공동기업 및 관계기업투자의 취득,431517000000.0
111,기타 투자활동으로 인한 현금유출입액,23277000000.0
112,재무활동으로 인한 현금흐름,5691418000000.0
113,단기차입금의 순증감,-1369186000000.0
114,장기차입금 및 사채의 차입,27509144000000.0
115,종속기업의 증자,25536000000.0
116,종속기업의 취득,-96595000000.0
117,종속기업의 처분,34206000000.0
118,장기차입금 및 사채의 상환,19015198000000.0
119,자기주식의 취득,261552000000.0
120,배당금의 지급,1084546000000.0
121,기타 재무활동으로 인한 현금유출입액,-50391000000.0
122,현금및현금성자산의 환율변동효과,181994000000.0
123,현금및현금성자산의 증가,558626000000.0
124,기초의 현금및현금성자산,7331463000000.0
125,기말의 현금및현금성자산,7890089000000.0
126,기초자본,66881401000000.0
127,기초자본,4857443000000.0
128,기초자본,62023958000000.0
129,기초자본,-1588697000000.0
130,기초자본,-1431821000000.0
131,기초자본,60035088000000.0
132,기초자본,1488993000000.0
133,기초자본,3520395000000.0
134,연결당기순이익,5719653000000.0
135,연결당기순이익,313218000000.0
136,연결당기순이익,5406435000000.0
137,연결당기순이익,5406435000000.0
138,매도가능금융자산평가손익,-152755000000.0
139,매도가능금융자산평가손익,-2574000000.0
140,매도가능금융자산평가손익,-150181000000.0
141,매도가능금융자산평가손익,-150181000000.0
142,현금흐름위험회피파생상품평가손익,37066000000.0
143,현금흐름위험회피파생상품평가손익,2341000000.0
144,현금흐름위험회피파생상품평가손익,34725000000.0
145,현금흐름위험회피파생상품평가손익,34725000000.0
146,지분법평가,-101604000000.0
147,지분법평가,-5789000000.0
148,지분법평가,-95815000000.0
149,지분법평가,-108205000000.0
150,지분법평가,12390000000.0
151,확정급여제도의 재측정요소,-2601000000.0
152,확정급여제도의 재측정요소,10292000000.0
153,확정급여제도의 재측정요소,-12893000000.0
154,확정급여제도의 재측정요소,-12893000000.0
155,해외사업환산손익,475636000000.0
156,해외사업환산손익,43398000000.0
157,해외사업환산손익,432238000000.0
158,해외사업환산손익,432238000000.0
159,총포괄이익 소계,5975395000000.0
160,총포괄이익 소계,360886000000.0
161,총포괄이익 소계,5614509000000.0
162,총포괄이익 소계,208577000000.0
163,총포괄이익 소계,5405932000000.0
164,배당,-1084546000000.0
165,배당,-5002000000.0
166,배당,-1079544000000.0
167,배당,-1079544000000.0
168,종속기업의 증자,26037000000.0
169,종속기업의 증자,26721000000.0
170,종속기업의 증자,-684000000.0
171,종속기업의 증자,-684000000.0
172,종속기업의 취득,-96595000000.0
173,종속기업의 취득,-111868000000.0
174,종속기업의 취득,15273000000.0
175,종속기업의 취득,15273000000.0
176,종속기업의 처분,28223000000.0
177,종속기업의 처분,26785000000.0
178,종속기업의 처분,1438000000.0
179,종속기업의 처분,1438000000.0
180,기타금융부채로의 재분류,
181,기타금융부채로의 재분류,
182,기타금융부채로의 재분류,
183,기타금융부채에서 재분류,621267000000.0
184,기타금융부채에서 재분류,621267000000.0
185,기타금융부채에서 재분류,621267000000.0
186,자기주식 취득,-261552000000.0
187,자기주식 취득,-261552000000.0
188,자기주식 취득,-261552000000.0
189,자기주식 처분,255061000000.0
190,자기주식 처분,255061000000.0
191,자기주식 처분,210153000000.0
192,자기주식 처분,44908000000.0
193,기타변동분,-113000000.0
194,기타변동분,-45000000.0
195,기타변동분,-68000000.0
196,기타변동분,-68000000.0
197,기타변동분,
198,자본에 직접 반영된 소유주와의 거래 소계,-512218000000.0
199,자본에 직접 반영된 소유주와의 거래 소계,-63409000000.0
200,자본에 직접 반영된 소유주와의 거래 소계,-448809000000.0
201,자본에 직접 반영된 소유주와의 거래 소계,-51399000000.0
202,자본에 직접 반영된 소유주와의 거래 소계,-1079612000000.0
203,자본에 직접 반영된 소유주와의 거래 소계,682202000000.0
204,기말자본,72344578000000.0
205,기말자본,5154920000000.0
206,기말자본,67189658000000.0
207,기말자본,-1640096000000.0
208,기말자본,-1223244000000.0
209,기말자본,64361408000000.0
210,기말자본,1488993000000.0
211,기말자본,4202597000000.0
