,account_nm,thstrm_amount
0,Ⅰ. 유동자산,569006651627.0
1,현금및현금성자산,13346654899.0
2,단기금융상품,20020000000.0
3,당기손익인식금융자산,140000000000.0
4,유동성매도가능금융자산,244907787.0
5,유동성만기보유금융자산,
6,매출채권,56511282354.0
7,기타수취채권,18166513226.0
8,재고자산,283335568931.0
9,파생금융상품,
10,기타유동자산,37381724430.0
11,당기법인세자산,
12,Ⅱ. 비유동자산,469017610020.0
13,장기금융상품,
14,비유동성매도가능금융자산,12534596918.0
15,비유동성만기보유금융자산,
16,관계기업투자,61937446794.0
17,장기기타수취채권,5621611355.0
18,유형자산,277027175927.0
19,무형자산,3132079194.0
20,투자부동산,91794579175.0
21,기타비유동자산,3000674985.0
22,이연법인세자산,13969445672.0
23,자산총계,1038024261647.0
24,Ⅰ. 유동부채,153081220194.0
25,매입채무,25683549144.0
26,기타채무,50838185833.0
27,단기차입금,38431042952.0
28,당기법인세부채,22108185224.0
29,충당부채,593054858.0
30,기타유동부채,15427202183.0
31,Ⅱ. 비유동부채,4599266443.0
32,장기기타채무,4438611158.0
33,이연법인세부채,
34,기타비유동부채,86499052.0
35,순확정급여부채,74156233.0
36,부채총계,157680486637.0
37,Ⅰ. 지배기업지분,880343775010.0
38,자본금,12315000000.0
39,자본잉여금,122204783737.0
40,기타자본구성요소,-22205713493.0
41,기타포괄손익누계액,5518940843.0
42,이익잉여금,762510763923.0
43,Ⅱ. 비지배주주지분,
44,자본총계,880343775010.0
45,자본과부채총계,1038024261647.0
46,매출액,711998208526.0
47,매출원가,309608089367.0
48,매출총이익,402390119159.0
49,판매비와관리비,330361728009.0
50,영업이익,72028391150.0
51,지분법손익,-2232858425.0
52,기타수익,7594428662.0
53,기타비용,3921560547.0
54,금융수익,5448307653.0
55,금융비용,1507349744.0
56,법인세비용차감전순이익,77409358749.0
57,법인세비용,20933448044.0
58,계속영업당기순이익,56475910705.0
59,세후 중단영업이익(손실),
60,당기순이익,56475910705.0
61,매도가능금융자산평가이익,-927529542.0
62,매도가능금융자산평가손실,10942997.0
63,종속기업투자 지배력 상실,
64,종속기업투자 청산,
65,해외사업환산손익,15384401.0
66,관계기업 기타포괄손익 중 지분해당액,7010717.0
67,관계기업 기타포괄손익 중 지분해당액,6582983.0
68,당기 세후 기타포괄손익,-909494438.0
69,당기 총포괄손익,55566416267.0
70,지배기업의 소유주,56475910705.0
71,계속영업이익,56475910705.0
72,중단영업이익(손실),
73,비지배지분,
74,중단영업손실,
75,지배기업의 소유주,55566416267.0
76,계속영업총포괄이익,55566416267.0
77,중단영업총포괄이익(손실),
78,비지배지분,
79,중단영업총포괄이익(손실),
80,계속영업기본주당이익(손실),2571.0
81,중단영업기본주당이익(손실),
82,계속영업희석주당이익(손실),2571.0
83,중단영업희석주당이익(손실),
84,Ⅰ. 영업활동으로 인한 현금흐름,18001231440.0
85,1. 영업으로부터 창출된 현금흐름,44401876045.0
86,2. 배당금의 수취,508499000.0
87,3. 이자의 수취,3204351627.0
88,4. 이자의 지급,-341905608.0
89,5. 법인세납부액,-29771589624.0
90,Ⅱ. 투자활동으로 인한 현금흐름,-44260276077.0
91,1. 투자활동으로 인한 현금유입액,165660435333.0
92,(1) 단기금융상품의 감소,20000000000.0
93,(2) 당기손익인식금융자산의 감소,143114598333.0
94,(3) 매도가능금융자산의 처분,389315000.0
95,(4) 만기보유금융자산의 회수,
96,(6) 비유동성매도가능금융자산의 처분,1194000000.0
97,(7) 유동성보증금의 회수,100000000.0
98,(8) 단기대여금의 회수,
99,(9) 장기대여금의 회수,
100,(10) 토지의 처분,
101,(11) 건물의 처분,
102,(12) 차량운반구의 처분,
103,(13) 비품 등의 처분,12000000.0
104,(14) 투자부동산의 처분,
105,(15) 회원권의 처분,
106,(16) 보증금의 회수,500522000.0
107,(17) 지배력상실로 인한 현금흐름,
108,(18) 국고보조금의 수령,350000000.0
109,2. 투자활동으로 인한 현금유출액,-209920711410.0
110,(1) 단기금융상품의 증가,-20000000000.0
111,(2) 당기손익인식금융자산의 증가,-140000000000.0
112,(3) 매도가능금융자산의 취득,
113,(4) 만기보유금융자산의 취득,
114,(5) 유동성보증금의 증가,-888000000.0
115,(6) 장기대여금의 증가,-343974608.0
116,(7) 토지의 취득,
117,(8) 통화선도거래,-21455906.0
118,(9) 코스의 취득,
119,(10) 건물의 취득,-25005386490.0
120,(11) 구축물의 취득,
121,(12) 기계장치의 취득,-8143292052.0
122,(13) 차량운반구의 취득,-140722435.0
123,(14) 비품 등의 취득,-10590055606.0
124,(15) 건설중인자산의 증가,-3669453215.0
125,(16) 산업재산권의 취득,
126,(17) 소프트웨어의 취득,-453759091.0
127,(18) 회원권의 취득,
128,(19) 투자부동산의 취득,
129,(20) 보증금의 증가,-664612007.0
130,(21) 지배력상실로 인한 현금흐름,
131,Ⅲ. 재무활동으로 인한 현금흐름,21930087315.0
132,1. 재무활동으로 인한 현금유입액,40073951744.0
133,(1) 단기차입금의 차입,38432319744.0
134,(2) 유동성예수보증금의 증가,620000000.0
135,(3) 예수보증금의 증가,1021632000.0
136,2. 재무활동으로 인한 현금유출액,-18143864429.0
137,(1) 단기차입금의 상환,-11403059429.0
138,(2) 배당금의 지급,-6590805000.0
139,(3) 유동성예수보증금의 감소,-120000000.0
140,(4) 예수보증금의 감소,-30000000.0
141,Ⅳ. 현금및현금성자산의 증가(감소),-4328957322.0
142,Ⅴ. 기초 현금및현금성자산,17845817258.0
143,Ⅵ. 현금및현금성자산의 환율변동효과,-170205037.0
144,Ⅶ. 기말현금및현금성자산,13346654899.0
145,기초자본,831368236943.0
146,기초자본,-22205713493.0
147,기초자본,6435018264.0
148,기초자본,0.0
149,기초자본,831368236943.0
150,기초자본,712619148435.0
151,기초자본,12315000000.0
152,기초자본,122204783737.0
153,당기순이익(손실),56475910705.0
154,당기순이익(손실),
155,당기순이익(손실),56475910705.0
156,당기순이익(손실),56475910705.0
157,매도가능금융자산평가이익,-927529542.0
158,매도가능금융자산평가이익,-927529542.0
159,매도가능금융자산평가이익,-927529542.0
160,매도가능금융자산평가손실,-10942997.0
161,매도가능금융자산평가손실,-10942997.0
162,매도가능금융자산평가손실,
163,매도가능금융자산평가손실,-10942997.0
164,해외사업환산손익,15384401.0
165,해외사업환산손익,15384401.0
166,해외사업환산손익,15384401.0
167,종속기업청산,
168,종속기업청산,
169,종속기업청산,
170,종속기업투자 지배력상실,
171,종속기업투자 지배력상실,
172,종속기업투자 지배력상실,
173,관계기업 기타포괄손익 중 지분해당액,13593700.0
174,관계기업 기타포괄손익 중 지분해당액,7010717.0
175,관계기업 기타포괄손익 중 지분해당액,13593700.0
176,관계기업 기타포괄손익 중 지분해당액,6582983.0
177,총기타포괄손익,-909494438.0
178,총기타포괄손익,-916077421.0
179,총기타포괄손익,
180,총기타포괄손익,-909494438.0
181,총기타포괄손익,6582983.0
182,총포괄이익 소계,55566416267.0
183,총포괄이익 소계,-916077421.0
184,총포괄이익 소계,
185,총포괄이익 소계,55566416267.0
186,총포괄이익 소계,56482493688.0
187,지배력상실로 인한 비지배지분 변동,
188,지배력상실로 인한 비지배지분 변동,
189,배당금 지급,-6590878200.0
190,배당금 지급,-6590878200.0
191,배당금 지급,-6590878200.0
192,소유주와의 거래 소계,-6590878200.0
193,소유주와의 거래 소계,-6590878200.0
194,소유주와의 거래 소계,-6590878200.0
195,기말자본,880343775010.0
196,기말자본,-22205713493.0
197,기말자본,5518940843.0
198,기말자본,0.0
199,기말자본,880343775010.0
200,기말자본,762510763923.0
201,기말자본,12315000000.0
202,기말자본,122204783737.0
