,account_nm,thstrm_amount
0,비유동자산,393874253473
1,유형자산,326683751377
2,무형자산,13748815557
3,관계기업투자주식,7361814404
4,장기기타금융자산,35025025235
5,장기기타수취채권,1660929722
6,이연법인세자산,9392432251
7,기타비유동비금융자산,1484927
8,유동자산,427911924896
9,재고자산,70578216653
10,매출채권,170371564185
11,기타수취채권,7902425119
12,기타금융자산,104505968350
13,기타유동자산,6733746355
14,현금및현금성자산,67820004234
15,자산총계,821786178369
16,자본금,5207500000
17,자본잉여금,25704895831
18,기타자본,17262051607
19,이익잉여금,566234579970
20,지배기업 소유주지분 합계,614409027408
21,비지배지분,0
22,자본총계,614409027408
23,비유동부채,40610684976
24,퇴직급여채무,30715493680
25,충당부채,9895191296
26,유동부채,166766465985
27,단기차입금,3371050000
28,매입채무,95974243931
29,미지급금,46417451694
30,당기법인세부채,14386807101
31,기타유동부채,6616913259
32,부채총계,207377150961
33,자본과부채총계,821786178369
34,매출액,714241350458
35,매출원가,570559403578
36,매출총이익,143681946880
37,판매비와관리비,53278428506
38,영업이익,90403518374
39,기타수익,7214806261
40,기타비용,11540555564
41,금융수익,2332378085
42,금융비용,190621203
43,지분법이익,453260115
44,지분법손실,116320773
45,법인세비용차감전순이익,88556465295
46,법인세비용,21361492360
47,당기순이익,67194972935
48,기타포괄손익,-5654585167
49,후속적으로 당기손익으로 재분류되지 않는 항목,-1018517428
50,확정급여제도의 재측정요소,-1018517428
51,후속적으로 당기손익으로 재분류되는 항목,-4636067739
52,매도가능금융자산평가손익,-2721041358
53,지분법자본변동,-842729230
54,해외사업장순투자의 위험회피,-1072297151
55,총포괄손익,61540387768
56,지배기업의 소유주에게 귀속되는 당기순이익(손실),67194972935
57,비지배지분에 귀속되는 당기순이익(손실),0
58,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",61540387768
59,"포괄손익, 비지배지분",0
60,기본주당이익,6452
61,영업활동현금흐름,148900593009
62,영업활동에서 창출된 현금흐름,167806047719
63,이자수취,1267666456
64,배당금수취,874388950
65,법인세납부,21047510116
66,투자활동현금흐름,-106670795099
67,기타금융자산의 감소,19179861150
68,기타수취채권의 감소,2400000
69,장기기타금융자산의 감소,2404485810
70,장기기타수취채권의 감소,0
71,유형자산의 처분,5025166839
72,기타금융자산의 증가,67199971363
73,기타수취채권의 증가,-34880
74,장기기타금융자산의 증가,14452525730
75,장기기타수취채권의 증가,20000000
76,유형자산의 취득,49109441718
77,무형자산의 취득,2500804967
78,종속기업투자주식의 취득,0
79,재무활동현금흐름,-13010275828
80,단기차입금의 차입,2000000000
81,단기차입금의 상환,8078848758
82,배당금지급,6769750000
83,이자지급,161677070
84,외화표시현금및현금성자산의환율변동효과,-222324923
85,현금및현금성자산의순증감,28997197159
86,기초현금및현금성자산,38822807075
87,기말현금및현금성자산,67820004234
88,기초자본,559638389640
89,기초자본,559638389640
90,기초자본,21898119346
91,기초자본,506827874463
92,기초자본,5207500000
93,기초자본,25704895831
94,당기순이익,67194972935
95,당기순이익,67194972935
96,당기순이익,67194972935
97,확정급여제도의재측정요소,-1018517428
98,확정급여제도의재측정요소,-1018517428
99,확정급여제도의재측정요소,-1018517428
100,매도가능금융자산평가손익,-2721041358
101,매도가능금융자산평가손익,-2721041358
102,매도가능금융자산평가손익,-2721041358
103,해외사업장환산손익,-1072297151
104,해외사업장환산손익,-1072297151
105,해외사업장환산손익,-1072297151
106,지분법자본변동,-842729230
107,지분법자본변동,-842729230
108,지분법자본변동,-842729230
109,총포괄손익 합계,61540387768
110,총포괄손익 합계,61540387768
111,총포괄손익 합계,-4636067739
112,총포괄손익 합계,66176455507
113,배당금의 지급,-6769750000
114,배당금의 지급,-6769750000
115,배당금의 지급,-6769750000
116,자본에 직접 인식한 거래 합계,-6769750000
117,자본에 직접 인식한 거래 합계,-6769750000
118,자본에 직접 인식한 거래 합계,-6769750000
119,기말자본,614409027408
120,기말자본,614409027408
121,기말자본,17262051607
122,기말자본,566234579970
123,기말자본,5207500000
124,기말자본,25704895831
