,account_nm,thstrm_amount
0,유동자산,1794811641336
1,현금및현금성자산,372554201132
2,단기금융상품,49323382503
3,매출채권,1186877258358
4,미수금,8761578613
5,선급비용,81411069514
6,선급법인세,6966702427
7,기타유동금융자산,45555425097
8,기타유동자산,43362023692
9,매각예정분류자산,0
10,비유동자산,356619985430
11,장기금융상품,808431433
12,장기매도가능금융자산,11037119672
13,기타비유동금융자산,37602938809
14,관계기업투자주식,7293611626
15,투자부동산,0
16,유형자산,102815063352
17,무형자산,169261785043
18,이연법인세자산,24793818184
19,기타비유동자산,3007217311
20,자산총계,2151431626766
21,유동부채,1244899317911
22,매입채무,674630215554
23,미지급금,38070710587
24,선수수익,153530536287
25,단기차입금,19033213964
26,기타유동금융부채,37599121
27,미지급법인세,28903324507
28,미지급비용,221514907008
29,기타유동부채,109178810883
30,비유동부채,130247713630
31,장기차입금,454330721
32,장기미지급금,2463296523
33,순확정급여부채,10827236724
34,이연법인세부채,19375007598
35,기타비유동부채,97127842064
36,부채총계,1375147031541
37,지배기업 소유지분,763007157278
38,납입자본,23008245000
39,보통주납입자본,23008245000
40,주식발행초과금,104019644120
41,이익잉여금,996238561398
42,기타자본항목,-360259293240
43,비지배지분,13277437947
44,자본총계,776284595225
45,부채및자본총계,2151431626766
46,영업수익,3232593889361
47,영업원가,2235158836559
48,영업총이익,997435052802
49,판매비와관리비,847885556830
50,영업이익,149549495972
51,영업외수익,18680181061
52,영업외비용,49153454185
53,금융수익,33192130454
54,금융비용,24393234923
55,관계기업투자이익,59983877
56,관계기업투자손실,110898579
57,법인세비용차감전순이익,127824203677
58,법인세비용,37176069557
59,당기순이익,90648134120
60,지배기업소유지분순이익,88263165590
61,비지배지분순이익,2384968530
62,기타포괄손익(세후),-15752688599
63,순확정급여부채의 재측정요소,1338601533
64,장기매도가능금융자산평가손익,-386783289
65,매각예정분류자산평가손익,0
66,지분법평가,0
67,기타자본조정,-85198
68,해외사업환산손익,-16704421645
69,연결당기포괄이익,74895445521
70,지배기업소유지분순이익,74372757145
71,비지배지분순이익,522688376
72,기본주당순이익,871
73,희석주당순이익,871
74,영업활동으로 인한 현금흐름,101351735630
75,영업에서 창출된 현금흐름,159408546556
76,당기순이익,90648134120
77,조정,114557638658
78,순운전자본의 변동,-45797226222
79,이자의 수취,6689174547
80,이자의 지급,2201661323
81,배당금 수취,12343727
82,법인세부담액,62556667877
83,투자활동으로 인한 현금흐름,-34573467760
84,단기금융상품의 순증감,-20607819876
85,기타금융자산의 증가,207172718
86,장기금융상품의 감소,16883083
87,매각예정분류자산의 처분,0
88,장기매도가능금융자산의 처분,0
89,관계기업투자주식의 처분,0
90,유형자산의 처분,11391205599
91,무형자산의 처분,96896819
92,투자부동산의 처분,21846000000
93,국고보조금의 수령,0
94,장기금융상품의 증가,241016792
95,장기매도가능금융자산의 취득,1573574434
96,관계기업투자주식의 취득,1468170000
97,투자부동산의 취득,0
98,유형자산의 취득,23825769705
99,무형자산의 취득,3271206163
100,조건부대가의 지급,-20340639550
101,연결범위 변동으로 인한 현금의 증감,3610915977
102,재무활동으로 인한 현금흐름,-46090793393
103,주식선택권의행사,0
104,장기차입금의 차입,0
105,자기주식의 처분,0
106,단기차입금의 차입,146173648
107,단기차입금의 상환,5850069606
108,배당금의 지급,31180958561
109,예수보증금의 증가,-6346833000
110,자기주식의 취득,0
111,비지배주주지분의 취득,2859105874
112,외화환산으로 인한 현금의 변동,-369288497
113,현금및현금성자산의 순증감,20318185980
114,기초의 현금및현금성자산,352236015152
115,기말의 현금및현금성자산,372554201132
116,기초자본,800339975984
117,기초자본,-278133877909
118,기초자본,23008245000
119,기초자본,14425552998
120,기초자본,937020411775
121,기초자본,104019644120
122,기초자본,785914422986
123,연결순이익,90648134120
124,연결순이익,0
125,연결순이익,0
126,연결순이익,2384968530
127,연결순이익,88263165590
128,연결순이익,0
129,연결순이익,88263165590
130,장기매도가능금융자산평가손익,-386783289
131,장기매도가능금융자산평가손익,-386783289
132,장기매도가능금융자산평가손익,0
133,장기매도가능금융자산평가손익,0
134,장기매도가능금융자산평가손익,0
135,장기매도가능금융자산평가손익,0
136,장기매도가능금융자산평가손익,-386783289
137,매각예정분류자산 처분으로인한 재분류,0
138,매각예정분류자산 처분으로인한 재분류,0
139,매각예정분류자산 처분으로인한 재분류,0
140,매각예정분류자산 처분으로인한 재분류,0
141,매각예정분류자산 처분으로인한 재분류,0
142,매각예정분류자산 처분으로인한 재분류,0
143,매각예정분류자산 처분으로인한 재분류,0
144,매각예정분류자산평가손익,0
145,매각예정분류자산평가손익,0
146,매각예정분류자산평가손익,0
147,매각예정분류자산평가손익,0
148,매각예정분류자산평가손익,0
149,매각예정분류자산평가손익,0
150,매각예정분류자산평가손익,0
151,지분법평가,0
152,지분법평가,0
153,지분법평가,0
154,지분법평가,0
155,지분법평가,0
156,지분법평가,0
157,지분법평가,0
158,기타자본조정,-85198
159,기타자본조정,-85198
160,기타자본조정,0
161,기타자본조정,0
162,기타자본조정,0
163,기타자본조정,0
164,기타자본조정,-85198
165,해외사업환산손익,-16704421645
166,해외사업환산손익,-14842141491
167,해외사업환산손익,0
168,해외사업환산손익,-1862280154
169,해외사업환산손익,0
170,해외사업환산손익,0
171,해외사업환산손익,-14842141491
172,순확정급여부채의 재측정요소,1338601533
173,순확정급여부채의 재측정요소,0
174,순확정급여부채의 재측정요소,0
175,순확정급여부채의 재측정요소,0
176,순확정급여부채의 재측정요소,1338601533
177,순확정급여부채의 재측정요소,0
178,순확정급여부채의 재측정요소,1338601533
179,배당금의 지급,-31151516001
180,배당금의 지급,0
181,배당금의 지급,0
182,배당금의 지급,-767898501
183,배당금의 지급,-30383617500
184,배당금의 지급,0
185,배당금의 지급,-30383617500
186,주식선택권의 행사,0
187,주식선택권의 행사,0
188,주식선택권의 행사,0
189,주식선택권의 행사,0
190,주식선택권의 행사,0
191,주식선택권의 행사,0
192,주식선택권의 행사,0
193,자기주식 취득,0
194,자기주식 취득,0
195,자기주식 취득,0
196,자기주식 취득,0
197,자기주식 취득,0
198,자기주식 취득,0
199,자기주식 취득,0
200,자기주식 처분,0
201,자기주식 처분,0
202,자기주식 처분,0
203,자기주식 처분,0
204,자기주식 처분,0
205,자기주식 처분,0
206,자기주식 처분,0
207,무상증자,0
