,account_nm,thstrm_amount
0,유동자산,562190971637
1,현금및현금성자산,103107070859
2,단기금융상품,15425205260
3,매출채권,257986902215
4,기타채권,19462234828
5,기타금융자산,1910274992
6,재고자산,152424992646
7,기타자산,11874290837
8,비유동자산,390327563836
9,장기금융상품,6226500000
10,기타채권,8699423938
11,기타금융자산,25850962500
12,"관계,공동기업투자",1134592632
13,유형자산,297229856873
14,무형자산,23842713940
15,투자부동산,8715884827
16,이연법인세자산,11265404890
17,기타자산,7362224236
18,자산총계,952518535473
19,유동부채,501884594563
20,매입채무,277170262671
21,기타채무,52202443184
22,단기차입금,140778744473
23,유동성장기부채,14378335787
24,당기법인세부채,1312905108
25,유동충당부채,3008158058
26,기타금융부채,90511181
27,기타부채,12943234101
28,비유동부채,51196675285
29,기타채무,1733323905
30,장기차입금,19236333789
31,사채,8897580777
32,퇴직급여부채,10908768872
33,비유동충당부채,6867445396
34,기타금융부채,63577112
35,기타부채,444861079
36,이연법인세부채,3044784355
37,부채총계,553081269848
38,납입자본,10027215000
39,자본금,10027215000
40,보통주자본금,10027215000
41,기타불입자본,-255557459
42,기타자본구성요소,-5700657299
43,이익잉여금,393038794161
44,비지배지분,2327471222
45,자본총계,399437265625
46,자본과부채총계,952518535473
47,매출액,1154386863205
48,매출원가,1002979621348
49,매출총이익,151407241857
50,판매비와관리비,128038390064
51,영업이익,23368851793
52,기타수익,31613171883
53,기타비용,26456133262
54,관계기업투자손익,-793870713
55,금융수익,5692986981
56,금융비용,13469846372
57,법인세비용차감전순이익,19955160310
58,법인세비용,6133778973
59,당기순이익,13821381337
60,지배기업소유주지분이익,14433373008
61,비지배지분순이익,-611991671
62,기타포괄손익,-1998868169
63,당기손익으로 재분류되지 않는 세후기타포괄손익,1791496800
64,확정급여제도의 보험수리적손익의 세후기타포괄손익,1791496800
65,당기손익으로 재분류되는 세후기타포괄손익,-3790364969
66,외화환산외환차이,-5776988855
67,매도가능금융자산,1986623886
68,총포괄이익,11822513168
69,지배기업소유주지분,12434504839
70,비지배지분,-611991671
71,기본주당이익,736
72,희석주당이익,711
73,영업활동현금흐름,81731491806
74,당기순이익(손실),13821381337
75,조정,56484065400
76,영업활동으로 인한 자산부채의 변동,24923453680
77,이자수취,2233083824
78,이자지급,4139055742
79,배당금수취,195743500
80,법인세지급,11787180193
81,투자활동현금흐름,-70261227306
82,단기금융상품의 처분,47307342024
83,기타금융자산의 처분,2987347408
84,유형자산의 처분,16793790421
85,무형자산의 처분,619589946
86,정부보조금의 증가,1757817245
87,매도가능금융자산의 처분,0
88,단기금융상품의 취득,43582077758
89,기타금융자산의 취득,5448423421
90,종속기업에 대한 투자자산의 취득,0
91,조인트벤처에 대한 투자자산의 취득,1020517821
92,유형자산의 취득,81295999878
93,무형자산의 취득,1429791293
94,기타자산의 증가,6950304179
95,투자부동산의 취득,0
96,재무활동현금흐름,6295554372
97,단기차입금의 차입,263765275855
98,장기차입금의 차입,8053165488
99,기타 지분상품의 발행,0
100,연결자본거래로 인한 현금유입,0
101,주식의 발행,1395200000
102,기타유입,105240406
103,단기차입금의 상환,249049510956
104,유동성장기부채의 상환,8297481248
105,장기차입금의 상환,2338335293
106,자기주식의 취득,2083497660
107,배당금지급,4930697250
108,기타유출,323804970
109,환율변동효과 반영전 현금및현금성자산의 순증가(감소),17765818872
110,현금및현금성자산에 대한 환율변동효과,-531775512
111,현금및현금성자산의순증가(감소),17234043360
112,기초현금및현금성자산,85873027499
113,연결범위 변동으로 인한 현금증가,0
114,기말현금및현금성자산,103107070859
115,기초자본,393248587367
116,기초자본,2097705983
117,기초자본,391150881384
118,기초자본,1376428320
119,기초자본,-1997383539
120,기초자본,381744621603
121,기초자본,10027215000
122,배당금지급,4930697250
123,배당금지급,0
124,배당금지급,4930697250
125,배당금지급,0
126,배당금지급,0
127,배당금지급,4930697250
128,배당금지급,0
129,자기주식 거래에 따른 증가(감소),-2083497660
130,자기주식 거래에 따른 증가(감소),0
131,자기주식 거래에 따른 증가(감소),-2083497660
132,자기주식 거래에 따른 증가(감소),-2083497660
133,자기주식 거래에 따른 증가(감소),0
134,자기주식 거래에 따른 증가(감소),0
135,자기주식 거래에 따른 증가(감소),0
136,매도가능금융자산의 평가에 따른 증가(감소),1986623886
137,매도가능금융자산의 평가에 따른 증가(감소),0
138,매도가능금융자산의 평가에 따른 증가(감소),1986623886
139,매도가능금융자산의 평가에 따른 증가(감소),0
140,매도가능금융자산의 평가에 따른 증가(감소),1986623886
141,매도가능금융자산의 평가에 따른 증가(감소),0
142,매도가능금융자산의 평가에 따른 증가(감소),0
143,보험수리적손익,1791496800
144,보험수리적손익,0
145,보험수리적손익,1791496800
146,보험수리적손익,0
147,보험수리적손익,0
148,보험수리적손익,1791496800
149,보험수리적손익,0
150,해외사업환산손익,-5776988855
151,해외사업환산손익,-87091209
152,해외사업환산손익,-5689897646
153,해외사업환산손익,0
154,해외사업환산손익,-5689897646
155,해외사업환산손익,0
156,해외사업환산손익,0
157,지분의 발행,1380360000
158,지분의 발행,928848119
159,지분의 발행,451511881
160,지분의 발행,451511881
161,지분의 발행,0
162,지분의 발행,0
163,지분의 발행,0
164,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
165,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
166,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
167,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
168,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
169,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
170,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),0
171,전환권대가,0
172,전환권대가,0
173,전환권대가,0
174,전환권대가,0
175,전환권대가,0
176,전환권대가,0
177,전환권대가,0
178,당기순이익,13821381337
179,당기순이익,-611991671
180,당기순이익,14433373008
181,당기순이익,0
182,당기순이익,0
183,당기순이익,14433373008
184,당기순이익,0
185,기말자본,399437265625
186,기말자본,2327471222
187,기말자본,397109794403
188,기말자본,-255557459
189,기말자본,-5700657299
190,기말자본,393038794161
191,기말자본,10027215000
