,account_nm,thstrm_amount
0,비유동자산,3191942969334
1,유형자산,1601876910541
2,무형자산,104929339813
3,투자부동산,341579727245
4,지분법적용 투자지분,56475780608
5,기타비유동금융자산,888699037874
6,매도가능금융자산,385095773871
7,기타금융자산,11297000
8,장기예치금,503591967003
9,장기매출채권 및 기타비유동채권,162625222721
10,장기선급금,86592031600
11,장기선급비용,6090835467
12,장기매출채권 및 기타채권,69942355654
13,이연법인세자산,35756950532
14,유동자산,6620642172136
15,재고자산,2265354526975
16,기타유동금융자산,1658838333465
17,유동매도가능금융자산,1500000000
18,기타금융자산,1657338333465
19,파생상품자산,0
20,선급담배소비세 등,439413273893
21,매출채권 및 기타유동채권,1379934614606
22,매출채권 및 기타채권,1283647499861
23,단기선급금,69364158402
24,단기선급비용,26922956343
25,현금및현금성자산,850786228377
26,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,26315194820
27,자산총계,9812585141470
28,납입자본,954959485000
29,자본금,954959485000
30,기타자본구성요소,4478712725574
31,기타자본잉여금,-3428862637
32,자기주식,328157286128
33,자기주식처분이익,513775933891
34,적립금,4296522940448
35,이익잉여금,1612030607445
36,지배기업의 소유주에게 귀속되는 자본,7045702818019
37,비지배지분,72553715968
38,자본총계,7118256533987
39,비유동부채,540949263023
40,장기차입금,115952585869
41,장기매입채무 및 기타비유동채무,24576844656
42,장기매입채무 및 기타채무,14700338583
43,장기선수금,9876506073
44,순확정급여부채,123610367568
45,비유동충당부채,4703528703
46,이연법인세부채,272105936227
47,유동부채,2153379344460
48,단기차입금,136598681047
49,유동성장기차입금,9596766662
50,매입채무 및 기타유동채무,631782006428
51,매입채무 및 기타채무,622207532550
52,단기선수금,9574473878
53,미지급담배소비세등,1165188826804
54,당기법인세부채,210213063519
55,부채총계,2694328607483
56,자본과부채총계,9812585141470
57,수익(매출액),4503279695367
58,매출원가,1796725139395
59,매출총이익,2706554555972
60,판매비와관리비,1236453370210
61,영업이익(손실),1470101185762
62,기타이익,165270460378
63,기타비용,102159550202
64,금융수익,67072994374
65,금융원가,14521698269
66,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,2067162756
67,법인세비용차감전순이익(손실),1587830554799
68,법인세비용,361800865522
69,당기순이익(손실),1226029689277
70,기타포괄손익,524041612
71,당기손익으로 재분류되지 않는 세후기타포괄손익,-24611262225
72,"법인세비용차감후기타포괄손익, 확정급여제도의 재측정손익",-24611262225
73,당기손익으로 재분류되는 세후기타포괄손익,25135303837
74,매도가능금융자산,11436042361
75,해외사업장환산외환차이,13699261476
76,총포괄손익,1226553730889
77,지배기업의 소유주에게 귀속되는 당기순이익(손실),1231273594980
78,비지배지분에 귀속되는 당기순이익(손실),-5243905703
79,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",1230548310810
80,"포괄손익, 비지배지분",-3994579921
81,기본주당이익(손실),9759
82,영업활동현금흐름,1497761382745
83,영업에서 창출된 현금,1882241825199
84,법인세납부,384480442454
85,투자활동현금흐름,-702563703581
86,이자수취,35885066150
87,장기예치금 투자이익의 수치,0
88,배당금수취,18395416187
