,account_nm,thstrm_amount
0,유동자산,32450042000000.0
1,현금및현금성자산,7086957000000.0
2,매출채권,10398471000000.0
3,미수금,1828941000000.0
4,재고자산,6018855000000.0
5,매도가능금융자산,179448000000.0
6,기타의유동자산,6301260000000.0
7,매각예정자산,636110000000.0
8,비유동자산,70597295000000.0
9,장기매출채권,24188000000.0
10,장기미수금,205584000000.0
11,매도가능금융자산,1527092000000.0
12,관계기업및공동기업투자,11559899000000.0
13,유형자산,41032505000000.0
14,투자부동산,727783000000.0
15,영업권,575233000000.0
16,무형자산,11197157000000.0
17,이연법인세자산,711591000000.0
18,기타의비유동자산,3036263000000.0
19,자산총계,103047337000000.0
20,유동부채,28716610000000.0
21,단기차입금,2614117000000.0
22,매입채무,8897260000000.0
23,미지급금,3241765000000.0
24,충당부채,420803000000.0
25,유동성장기부채,5629577000000.0
26,기타의유동부채,7850072000000.0
27,매각예정부채,63016000000.0
28,비유동부채,32004003000000.0
29,사채및장기차입금,23133506000000.0
30,장기미지급금,4601776000000.0
31,확정급여채무,229378000000.0
32,충당부채,104331000000.0
33,이연법인세부채,3098508000000.0
34,기타의비유동부채,836504000000.0
35,부채총계,60720613000000.0
36,지배기업소유주에 귀속되는 자본,13112357000000.0
37,자본금,15385000000.0
38,기타불입자본,4741139000000.0
39,이익잉여금,8368122000000.0
40,기타자본구성요소,-12289000000.0
41,비지배지분,29214367000000.0
42,자본총계,42326724000000.0
43,자본과부채총계,103047337000000.0
44,매출액,83617494000000.0
45,매출원가,73769694000000.0
46,매출총이익,9847800000000.0
47,판매비와관리비,4549621000000.0
48,영업이익,5298179000000.0
49,금융수익,2562180000000.0
50,금융비용,3378600000000.0
51,지분법손익,719338000000.0
52,기타영업외수익,653619000000.0
53,기타영업외비용,1478897000000.0
54,법인세비용차감전순이익,4375819000000.0
55,법인세비용,-1354029000000.0
56,계속영업연결당기순이익,3021790000000.0
57,중단영업손실,-199306000000.0
58,연결당기순이익,2822484000000.0
59,지배기업소유주지분순이익(손실),765580000000.0
60,비지배지분순이익,2056904000000.0
61,기타포괄손익,44839000000.0
62,당기손익으로 재분류 되지 않는 항목,-21116000000.0
63,확정급여제도의 재측정요소,-21116000000.0
64,후속기간에 당기손익으로 재분류되는 항목,65955000000.0
65,매도가능금융자산평가손익,34703000000.0
66,지분법자본변동,-10985000000.0
67,파생상품평가손익,-37245000000.0
68,해외사업환산손익,73865000000.0
69,표시통화환산손익,5617000000.0
70,총포괄손익,2867323000000.0
71,지배기업소유주지분,766478000000.0
72,비지배지분,2100845000000.0
73,기본주당이익(손실)(단위:원),13676.0
74,기본주당계속영업이익(손실)(단위:원),13859000000.0
75,영업활동으로 인한 현금흐름,9110672000000.0
76,당기순이익,2822484000000.0
77,비현금항목 조정,8145103000000.0
78,운전자본 조정,130353000000.0
79,이자의 수취,198642000000.0
80,이자의 지급,1140901000000.0
81,배당금의 수취,172033000000.0
82,법인세의 납부,1217042000000.0
83,투자활동으로 인한 현금흐름,-7380510000000.0
84,단기금융상품의 순증감,-1428609000000.0
85,단기대여금의 순증감,-25642000000.0
86,매도가능금융자산의 처분,587816000000.0
87,관계기업및공동기업투자의 처분,92180000000.0
88,유형자산의 처분,167465000000.0
89,투자부동산의 처분,258149000000.0
90,무형자산의 처분,35886000000.0
91,매각예정자산의 처분,152323000000.0
92,매도가능금융자산의 취득,108762000000.0
93,관계기업및공동기업투자의 취득,218704000000.0
94,유형자산의 취득,4935373000000.0
95,투자부동산의 취득,2967000000.0
96,무형자산의 취득,914120000000.0
97,연결범위변동으로 인한 현금의 순증감,-1053037000000.0
98,기타투자활동으로 인한 현금유출입액,12885000000.0
99,재무활동으로 인한 현금흐름,-1622374000000.0
100,단기차입금의 순증감,-150109000000.0
101,유동성장기부채의 상환,-6109821000000.0
102,사채및차입금의 증가,5956151000000.0
103,장기미지급금의 증가,653730000000.0
104,연결자본거래로 인한 현금유출입액,113132000000.0
105,사채및차입금의 감소,-627336000000.0
