,account_nm,thstrm_amount
0,유동자산,575584588249.0
1,현금및현금성자산,68398416238.0
2,단기금융예치금,3060000000.0
3,매출채권및기타채권,208187920390.0
4,재고자산,288084257636.0
5,기타유동자산,7853993985.0
6,비유동자산,516701387475.0
7,장기금융예치금,19000000.0
8,매도가능금융자산,14582869995.0
9,장기매출채권 및 기타채권,21445561302.0
10,영업권,60473002223.0
11,유형자산,388027363017.0
12,무형자산,14736929182.0
13,투자부동산,16522314407.0
14,기타비유동자산,894347349.0
15,자산 총계,1092285975724.0
16,유동부채,451722728477.0
17,매입채무및기타채무,289412831621.0
18,단기차입금,33297498944.0
19,유동성사채,109917977974.0
20,유동성장기차입금,1888850000.0
21,미지급법인세,7864614861.0
22,금융보증계약부채,281132054.0
23,기타유동부채,9059823023.0
24,비유동부채,79961509149.0
25,장기매입채무및기타채무,1578301783.0
26,사채,
27,장기차입금,48980400000.0
28,확정급여부채,8984018875.0
29,비유동금융보증계약부채,669246574.0
30,이연법인세부채,19380600125.0
31,기타비유동부채,368941792.0
32,부채 총계,531684237626.0
33,지배기업 소유주지분 합계,560401474211.0
34,자본금,19295620000.0
35,주식발행초과금,100092525059.0
36,기타자본,-4908705529.0
37,적립금,340133909358.0
38,이익잉여금,105788125323.0
39,비지배지분,200263887.0
40,자본 총계,560601738098.0
41,부채 및 자본 총계,1092285975724.0
42,매출액,2241255930227.0
43,매출원가,1655392222124.0
44,매출총이익,585863708103.0
45,판매비와관리비,512560934470.0
46,영업이익,73302773633.0
47,순금융원가,-4933912637.0
48,금융수익,1248682156.0
49,금융원가,-6182594793.0
50,기타수익,7694084977.0
51,기타비용,-7955228912.0
52,법인세비용차감전순이익,68107717061.0
53,법인세비용,14386715372.0
54,당기순이익,53721001689.0
55,법인세비용차감후 기타포괄손익,-5663107358.0
56,후속기간에 당기손익으로 재분류되지 않는 항목,-4589942875.0
57,확정급여부채의 재측정요소,-4589942875.0
58,후속기간에 당기손익으로 재분류되는 항목,-1073164483.0
59,매도가능금융자산평가이익(손실),-14844960.0
60,해외사업장 외화환산차이,-1058319523.0
61,총포괄이익,48057894331.0
62,지배기업 소유주지분,53647078680.0
63,비재배지분,73923009.0
64,지배기업 소유주지분,47977190527.0
65,비지배지분,80703804.0
66,기본주당이익,13901.0
67,당기순이익,53721001959.0
68,법인세비용,14386715372.0
69,이자비용,6182594793.0
70,감가상각비,36216044246.0
71,무형자산상각비,1892917676.0
72,무형자산손상차손,18620000.0
73,유형자산손상차손,57137422.0
74,투자부동산감가상각비,635503726.0
75,퇴직급여원가,12126374160.0
76,재고자산평가손실,-45593676.0
77,매출채권손상차손,135387489.0
78,기타채권손상차손환입,-2713539.0
79,유형자산처분손실,733406272.0
80,무형자산처분손실,
81,매도가능금융자산처분손실,
82,매도가능금융자산처분이익,
83,이자수익,1153732018.0
84,배당금수익,-94950138.0
85,유형자산처분이익,2409861595.0
86,투자부동산처분이익,
87,외화환산손실,1001182799.0
88,외화환산이익,270179638.0
89,종속기업투자 처분이익,
90,종속기업투자 처분손실,
91,매출채권의 감소(증가),-40061975820.0
92,기타채권의 증가(감소),-1915509949.0
93,재고자산의 감소(증가),-30604653899.0
94,기타유동자산의 증가(감소),171366696.0
95,기타비유동자산의 증가(감소),1336369779.0
96,매입채무의 증가(감소),83551097069.0
97,기타채무의 증가(감소),4168478313.0
98,기타유동부채의 증가(감소),3283085225.0
99,기타비유동부채의 증가(감소),112542848.0
100,이연수익의 증가(감소),
101,반품충당부채의 증가(감소),
102,퇴직금의 지급,-1206943454.0
103,사외적립자산의 증가(감소),-15203575715.0
104,영업에서 창출된 현금,126760136403.0
105,법인세납부,22168525342.0
106,영업활동으로 인한 순현금흐름,104591611061.0
107,이자의 수취,893926303.0
108,배당금의 수취,94950138.0
109,보증금의 감소,2616390983.0
110,단기금융예치금의 감소,
111,장기금융예치금의 감소,
112,매도가능금융자산의 처분,
113,출자금의 회수,720000000.0
114,단기대여금의 감소,437740954.0
115,장기대여금의 감소,4033389730.0
116,유형자산의 처분,5393095165.0
117,무형자산의 처분,846083333.0
118,투자부동산의 처분,3801210278.0
119,단기금융예치금의증가,-500000000.0
120,장기금융예치금의증가,
121,단기대여금의 증가,-1392380954.0
122,장기대여금의 증가,-5383333334.0
123,보증금의 증가,2086879407.0
124,매도가능금융자산의 취득,32026838.0
125,유형자산의 취득,39390907610.0
126,무형자산의 취득,4127499868.0
127,투자부동산의 취득,1064835000.0
128,종속기업의 취득,19252863876.0
129,종속기업 지배력상실로 인한 현금유출,
130,투자활동으로 인한 순현금흐름,-54393940003.0
131,이자의 지급,6075473555.0
132,배당금의 지급,9647810000.0
133,단기차입금의 차입,392298543938.0
134,장기차입금의 차입,17000000000.0
135,단기차입금의 상환,407489601620.0
136,유동성장기부채의 상환,-3242800000.0
137,장기차입금의 상환,
138,유동성사채의 상환,
139,기타금융부채의 감소,-3881809074.0
140,기타금융부채의 증가,3682531484.0
141,기타유동부채의 증가,
142,재무활동으로 인한 순현금흐름,-17356418827.0
143,외화표시 현금및현금성자산의 환율변동효과,175039969.0
144,현금및현금성자산의 순증가(감소),33016292200.0
145,기초 현금및현금성자산,35382124038.0
146,기말 현금및현금성자산,68398416238.0
147,기초자본,522191653767.0
148,기초자본,119560083.0
149,기초자본,522072093684.0
150,기초자본,761182624.0
151,기초자본,91503333309.0
152,기초자본,19295620000.0
153,기초자본,310419432692.0
154,기초자본,100092525059.0
155,당기순이익,53721001689.0
156,당기순이익,73923009.0
157,당기순이익,53647078680.0
158,당기순이익,53647078680.0
159,확정급여부채의 재측정요소,-4589942875.0
160,확정급여부채의 재측정요소,-4589942875.0
161,확정급여부채의 재측정요소,-4589942875.0
162,매도가능증권평가이익,
163,매도가능증권평가이익,
164,매도가능증권평가이익,
165,매도가능증권평가손실,-14844960.0
166,매도가능증권평가손실,-14844960.0
167,매도가능증권평가손실,-14844960.0
168,해외사업장 환산차이,-1058319523.0
169,해외사업장 환산차이,6780795.0
170,해외사업장 환산차이,-1065100318.0
171,해외사업장 환산차이,-1065100318.0
172,연차배당,-9647810000.0
173,연차배당,-9647810000.0
174,연차배당,-9647810000.0
175,적립금의 전입,-34047810000.0
176,적립금의 전입,34047810000.0
177,적립금의 이입,4333333334.0
178,적립금의 이입,-4333333334.0
179,연결범위 변동,
180,연결범위 변동,
181,연결범위 변동,
182,연결범위 변동,
183,자본에 직접 반영된 소유주와의 거래 등 소계,-9647810000.0
184,자본에 직접 반영된 소유주와의 거래 등 소계,
185,자본에 직접 반영된 소유주와의 거래 등 소계,-9647810000.0
186,자본에 직접 반영된 소유주와의 거래 등 소계,
187,자본에 직접 반영된 소유주와의 거래 등 소계,-39362286666.0
188,자본에 직접 반영된 소유주와의 거래 등 소계,29714476666.0
189,자본 총계,560601738098.0
190,자본 총계,200263887.0
191,자본 총계,560401474211.0
192,자본 총계,-4908705529.0
193,자본 총계,105788125323.0
194,자본 총계,19295620000.0
195,자본 총계,340133909358.0
196,자본 총계,100092525059.0
