,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
570,051310,포스코플랜텍,1275,-25,-1.9,143870,186594400,1310,1335,1275,230564556150,0.02,180834946,564748.0,0.31,571,2016-01-04
2733,051310,포스코플랜텍,1265,-10,-0.8,235628,296580550,1250,1275,1245,228756206690,0.02,180834946,584438.0,0.32,585,2016-01-05
4875,051310,포스코플랜텍,1270,5,0.4,174481,222405845,1285,1295,1250,229660381420,0.02,180834946,595337.0,0.33,578,2016-01-06
7020,051310,포스코플랜텍,1260,-10,-0.8,158565,201966945,1270,1300,1250,227852031960,0.02,180834946,573967.0,0.32,574,2016-01-07
9181,051310,포스코플랜텍,1230,-30,-2.4,249526,306219625,1225,1250,1220,222426983580,0.02,180834946,573571.0,0.32,586,2016-01-08
11351,051310,포스코플랜텍,1160,-70,-5.7,378051,442845240,1230,1240,1145,209768537360,0.01,180834946,568293.0,0.31,607,2016-01-11
13488,051310,포스코플랜텍,1195,35,3.0,920690,1037011785,1170,1195,1100,216097760470,0.02,180834946,571134.0,0.32,595,2016-01-12
15636,051310,포스코플랜텍,1215,20,1.7,1912034,2420391785,1175,1425,1155,219714459390,0.02,180834946,532782.0,0.29,594,2016-01-13
17790,051310,포스코플랜텍,1200,-15,-1.2,252370,304408885,1200,1225,1175,217001935200,0.02,180834946,535912.0,0.3,599,2016-01-14
19955,051310,포스코플랜텍,1165,-35,-2.9,233165,275997745,1200,1225,1150,210672712090,0.02,180834946,520913.0,0.29,615,2016-01-15
22098,051310,포스코플랜텍,1175,10,0.9,254440,299426325,1170,1215,1160,212481061550,0.02,180834946,518578.0,0.29,609,2016-01-18
24257,051310,포스코플랜텍,1145,-30,-2.6,253307,292390165,1160,1175,1140,207056013170,0.01,180834946,510079.0,0.28,619,2016-01-19
26419,051310,포스코플랜텍,1085,-60,-5.2,519457,568933620,1155,1155,1070,196205916410,0.01,180834946,498457.0,0.28,632,2016-01-20
28586,051310,포스코플랜텍,1025,-60,-5.5,977598,1001453085,1050,1060,1000,185355819650,0.01,180834946,604284.0,0.33,650,2016-01-21
30740,051310,포스코플랜텍,1030,5,0.5,772428,801140365,1030,1085,1015,186259994380,0.01,180834946,617580.0,0.34,657,2016-01-22
32892,051310,포스코플랜텍,1035,5,0.5,586076,607160865,1030,1050,1020,187164169110,0.01,180834946,701703.0,0.39,661,2016-01-25
35052,051310,포스코플랜텍,1005,-30,-2.9,493340,503158485,1020,1045,1005,181739120730,0.01,180834946,743550.0,0.41,674,2016-01-26
37205,051310,포스코플랜텍,1000,-5,-0.5,815760,828696955,1005,1040,1000,180834946000,0.01,180834946,816688.0,0.45,679,2016-01-27
39375,051310,포스코플랜텍,972,-28,-2.8,2085381,2002122082,990,990,941,175771567512,0.01,180834946,901375.0,0.5,700,2016-01-28
41529,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,704,2016-01-29
43678,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,703,2016-02-01
45820,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,695,2016-02-02
47965,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,689,2016-02-03
50125,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,697,2016-02-04
52281,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,700,2016-02-05
54410,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,675,2016-02-11
56539,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,650,2016-02-12
58699,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,656,2016-02-15
60868,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,670,2016-02-16
63022,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,669,2016-02-17
65192,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,684,2016-02-18
67350,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,687,2016-02-19
69506,051310,포스코플랜텍,972,0,0.0,0,0,0,0,0,175771567512,0.01,180834946,903375.0,0.5,688,2016-02-22
