,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
20,051900,LG생활건강,817000,-40000,-4.7,39687,32603884000,845000,848000,813000,12760066949000,0.84,15618197,7079349.0,45.33,21,2017-01-02
2267,051900,LG생활건강,836000,19000,2.3,32460,27159712000,822000,852000,818000,13056812692000,0.86,15618197,7093838.0,45.42,21,2017-01-03
4513,051900,LG생활건강,851000,15000,1.8,21261,17966974000,836000,852000,829000,13291085647000,0.87,15618197,7102113.0,45.47,20,2017-01-04
6760,051900,LG생활건강,838000,-13000,-1.5,39979,33440953000,843000,852000,829000,13088049086000,0.86,15618197,7091441.0,45.4,20,2017-01-05
9007,051900,LG생활건강,850000,12000,1.4,23018,19557875000,842000,855000,833000,13275467450000,0.87,15618197,7106312.0,45.5,20,2017-01-06
11254,051900,LG생활건강,850000,0,0.0,33432,28204073500,839000,851000,835000,13275467450000,0.87,15618197,7114692.0,45.55,20,2017-01-09
13501,051900,LG생활건강,848000,-2000,-0.2,25912,21901934842,850000,855000,840000,13244231056000,0.87,15618197,7117678.0,45.57,20,2017-01-10
15749,051900,LG생활건강,840000,-8000,-0.9,37469,31654682709,850000,853000,840000,13119285480000,0.85,15618197,7113716.0,45.55,21,2017-01-11
17995,051900,LG생활건강,845000,5000,0.6,39278,33072284000,843000,849000,837000,13197376465000,0.85,15618197,7109775.0,45.52,21,2017-01-12
20240,051900,LG생활건강,854000,9000,1.1,66263,56596886000,845000,862000,831000,13337940238000,0.86,15618197,7120566.0,45.59,20,2017-01-13
22487,051900,LG생활건강,873000,19000,2.2,32691,28374310000,860000,879000,849000,13634685981000,0.89,15618197,7130447.0,45.65,20,2017-01-16
24735,051900,LG생활건강,873000,0,0.0,26100,22744532163,873000,885000,858000,13634685981000,0.88,15618197,7122394.0,45.6,20,2017-01-17
26981,051900,LG생활건강,857000,-16000,-1.8,21493,18527499000,872000,875000,854000,13384794829000,0.87,15618197,7115217.0,45.56,20,2017-01-18
29227,051900,LG생활건강,876000,19000,2.2,23800,20862618000,860000,884000,857000,13681540572000,0.89,15618197,7123648.0,45.61,20,2017-01-19
31472,051900,LG생활건강,875000,-1000,-0.1,15177,13322099000,877000,886000,873000,13665922375000,0.89,15618197,7121374.0,45.6,19,2017-01-20
33718,051900,LG생활건강,846000,-29000,-3.3,45590,38902087485,865000,875000,846000,13212994662000,0.86,15618197,7113868.0,45.55,21,2017-01-23
35961,051900,LG생활건강,863000,17000,2.0,45817,39479026187,851000,868000,851000,13478504011000,0.88,15618197,7111467.0,45.53,20,2017-01-24
38206,051900,LG생활건강,874000,11000,1.3,50030,43209142500,865000,875000,843000,13650304178000,0.89,15618197,7121926.0,45.6,20,2017-01-25
40453,051900,LG생활건강,859000,-15000,-1.7,30601,26365738000,866000,880000,855000,13416031223000,0.86,15618197,7120138.0,45.59,21,2017-01-26
