,account_nm,thstrm_amount
0,유동자산,561598431835.0
1,현금및현금성자산,191036026516.0
2,유동금융자산,10022272963.0
3,매출채권 및 기타채권,180120768795.0
4,미청구공사,156359893664.0
5,재고자산,1660300624.0
6,당기법인세자산,9421289296.0
7,유동비금융자산,12977879977.0
8,매각예정자산,0.0
9,비유동자산,530870293602.0
10,비유동금융자산,43680220082.0
11,매출채권 및 기타채권,50050038194.0
12,유형자산,395335438903.0
13,무형자산,10289016728.0
14,공동기업투자,562765778.0
15,이연법인세자산,26843767249.0
16,비유동비금융자산,4109046668.0
17,자산총계,1092468725437.0
18,유동부채,265650755312.0
19,매입채무 및 기타유동채무,63772433225.0
20,당기법인세부채,15344437565.0
21,유동비금융부채,51869205141.0
22,유동충당부채,134664679381.0
23,비유동부채,37051682490.0
24,매입채무 및 기타비유동채무,350807544.0
25,종업원급여채무,36374898443.0
26,이연법인세부채,67600094.0
27,비유동충당부채,258376409.0
28,부채총계,302702437802.0
29,지배기업의 소유주에게 귀속되는 자본,789766076720.0
30,자본금,9000000000.0
31,이익잉여금(결손금),780815611884.0
32,기타자본구성요소,-49535164.0
33,비지배지분,210915.0
34,자본총계,789766287635.0
35,자본과부채총계,1092468725437.0
36,매출액,1223106398233.0
37,매출원가,1030418509534.0
38,매출총이익,192687888699.0
39,판매비와관리비,86926262992.0
40,영업이익(손실),105761625707.0
41,영업외 수익,13637183802.0
42,금융수익,6902268441.0
43,기타영업외수익,6734915361.0
44,영업외 비용,6581861923.0
45,금융비용,694655473.0
46,기타영업외비용,5887206450.0
47,공동기업관련손익,48864020.0
48,공동기업투자지분평가이익(손실),48864020.0
49,법인세비용차감전순이익(손실),112865811606.0
50,법인세비용,24583235104.0
51,당기순이익(손실),88282576502.0
52,기타포괄손익,-8729523397.0
53,후속적으로 당기손익으로 재분류되지 않는 항목,-8646210508.0
54,순확정급여부채의 재측정요소,-8638694262.0
55,지분법이익잉여금변동,-7516246.0
56,후속적으로 당기손익으로 재분류되는 항목,-83312889.0
57,해외사업환산손익,-90829135.0
58,지분법자본변동,7516246.0
59,총포괄손익,79553053105.0
60,지배기업의 소유주에게 귀속되는 당기순이익,88282512112.0
61,비지배지분에 귀속되는 당기순이익,64390.0
62,지배기업의 소유주에게 귀속되는 포괄손익,79552988715.0
63,비지배지분에 귀속되는 포괄손익,64390.0
64,기본주당이익(손실),1962.0
65,희석주당이익(손실),1962.0
66,영업활동현금흐름,123372798907.0
67,영업활동으로 발생한 현금,166661111143.0
68,당기순이익,88282576502.0
69,당기순이익 조정을 위한 가감,238047134900.0
70,법인세비용,24583235104.0
71,이자수익,-6333037455.0
72,매도가능금융자산처분손실,0.0
73,매도가능금융자산손상차손,501951696.0
74,순외화환산이익,-527238265.0
75,매각예정자산처분이익,0.0
76,유형자산처분이익,-1078954699.0
77,무형자산처분이익,0.0
78,퇴직급여,42028392173.0
79,감가상각비,33438567064.0
80,투자부동산감가상각비,0.0
81,무형자산상각비,2405466983.0
82,무형자산손상차손환입,-2500000.0
83,대손상각비(대손충당금환입),6349850535.0
84,소송충당부채 설정액,30514186042.0
85,기타충당부채 설정액,2421661301.0
86,종업원급여충당부채 설정액,104376300112.0
87,수탁과제연구수익,-581881671.0
88,공동기업투자지분 평가이익,-48864020.0
89,운전자본 변동,-159668600259.0
90,매출채권의 증가(감소),-7308565585.0
91,미청구공사의 증가,-24529736612.0
92,미수금의 감소(증가),-104502125.0
93,선급금의 감소(증가),1238931990.0
94,선급비용의 감소(증가),-1212180199.0
95,재고자산의 감소,117672989.0
96,기타유동비금융자산의 감소,3140588.0
97,매입채무의 증가(감소),775076358.0
98,미지급금의 증가(감소),456641212.0
99,미지급비용의 증가(감소),7826113470.0
100,임대보증금의 증가,0.0
101,기타채무의 감소,-12218739.0
102,선수금의 증가(감소),6121254176.0
103,예수금의 증가,2157502731.0
104,기타유동비금융부채의 증가(감소),5575914647.0
105,종업원급여충당부채의 사용,-90057901910.0
106,퇴직급여채무의 감소,-13597395000.0
107,사외적립자산의 증가(감소),-47118348250.0
108,이자수취,3999167326.0
109,법인세의 납부,47287479562.0
110,투자활동현금흐름,79814228865.0
111,장·단기금융상품의 증가,120006429600.0
112,장·단기금융상품의 감소,270000000000.0
113,매도가능금융자산의 취득,199999500.0
114,매도가능금융자산의 처분,0.0
115,만기보유금융자산의 증가,21765000.0
116,만기보유금융자산의 감소,142825000.0
117,대여금의 증가,18927462944.0
118,대여금의 감소,17261601381.0
119,보증금의 증가,30996162231.0
120,보증금의 감소,21413908074.0
121,정부보조금의 상환,0.0
122,정부보조금의 수령,673583648.0
123,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단의 처분,0.0
124,유형자산의 취득,58351522428.0
125,유형자산의 처분,2726394762.0
126,무형자산의 취득,3900742297.0
127,무형자산의 처분,0.0
128,재무활동현금흐름,-76050000000.0
129,배당금지급,76050000000.0
130,환율변동효과 반영전 현금및현금성자산의 순증감,127137027772.0
131,외화환산으로 인한 변동,80066999.0
132,현금및현금성자산의순증감,127217094771.0
133,기초현금및현금성자산,63818931745.0
134,기말현금및현금성자산,191036026516.0
135,기초자본,786263234530.0
136,기초자본,146525.0
137,기초자본,786263088005.0
138,기초자본,33777725.0
139,기초자본,777229310280.0
140,기초자본,9000000000.0
141,당기순이익(손실),88282576502.0
142,당기순이익(손실),64390.0
143,당기순이익(손실),88282512112.0
144,당기순이익(손실),0.0
145,당기순이익(손실),88282512112.0
146,순확정급여부채의 재측정요소,-8638694262.0
147,순확정급여부채의 재측정요소,0.0
148,순확정급여부채의 재측정요소,-8638694262.0
149,순확정급여부채의 재측정요소,0.0
