,account_nm,thstrm_amount
0,유동자산,716324277755
1,현금및현금성자산,195602146367
2,단기금융자산,302280986
3,매출채권 및 기타채권,261529065621
4,재고자산,142148536363
5,파생상품자산,0
6,기타유동자산,116742248418
7,매각예정자산,0
8,비유동자산,531831352541
9,장기금융자산,1649457100
10,장기금융상품,398165440
11,장기매출채권 및 기타채권,10497516838
12,관계기업투자,4422391883
13,유형자산,495387638415
14,무형자산,16065499674
15,투자부동산,2006335163
16,기타비유동자산,1404348028
17,자산총계,1248155630296
18,유동부채,368581136428
19,매입채무 및 기타채무,227302091719
20,단기차입금,290306800
21,유동성장기부채,0
22,미지급법인세,38800654189
23,파생상품부채,0
24,기타유동부채,78018083720
25,유동충당부채,24170000000
26,비유동부채,90796587068
27,장기매입채무 및 기타채무,1382538687
28,확정급여부채,25259451445
29,이연법인세부채,52691708355
30,비유동충당부채,11462888581
31,부채총계,459377723496
32,지배주주지분,680590454415
33,납입자본,73115680000
34,자본금,73115680000
35,기타자본구성요소,76148691882
36,자본잉여금,53491945735
37,기타자본항목,22541683717
38,기타포괄손익누계액,115062430
39,이익잉여금,531326082533
40,비지배지분,108187452385
41,자본총계,788777906800
42,자본과부채총계,1248155630296
43,매출액,1153810828300
44,매출원가,978364573805
45,매출총이익,175446254495
46,판매비와관리비,103798463299
47,영업이익,71647791196
48,기타수익,4193578307
49,기타비용,26807216999
50,금융수익,42021028129
51,금융원가,30504064716
52,관계기업에대한지분법손익,-254089167
53,법인세차감전순이익,60297026750
54,법인세비용,25952781216
55,계속영업이익,34344245534
56,중단영업이익(손실),0
57,당기순이익(손실),34344245534
58,소유주지분,33562854887
59,비지배지분,781390647
60,기타포괄손익,2521253551
61,후속기간에 당기손익으로 재분류되지 않는 항목,3174778603
62,확정급여제도의 재측정손익,3174778603
63,후속기간에 당기손익으로 재분류되는 항목,-782084864
64,해외사업환산손익,-782084864
65,관계기업의기타포괄손익에대한지분증감,128559812
66,총포괄손익,36865499085
67,소유주지분,35951255036
68,비지배지분,914244049
69,계속영업이익,2316
70,중단영업이익(손실),0
71,계속영업이익,2283
72,중단영업이익(손실),0
73,영업활동현금흐름,106102872725
74,영업에서창출된현금,146287189368
75,이자수취,1439605975
76,이자지급,10720272
77,배당금수취,2250000
78,법인세납부(환급),41615452346
79,중단영업 영업활동으로 인한 순현금흐름,0
80,투자활동현금흐름,-35368911647
81,투자활동으로인한현금유입액,17958254286
82,금융상품의 감소,9176845
83,대여금의 감소,397244350
84,보증금의 감소,2096575625
85,유형자산의 처분,12044037397
86,매각예정자산의처분,3100000000
87,매도가능금융자산의 처분,32920069
88,만기보유금융자산의 처분,0
89,기타의투자자산의 처분,278300000
90,투자활동으로로인한현금유출액,53327165933
91,금융상품의 증가,79647045
92,대여금의 증가,1510810000
93,보증금의 증가,6595647058
94,유형자산의 취득,39512122472
95,무형자산의 취득,5410429358
96,매도가능금융자산의 취득,218510000
97,관계기업투자의 취득,0
98,중단영업 투자활동으로 인한 순현금흐름,0
99,재무활동현금흐름,-17084506777
100,재무활동으로인한현금유입액,2097030823
101,차입금의 증가,379780223
102,자기주식의 처분,1717250600
103,임대보증금의 증가,0
104,종속기업투자의 처분,0
105,재무활동으로인한현금유출액,19181537600
106,종속기업투자의취득,0
107,차입금의 상환,421368520
108,주식선택권의 감소,2087573600
109,사채의 상환,0
110,배당금의 지급,16222570480
111,임대보증금의 감소,450025000
112,중단영업 재무활동으로 인한 순현금흐름,0
113,환율변동효과 반영전 현금및현금성자산의 순증가(감소),53649454301
114,기초의현금및현금성자산,141546159556
115,현금및현금성자산에 대한 환율변동효과,406532510
116,기말의현금및현금성자산,195602146367
117,기초자본,768880016786
118,기초자본,108940892336
119,기초자본,659939124450
120,기초자본,24675766766
121,기초자본,833053402
122,기초자본,509179010025
123,기초자본,73115680000
124,기초자본,52135614257
125,종속기업의취득,0
126,종속기업의취득,0
127,종속기업의취득,0
128,종속기업의취득,0
129,종속기업의취득,0
130,종속기업의취득,0
131,종속기업의취득,0
132,종속기업의취득,0
133,종속기업의처분,0
134,종속기업의처분,0
135,종속기업의처분,0
136,종속기업의처분,0
137,종속기업의처분,0
138,종속기업의처분,0
139,종속기업의처분,0
140,종속기업의처분,0
141,당기순이익(손실),34344245534
142,당기순이익(손실),781390647
143,당기순이익(손실),33562854887
144,당기순이익(손실),0
145,당기순이익(손실),0
146,당기순이익(손실),33562854887
147,당기순이익(손실),0
148,당기순이익(손실),0
149,매도가능금융자산처분으로 인한 평가이익감소,0
150,매도가능금융자산처분으로 인한 평가이익감소,0
151,매도가능금융자산처분으로 인한 평가이익감소,0
152,매도가능금융자산처분으로 인한 평가이익감소,0
153,매도가능금융자산처분으로 인한 평가이익감소,0
154,매도가능금융자산처분으로 인한 평가이익감소,0
155,매도가능금융자산처분으로 인한 평가이익감소,0
156,매도가능금융자산처분으로 인한 평가이익감소,0
157,관계기업의기타포괄손익에대한지분증감,0
158,관계기업의기타포괄손익에대한지분증감,0
159,관계기업의기타포괄손익에대한지분증감,0
160,관계기업의기타포괄손익에대한지분증감,0
161,관계기업의기타포괄손익에대한지분증감,0
162,관계기업의기타포괄손익에대한지분증감,0
163,관계기업의기타포괄손익에대한지분증감,0
164,관계기업의기타포괄손익에대한지분증감,0
165,지분법자본변동,128559812
166,지분법자본변동,64465920
167,지분법자본변동,64093892
168,지분법자본변동,0
169,지분법자본변동,64093892
170,지분법자본변동,0
171,지분법자본변동,0
172,지분법자본변동,0
173,해외사업환산손익,-782084864
174,해외사업환산손익,0
175,해외사업환산손익,-782084864
176,해외사업환산손익,0
177,해외사업환산손익,-782084864
178,해외사업환산손익,0
179,해외사업환산손익,0
180,해외사업환산손익,0
181,확정급여제도의 재측정요소,3174778603
182,확정급여제도의 재측정요소,68387482
183,확정급여제도의 재측정요소,3106391121
184,확정급여제도의 재측정요소,0
185,확정급여제도의 재측정요소,0
186,확정급여제도의 재측정요소,3106391121
187,확정급여제도의 재측정요소,0
188,확정급여제도의 재측정요소,0
189,자기주식의처분,-46509449
190,자기주식의처분,0
191,자기주식의처분,-46509449
192,자기주식의처분,-46509449
193,자기주식의처분,0
194,자기주식의처분,0
195,자기주식의처분,0
196,자기주식의처분,0
197,자기주식의취득,0
198,자기주식의취득,0
199,자기주식의취득,0
200,자기주식의취득,0
201,자기주식의취득,0
202,자기주식의취득,0
203,자기주식의취득,0
204,자기주식의취득,0
205,자기주식처분이익,1356331478
206,자기주식처분이익,0
207,자기주식처분이익,1356331478
208,자기주식처분이익,0
209,자기주식처분이익,0
210,자기주식처분이익,0
211,자기주식처분이익,0
212,자기주식처분이익,1356331478
213,연차배당,-16189857500
214,연차배당,-1667684000
215,연차배당,-14522173500
216,연차배당,0
217,연차배당,0
218,연차배당,-14522173500
219,연차배당,0
220,연차배당,0
221,종속기업배당,0
222,종속기업배당,0
223,종속기업배당,0
224,종속기업배당,0
225,종속기업배당,0
226,종속기업배당,0
227,종속기업배당,0
228,종속기업배당,0
229,주식선택권,-2087573600
230,주식선택권,0
231,주식선택권,-2087573600
232,주식선택권,-2087573600
233,주식선택권,0
234,주식선택권,0
235,주식선택권,0
236,주식선택권,0
237,지분법이익잉여금변동,0
238,지분법이익잉여금변동,0
239,지분법이익잉여금변동,0
240,지분법이익잉여금변동,0
241,지분법이익잉여금변동,0
242,지분법이익잉여금변동,0
243,지분법이익잉여금변동,0
244,지분법이익잉여금변동,0
245,종속기업지분변동으로인한변동,0
246,종속기업지분변동으로인한변동,0
247,종속기업지분변동으로인한변동,0
248,종속기업지분변동으로인한변동,0
249,종속기업지분변동으로인한변동,0
250,종속기업지분변동으로인한변동,0
251,종속기업지분변동으로인한변동,0
252,종속기업지분변동으로인한변동,0
253,연결범위의변동,0
254,연결범위의변동,0
255,연결범위의변동,0
256,연결범위의변동,0
257,연결범위의변동,0
258,연결범위의변동,0
259,연결범위의변동,0
260,연결범위의변동,0
261,기말자본,788777906800
262,기말자본,108187452385
263,기말자본,680590454415
264,기말자본,22541683717
265,기말자본,115062430
266,기말자본,531326082533
267,기말자본,73115680000
268,기말자본,53491945735
