,account_nm,thstrm_amount
0,유동자산,2671936983654.0
1,현금및현금성자산,311172521345.0
2,단기금융상품,93525398830.0
3,매출채권,1387256152892.0
4,미수금,56346050294.0
5,미수수익,16803308819.0
6,선급금,170018823595.0
7,선급비용,72423070931.0
8,확정계약자산,160176100.0
9,기타유동자산,39632943283.0
10,재고자산,517303438401.0
11,매각예정비유동자산,7295099164.0
12,비유동자산,2505329529286.0
13,투자자산,232452063453.0
14,지분법적용 투자지분,431823604169.0
15,유형자산,551670385318.0
16,투자부동산,33257613805.0
17,무형자산,945267213238.0
18,이연법인세자산,228607024072.0
19,기타비유동자산,82251625231.0
20,자산총계,5177266512940.0
21,유동부채,2098319718896.0
22,단기차입금,197215299655.0
23,매입채무,1383402981331.0
24,미지급금,144515461375.0
25,선수금,125454304881.0
26,예수금,36463428751.0
27,당기법인세부채,38355504531.0
28,미지급비용,63370444328.0
29,유동성장기부채,34138650416.0
30,선수수익,59250305506.0
31,확정계약부채,7993763345.0
32,예수보증금,8159574777.0
33,비유동부채,1433588696393.0
34,사채,428931964226.0
35,장기차입금,867726820718.0
36,퇴직급여채무,18502135825.0
37,이연법인세부채,98805797562.0
38,충당부채,13729580064.0
39,예수보증금,5892397998.0
40,부채총계,3531908415289.0
41,자본금,193800000000.0
42,자본잉여금,100849152498.0
43,기타자본,-1578948670.0
44,기타포괄손익누계액,45391792378.0
45,이익잉여금,910439570443.0
46,지배기업의 소유주에게 귀속되는 자본,1248901566649.0
47,비지배지분,396456531002.0
48,자본총계,1645358097651.0
49,부채와자본총계,5177266512940.0
50,수익(매출액),11966717411723.0
51,매출원가,11220847479788.0
52,매출총이익,745869931935.0
53,판매비와관리비,571796193287.0
54,영업이익(손실),174073738648.0
55,영업외손익,-40893941045.0
56,금융수익,292044268801.0
57,금융원가,-322667823962.0
58,지분법주식관련 손익,2967887463.0
59,기타영업외손익,-13238273347.0
60,법인세비용차감전순이익,133179797603.0
61,법인세비용,48429121810.0
62,당기순이익,84750675793.0
63,지배기업소유주지분,58146087724.0
64,비지배지분,26604588069.0
65,기본 및 희석 주당이익,1504.0
66,희석주당이익,1504.0
67,당기순이익,84750675793.0
68,기타포괄손익,-2270898354.0
69,후속적으로 당기손익으로 재분류될 수 있는 항목,-4702417245.0
70,매도가능금융자산의 세후기타포괄손익,-14048671474.0
71,현금흐름위험회피파생상품평가손익,1124589850.0
72,지분법자본변동,-2613952394.0
73,부의지분법자본변동,-5901526002.0
74,해외사업환산손익,16737142775.0
75,당기손익으로 재분류되지 않는 세후기타포괄손익,2431518891.0
76,"법인세비용차감후기타포괄손익, 확정급여제도의 재측정손익",2431518891.0
77,총포괄이익,82479777439.0
78,지배기업소유주지분,58164795788.0
79,비지배지분,24314981651.0
80,영업활동으로인한현금흐름,230322360953.0
81,당기순이익(손실),84750675793.0
82,비현금항목의 조정,156443326956.0
83,운전자본의 조정,81118434712.0
84,이자의 수취,16149834908.0
