,account_nm,thstrm_amount
0,유동자산,1557644969248.0
1,현금및현금성자산,163517696507.0
2,금융기관예치금,137675869047.0
3,매도가능금융자산,20725000.0
4,매출채권,624899422262.0
5,단기대여금및기타수취채권,20801745396.0
6,재고자산,549115183821.0
7,기타유동자산,61614327215.0
8,비유동자산,3564016385257.0
9,금융기관예치금,1232038084.0
10,매도가능금융자산,92847309321.0
11,장기대여금및기타수취채권,384726692.0
12,유형자산,2951767538093.0
13,무형자산,28709521186.0
14,투자부동산,249144384645.0
15,이연법인세자산,186827218460.0
16,기타자산,53103648776.0
17,자산총계,5121661354505.0
18,유동부채,2334570027154.0
19,매입채무,361105860553.0
20,단기차입금,836295206307.0
21,유동성장기차입금,750079160558.0
22,기타지급채무,322605572273.0
23,기타유동부채,34692538047.0
24,당기법인세부채,28982508105.0
25,파생상품부채,809181311.0
26,비유동부채,1573007777003.0
27,장기차입금,1146769963481.0
28,퇴직급여부채,144201309728.0
29,장기종업원급여부채,25392936803.0
30,판매보증충당부채,26014692631.0
31,기타비유동부채,109927483422.0
32,이연법인세부채,14449875000.0
33,파생상품부채,
34,소송충당부채,106251515938.0
35,부채총계,3907577804157.0
36,지배기업의 소유주지분,1102151940557.0
37,자본금,789965790000.0
38,자본잉여금,246692976952.0
39,기타자본,-19538444447.0
40,기타포괄손익누계액,31093435481.0
41,이익잉여금,53938182571.0
42,비지배지분,111931609791.0
43,자본총계,1214083550348.0
44,부채와자본총계,5121661354505.0
45,매출액,2947227755079.0
46,매출원가,2201751973960.0
47,매출총이익,745475781119.0
48,판매비와관리비,625425242907.0
49,영업이익,120050538212.0
50,영업외손익,-157821659712.0
51,기타수익,110283804760.0
52,기타비용,-131417622386.0
53,금융수익,15721702320.0
54,금융원가,-152409544406.0
55,법인세비용차감전순이익(손실),-37771121500.0
56,법인세수익(비용),123913842.0
57,당기순이익(손실),-37895035342.0
58,법인세효과차감후 기타포괄손익,-4906476529.0
59,매도가능금융자산평가이익(손실),-94407237.0
60,해외사업장 외화환산차이,-10820391477.0
61,파생상품평가손실,832854317.0
62,확정급여제도의 재측정요소,5175467868.0
63,총포괄이익(손실),-42801511871.0
64,지배기업의 소유주지분,-36049356229.0
65,비지배지분,-1845679113.0
66,지배기업의 소유주지분,-40713729743.0
67,비지배지분,-2087782128.0
68,기본주당이익(손실),-228.0
69,희석주당이익(손실),-228.0
70,영업활동으로 인한 현금흐름,188347713416.0
71,영업으로부터 창출된 현금,281642226948.0
72,당기순손익,-37895035342.0
73,조정,465691012263.0
74,영업활동으로 인한 자산ㆍ부채의 변동,-146153749973.0
75,이자의 수취,3279850372.0
76,이자의 지급,109864430372.0
77,배당금의 지급,3911275901.0
78,법인세의 납부,-17201342369.0
79,투자활동으로 인한 현금흐름,-264899232632.0
80,투자활동으로 인한 현금유입액,354196997698.0
81,금융기관예치금의 감소,163420605040.0
82,장ㆍ단기대여금및기타수취채권의 감소,206720925.0
83,매도가능금융자산의 감소,682935400.0
84,기타투자자산의 감소,473465666.0
85,유형자산의 처분,184977172038.0
86,투자부동산의 처분,
87,무형자산의 처분,2202348323.0
88,기타비유동자산의 감소,2233750306.0
89,투자활동으로 인한 현금유출액,619096230330.0
90,금융기관예치금의 증가,157340804274.0
91,단기대여금및기타수취채권의 증가,613580373.0
92,유형자산의 취득,365465455589.0
93,무형자산의 취득,984780006.0
94,기타비유동자산의 증가,94650552732.0
95,기타투자자산의 증가,41057356.0
96,재무활동으로 인한 현금흐름,5608867246.0
97,재무활동으로 인한 현금유입액,915429356444.0
98,단기차입금의 증가,612543879842.0
99,장기차입금의 증가,135375632552.0
100,국고보조금의 증가,77755744050.0
101,사채의 발행,89754100000.0
102,재무활동으로 인한 현금유출액,909820489198.0
103,단기차입금의 상환,837723087508.0
104,유동성장기차입금의 상환,64736517574.0
105,장기차입금의 조기상환,7360884116.0
106,기타,
107,환율차이에 의한 변동,-8521561586.0
108,현금의 증가(감소),-79464213556.0
109,기초의 현금,243880729397.0
110,현금및현금성자산의 환율변동효과,-898819334.0
111,기말의 현금,163517696507.0
112,기초자본,1214083550348.0
113,기초자본,117930667820.0
114,기초자본,1142865670300.0
115,기초자본,-19538444447.0
116,기초자본,40933276863.0
117,기초자본,84812070932.0
118,기초자본,789965790000.0
119,기초자본,246692976952.0
120,당기순손익,-37895035342.0
121,당기순손익,-1845679113.0
122,당기순손익,-36049356229.0
123,당기순손익,-36049356229.0
124,매도가능금융자산평가손익,-94407237.0
125,매도가능금융자산평가손익,-94407237.0
126,매도가능금융자산평가손익,-94407237.0
127,확정급여제도의 재측정요소,5175467868.0
128,확정급여제도의 재측정요소,5175467868.0
129,확정급여제도의 재측정요소,5175467868.0
130,해외사업장환산차이,-10820391477.0
131,해외사업장환산차이,-1074957332.0
132,해외사업장환산차이,-9745434145.0
133,해외사업장환산차이,-9745434145.0
134,파생상품평가손실,832854317.0
135,파생상품평가손실,832854317.0
136,총포괄손익,-42801511871.0
137,총포괄손익,-2087782128.0
138,총포괄손익,-40713729743.0
139,총포괄손익,-9839841382.0
140,총포괄손익,-30873888361.0
141,전환사채 전환,
142,전환사채 전환,
143,전환사채 전환,
144,전환사채 전환,
145,출자전환,
146,출자전환,
147,출자전환,
148,출자전환,
149,종속기업 배당,-3911275901.0
150,종속기업 배당,-3911275901.0
151,기말자본,1214083550348.0
152,기말자본,111931609791.0
153,기말자본,1102151940557.0
154,기말자본,-19538444447.0
155,기말자본,31093435481.0
156,기말자본,53938182571.0
157,기말자본,789965790000.0
158,기말자본,246692976952.0
