,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
185,073240,금호타이어,6540,-190,-2.8,603554,3961683140,6700,6700,6490,1033275253320,0.07,157993158,3590851.0,2.27,186,2016-01-04
2339,073240,금호타이어,6360,-180,-2.8,775763,4975124930,6450,6570,6320,1004836484880,0.07,157993158,3416648.0,2.16,191,2016-01-05
4492,073240,금호타이어,6190,-170,-2.7,568467,3541463320,6310,6350,6140,977977648020,0.07,157993158,3439783.0,2.18,195,2016-01-06
6637,073240,금호타이어,6220,30,0.5,615632,3789425370,6080,6260,6080,982717442760,0.07,157993158,3477144.0,2.2,191,2016-01-07
8795,073240,금호타이어,6090,-130,-2.1,577696,3522384770,6100,6200,6030,962178332220,0.07,157993158,3321703.0,2.1,200,2016-01-08
10942,073240,금호타이어,6130,40,0.7,628297,3889279220,6030,6490,6010,968498058540,0.07,157993158,3326933.0,2.11,198,2016-01-11
13086,073240,금호타이어,6160,30,0.5,354804,2179535730,6150,6220,6070,973237853280,0.07,157993158,3207999.0,2.03,193,2016-01-12
15236,073240,금호타이어,6170,10,0.2,383493,2359960560,6200,6200,6120,974817784860,0.07,157993158,3224801.0,2.04,194,2016-01-13
17387,073240,금호타이어,6070,-100,-1.6,371718,2254187040,6120,6140,6020,959018469060,0.07,157993158,3176517.0,2.01,196,2016-01-14
19526,073240,금호타이어,6560,490,8.1,1349125,8656994430,6230,6570,6160,1036435116480,0.07,157993158,3128948.0,1.98,186,2016-01-15
21667,073240,금호타이어,6750,190,2.9,1126977,7623803810,6580,6960,6500,1066453816500,0.08,157993158,2975041.0,1.88,178,2016-01-18
23817,073240,금호타이어,6710,-40,-0.6,598672,3977206690,6790,6800,6520,1060134090180,0.08,157993158,2877217.0,1.82,179,2016-01-19
25971,073240,금호타이어,6400,-310,-4.6,625927,4025856220,6650,6650,6280,1011156211200,0.07,157993158,2708751.0,1.71,184,2016-01-20
28123,073240,금호타이어,6350,-50,-0.8,443945,2840215770,6250,6610,6250,1003256553300,0.07,157993158,2772609.0,1.75,187,2016-01-21
30271,073240,금호타이어,6390,40,0.6,425224,2708351840,6200,6450,6200,1009576279620,0.07,157993158,3068059.0,1.94,188,2016-01-22
32420,073240,금호타이어,6360,-30,-0.5,464476,2961538360,6380,6470,6330,1004836484880,0.07,157993158,2918472.0,1.85,189,2016-01-25
34569,073240,금호타이어,6270,-90,-1.4,320468,2001778960,6380,6380,6200,990617100660,0.07,157993158,2989548.0,1.89,191,2016-01-26
36716,073240,금호타이어,6240,-30,-0.5,632383,3956880650,6300,6400,6190,985877305920,0.07,157993158,3123557.0,1.98,190,2016-01-27
38865,073240,금호타이어,6280,40,0.6,550861,3431289220,6240,6300,6190,992197032240,0.07,157993158,3293473.0,2.08,190,2016-01-28
41018,073240,금호타이어,6250,-30,-0.5,341084,2141011650,6280,6350,6200,987457237500,0.07,157993158,3293304.0,2.08,193,2016-01-29
43170,073240,금호타이어,6280,30,0.5,390898,2440703380,6280,6300,6200,992197032240,0.07,157993158,3312204.0,2.1,195,2016-02-01
45317,073240,금호타이어,6300,20,0.3,373321,2329572840,6250,6300,6210,995356895400,0.07,157993158,3314296.0,2.1,192,2016-02-02
