,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
589,082740,두산엔진,3275,-10,-0.3,179509,586867520,3285,3290,3250,227612500000,0.02,69500000,2670958.0,3.84,590,2017-01-02
2827,082740,두산엔진,3360,85,2.6,257711,858897315,3280,3365,3280,233520000000,0.02,69500000,2730028.0,3.93,581,2017-01-03
5076,082740,두산엔진,3355,-5,-0.2,291825,977478865,3380,3395,3320,233172500000,0.02,69500000,2828259.0,4.07,583,2017-01-04
7318,082740,두산엔진,3420,65,1.9,524991,1789886560,3360,3455,3320,237690000000,0.02,69500000,2936288.0,4.22,578,2017-01-05
9557,082740,두산엔진,3495,75,2.2,397801,1379362795,3435,3500,3405,242902500000,0.02,69500000,3038391.0,4.37,570,2017-01-06
11792,082740,두산엔진,3555,60,1.7,467995,1656042450,3540,3585,3500,247072500000,0.02,69500000,2973785.0,4.28,558,2017-01-09
14033,082740,두산엔진,3570,15,0.4,412681,1465739480,3560,3595,3480,248115000000,0.02,69500000,2987607.0,4.3,552,2017-01-10
16272,082740,두산엔진,3685,115,3.2,705406,2582077985,3590,3695,3580,256107500000,0.02,69500000,3075912.0,4.43,544,2017-01-11
18521,082740,두산엔진,3635,-50,-1.4,388934,1416883000,3720,3725,3580,252632500000,0.02,69500000,3086894.0,4.44,547,2017-01-12
20774,082740,두산엔진,3585,-50,-1.4,427895,1537430465,3645,3690,3530,249157500000,0.02,69500000,3074013.0,4.42,554,2017-01-13
23025,082740,두산엔진,3525,-60,-1.7,367866,1288647290,3585,3585,3460,244987500000,0.02,69500000,3035792.0,4.37,558,2017-01-16
25278,082740,두산엔진,3500,-25,-0.7,244956,863454225,3520,3570,3480,243250000000,0.02,69500000,3062059.0,4.41,563,2017-01-17
27520,082740,두산엔진,3530,30,0.9,316601,1099266370,3500,3530,3440,245335000000,0.02,69500000,3078698.0,4.43,559,2017-01-18
29783,082740,두산엔진,3430,-100,-2.8,273630,944421375,3565,3565,3430,238385000000,0.02,69500000,3029916.0,4.36,576,2017-01-19
32032,082740,두산엔진,3380,-50,-1.5,218292,742250110,3400,3450,3375,234910000000,0.02,69500000,3005584.0,4.32,579,2017-01-20
34283,082740,두산엔진,3270,-110,-3.2,471923,1556325675,3375,3385,3270,227265000000,0.01,69500000,2927229.0,4.21,586,2017-01-23
36531,082740,두산엔진,3245,-25,-0.8,281532,910385090,3260,3295,3205,225527500000,0.01,69500000,2888670.0,4.16,590,2017-01-24
38774,082740,두산엔진,3225,-20,-0.6,175266,567277360,3250,3290,3220,224137500000,0.01,69500000,2828641.0,4.07,588,2017-01-25
41003,082740,두산엔진,3350,125,3.9,331991,1099720305,3255,3365,3240,232825000000,0.02,69500000,2769476.0,3.98,571,2017-01-26
43268,082740,두산엔진,3245,-105,-3.1,268261,878409460,3320,3325,3240,225527500000,0.01,69500000,2696037.0,3.88,590,2017-01-31
45513,082740,두산엔진,3295,50,1.5,253437,836059745,3250,3330,3245,229002500000,0.01,69500000,2711689.0,3.9,589,2017-02-01
47755,082740,두산엔진,3235,-60,-1.8,266917,869810945,3250,3310,3235,224832500000,0.01,69500000,2708660.0,3.9,585,2017-02-02
50006,082740,두산엔진,3210,-25,-0.8,368123,1174623115,3215,3245,3160,223095000000,0.01,69500000,2618107.0,3.77,589,2017-02-03
52257,082740,두산엔진,3205,-5,-0.2,190323,606230615,3210,3225,3155,222747500000,0.01,69500000,2563504.0,3.69,593,2017-02-06
54519,082740,두산엔진,3120,-85,-2.6,481815,1504901245,3180,3210,3085,216840000000,0.01,69500000,2482949.0,3.57,608,2017-02-07
56761,082740,두산엔진,3130,10,0.3,213377,666018625,3125,3155,3095,217535000000,0.01,69500000,2475646.0,3.56,603,2017-02-08
58999,082740,두산엔진,3180,50,1.6,251859,793267335,3130,3180,3120,221010000000,0.01,69500000,2500202.0,3.6,594,2017-02-09
61247,082740,두산엔진,3205,25,0.8,252545,811460880,3190,3260,3180,222747500000,0.01,69500000,2482433.0,3.57,595,2017-02-10
63489,082740,두산엔진,3240,35,1.1,235555,763179815,3220,3290,3195,225180000000,0.01,69500000,2507241.0,3.61,590,2017-02-13
65738,082740,두산엔진,3265,25,0.8,202238,658925940,3240,3285,3240,226917500000,0.01,69500000,2525160.0,3.63,592,2017-02-14
67984,082740,두산엔진,3265,0,0.0,205496,671758310,3270,3305,3250,226917500000,0.01,69500000,2549012.0,3.67,591,2017-02-15
70245,082740,두산엔진,3200,-65,-2.0,467141,1489538620,3270,3270,3155,222400000000,0.01,69500000,2566634.0,3.69,605,2017-02-16
72489,082740,두산엔진,3195,-5,-0.2,259760,829806350,3195,3215,3180,222052500000,0.01,69500000,2572556.0,3.7,602,2017-02-17
74733,082740,두산엔진,3210,15,0.5,137023,437313805,3205,3225,3175,223095000000,0.01,69500000,2566615.0,3.69,599,2017-02-20
76977,082740,두산엔진,3240,30,0.9,199427,643814405,3195,3255,3190,225180000000,0.01,69500000,2655929.0,3.82,596,2017-02-21
79216,082740,두산엔진,3310,70,2.2,510965,1689562975,3265,3345,3240,230045000000,0.01,69500000,2727758.0,3.92,589,2017-02-22
