,account_nm,thstrm_amount
0,유동자산,2116346294510.0
1,현금및현금성자산,623703583862.0
2,금융기관예치금,300340000000.0
3,매도가능금융자산,164708559598.0
4,매출채권,294456288751.0
5,기타수취채권,45372273615.0
6,당기법인세자산,1258372603.0
7,기타유동자산,75486429732.0
8,재고자산,409865745581.0
9,매각예정비유동자산,201155040768.0
10,비유동자산,3065230835225.0
11,금융기관예치금,14129404739.0
12,기타수취채권,173659699664.0
13,매도가능금융자산,9393751369.0
14,유형자산,2358638953598.0
15,투자부동산,234570501614.0
16,무형자산,228094002525.0
17,관계기업주식,2655784922.0
18,이연법인세자산,43900217155.0
19,기타비유동자산,188519639.0
20,자산총계,5181577129735.0
21,유동부채,1171219008871.0
22,매입채무,165888248697.0
23,차입금,144685200341.0
24,기타지급채무,315343173305.0
25,당기법인세부채,140460620925.0
26,이연수익,56652870161.0
27,기타충당부채,19720491468.0
28,기타유동부채,328468403974.0
29,비유동부채,113726050371.0
30,차입금,
31,순확정급여부채,3309757455.0
32,이연법인세부채,93379828473.0
33,기타충당부채,4286974764.0
34,기타비유동부채,12749489679.0
35,부채총계,1284945059242.0
36,자본금,34508160000.0
37,주식발행초과금,712701764092.0
38,자본잉여금,7770057440.0
39,기타자본구성요소,-17624266599.0
40,기타포괄손익누계액,-17195099570.0
41,이익잉여금,3158666867054.0
42,비지배지분,17804588076.0
43,자본총계,3896632070493.0
44,부채와자본총계,5181577129735.0
45,매출액,5645440160699.0
46,매출원가,1424760833022.0
47,매출총이익,4220679327677.0
48,판매비와관리비,3372575873578.0
49,영업이익,848103454099.0
50,금융수익,17642299699.0
51,금융비용,5933942490.0
52,기타영업외손익,-3333972211.0
53,관계기업손익,80378820.0
54,법인세비용차감전순이익,856558217917.0
55,법인세비용,210829558373.0
56,당기순이익,645728659544.0
57,지배기업소유주지분,639254633795.0
58,비지배주주지분,6474025749.0
59,순확정급여부채재측정요소,-10487692089.0
60,매도가능금융자산평가손익,2411705695.0
61,관계기업기타포괄손익지분,128057391.0
62,해외사업환산손익,-5352709446.0
63,당기 법인세차감후 기타포괄손익,-13300638449.0
64,당기총포괄이익,632428021095.0
65,지배기업소유주지분,625660495046.0
66,비지배주주지분,6767526049.0
67,보통주기본주당순이익,9267.0
68,우선주기본주당순이익,9272.0
69,영업활동으로 인한 현금흐름,676951762504.0
70,영업으로부터 창출된 현금흐름,891031529713.0
71,이자수취,16402028486.0
72,이자지급,3885760088.0
73,법인세의 납부,226596035607.0
74,투자활동으로 인한 현금흐름,-609625476294.0
75,투자활동으로 인한 현금유입액,173059021035.0
76,유동성 매도가능금융자산의 순감소,
77,기타수취채권의 감소,19679604493.0
78,유형자산의 처분,1232913824.0
79,무형자산의 처분,156507365.0
80,매각예정비유동자산의 처분,145067000000.0
81,비유동성 매도가능금융자산의 처분,6922995353.0
82,종속회사및관계회사주식의 취득,0.0
83,투자활동으로 인한 현금유출액,782684497329.0
84,유동성 금융기관예치금의 순증가,115287910198.0
85,유동성 매도가능금융자산의 순증가,102332512292.0
86,기타수취채권의 증가,25256992099.0
87,비유동성 금융기관예치금의 증가,3504076199.0
88,비유동성 매도가능금융자산의 취득,1235095000.0
89,유형자산의 취득,494810173273.0
90,무형자산의 취득,40257738268.0
91,재무활동으로 인한 현금흐름,-132975805953.0
92,재무활동으로 인한 현금유입액,34838586543.0
93,단기차입금의 증가,32906430159.0
94,비지배주주의 유상증자,1932156384.0
95,재무활동으로 인한 현금유출액,167814392496.0
96,단기차입금의 감소,37438461353.0
97,배당금의 지급,94557491018.0
98,비지배주주지분의취득,35818440125.0
99,외화환산으로인한현금의증감,2185292601.0
100,현금의증가(감소),-63464227142.0
101,당기초의현금,687167811004.0
102,당기말의현금,623703583862.0
103,기초자본,3372330760956.0
104,기초자본,26743343353.0
105,기초자본,3345587417603.0
106,기초자본,-18374352565.0
107,기초자본,-14088652910.0
108,기초자본,2623071727948.0
109,기초자본,34508160000.0
110,기초자본,7768771038.0
111,기초자본,712701764092.0
112,당기순이익,645728659544.0
113,당기순이익,6474025749.0
114,당기순이익,639254633795.0
115,당기순이익,0.0
116,당기순이익,0.0
117,당기순이익,639254633795.0
118,당기순이익,0.0
119,당기순이익,0.0
120,당기순이익,0.0
121,순확정급여부채재측정요소,-10487692089.0
122,순확정급여부채재측정요소,0.0
123,순확정급여부채재측정요소,-10487692089.0
124,순확정급여부채재측정요소,0.0
125,순확정급여부채재측정요소,0.0
126,순확정급여부채재측정요소,-10487692089.0
127,순확정급여부채재측정요소,0.0
128,순확정급여부채재측정요소,0.0
129,순확정급여부채재측정요소,0.0
130,매도가능금융자산평가손익,2411705695.0
131,매도가능금융자산평가손익,0.0
132,매도가능금융자산평가손익,2411705695.0
133,매도가능금융자산평가손익,0.0
134,매도가능금융자산평가손익,2411705695.0
135,매도가능금융자산평가손익,0.0
136,매도가능금융자산평가손익,0.0
137,매도가능금융자산평가손익,0.0
138,매도가능금융자산평가손익,0.0
139,관계기업기타포괄손익지분,128057391.0
140,관계기업기타포괄손익지분,12805739.0
141,관계기업기타포괄손익지분,115251652.0
142,관계기업기타포괄손익지분,0.0
143,관계기업기타포괄손익지분,115251652.0
144,관계기업기타포괄손익지분,0.0
145,관계기업기타포괄손익지분,0.0
146,관계기업기타포괄손익지분,0.0
147,관계기업기타포괄손익지분,0.0
148,해외사업환산손익,-5352709446.0
149,해외사업환산손익,280694561.0
150,해외사업환산손익,-5633404007.0
151,해외사업환산손익,0.0
152,해외사업환산손익,-5633404007.0
153,해외사업환산손익,0.0
154,해외사업환산손익,0.0
155,해외사업환산손익,0.0
156,해외사업환산손익,0.0
157,연차배당,-94590815448.0
158,연차배당,-1419012848.0
159,연차배당,-93171802600.0
160,연차배당,0.0
161,연차배당,0.0
162,연차배당,-93171802600.0
163,연차배당,0.0
164,연차배당,0.0
165,연차배당,0.0
166,증자로인한 비지배지분의 변동,1928958308.0
167,증자로인한 비지배지분의 변동,1932156384.0
168,증자로인한 비지배지분의 변동,-3198076.0
169,증자로인한 비지배지분의 변동,-2906018.0
170,증자로인한 비지배지분의 변동,0.0
171,증자로인한 비지배지분의 변동,0.0
172,증자로인한 비지배지분의 변동,0.0
173,증자로인한 비지배지분의 변동,-292058.0
174,증자로인한 비지배지분의 변동,0.0
175,기타,-15464854418.0
176,기타,-16219424862.0
177,기타,754570444.0
178,기타,752991984.0
179,기타,0.0
180,기타,0.0
181,기타,0.0
182,기타,1578460.0
183,기타,0.0
184,기말자본,3896632070493.0
185,기말자본,17804588076.0
186,기말자본,3878827482417.0
187,기말자본,-17624266599.0
188,기말자본,-17195099570.0
189,기말자본,3158666867054.0
190,기말자본,34508160000.0
191,기말자본,7770057440.0
192,기말자본,712701764092.0
