,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
382,097230,한진중공업,3845,-55,-1.4,374947,1446652490,3900,3915,3820,393299147925,0.03,102288465,2997135.0,2.93,383,2016-01-04
2535,097230,한진중공업,3815,-30,-0.8,422900,1620111080,3775,3900,3775,390230493975,0.03,102288465,2998074.0,2.93,387,2016-01-05
4689,097230,한진중공업,3775,-40,-1.0,591392,2238140190,3820,3850,3750,386138955375,0.03,102288465,2999567.0,2.93,392,2016-01-06
6918,097230,한진중공업,2935,-840,-22.2,8063118,24568561165,3200,3235,2885,300216644775,0.02,102288465,3301783.0,3.23,472,2016-01-07
9056,097230,한진중공업,3050,115,3.9,2466397,7413352315,3005,3085,2965,311979818250,0.02,102288465,3296081.0,3.22,461,2016-01-08
11194,097230,한진중공업,3100,50,1.6,1138109,3505771250,3085,3155,3010,317094241500,0.02,102288465,3129990.0,3.06,450,2016-01-11
13343,097230,한진중공업,3080,-20,-0.6,690312,2125489860,3100,3175,3015,315048472200,0.02,102288465,3104004.0,3.03,450,2016-01-12
15477,097230,한진중공업,3255,175,5.7,1034465,3311887940,3085,3360,3085,332948953575,0.02,102288465,3127116.0,3.06,435,2016-01-13
17633,097230,한진중공업,3215,-40,-1.2,691825,2195733325,3205,3305,3100,328857414975,0.02,102288465,2997255.0,2.93,442,2016-01-14
19790,097230,한진중공업,3105,-110,-3.4,931099,2908574255,3280,3280,3050,317605683825,0.02,102288465,3024165.0,2.96,450,2016-01-15
21934,097230,한진중공업,3150,45,1.4,410450,1282784095,3005,3170,3005,322208664750,0.02,102288465,3122792.0,3.05,445,2016-01-18
24087,097230,한진중공업,3080,-70,-2.2,407681,1260185050,3150,3170,3050,315048472200,0.02,102288465,3094568.0,3.03,449,2016-01-19
26237,097230,한진중공업,2995,-85,-2.8,582238,1738227465,3080,3105,2920,306353952675,0.02,102288465,3115535.0,3.05,450,2016-01-20
28381,097230,한진중공업,3060,65,2.2,750400,2289183975,2980,3130,2935,313002702900,0.02,102288465,3160437.0,3.09,445,2016-01-21
30527,097230,한진중공업,3095,35,1.1,552202,1710232735,3130,3150,3030,316582799175,0.02,102288465,3251215.0,3.18,444,2016-01-22
32674,097230,한진중공업,3155,60,1.9,550946,1726084450,3130,3185,3085,322720107075,0.02,102288465,3475031.0,3.4,443,2016-01-25
34831,097230,한진중공업,3060,-95,-3.0,284434,872213495,3110,3150,3040,313002702900,0.02,102288465,3342177.0,3.27,453,2016-01-26
36977,097230,한진중공업,3055,-5,-0.2,349329,1073859845,3130,3130,3035,312491260575,0.02,102288465,3410731.0,3.33,451,2016-01-27
39118,097230,한진중공업,3150,95,3.1,895209,2826795695,3090,3245,3035,322208664750,0.02,102288465,3665154.0,3.58,443,2016-01-28
41265,097230,한진중공업,3225,75,2.4,433758,1390915090,3150,3250,3145,329880299625,0.02,102288465,3706766.0,3.62,440,2016-01-29
43422,097230,한진중공업,3160,-65,-2.0,368539,1172363995,3205,3250,3140,323231549400,0.02,102288465,3717902.0,3.63,447,2016-02-01
45570,097230,한진중공업,3185,25,0.8,316238,1008043575,3160,3235,3120,325788761025,0.02,102288465,3811099.0,3.73,445,2016-02-02
47730,097230,한진중공업,3110,-75,-2.4,370273,1150401890,3185,3195,3070,318117126150,0.02,102288465,3722739.0,3.64,454,2016-02-03
49865,097230,한진중공업,3290,180,5.8,683131,2220778880,3175,3325,3090,336529049850,0.02,102288465,4066149.0,3.98,437,2016-02-04
52007,097230,한진중공업,3380,90,2.7,473387,1594790910,3290,3425,3255,345735011700,0.02,102288465,4072856.0,3.98,426,2016-02-05
54165,097230,한진중공업,3230,-150,-4.4,456125,1472028005,3200,3315,3190,330391741950,0.02,102288465,4050022.0,3.96,430,2016-02-11
56305,097230,한진중공업,3140,-90,-2.8,580449,1845470325,3230,3290,3105,321185780100,0.02,102288465,4012520.0,3.92,416,2016-02-12
58458,097230,한진중공업,3255,115,3.7,545447,1791796190,3205,3370,3185,332948953575,0.02,102288465,4152825.0,4.06,415,2016-02-15
60617,097230,한진중공업,3280,25,0.8,379979,1240015150,3300,3315,3210,335506165200,0.02,102288465,4202278.0,4.11,419,2016-02-16
62775,097230,한진중공업,3215,-65,-2.0,455976,1482001255,3240,3320,3195,328857414975,0.02,102288465,4276842.0,4.18,422,2016-02-17
64928,097230,한진중공업,3250,35,1.1,431328,1410201240,3275,3315,3245,332437511250,0.02,102288465,4358010.0,4.26,420,2016-02-18
