,account_nm,thstrm_amount
0,I.비유동자산,380401000000.0
1,유형자산,283816000000.0
2,무형자산,9040000000.0
3,투자부동산,67716000000.0
4,종속기업 및 관계기업투자자산,2132000000.0
5,기타금융자산,17283000000.0
6,기타채권,195000000.0
7,기타비유동자산,219000000.0
8,II.유동자산,449827000000.0
9,재고자산,184870000000.0
10,매출채권,114432000000.0
11,선급금,14991000000.0
12,기타채권,3480000000.0
13,파생상품자산,
14,기타금융자산,21893000000.0
15,기타유동자산,4758000000.0
16,당기법인세자산,266000000.0
17,현금및현금성자산,105137000000.0
18,자산총계,830228000000.0
19,I.지배회사주주지분,107263000000.0
20,자본금,69141000000.0
21,자본잉여금,471626000000.0
22,기타자본구성요소,-5202000000.0
23,기타포괄손익누계액,71295000000.0
24,이익잉여금(결손금),-499597000000.0
25,II.비지배지분,
26,자본총계,107263000000.0
27,I.비유동부채,86089000000.0
28,전환사채,
29,장기차입금,760000000.0
30,순확정급여부채,
31,이연법인세부채,32748000000.0
32,판매보증충당부채,7256000000.0
33,확정계약부채,32747000000.0
34,기타비유동부채,12578000000.0
35,II.유동부채,636876000000.0
36,단기차입금,439818000000.0
37,매입채무,54193000000.0
38,미지급금,44357000000.0
39,선수금,88749000000.0
40,파생상품부채,
41,기타유동부채,9759000000.0
42,부채총계,722965000000.0
43,자본과부채총계,830228000000.0
44,I.매출액,529846000000.0
45,II.매출원가,481050000000.0
46,III.매출총이익,48796000000.0
47,판매비,5146000000.0
48,관리비,39534000000.0
49,IV.영업손익,4116000000.0
50,기타수익,2555000000.0
51,기타비용,17320000000.0
52,금융수익,27866000000.0
53,금융비용,35256000000.0
54,지분법손실,694000000.0
55,V.법인세비용차감전순손익,-18733000000.0
56,법인세수익(비용),9218000000.0
57,계속영업이익(손실),-27951000000.0
58,중단영업손익,0.0
59,VI.당기순이익(손실),-27951000000.0
60,VII.기타포괄손익,12118000000.0
61,당기손익으로 재분류되는 세후기타포괄손익,-3922000000.0
62,매도가능금융자산평가손익,-5020000000.0
63,보험수리적손익,1098000000.0
64,당기손익으로 재분류되지 않는 세후기타포괄손익,16040000000.0
65,유형자산재평가이익,16040000000.0
66,(부의)지분법자본변동,
67,VIII.총포괄손익,-15833000000.0
68,지배기업의 소유주에게 귀속되는 당기순이익(손실),-27951000000.0
69,계속영업손익,-27951000000.0
70,중단영업손익,0.0
71,비지배지분에 귀속되는 당기순이익(손실),0.0
72,계속영업손익,0.0
73,중단영업손익,0.0
74,당기순손익의 귀속 계,-27951000000.0
75,지배기업주주지분,-15833000000.0
76,비지배지분,0.0
77,총포괄손익의 귀속 계,-15833000000.0
78,기본주당이익(손실),-1215.0
79,희석주당이익(손실),-1215.0
80,I.영업활동 현금흐름,32015000000.0
81,영업에서 창출된 현금흐름,39730000000.0
82,이자수취,1739000000.0
83,법인세납부(환급),9454000000.0
84,II.투자활동 현금흐름,-17842000000.0
85,유형자산의 처분,4000000.0
