,account_nm,thstrm_amount
0,유동자산,386822033548.0
1,현금및현금성자산,135960132354.0
2,금융기관예치금,48737103454.0
3,매출채권 및 기타유동채권,65962004578.0
4,재고자산,120562975715.0
5,기타유동자산,14684013429.0
6,당기법인세자산,915804018.0
7,비유동자산,364074944176.0
8,장기금융기관예치금,479300000.0
9,장기기타채권,5454664144.0
10,기타비유동금융자산,14051200026.0
11,유형자산,281431984157.0
12,무형자산,9204254024.0
13,투자부동산,10989338416.0
14,기타비유동자산,38732906656.0
15,이연법인세자산,3731296753.0
16,자산총계,750896977724.0
17,유동부채,73105222519.0
18,매입채무 및 기타유동채무,33884457658.0
19,기타유동금융부채,21655099784.0
20,기타유동부채,8702239883.0
21,미지급법인세,7983389486.0
22,충당부채,411037724.0
23,이연수익,468997984.0
24,비유동부채,5800943346.0
25,퇴직급여채무,3540488424.0
26,기타비유동부채,
27,기타비유동금융부채,
28,이연수익,1207732100.0
29,비유동충당부채,
30,이연법인세부채,1052722822.0
31,부채총계,78906165865.0
32,납입자본,27500000000.0
33,자본금,27500000000.0
34,이익잉여금(결손금),364618932244.0
35,기타자본구성요소,279479837944.0
36,기타자본잉여금,314809017686.0
37,기타포괄손익누계액,-11957767503.0
38,자본조정,-23371412239.0
39,지배기업의 소유주에게 귀속되는 자본,671598770188.0
40,비지배지분,392041671.0
41,자본총계,671990811859.0
42,자본과부채총계,750896977724.0
43,수익(매출액),425063515117.0
44,매출원가,220698428417.0
45,매출총이익,204365086700.0
46,판매비와관리비,144134640425.0
47,영업이익(손실),60230446275.0
48,금융수익,2723958419.0
49,금융원가,886105701.0
50,기타이익,19287891909.0
51,기타손실,14537577627.0
52,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,
53,종속기업투자손익,
54,법인세비용차감전순이익(손실),66818613275.0
55,법인세비용,19843086184.0
56,당기순이익(손실),46975527091.0
57,기타포괄손익,-4376919135.0
58,당기손익으로 재분류되는 세후기타포괄손익,-3470326124.0
59,기타금융자산평가이익(손실),81706384.0
60,외화환산외환차이,-3552032508.0
61,지분법자본변동,
62,당기손익으로 재분류되지 않는 세후기타포괄손익,-906593011.0
63,확정급여제도의 재측정손익,-906593011.0
64,총포괄손익,42598607956.0
65,지배기업의 소유주에게 귀속되는 당기순이익(손실),46968596091.0
66,비지배지분에 귀속되는 당기순이익(손실),6931000.0
67,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",42586275780.0
68,"포괄손익, 비지배지분",12332176.0
69,기본및희석주당이익(손실),867.0
70,영업활동현금흐름,82986642225.0
71,당기순이익(손실),46975527091.0
72,당기순이익조정을 위한 가감,47138618149.0
73,법인세비용,19843086184.0
74,금융원가,886105701.0
75,금융수익,2723958419.0
76,대손상각비,325811621.0
77,기타의대손상각비,1200697340.0
78,감가상각비,23236095846.0
79,무형자산상각비,1043864461.0
80,퇴직급여,1979434637.0
81,외화환산손실,1201307840.0
82,재고자산평가손실(환입),-74242729.0
83,재고자산감모손실,3369973074.0
84,유형자산처분손실,2548296074.0
85,유형자산손상차손,1452986174.0
86,무형자산처분손실,26604201.0
87,투자부동산처분손실,
88,관계기업투자손익,
89,종속기업투자손실,
90,외화환산이익,1214569025.0
91,유형자산처분이익,9284554699.0
92,매출채권 및 기타채권의 감소(증가),-11895815488.0
93,기타유동자산의 감소(증가),-3076133038.0
94,재고자산의 감소(증가),9746133667.0
95,기타비유동자산의 감소(증가),370553641.0
96,매입채무 및 기타채무의 증가(감소),8293366700.0
97,기타유동부채의 증가(감소),1746534778.0
98,이연수익의 증가(감소),252775945.0
99,장기기타채무의 증가(감소),-97315200.0
100,충당부채의 증가(감소),-18421137.0
101,퇴직금의 지급,1493990220.0
102,사외적립자산의 변동,-506009780.0
103,배당금수취,
104,이자수취,2049969992.0
105,법인세납부(환급),12126828601.0
106,이자지급,1050644406.0
107,투자활동현금흐름,-2100572544.0
108,기타채권의 감소,300000000.0
109,금융기관예치금의 감소,141985920000.0
110,기타금융자산의 처분,75266297.0
111,장기기타채권의 감소,1497923207.0
112,기타비유동자산의 감소,60072543.0
113,유형자산의 처분,27114717429.0
114,무형자산의 처분,238000000.0
115,투자부동산의 처분,
116,관계기업에 대한 투자자산의 처분,
117,기타채권의 증가,356000000.0
118,금융기관예치금의 증가,-147823107401.0
119,장기금융자산예치금의 증가,-395700000.0
120,기타금융자산의 취득,497860075.0
121,장기기타채권의 증가,809031781.0
122,기타비유동자산의 취득,58749620.0
123,유형자산의 취득,24142881048.0
124,무형자산의 취득,167762168.0
125,종속기업에 대한 투자자산의 처분,878620073.0
126,사업결합으로 인한 순현금 유출액,
127,재무활동현금흐름,-62923359625.0
128,유상증자,299850000.0
129,기타금융부채의 증가,11527956584.0
130,장기기타금융부채의 증가,
131,정부보조금의 수취,99000000.0
132,기타금융부채의 감소,-64012846209.0
133,장기기타금융부채의 감소,
134,정부보조금의 상환,
135,배당금지급,10837320000.0
136,해외사업장의 외화환산으로 인한 현금의 증감,-83323994.0
137,환율변동효과 반영전 현금및현금성자산의 순증가(감소),17879386062.0
138,현금및현금성자산에 대한 환율변동효과,191749805.0
139,현금및현금성자산의순증가(감소),18071135867.0
140,기초현금및현금성자산,117888996487.0
141,기말현금및현금성자산,135960132354.0
142,기초자본,639929673903.0
143,기초자본,79859495.0
144,기초자본,639849814408.0
145,기초자본,-8482040203.0
146,기초자본,329394249164.0
147,기초자본,27500000000.0
148,기초자본,314809017686.0
149,기초자본,-23371412239.0
150,당기순이익(손실),46975527091.0
151,당기순이익(손실),6931000.0
