,account_nm,thstrm_amount
0,유동자산,3293061658481.0
1,현금및현금성자산,465349712619.0
2,단기금융상품,157285294345.0
3,매출채권및기타채권,1184360079693.0
4,재고자산,1436307175657.0
5,기타금융자산,11955148829.0
6,기타유동자산,37804247338.0
7,비유동자산,6328911580272.0
8,장기금융상품,66969706.0
9,매도가능금융자산,3827264390.0
10,관계기업투자,1081080298279.0
11,유형자산,4699252645816.0
12,투자부동산,109433662822.0
13,무형자산,146188065877.0
14,기타금융자산,17019085471.0
15,기타비유동자산,94033395104.0
16,이연법인세자산,178010192807.0
17,자산총계,9621973238753.0
18,유동부채,2446786103859.0
19,매입채무및기타채무,954771789904.0
20,차입금,1251986113474.0
21,당기법인세부채,100321501794.0
22,충당부채,41663152356.0
23,기타금융부채,4651296287.0
24,기타유동부채,93392250044.0
25,비유동부채,1213707815185.0
26,차입금,1075349043429.0
27,순확정급여부채,18647689790.0
28,충당부채,22030897731.0
29,기타금융부채,1047697500.0
30,기타비유동부채,94959144649.0
31,이연법인세부채,1673342086.0
32,부채총계,3660493919044.0
33,지배기업의 소유주에게 귀속되는 자본,5949384662990.0
34,자본금,61937534500.0
35,기타불입자본,2992377720089.0
36,이익잉여금,2950572886944.0
37,기타자본구성요소,-55503478543.0
38,비지배지분,12094656719.0
39,자본총계,5961479319709.0
40,자본과부채총계,9621973238753.0
41,수익(매출액),6621762292163.0
42,매출원가,4045028258016.0
43,매출총이익,2576734034147.0
44,판매비와관리비,1306433391448.0
45,연구개발비,167072883948.0
46,영업이익(손실),1103227758751.0
47,금융이익,116718743710.0
48,금융원가,206290491361.0
49,기타영업외수익,197726700074.0
50,기타영업외비용,163818353807.0
51,관계기업투자손익,44851981828.0
52,법인세비용차감전순이익(손실),1092416339195.0
53,법인세비용,213326123464.0
54,당기순이익(손실),879090215731.0
55,기타포괄손익,-8858026114.0
56,후속적으로 당기손익으로 재분류되지 않는 항목,-6984770783.0
57,관계기업의순확정급여부채재측정요소,-336276859.0
58,확정급여제도 재측정요소,-6648493924.0
59,기타포괄손익의 법인세효과,
60,당기손익으로 재분류되는 세후기타포괄손익,-1873255331.0
61,매도가능금융자산평가손익,159343090.0
62,지분법자본변동,-3556670703.0
63,해외사업환산손익,1524072282.0
64,기타포괄손익의 법인세효과,
65,당기총포괄이익,870232189617.0
66,지배기업의 소유주,872851250675.0
67,비지배지분,6238965056.0
68,지배기업의 소유주,864572228826.0
69,비지배지분,5659960791.0
70,기본 및 희석 주당순이익,7047.0
71,영업활동현금흐름,1217766385941.0
72,당기순이익(손실),879090215731.0
73,수익및비용의조정,797535595196.0
74,자산및부채의증감,-236608954208.0
75,이자수익의수취,16459847860.0
76,이자비용의지급,49774185221.0
77,배당금의수취,35969386225.0
78,법인세납부,224905519642.0
79,투자활동현금흐름,-739995751862.0
80,단기금융자산의순증감,-34608876298.0
81,매도가능금융자산의 취득,20910000.0
82,매도가능금융자산의 처분,167840097.0
83,관계기업투자의 취득,
84,유형자산의 취득,722705886779.0
85,유형자산의 처분,39339947540.0
86,투자부동산의 취득,353509190.0
87,무형자산의 취득,22854645351.0
88,무형자산의 처분,
89,파생상품의 정산,4894420102.0
90,기타금융자산의순증감,-3854131983.0
91,재무활동현금흐름,-649667533638.0
92,단기차입금의순증감,-645211263321.0
93,장기차입금의 증가,79301068979.0
94,사채의발행,91055943522.0
95,유동성장기부채의 상환,-125302759065.0
96,장기차입금의 상환,
97,사채발행비의 환수,30548647.0
98,배당금지급,49541072400.0
99,현금및현금성자산의증가(감소),-171896899559.0
100,기초 현금및현금성자산,637357951458.0
101,외화표시 현금및현금성자산의 환율변동 효과,-111339280.0
102,기말현금및현금성자산,465349712619.0
103,기초자본,5140788202492.0
104,기초자본,6434695928.0
105,기초자본,5134353506564.0
106,기초자본,742398000.0
107,기초자본,2134050378782.0
108,기초자본,-1088017805.0
109,기초자본,61937534500.0
110,기초자본,2993465737894.0
111,기초자본,24835906.0
112,기초자본,-54779360713.0
113,연차배당,-49541072400.0
114,연차배당,-49541072400.0
115,연차배당,-49541072400.0
116,당기순이익(손실),879090215731.0
117,당기순이익(손실),6238965056.0
118,당기순이익(손실),872851250675.0
119,당기순이익(손실),872851250675.0
120,지분법이익잉여금,-336276859.0
121,지분법이익잉여금,-336276859.0
122,지분법이익잉여금,-336276859.0
123,관계기업의순확정급여부채재측정요소,
124,관계기업의순확정급여부채재측정요소,
125,관계기업의순확정급여부채재측정요소,
126,매도가능금융자산평가손익,159343090.0
127,매도가능금융자산평가손익,605022.0
128,매도가능금융자산평가손익,158738068.0
129,매도가능금융자산평가손익,158738068.0
130,지분법자본변동,-3556670703.0
131,지분법자본변동,-3556670703.0
132,지분법자본변동,-3556670703.0
133,해외사업환산손익,1524072282.0
134,해외사업환산손익,-382508617.0
135,해외사업환산손익,1906580899.0
136,해외사업환산손익,1906580899.0
137,확정급여제도 재측정요소,-6648493924.0
138,확정급여제도 재측정요소,-197100670.0
139,확정급여제도 재측정요소,-6451393254.0
140,확정급여제도 재측정요소,-6451393254.0
141,기말자본,5961479319709.0
142,기말자본,12094656719.0
143,기말자본,5949384662990.0
144,기말자본,901136068.0
145,기말자본,2950572886944.0
146,기말자본,-1088017805.0
147,기말자본,61937534500.0
148,기말자본,2993465737894.0
149,기말자본,-3556670703.0
150,기말자본,1906580899.0
