,account_nm,thstrm_amount
0,유동자산,264054334356.0
1,현금및현금성자산,26904682970.0
2,단기금융상품,3975300000.0
3,매출채권및기타채권,128363686254.0
4,기타금융자산,1043533249.0
5,기타유동자산,17691994420.0
6,재고자산,86075137463.0
7,비유동자산,228873773156.0
8,장기매출채권및기타채권,2765202490.0
9,유형자산,184945249423.0
10,무형자산,40455633755.0
11,장기기타금융자산,115574263.0
12,기타비유동자산,69940000.0
13,이연법인세자산,522173225.0
14,자산총계,492928107512.0
15,유동부채,196167570894.0
16,매입채무및기타채무,114490842019.0
17,차입금,58342876599.0
18,당기법인세부채,9464381663.0
19,기타유동부채,13869470613.0
20,비유동부채,9073680345.0
21,확정급여부채,4113429095.0
22,차입금,4777570865.0
23,기타비유동부채,182680385.0
24,파생금융부채,
25,부채총계,205241251239.0
26,지배기업 소유주지분,269872948841.0
27,자본금,10550075500.0
28,보통주자본금,10550075500.0
29,자본잉여금,116260583576.0
30,주식발행초과금,115249693826.0
31,기타자본잉여금,1010889750.0
32,기타포괄손익누계액,1859013778.0
33,매도가능금융자산평가이익,180727.0
34,해외사업장환산외환차이,1858833051.0
35,이익잉여금,141203275987.0
36,법정적립금,1168764648.0
37,임의적립금,7422161748.0
38,이익잉여금,132612349591.0
39,비지배지분,17813907432.0
40,자본총계,287686856273.0
41,자본과부채총계,492928107512.0
42,매출액,667469194150.0
43,매출원가,513950323429.0
44,매출총이익,153518870721.0
45,판매비와관리비,80088913995.0
46,영업이익,73429956726.0
47,기타수익,1592850377.0
48,기타비용,1127391295.0
49,금융수익,3469700608.0
50,금융비용,6082485372.0
51,법인세비용차감전순이익,71282631044.0
52,법인세비용,18099413479.0
53,연결당기순이익,53183217565.0
54,지배기업 소유주지분,53079052668.0
55,비지배지분,104164897.0
56,기타포괄손익,1795019331.0
57,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-1333731727.0
58,순확정급여부채 재측정요소,-1333731727.0
59,후속적으로 당기손익으로 재분류되는 포괄손익,3128751058.0
60,해외사업장환산외환차이,3128751058.0
61,연결당기총포괄이익,54978236896.0
62,지배기업 소유주지분,53409299464.0
63,비지배지분,1568937432.0
64,기본주당이익,2516.0
65,희석주당이익,2469.0
66,영업활동현금흐름,38213822341.0
67,영업에서 창출된 현금,55519996823.0
68,연결당기순이익,53183217565.0
69,조정,34810878143.0
70,대손상각비(환입),-122138356.0
71,감가상각비,10790278981.0
72,무형자산상각비,1050545749.0
73,퇴직급여,3244396368.0
74,이자비용,1000749000.0
75,외화환산손실,2344232658.0
76,당기손익인식금융자산평가손실,35625392.0
77,단기금융상품처분손실,
78,기타의대손상각비,182555594.0
79,사채상환손실,
80,유형자산처분손실,22278635.0
81,무형자산처분손실,
82,무형자산손상차손,
83,잡손실,427518028.0
84,외화환산이익,-1570356978.0
85,단기금융상품평가이익,
86,당기손익인식금융상품평가이익,
