,account_nm,thstrm_amount
0,유동자산,1132120000000
1,현금및현금성자산,98520000000
2,매출채권및기타채권,284791000000
3,매도가능금융자산,87000000
4,기타유동금융자산,451547000000
5,재고자산,283616000000
6,미수법인세환급액,83000000
7,기타유동자산,13476000000
8,비유동자산,2128936000000
9,유형자산,1212576000000
10,영업권,216970000000
11,기타무형자산,55990000000
12,투자부동산,118591000000
13,관계기업및공동기업주식,266103000000
14,장기기타채권,22431000000
15,매도가능금융자산,231161000000
16,기타비유동금융자산,62000000
17,이연법인세자산,4091000000
18,기타비유동자산,961000000
19,자산총계,3261056000000
20,유동부채,543841000000
21,매입채무및기타채무,278337000000
22,단기차입금,145450000000
23,유동성장기차입금,37248000000
24,유동성사채,0
25,기타유동금융부채,3753000000
26,미지급법인세,12618000000
27,기타유동부채,66435000000
28,비유동부채,787200000000
29,장기기타채무,10796000000
30,장기차입금,197028000000
31,사채,438898000000
32,기타비유동금융부채,2188000000
33,퇴직급여부채,24954000000
34,이연법인세부채,109741000000
35,기타비유동부채,3595000000
36,부채총계,1331041000000
37,지배기업소유주지분,1373532000000
38,자본금,44342000000
39,자본잉여금,377816000000
40,기타포괄손익누계액,41935000000
41,이익잉여금,920909000000
42,기타자본항목,-11470000000
43,비지배지분,556483000000
44,자본총계,1930015000000
45,자본과부채총계,3261056000000
46,매출액,2396290000000
47,매출원가,1974916000000
48,매출총이익,421374000000
49,판매비,245675000000
50,관리비,76871000000
51,영업이익,98828000000
52,금융수익,15405000000
53,금융비용,43009000000
54,지분법관련손익,8045000000
55,기타영업외수익,58876000000
56,기타영업외비용,48787000000
57,법인세비용차감전순이익,89358000000
58,법인세비용,22172000000
59,당기순이익,67186000000
60,기타포괄손익,-372000000
61,당기손익으로 재분류되지 않는항목,-1463000000
62,확정급여제도의 재측정요소,-1344000000
63,지분법이익잉여금변동,-119000000
64,당기손익으로 재분류될 수 있는 항목,1091000000
65,지분법자본변동,-700000000
66,매도가능금융자산평가손익,-2707000000
67,해외사업환산손익,916000000
68,총포괄손익,66814000000
69,지배기업소유주지분,37675000000
70,비지배지분,29511000000
71,지배기업소유주지분,36362000000
72,비지배지분,30452000000
73,보통주기본및희석주당이익-계속영업,4871
74,우선주기본및희석주당이익-계속영업,4921
75,영업활동현금흐름,-21880000000
76,영업현금흐름 창출액,18650000000
77,이자 지급액,22754000000
78,이자 수취액,7967000000
79,배당금 수취액,6971000000
80,법인세 납부액,34700000000
81,법인세 환급액,1986000000
82,투자활동현금흐름,-242234000000
83,유형자산의 처분,309000000
84,무형자산의 처분,0
85,매도가능금융자산의 처분,39000000
86,단기대여금의 감소,144000000
87,보증금의 감소,2658000000
88,장기대여금의 감소,442000000
89,기타유동금융자산의 감소,435395000000
90,기타비유동금융자산의 감소,0
91,영업양도로인한 현금유입액,464000000
92,합병으로 인한 현금유입액,0
93,정부보조금으로 인한 현금유입액,1964000000
94,유형자산의 취득,87147000000
95,무형자산의 취득,240000000
96,투자부동산의 취득,151000000
97,관계기업 및 공동기업주식의 취득,0
98,사업결합으로 인한 순현금흐름,-64540000000
99,매도가능금융자산의 취득,3312000000
100,단기대여금의 증가,25000000
101,장기대여금의 증가,1593000000
102,보증금의 증가,1897000000
103,기타유동금융자산의 증가,523050000000
104,기타비유동금융자산의 증가,9000000
105,정부보조금으로 인한 현금유출액,1685000000
106,재무활동현금흐름,125797000000
107,단기차입금의 증가,17962000000
108,장기차입금의 증가,30000000000
109,사채의 발행,200000000000
110,단기차입금의 감소,17569000000
111,유동성장기차입금의 감소,22763000000
112,장기차입금의 감소,0
113,유동성사채의 감소,-60000000000
114,금융리스부채의 지급,192000000
115,배당금의 지급,20951000000
116,사채발행비용,687000000
117,연결자본거래로 인한 현금유출액,3000000
118,외화현금및현금성자산의 환율변동효과,-370000000
119,재무제표의 환산으로 인한 조정,-664000000
120,현금및현금성자산의순증감,-139351000000
121,기초현금및현금성자산,237987000000
122,기말현금및현금성자산,98636000000
123,기초자본,1850632000000
124,기초자본,497983000000
125,기초자본,1352649000000
126,기초자본,-11469000000
127,기초자본,41977000000
128,기초자본,899983000000
129,기초자본,44342000000
130,기초자본,377816000000
131,당기순이익,67186000000
132,당기순이익,29511000000
133,당기순이익,37675000000
134,당기순이익,0
135,당기순이익,0
136,당기순이익,37675000000
137,당기순이익,0
138,당기순이익,0
139,확정급여채무의 재측정요소,-1344000000
140,확정급여채무의 재측정요소,-236000000
141,확정급여채무의 재측정요소,-1108000000
142,확정급여채무의 재측정요소,0
143,확정급여채무의 재측정요소,0
144,확정급여채무의 재측정요소,-1108000000
145,확정급여채무의 재측정요소,0
146,확정급여채무의 재측정요소,0
147,지분법이익잉여금변동,-120000000
148,지분법이익잉여금변동,44000000
149,지분법이익잉여금변동,-164000000
150,지분법이익잉여금변동,0
151,지분법이익잉여금변동,0
152,지분법이익잉여금변동,-164000000
153,지분법이익잉여금변동,0
154,지분법이익잉여금변동,0
155,지분법자본변동,-700000000
156,지분법자본변동,45000000
157,지분법자본변동,-745000000
158,지분법자본변동,0
159,지분법자본변동,-745000000
160,지분법자본변동,0
161,지분법자본변동,0
162,지분법자본변동,0
163,매도가능금융자산평가손익,2707000000
164,매도가능금융자산평가손익,1420000000
165,매도가능금융자산평가손익,1287000000
166,매도가능금융자산평가손익,0
167,매도가능금융자산평가손익,1287000000
168,매도가능금융자산평가손익,0
169,매도가능금융자산평가손익,0
170,매도가능금융자산평가손익,0
171,해외사업환산손익,-916000000
172,해외사업환산손익,-332000000
173,해외사업환산손익,-584000000
174,해외사업환산손익,0
175,해외사업환산손익,-584000000
176,해외사업환산손익,0
177,해외사업환산손익,0
178,해외사업환산손익,0
179,연차배당금,20951000000
180,연차배당금,5474000000
181,연차배당금,15477000000
182,연차배당금,0
183,연차배당금,0
184,연차배당금,15477000000
185,연차배당금,0
186,연차배당금,0
187,종속기업에 대한 소유지분변동,0
188,종속기업에 대한 소유지분변동,0
189,종속기업에 대한 소유지분변동,0
190,종속기업에 대한 소유지분변동,0
