,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
83,000120,CJ대한통운,144000,4000,2.9,48837,7031094000,140500,145000,140500,3284977536000,0.17,22812344,3634544.0,15.93,84,2018-01-02
2395,000120,CJ대한통운,145000,1000,0.7,51940,7537360000,143000,147000,143000,3307789880000,0.17,22812344,3633094.0,15.93,85,2018-01-03
4706,000120,CJ대한통운,145000,0,0.0,50162,7243895000,145000,145500,144000,3307789880000,0.17,22812344,3630143.0,15.91,85,2018-01-04
7021,000120,CJ대한통운,141500,-3500,-2.4,44078,6301931000,145500,145500,141000,3227946676000,0.17,22812344,3611629.0,15.83,90,2018-01-05
9333,000120,CJ대한통운,139000,-2500,-1.8,35192,4921762000,142500,142500,139000,3170915816000,0.16,22812344,3607418.0,15.81,90,2018-01-08
11646,000120,CJ대한통운,139500,500,0.4,54072,7529235000,139000,140000,138500,3182321988000,0.16,22812344,3610787.0,15.83,91,2018-01-09
13958,000120,CJ대한통운,139000,-500,-0.4,55805,7828771500,139500,142000,139000,3170915816000,0.16,22812344,3605789.0,15.81,91,2018-01-10
16270,000120,CJ대한통운,139500,500,0.4,32011,4471947000,140000,140000,139000,3182321988000,0.17,22812344,3603811.0,15.8,91,2018-01-11
18584,000120,CJ대한통운,138000,-1500,-1.1,39903,5546160500,139500,141000,138000,3148103472000,0.16,22812344,3601263.0,15.79,92,2018-01-12
20899,000120,CJ대한통운,137000,-1000,-0.7,58077,7922290976,138000,139000,135000,3125291128000,0.16,22812344,3600852.0,15.78,94,2018-01-15
23213,000120,CJ대한통운,138000,1000,0.7,37913,5237677500,135500,140000,135500,3148103472000,0.16,22812344,3658007.0,16.04,95,2018-01-16
25529,000120,CJ대한통운,135500,-2500,-1.8,53073,7221104000,137000,138000,135000,3091072612000,0.16,22812344,3619648.0,15.87,98,2018-01-17
27842,000120,CJ대한통운,134000,-1500,-1.1,45350,6116750000,135000,136500,133500,3056854096000,0.16,22812344,3613204.0,15.84,98,2018-01-18
30155,000120,CJ대한통운,135000,1000,0.8,26553,3588033500,133500,136000,133500,3079666440000,0.16,22812344,3613763.0,15.84,98,2018-01-19
32465,000120,CJ대한통운,135000,0,0.0,49550,6697112500,136000,137000,134500,3079666440000,0.16,22812344,3597155.0,15.77,96,2018-01-22
34781,000120,CJ대한통운,134000,-1000,-0.7,72851,9744159250,135000,135500,132500,3056854096000,0.15,22812344,3584778.0,15.71,100,2018-01-23
37091,000120,CJ대한통운,134000,0,0.0,62350,8355118500,134000,135000,133500,3056854096000,0.15,22812344,3559736.0,15.6,98,2018-01-24
39404,000120,CJ대한통운,134000,0,0.0,64256,8623685500,133500,135000,133500,3056854096000,0.15,22812344,3543659.0,15.53,99,2018-01-25
41718,000120,CJ대한통운,136000,2000,1.5,137649,18658924500,134500,137000,134000,3102478784000,0.15,22812344,3503010.0,15.36,100,2018-01-26
44031,000120,CJ대한통운,140500,4500,3.3,119793,16814016000,138000,142500,137000,3205134332000,0.16,22812344,3473512.0,15.23,99,2018-01-29
46340,000120,CJ대한통운,144500,4000,2.8,156033,22590690000,140500,147000,140500,3296383708000,0.16,22812344,3484024.0,15.27,94,2018-01-30
