,account_nm,thstrm_amount
0,유동자산,1128847078913.0
1,현금및현금성자산,304346934715.0
2,매출채권 및 기타유동채권,523813711063.0
3,기타금융자산(유동),116750188642.0
4,재고자산,137904685921.0
5,기타유동자산,46031558572.0
6,매각예정 비유동자산,
7,비유동자산,2930499833193.0
8,매출채권및기타채권(비유동),46520224118.0
9,매도가능금융자산,14933130511.0
10,관계기업투자,9983586422.0
11,기타금융자산(비유동),41624201075.0
12,투자부동산,24521056381.0
13,유형자산,2066001723485.0
14,무형자산,723524887541.0
15,이연법인세자산,3367775771.0
16,기타비유동자산,23247889.0
17,자산총계,4059346912106.0
18,유동부채,2161279643688.0
19,차입금(단기),1121783939713.0
20,매입채무 및 기타유동채무,242270481720.0
21,당기법인세부채,26527584787.0
22,기타금융부채(유동),65134241104.0
23,기타유동부채,705563396364.0
24,비유동부채,763098477493.0
25,차입금,557009220193.0
26,기타금융부채(비유동),71656631701.0
27,확정급여부채,103824881082.0
28,이연법인세부채,25006275104.0
29,기타비유동부채,5601469413.0
30,부채총계,2924378121181.0
31,지배기업소유주지분 합계,497281460834.0
32,자본금,118387875000.0
33,보통주자본금,116033825000.0
34,우선주자본금,2354050000.0
35,자본잉여금,562287514390.0
36,자기주식,100365259614.0
37,기타자본,-673771160552.0
38,적립금,378196000000.0
39,이익잉여금,212546491610.0
40,비지배지분,637687330091.0
41,자본총계,1134968790925.0
42,자본과부채총계,4059346912106.0
43,매출액,1881222642584.0
44,매출원가,1068173533033.0
45,매출총이익,813049109551.0
46,판매비와관리비,712953261095.0
47,영업이익(손실),100095848456.0
48,기타수익,25637695341.0
49,기타비용,46586616612.0
50,금융수익,2232170104.0
51,금융비용,62321832831.0
52,관계기업지분법이익,445405267.0
53,법인세비용차감전순이익(손실),19502669725.0
54,법인세비용,27118144413.0
55,당기순이익(손실),-7615474688.0
56,기타포괄손익,-26193313540.0
57,당기손익으로 재분류될 수 있는 항목,-12021458568.0
58,지분법자본변동,674324.0
59,매도가능금융자산평가손익,-6369505777.0
60,해외사업장환산외환차이,-5652627115.0
61,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-14171854972.0
62,순확정급여부채의 재측정요소,-14171854972.0
63,총포괄손익,-33808788228.0
64,지배기업 소유주지분,-14393197927.0
65,비지배지분,6777723239.0
66,지배기업 소유주지분,-29732545186.0
67,비지배지분,-4076243042.0
68,보통주기본 및 희석주당이익(손실),-660.0
69,우선주기본 및 희석주당이익(손실),-610.0
70,영업활동현금흐름,331807184123.0
71,당기순이익(손실),-7615474688.0
72,당기순이익조정을 위한 가감,316432880354.0
73,외화환산이익,107931660.0
