,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
96,000150,두산,106500,1500,1.4,24593,2605703500,105500,107000,104000,2152033572000,0.14,20206888,1441779.0,7.14,97,2017-01-02
2343,000150,두산,107000,500,0.5,31650,3378970500,106000,108000,105000,2162137016000,0.14,20206888,1437416.0,7.11,97,2017-01-03
4594,000150,두산,104000,-3000,-2.8,52717,5526987000,106500,107000,103500,2101516352000,0.14,20206888,1441366.0,7.13,101,2017-01-04
6840,000150,두산,105500,1500,1.4,45661,4823396000,104000,106500,103500,2131826684000,0.14,20206888,1443544.0,7.14,100,2017-01-05
9087,000150,두산,106500,1000,1.0,23161,2485748500,105500,108000,105500,2152033572000,0.14,20206888,1444141.0,7.15,100,2017-01-06
11334,000150,두산,106500,0,0.0,25410,2703521000,106500,107000,105500,2152033572000,0.14,20206888,1438656.0,7.12,100,2017-01-09
13581,000150,두산,106000,-500,-0.5,22490,2403548500,105500,108000,105500,2141930128000,0.14,20206888,1440916.0,7.13,100,2017-01-10
15827,000150,두산,108500,2500,2.4,42474,4587483500,106000,109000,106000,2192447348000,0.14,20206888,1456491.0,7.21,99,2017-01-11
18075,000150,두산,108000,-500,-0.5,24021,2580909000,108500,109000,106500,2182343904000,0.14,20206888,1462739.0,7.24,101,2017-01-12
20320,000150,두산,107500,-500,-0.5,18750,2017177000,107500,108500,106500,2172240460000,0.14,20206888,1464619.0,7.25,100,2017-01-13
22568,000150,두산,107000,-500,-0.5,28296,3012302000,107500,108500,105000,2162137016000,0.14,20206888,1469221.0,7.27,101,2017-01-16
24815,000150,두산,107500,500,0.5,19133,2073320500,107000,109500,107000,2172240460000,0.14,20206888,1475545.0,7.3,100,2017-01-17
27062,000150,두산,107500,0,0.0,21372,2287412500,108000,108000,106000,2172240460000,0.14,20206888,1478705.0,7.32,101,2017-01-18
29308,000150,두산,107000,-500,-0.5,20987,2251273500,107000,109000,106500,2162137016000,0.14,20206888,1485590.0,7.35,101,2017-01-19
31554,000150,두산,106500,-500,-0.5,20659,2212068500,107000,108000,106500,2152033572000,0.14,20206888,1491587.0,7.38,101,2017-01-20
33797,000150,두산,106500,0,0.0,22173,2372133000,106000,108000,106000,2152033572000,0.14,20206888,1494060.0,7.39,100,2017-01-23
36043,000150,두산,106000,-500,-0.5,26590,2839804000,106000,108500,105500,2141930128000,0.14,20206888,1491793.0,7.38,102,2017-01-24
38289,000150,두산,102000,-4000,-3.8,48852,5105455500,107000,107000,102000,2061102576000,0.13,20206888,1517817.0,7.51,103,2017-01-25
40535,000150,두산,103500,1500,1.5,16134,1671465000,102500,104500,102000,2091412908000,0.13,20206888,1521630.0,7.53,103,2017-01-26
42780,000150,두산,105000,1500,1.4,12573,1315483000,103500,105000,103500,2121723240000,0.14,20206888,1527056.0,7.56,102,2017-01-31
45026,000150,두산,106500,1500,1.4,21793,2320862000,105500,107500,105000,2152033572000,0.14,20206888,1525373.0,7.55,102,2017-02-01
47272,000150,두산,108000,1500,1.4,47694,5191614500,107000,109500,106500,2182343904000,0.14,20206888,1527689.0,7.56,102,2017-02-02
49519,000150,두산,106500,-1500,-1.4,40841,4371545000,108000,109500,105500,2152033572000,0.14,20206888,1533020.0,7.59,102,2017-02-03
51765,000150,두산,108000,1500,1.4,21788,2344026500,107500,108500,106500,2182343904000,0.14,20206888,1540817.0,7.63,101,2017-02-06
54014,000150,두산,104500,-3500,-3.2,41765,4423345000,108500,109000,104000,2111619796000,0.14,20206888,1545081.0,7.65,103,2017-02-07
56263,000150,두산,105000,500,0.5,28603,3018337000,104500,106500,104000,2121723240000,0.14,20206888,1548312.0,7.66,105,2017-02-08
58508,000150,두산,108000,3000,2.9,18901,2031862000,105500,108000,105500,2182343904000,0.14,20206888,1560836.0,7.72,103,2017-02-09
60753,000150,두산,109000,1000,0.9,17131,1861028500,108500,109500,108000,2202550792000,0.14,20206888,1572774.0,7.78,101,2017-02-10
63003,000150,두산,109000,0,0.0,22465,2453314500,109500,110000,108000,2202550792000,0.14,20206888,1574371.0,7.79,104,2017-02-13
65248,000150,두산,109500,500,0.5,24494,2681097500,110000,110500,108500,2212654236000,0.14,20206888,1579297.0,7.82,102,2017-02-14
67497,000150,두산,109000,-500,-0.5,24101,2646419500,109500,110500,109000,2202550792000,0.14,20206888,1586836.0,7.85,104,2017-02-15
