,account_nm,thstrm_amount
0,유동자산,495375041064.0
1,현금및현금성자산,129484159522.0
2,단기금융상품,137690301370.0
3,당기손익인식금융자산,20460417215.0
4,기타유동금융자산,
5,유동매도가능금융자산,3111800355.0
6,매출채권,141423759675.0
7,기타채권,12517962763.0
8,파생금융자산,
9,기타유동자산,4635111842.0
10,재고자산,46038493992.0
11,당기법인세자산,13034330.0
12,비유동자산,2757134912373.0
13,장기금융상품,9459814.0
14,비유동당기손익인식금융자산,19925401032.0
15,장기매출채권 및 기타비유동채권,1589503040.0
16,유형자산,158925090334.0
17,투자부동산,26002871692.0
18,영업권 이외의 무형자산,30682932316.0
19,지분법적용 투자지분,2487744938824.0
20,비유동매도가능금융자산,29698418669.0
21,순확정급여자산,1906278652.0
22,기타비유동자산,650018000.0
23,자산총계,3252509953437.0
24,유동부채,164335902276.0
25,매입채무 및 기타유동채무,44193711217.0
26,기타채무,42852848184.0
27,당기법인세부채,18438751137.0
28,파생금융부채,
29,기타유동부채,8897024601.0
30,차입금,49953567137.0
31,비유동부채,92066478580.0
32,기타비유동채무,
33,순확정급여부채,641206833.0
34,이연법인세부채,88348235236.0
35,기타비유동부채,2330728671.0
36,비유동충당부채,746307840.0
37,부채총계,256402380856.0
38,지배기업의 소유주에게 귀속되는 자본,2921057885832.0
39,자본금,46510086500.0
40,자본잉여금,1285765464281.0
41,이익잉여금(결손금),1639081045361.0
42,기타자본구성요소,-50298710310.0
43,비지배지분,75049686749.0
44,자본총계,2996107572581.0
45,자본과부채총계,3252509953437.0
46,수익(매출과지분법손익),824846243568.0
47,매출원가,527886796278.0
48,매출총이익,296959447290.0
49,판매비와관리비,97637515130.0
50,영업이익(손실),199321932160.0
51,금융수익,20844894221.0
52,금융원가,4856829023.0
53,기타이익,10356482749.0
54,기타손실,16566305238.0
55,법인세비용차감전순이익(손실),209100174869.0
56,법인세비용,30139183681.0
57,당기순이익(손실),178960991188.0
58,기타포괄손익,-24438100378.0
59,당기손익으로 재분류되지 않는항목(세후기타포괄손익),7186949177.0
60,순확정급여부채의 재측정요소,3373346174.0
61,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),3813603003.0
62,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-31625049555.0
63,매도가능금융자산평가손익(세후기타포괄손익),-1106283836.0
64,해외사업장환산외환차이(세후기타포괄손익),-144036192.0
65,지분법자본변동,-30374729527.0
66,총포괄손익,154522890810.0
67,지배기업의 소유주에게 귀속되는 당기순이익(손실),169543617722.0
68,비지배지분에 귀속되는 당기순이익(손실),9417373466.0
69,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",145131797095.0
70,"총 포괄손익, 비지배지분",9391093715.0
71,기본 및 희석 주당이익(손실),1849.0
72,영업활동현금흐름,122883427897.0
