,account_nm,thstrm_amount
0,유동자산,677767742000.0
1,현금및현금성자산,109261504000.0
2,단기금융자산,2566128000.0
3,유동매도가능금융자산,
4,매출채권,295359287000.0
5,단기대여금,2576181000.0
6,기타유동성금융자산,16400494000.0
7,재고자산,221403226000.0
8,당기법인세자산,1987433000.0
9,기타유동자산,28213489000.0
10,비유동자산,657855441000.0
11,비유동매도가능금융자산,45402974000.0
12,장기대여금,80662000.0
13,"종속기업,관계기업,공동기업투자",
14,기타비유동금융자산,2248465000.0
15,유형자산,521547855000.0
16,무형자산,14167985000.0
17,투자부동산,15570877000.0
18,이연법인세자산,55710942000.0
19,기타비유동자산,3125681000.0
20,자산총계,1335623183000.0
21,유동부채,440751132000.0
22,매입채무,151542546000.0
23,단기차입금,138278782000.0
24,유동성장기부채,8857204000.0
25,기타유동성금융부채,71303886000.0
26,당기법인세부채,804405000.0
27,유동성충당부채,6085647000.0
28,기타유동부채,63878662000.0
29,비유동부채,556891203000.0
30,장기차입금,496146726000.0
31,기타비유동금융부채,706985000.0
32,순확정급여부채,23654858000.0
33,비유동충당부채,2451235000.0
34,이연법인세부채,271884000.0
35,기타비유동부채,33659515000.0
36,부채총계,997642335000.0
37,지배기업의 소유주에게 귀속되는 자본,324170054000.0
38,자본금,428236505000.0
39,기타불입자본,-202950505000.0
40,기타자본구성요소,-25577423000.0
41,이익잉여금(결손금),124461477000.0
42,비지배지분,13810794000.0
43,자본총계,337980848000.0
44,자본과부채총계,1335623183000.0
45,매출액,1587602185000.0
46,매출원가,1453585375000.0
47,매출총이익,134016810000.0
48,판매비와관리비,79309700000.0
49,영업이익(손실),54707110000.0
50,금융수익,20189811000.0
51,금융비용,76487818000.0
52,"종속기업,관계기업,공동기업투자손익",-16469896000.0
53,기타영업외수익,25669217000.0
54,기타영업외비용,54291446000.0
55,법인세비용차감전순이익(손실),-46683022000.0
56,법인세비용,-2086959000.0
57,당기순이익(손실),-48769981000.0
58,기타포괄손익,-699637000.0
59,당기손익으로 재분류되지 않는항목,-1071816000.0
60,확정급여제도의 재측정손익,-1071816000.0
61,당기손익으로 재분류될 수 있는 항목,372179000.0
62,매도가능금융자산평가손익,-72376000.0
63,지분법자본변동,-908650000.0
64,파생상품평가손익,-295060000.0
65,해외사업장환산손익,1058145000.0
66,총포괄손익,-49469618000.0
67,지배기업소유주,-43386305000.0
68,비지배지분,-5383676000.0
69,지배기업소유주,-46094490000.0
70,비지배지분,-3375128000.0
71,기본주당이익(손실)(단위:원),-51.0
72,영업활동현금흐름,31862603000.0
73,당기순이익(손실),-48769981000.0
74,비현금항목에 관한 기타조정,143356558000.0
75,"영업자산,부채의 변동",-43324588000.0
76,이자수취,9005357000.0
77,이자지급,26080322000.0
78,배당금수취,245028000.0
79,법인세의 환급(납부),2569449000.0
80,투자활동현금흐름,-40163946000.0
81,단기금융자산의 감소,3246561000.0
82,단기대여금의 감소,726057000.0
83,매각예정자산의 처분,
84,기타유동금융자산의 감소,10131409000.0
85,매도가능금융자산의 감소,1498253000.0
86,매도가능금융자산의 증가,22329216000.0
87,종속기업투자의 처분,
88,유형자산의 처분,695245000.0
89,무형자산의 처분,
90,기타보증금의 감소,1997410000.0
91,단기금융자산의 증가,2839700000.0
92,단기대여금의 증가,468412000.0
93,장기대여금의 증가,
94,장기대여금의 감소,
95,종속기업투자의 취득,
96,기타금융자산의 증가,10182730000.0
97,기타비유동금융자산의 감소,
98,기타비유동금융자산의 증가,3675000.0
99,유형자산의 취득,21358267000.0
100,무형자산의 취득,
101,기타보증금의 증가,1276881000.0
102,투자부동산의 취득,
103,매각예정종속기업투자의 취득,
104,재무활동현금흐름,-37018912000.0
105,단기차입금의 증가,503839920000.0
106,장기차입금의 증가,111863491000.0
107,기타금융부채등의 증가,
108,유상증자,1913880000.0
109,단기차입금의 상환,594796966000.0
110,유동성장기부채의 상환,-44726169000.0
111,장기차입금의 상환,15113068000.0
112,기타금융부채등의 감소,
113,자기주식의 취득,
114,주식발행비용,
115,기타,
116,외화표시재무제표 환산으로 인한 감소,-561627000.0
117,현금및현금성자산의증가,-45881882000.0
118,기초현금및현금성자산,155724040000.0
119,현금및현금성자산의 환율변동,-3080111000.0
120,연결범위의변동,2499457000.0
121,기말현금및현금성자산,109261504000.0
122,기초자본,347554525000.0
123,기초자본,-16355880000.0
124,기초자본,363910405000.0
125,기초자본,-209304644000.0
126,기초자본,-17982560000.0
127,기초자본,162961104000.0
128,기초자본,428236505000.0
129,전기오류수정,
130,전기오류수정,
131,전기오류수정,
132,당기순이익(손실),-48769981000.0
133,당기순이익(손실),-5383676000.0
134,당기순이익(손실),-43386305000.0
135,당기순이익(손실),-43386305000.0
136,매도가능금융자산평가손익,-72376000.0
137,매도가능금융자산평가손익,
138,매도가능금융자산평가손익,-72376000.0
139,매도가능금융자산평가손익,-72376000.0
140,확정급여채무의 재측정요소,-1071816000.0
141,확정급여채무의 재측정요소,-3411000.0
142,확정급여채무의 재측정요소,-1068405000.0
143,확정급여채무의 재측정요소,-1068405000.0
144,지분법 자본변동,-908650000.0
145,지분법 자본변동,-908650000.0
146,지분법 자본변동,-6863733000.0
147,지분법 자본변동,5955083000.0
148,파생상품평가손익,295060000.0
149,파생상품평가손익,295060000.0
150,파생상품평가손익,295060000.0
151,해외사업환산손익,1058145000.0
152,해외사업환산손익,2011959000.0
153,해외사업환산손익,-953814000.0
154,해외사업환산손익,-953814000.0
155,해외사업환산손익,
156,무상감자,
157,무상감자,
158,무상감자,
159,무상감자,
160,유상증자,
161,유상증자,
162,유상증자,
163,유상증자,
164,우선주의 보통주전환,
165,우선주의 보통주전환,
166,결손보전,
167,결손보전,
168,합병으로 인한 변동,
169,합병으로 인한 변동,
170,합병으로 인한 변동,
171,합병으로 인한 변동,
172,합병으로 인한 변동,
173,주식기준보상,6307243000.0
174,주식기준보상,6307243000.0
175,주식기준보상,6307243000.0
176,자기주식취득,
177,자기주식취득,
178,자기주식취득,
179,연결실체내 자본거래,16533034000.0
180,연결실체내 자본거래,16486138000.0
181,연결실체내 자본거래,46896000.0
182,연결실체내 자본거래,46896000.0
183,연결대상범위의 변동,17055664000.0
184,연결대상범위의 변동,17055664000.0
185,기타,
186,기타,
187,기타,
188,기타,
189,기말자본,337980848000.0
190,기말자본,13810794000.0
191,기말자본,324170054000.0
192,기말자본,-202950505000.0
193,기말자본,-25577423000.0
194,기말자본,124461477000.0
195,기말자본,428236505000.0
