,account_nm,thstrm_amount
0,유동자산,2609399000000.0
1,현금및현금성자산,263364000000.0
2,단기금융상품,7448000000.0
3,유동만기보유금융자산,45000000.0
4,매출채권,1145129000000.0
5,파생금융자산,1060000000.0
6,기타유동금융자산,101948000000.0
7,기타유동자산,193134000000.0
8,재고자산,635348000000.0
9,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,261923000000.0
10,비유동자산,4617973000000.0
11,장기금융상품,50000000.0
12,비유동매도가능금융자산,50232000000.0
13,비유동만기보유금융자산,825000000.0
14,관계기업및공동기업투자,18670000000.0
15,파생금융자산,
16,기타비유동금융자산,112458000000.0
17,유형자산,3540077000000.0
18,영업권및무형자산,555098000000.0
19,투자부동산,98611000000.0
20,이연법인세자산,117677000000.0
21,기타비유동자산,124275000000.0
22,자산총계,7227372000000.0
23,유동부채,3207069000000.0
24,단기매입채무,1988494000000.0
25,단기차입금,417019000000.0
26,유동성장기부채,332628000000.0
27,파생금융부채,14604000000.0
28,기타유동금융부채,234322000000.0
29,당기법인세부채,10877000000.0
30,유동충당부채,9129000000.0
31,기타유동부채,86141000000.0
32,매각예정으로 분류된 처분자산집단에 포함된 부채,113855000000.0
33,비유동부채,1671802000000.0
34,차입금및사채,1363255000000.0
35,파생금융부채,1107000000.0
36,기타비유동금융부채,156872000000.0
37,이연법인세부채,87822000000.0
38,순확정급여부채,36572000000.0
39,비유동충당부채,10647000000.0
40,기타비유동부채,15527000000.0
41,부채총계,4878871000000.0
42,지배기업의 소유주에게 귀속되는 자본,2370219000000.0
43,자본금,648654000000.0
44,자본잉여금,814476000000.0
45,이익잉여금(결손금),1012341000000.0
46,기타자본항목,-105252000000.0
47,비지배지분,-21718000000.0
48,자본총계,2348501000000.0
49,자본과부채총계,7227372000000.0
50,수익(매출액),15202346000000.0
51,매출원가,14103978000000.0
52,매출총이익,1098368000000.0
53,판매비와관리비,955572000000.0
54,영업이익(손실),142796000000.0
55,금융수익,275673000000.0
56,금융원가,328167000000.0
57,기타영업외수익,32449000000.0
58,기타영업외비용,60054000000.0
59,지분법이익(손실),149000000.0
60,법인세비용차감전순이익(손실),62846000000.0
61,법인세비용,16404000000.0
62,계속영업이익(손실),46442000000.0
63,중단영업이익(손실),-11832000000.0
64,당기순이익(손실),34610000000.0
65,지배기업의 소유주에게 귀속되는 당기순이익(손실),33412000000.0
66,비지배지분에 귀속되는 당기순이익(손실),1198000000.0
67,기타포괄손익,-12274000000.0
68,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-1290000000.0
69,확정급여제도의 재측정손익(세후기타포괄손익),-1290000000.0
70,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-10984000000.0
71,매도가능금융자산평가손익,1094000000.0
72,지분법자본변동,-917000000.0
73,부의지분법자본변동,5562000000.0
74,파생상품평가이익(손실),-9313000000.0
75,해외사업장환산외환차이(세후기타포괄손익),-7410000000.0
76,총포괄손익,22336000000.0
77,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",21590000000.0
78,"총 포괄손익, 비지배지분",746000000.0
79,보통주 기본주당이익(손실),136.0
80,우선주 기본주당이익(손실),142.0
81,보통주 기본주당계속영업이익(손실)(단위:원),182000000.0
82,우선주 기본주당계속영업이익(손실)(단위:원),188000000.0
83,영업활동현금흐름,-634642000000.0
84,당기순이익(손실),34610000000.0
85,비현금항목에 관한 기타조정,354200000000.0
86,운전자본 조정,-953240000000.0
87,이자수취(영업),10122000000.0
88,이자지급(영업),80849000000.0
89,배당금수취(영업),475000000.0
90,법인세환급(납부),-40000000.0
91,투자활동현금흐름,878023000000.0
92,단기금융상품의 순증감,10000000000.0
93,장기금융상품의 순증감,7000000.0
94,파생금융상품의 순증감,16802000000.0
95,단기대여금의 순증감,-10494000000.0
96,장기대여금의 순증감,-1576000000.0
97,만기보유금융자산의 처분,67000000.0
98,매도가능금융자산의 처분,193000000.0
99,매도가능금융자산의 취득,19701000000.0
100,관계기업및공동기업투자의 처분,
101,유형자산의 처분,117068000000.0
102,유형자산의 취득,156741000000.0
103,무형자산의 처분,1613000000.0
104,무형자산의 취득,4696000000.0
105,투자부동산의 처분,
