,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
150,003410,쌍용양회,14700,-100,-0.7,64327,947952000,14950,14950,14550,1285939374300,0.08,87478869,3452816.0,3.95,151,2017-01-02
2400,003410,쌍용양회,14150,-550,-3.7,129104,1826812500,14700,14700,14000,1237825996350,0.08,87478869,3469579.0,3.97,154,2017-01-03
4646,003410,쌍용양회,14300,150,1.1,169784,2394413050,14100,14450,13850,1250947826700,0.08,87478869,3491019.0,3.99,153,2017-01-04
6894,003410,쌍용양회,14250,-50,-0.4,111878,1607041550,14200,14600,14150,1246573883250,0.08,87478869,3490471.0,3.99,154,2017-01-05
9141,003410,쌍용양회,14200,-50,-0.4,75458,1081422000,14300,14500,14150,1242199939800,0.08,87478869,3495625.0,4.0,154,2017-01-06
11391,003410,쌍용양회,13900,-300,-2.1,87677,1229665400,14200,14300,13900,1215956279100,0.08,87478869,3510220.0,4.01,157,2017-01-09
13631,003410,쌍용양회,14600,700,5.0,165140,2378753350,13850,14700,13650,1277191487400,0.08,87478869,3502904.0,4.0,150,2017-01-10
15879,003410,쌍용양회,14650,50,0.3,127959,1863144400,14400,14700,14350,1281565430850,0.08,87478869,3474614.0,3.97,151,2017-01-11
18121,003410,쌍용양회,15150,500,3.4,190759,2850781450,14550,15150,14500,1325304865350,0.09,87478869,3461340.0,3.96,147,2017-01-12
20368,003410,쌍용양회,15250,100,0.7,108431,1644978450,15150,15300,15000,1334052752250,0.09,87478869,3431028.0,3.92,148,2017-01-13
22615,003410,쌍용양회,15000,-250,-1.6,139890,2132016100,15200,15600,14900,1312183035000,0.09,87478869,3413629.0,3.9,148,2017-01-16
24864,003410,쌍용양회,14900,-100,-0.7,76103,1145753800,15100,15300,14900,1303435148100,0.08,87478869,3417954.0,3.91,149,2017-01-17
27111,003410,쌍용양회,15150,250,1.7,76572,1153370450,14800,15250,14650,1325304865350,0.09,87478869,3399192.0,3.89,150,2017-01-18
29358,003410,쌍용양회,14900,-250,-1.6,58167,873119700,15050,15250,14850,1303435148100,0.08,87478869,3394986.0,3.88,151,2017-01-19
31601,003410,쌍용양회,15050,150,1.0,84471,1270382550,15200,15200,14800,1316556978450,0.09,87478869,3387021.0,3.87,148,2017-01-20
