,account_nm,thstrm_amount
0,유동자산,3582302550141.0
1,현금및현금성자산,761234833341.0
2,단기금융상품,510545815016.0
3,유동성금융리스채권,61156315421.0
4,매출채권및기타채권,757013154140.0
5,미청구공사,207454125736.0
6,유동성만기보유금융자산,718445000.0
7,재고자산,682687131790.0
8,당기법인세자산,150564770.0
9,유동성파생상품자산,125653792.0
10,기타금융자산,15000000.0
11,기타유동자산,462318470453.0
12,매각예정자산,138883040682.0
13,비유동자산,21066371572227.0
14,장기금융상품,5581651634.0
15,장기매출채권 및 기타채권,49906760.0
16,매도가능금융자산,202169416162.0
17,만기보유금융자산,318740000.0
18,금융리스채권,95874161106.0
19,관계기업투자,5835568095.0
20,유형자산,18907293604466.0
21,투자부동산,322345239484.0
22,무형자산,363496292169.0
23,파생상품자산,
24,기타금융자산,262351363375.0
25,이연법인세자산,700143142611.0
26,기타비유동자산,200912486365.0
27,자산총계,24648674122368.0
28,유동부채,6638123273977.0
29,매입채무및기타채무,917970492815.0
30,단기차입금,772624618028.0
31,단기사채,69923535423.0
32,유동성장기부채,2122132885257.0
33,유동성금융리스부채,1178331867038.0
34,유동성파생상품부채,41595811.0
35,유동성충당부채,5462243208.0
36,초과청구공사,39688639024.0
37,당기법인세부채,34737214404.0
38,기타유동부채,1497210182969.0
39,비유동부채,14259447690725.0
40,장기매입채무및기타채무,21666643048.0
41,장기차입금,1941915172409.0
42,사채,1102988676591.0
43,자산유동화차입금,1260628900933.0
44,채무인수장기차입금,
45,금융리스부채,6396795724726.0
46,순확정급여부채,1144539031622.0
47,충당부채,137761285748.0
48,이연수익,2061461476575.0
49,파생상품부채,69066655232.0
50,이연법인세부채,38314285810.0
51,기타비유동부채,84309838031.0
52,부채총계,20897570964702.0
53,지배기업의 소유주에게 귀속되는 자본,3629438405853.0
54,자본금,479777140000.0
55,보통주자본금,474223170000.0
56,우선주자본금,5553970000.0
57,기타불입자본,1902214552503.0
58,기타자본구성요소,670771965325.0
59,이익잉여금(결손금),576674748025.0
60,비지배지분,121664751813.0
61,자본총계,3751103157666.0
62,부채및자본총계,24648674122368.0
63,매출,12092211497503.0
64,매출원가,9991152334349.0
65,매출총이익,2101059163154.0
66,판매비와관리비,1161276913569.0
67,영업이익,939782249585.0
68,금융수익,72872182881.0
69,금융비용,530661566148.0
70,지분법이익(손실),11318844695.0
71,기타영업외수익,1493129276882.0
72,기타영업외비용,864741865377.0
73,법인세비용차감전순이익(손실),1121699122518.0
74,법인세비용(수익),319802097703.0
75,계속영업손실,801897024815.0
76,중단영업손실,
77,당기순이익(손실),801897024815.0
78,기타포괄손익,303831107694.0
79,1. 후속적으로 당기손익으로 재분류되지 않는 항목,363086630705.0
80,순확정급여부채 재측정요소,9426390314.0
81,지분법이익잉여금,
82,자산재평가잉여금,353660240391.0
83,2. 후속적으로 당기손익으로 재분류될 수 있는 항목,-59255523011.0
84,매도가능금융자산평가손익,29151397401.0
85,(부의)지분법자본변동,912266874.0
86,파생상품평가이익,
87,해외사업장환산손익,-89319187286.0
88,당기총포괄이익(손익),1105728132509.0
89,지배기업의 소유주,791510245979.0
90,비지배지분,10386778836.0
91,지배기업의 소유주,1088879171727.0
92,비지배지분,16848960782.0
93,보통주 기본및희석주당이익(손실),8639.0
94,우선주 기본및희석주당이익(손실),8689.0
