,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
133,003520,영진약품,8730,-90,-1.0,1202533,10554243030,8780,8880,8690,1550622600000,0.1,177620000,3077632.0,1.73,134,2017-01-02
2378,003520,영진약품,8840,110,1.3,1888251,16643325500,8750,8890,8700,1570160800000,0.1,177620000,3199568.0,1.8,132,2017-01-03
4621,003520,영진약품,9330,490,5.5,6851882,62894376030,8900,9370,8810,1657194600000,0.11,177620000,3583485.0,2.02,128,2017-01-04
6870,003520,영진약품,9230,-100,-1.1,3372195,31353620730,9330,9470,9170,1639432600000,0.11,177620000,3400749.0,1.91,130,2017-01-05
9117,003520,영진약품,9250,20,0.2,2463122,22864398570,9330,9420,9170,1642985000000,0.11,177620000,3264678.0,1.84,130,2017-01-06
11365,003520,영진약품,8980,-270,-2.9,2519488,23072962730,9270,9370,8950,1595027600000,0.1,177620000,3258709.0,1.83,131,2017-01-09
13612,003520,영진약품,9050,70,0.8,2317638,20775740750,8970,9110,8790,1607461000000,0.11,177620000,3316982.0,1.87,131,2017-01-10
15861,003520,영진약품,8940,-110,-1.2,1430881,12900127230,9060,9150,8920,1587922800000,0.1,177620000,3264196.0,1.84,133,2017-01-11
18110,003520,영진약품,8650,-290,-3.2,2399610,20943606620,8880,9000,8580,1536413000000,0.1,177620000,3164980.0,1.78,136,2017-01-12
20356,003520,영진약품,8690,40,0.5,1884861,16497338110,8630,8940,8600,1543517800000,0.1,177620000,3154738.0,1.78,136,2017-01-13
22601,003520,영진약품,8800,110,1.3,1665195,14403935980,8690,8870,8480,1563056000000,0.1,177620000,3113553.0,1.75,134,2017-01-16
24852,003520,영진약품,8670,-130,-1.5,1524646,13303248780,8800,8880,8620,1539965400000,0.1,177620000,3128187.0,1.76,137,2017-01-17
27098,003520,영진약품,8790,120,1.4,1407209,12208067780,8620,8790,8560,1561279800000,0.1,177620000,3127822.0,1.76,137,2017-01-18
29347,003520,영진약품,8230,-560,-6.4,2423276,20687039380,8790,8840,8230,1461812600000,0.09,177620000,3180888.0,1.79,140,2017-01-19
31593,003520,영진약품,8120,-110,-1.3,1911926,15654840100,8000,8390,7980,1442274400000,0.09,177620000,3364186.0,1.89,140,2017-01-20
33841,003520,영진약품,7710,-410,-5.0,2308091,18214967900,8120,8190,7700,1369450200000,0.09,177620000,3279410.0,1.85,144,2017-01-23
36082,003520,영진약품,7810,100,1.3,1907549,14751142430,7580,7890,7490,1387212200000,0.09,177620000,3547266.0,2.0,141,2017-01-24
38330,003520,영진약품,7500,-310,-4.0,1488242,11327538860,7770,7870,7500,1332150000000,0.09,177620000,3451046.0,1.94,144,2017-01-25
40576,003520,영진약품,7480,-20,-0.3,1213016,9068743960,7440,7620,7340,1368037627880,0.09,182892731,3585834.0,1.96,144,2017-01-26
42821,003520,영진약품,7220,-260,-3.5,1506522,11056203580,7450,7600,7210,1320485517820,0.09,182892731,3505113.0,1.92,143,2017-01-31
45067,003520,영진약품,7470,250,3.5,1639390,12151255780,7230,7560,7230,1366208700570,0.09,182892731,3543287.0,1.94,143,2017-02-01
47314,003520,영진약품,7250,-220,-3.0,1257785,9197551500,7420,7440,7240,1325972299750,0.09,182892731,3431656.0,1.88,144,2017-02-02
49566,003520,영진약품,6960,-290,-4.0,3177099,22217288050,7160,7280,6790,1272933407760,0.08,182892731,3538793.0,1.93,149,2017-02-03
51811,003520,영진약품,7080,120,1.7,1633525,11535163250,6940,7130,6930,1294880535480,0.08,182892731,3706007.0,2.03,147,2017-02-06
54058,003520,영진약품,7250,170,2.4,2023431,14660139130,7080,7360,7080,1325972299750,0.09,182892731,3550927.0,1.94,147,2017-02-07
56310,003520,영진약품,7100,-150,-2.1,1053529,7533626520,7310,7320,7080,1298538390100,0.08,182892731,3330526.0,1.82,152,2017-02-08
58558,003520,영진약품,7090,-10,-0.1,770964,5459352730,7090,7180,7000,1296709462790,0.08,182892731,3351078.0,1.83,153,2017-02-09
60806,003520,영진약품,7130,40,0.6,992225,7074881810,7110,7230,7070,1304025172030,0.08,182892731,3255350.0,1.78,154,2017-02-10
63052,003520,영진약품,7190,60,0.8,783445,5610216630,7190,7230,7050,1314998735890,0.09,182892731,3358526.0,1.84,153,2017-02-13
65300,003520,영진약품,7240,50,0.7,1117312,8077715260,7230,7340,7120,1324143372440,0.09,182892731,3206476.0,1.75,154,2017-02-14
67543,003520,영진약품,7470,230,3.2,2414782,17923112670,7280,7520,7230,1366208700570,0.09,182892731,3224121.0,1.76,150,2017-02-15
69790,003520,영진약품,7380,-90,-1.2,1585327,11840178950,7550,7590,7370,1349748354780,0.09,182892731,2906839.0,1.59,150,2017-02-16
72035,003520,영진약품,7480,100,1.4,888064,6591696750,7370,7480,7300,1368037627880,0.09,182892731,2893158.0,1.58,148,2017-02-17
74284,003520,영진약품,7300,-180,-2.4,1211964,8915355630,7440,7510,7270,1335116936300,0.09,182892731,2829148.0,1.55,150,2017-02-20
76533,003520,영진약품,7370,70,1.0,1332680,9832211990,7300,7480,7270,1347919427470,0.09,182892731,2861455.0,1.56,152,2017-02-21
78776,003520,영진약품,7410,40,0.5,2166406,16076962640,7390,7540,7310,1355235136710,0.09,182892731,2604539.0,1.42,149,2017-02-22
81025,003520,영진약품,7360,-50,-0.7,1268243,9402723620,7410,7500,7360,1346090500160,0.09,182892731,2555718.0,1.4,152,2017-02-23
83255,003520,영진약품,8900,1540,20.9,41534146,362215776940,7320,9340,7320,1627745305900,0.1,182892731,2848762.0,1.56,134,2017-02-24
85503,003520,영진약품,8910,10,0.1,12088111,109523030420,8750,9430,8700,1629574233210,0.11,182892731,2460572.0,1.35,134,2017-02-27
87756,003520,영진약품,8300,-610,-6.8,7100534,60743555790,8960,9000,8280,1518009667300,0.1,182892731,2435193.0,1.33,139,2017-02-28
90002,003520,영진약품,8480,180,2.2,15197044,132997678620,8360,9180,8310,1550930358880,0.1,182892731,2369637.0,1.3,136,2017-03-02
92253,003520,영진약품,8200,-280,-3.3,3584869,29668243910,8370,8510,8170,1499720394200,0.1,182892731,2328017.0,1.27,137,2017-03-03
94505,003520,영진약품,8220,20,0.2,6085588,51477934670,8200,8730,8200,1503378248820,0.1,182892731,2151592.0,1.18,138,2017-03-06
96753,003520,영진약품,8390,170,2.1,3215901,26729201970,8180,8440,8180,1534470013090,0.1,182892731,2238712.0,1.22,135,2017-03-07
99001,003520,영진약품,8520,130,1.6,4076084,34734489030,8480,8640,8400,1558246068120,0.1,182892731,2174826.0,1.19,134,2017-03-08
101255,003520,영진약품,8260,-260,-3.0,2954280,24814335000,8520,8610,8230,1510693958060,0.1,182892731,2140228.0,1.17,139,2017-03-09
103502,003520,영진약품,8410,150,1.8,3263043,26997660360,8300,8420,7970,1538127867710,0.1,182892731,2428492.0,1.33,137,2017-03-10
105752,003520,영진약품,8340,-70,-0.8,2013458,16927753100,8460,8520,8330,1525325376540,0.1,182892731,2325573.0,1.27,138,2017-03-13
108002,003520,영진약품,8210,-130,-1.6,1726792,14312955800,8370,8450,8200,1501549321510,0.09,182892731,2290802.0,1.25,139,2017-03-14
110250,003520,영진약품,8140,-70,-0.8,1988014,16223736700,8240,8350,8030,1488746830340,0.09,182892731,2362116.0,1.29,138,2017-03-15
112500,003520,영진약품,8200,60,0.7,2108379,17298378240,8210,8370,8080,1499720394200,0.09,182892731,2366641.0,1.29,140,2017-03-16
114747,003520,영진약품,8310,110,1.3,6770322,57352558650,8220,8760,8190,1519838594610,0.09,182892731,2271653.0,1.24,139,2017-03-17
116991,003520,영진약품,8400,90,1.1,2673251,22508919460,8370,8530,8250,1536298940400,0.1,182892731,2217573.0,1.21,135,2017-03-20
119241,003520,영진약품,8440,40,0.5,9818273,86676633450,9190,9220,8440,1543614649640,0.1,182892731,2016541.0,1.1,136,2017-03-21
121492,003520,영진약품,8360,-80,-1.0,3865999,32758024770,8410,8680,8280,1528983231160,0.1,182892731,1934875.0,1.06,138,2017-03-22
123744,003520,영진약품,8130,-230,-2.8,2536125,20875186650,8440,8450,8110,1486917903030,0.09,182892731,1801227.0,0.98,141,2017-03-23
125996,003520,영진약품,8140,10,0.1,1601674,13092825040,8130,8270,8120,1488746830340,0.09,182892731,1800092.0,0.98,143,2017-03-24
128247,003520,영진약품,8130,-10,-0.1,1740366,14239515960,8140,8270,8090,1486917903030,0.09,182892731,1926437.0,1.05,144,2017-03-27
130493,003520,영진약품,8400,270,3.3,2943346,24370723710,8190,8400,8110,1536298940400,0.1,182892731,2120103.0,1.16,139,2017-03-28
132745,003520,영진약품,8240,-160,-1.9,2144279,17845954450,8440,8460,8210,1507036103440,0.09,182892731,2111608.0,1.15,140,2017-03-29
134996,003520,영진약품,8150,-90,-1.1,1356336,11091854210,8310,8320,8130,1490575757650,0.09,182892731,2092160.0,1.14,140,2017-03-30
137250,003520,영진약품,8170,20,0.2,1204179,9845844340,8180,8240,8130,1494233612270,0.09,182892731,2096770.0,1.15,143,2017-03-31
139497,003520,영진약품,8470,300,3.7,3294745,27598315970,8240,8500,8180,1549101431570,0.1,182892731,2505821.0,1.37,138,2017-04-03
141749,003520,영진약품,8510,40,0.5,10360641,90556670620,8510,9140,8280,1556417140810,0.1,182892731,2325111.0,1.27,138,2017-04-04
144000,003520,영진약품,8690,180,2.1,5676467,49756291070,8600,8950,8550,1589337832390,0.1,182892731,2315049.0,1.27,137,2017-04-05
146253,003520,영진약품,8690,0,0.0,2757056,24052277870,8730,8830,8590,1589337832390,0.1,182892731,2228488.0,1.22,138,2017-04-06
148504,003520,영진약품,8760,70,0.8,2385538,20884596880,8620,8860,8620,1602140323560,0.1,182892731,2278659.0,1.25,136,2017-04-07
150759,003520,영진약품,8440,-320,-3.6,2526445,21594272380,8760,8810,8390,1543614649640,0.1,182892731,2114729.0,1.16,137,2017-04-10
153015,003520,영진약품,8470,30,0.4,1771227,15025093130,8470,8620,8300,1549101431570,0.1,182892731,2139590.0,1.17,139,2017-04-11
155273,003520,영진약품,8290,-180,-2.1,1454122,12104243280,8480,8480,8270,1516180739990,0.1,182892731,2045306.0,1.12,141,2017-04-12
157529,003520,영진약품,8300,10,0.1,973954,8111999850,8290,8450,8270,1518009667300,0.09,182892731,2038851.0,1.11,142,2017-04-13
159784,003520,영진약품,8230,-70,-0.8,1173051,9743760440,8300,8430,8230,1505207176130,0.09,182892731,1967232.0,1.08,143,2017-04-14
162036,003520,영진약품,8390,160,1.9,1164162,9730812050,8230,8440,8220,1534470013090,0.1,182892731,2139275.0,1.17,141,2017-04-17
164287,003520,영진약품,8410,20,0.2,1036536,8675301440,8430,8450,8300,1538127867710,0.1,182892731,2115594.0,1.16,139,2017-04-18
166542,003520,영진약품,8360,-50,-0.6,745915,6236058480,8350,8430,8330,1528983231160,0.1,182892731,2136251.0,1.17,141,2017-04-19
168791,003520,영진약품,8620,260,3.1,3891274,33500322270,8380,8790,8330,1576535341220,0.1,182892731,2183228.0,1.19,137,2017-04-20
171045,003520,영진약품,8520,-100,-1.2,1222305,10505782680,8600,8700,8510,1558246068120,0.1,182892731,2113008.0,1.16,138,2017-04-21
173301,003520,영진약품,8320,-200,-2.4,1430066,11992358910,8530,8570,8300,1521667521920,0.09,182892731,2057223.0,1.12,141,2017-04-24
175553,003520,영진약품,8460,140,1.7,1902963,16172673130,8330,8590,8330,1547272504260,0.09,182892731,2218414.0,1.21,139,2017-04-25
177803,003520,영진약품,8550,90,1.1,1216035,10379492050,8500,8610,8480,1563732850050,0.1,182892731,2020621.0,1.1,138,2017-04-26
180056,003520,영진약품,8500,-50,-0.6,2022793,17299549880,8550,8740,8400,1554588213500,0.09,182892731,1919371.0,1.05,140,2017-04-27
182305,003520,영진약품,8550,50,0.6,1673584,14339483270,8550,8670,8480,1563732850050,0.1,182892731,1914941.0,1.05,136,2017-04-28
184559,003520,영진약품,8570,20,0.2,4340411,38143814370,9080,9130,8570,1567390704670,0.09,182892731,1769425.0,0.97,136,2017-05-02
186818,003520,영진약품,8670,100,1.2,1973014,17103172400,8600,8750,8540,1585679977770,0.1,182892731,1973356.0,1.08,138,2017-05-04
189072,003520,영진약품,9290,620,7.2,13235882,120833121940,8720,9360,8700,1699073470990,0.1,182892731,3184762.0,1.74,135,2017-05-08
191328,003520,영진약품,9320,30,0.3,4913895,45447231380,9370,9380,9090,1704560252920,0.1,182892731,3116563.0,1.7,136,2017-05-10
193585,003520,영진약품,9670,350,3.8,7812037,74660916860,9400,9790,9220,1768572708770,0.1,182892731,3125207.0,1.71,135,2017-05-11
195845,003520,영진약품,9590,-80,-0.8,3285574,31711618050,9640,9830,9480,1753941290290,0.1,182892731,2940955.0,1.61,137,2017-05-12
198104,003520,영진약품,9570,-20,-0.2,2975508,28819030880,9630,9840,9510,1750283435670,0.1,182892731,2900463.0,1.59,136,2017-05-15
200365,003520,영진약품,9330,-240,-2.5,3157609,29643508170,9620,9700,9250,1706389180230,0.1,182892731,2910080.0,1.59,137,2017-05-16
202623,003520,영진약품,9340,10,0.1,2125046,20002651980,9380,9540,9310,1708218107540,0.1,182892731,2805459.0,1.53,136,2017-05-17
204883,003520,영진약품,9390,50,0.5,1836020,17048315770,9180,9390,9150,1717362744090,0.1,182892731,3006241.0,1.64,137,2017-05-18
207142,003520,영진약품,9400,10,0.1,2780390,26432658250,9470,9670,9360,1719191671400,0.1,182892731,2594278.0,1.42,137,2017-05-19
209401,003520,영진약품,9530,130,1.4,1519572,14325441360,9440,9530,9320,1742967726430,0.1,182892731,2514035.0,1.37,137,2017-05-22
211660,003520,영진약품,9630,100,1.0,1904404,18295501120,9610,9690,9480,1761256999530,0.1,182892731,2506930.0,1.37,136,2017-05-23
213920,003520,영진약품,9900,270,2.8,8833259,87840735180,9670,10200,9590,1810638036900,0.11,182892731,2656355.0,1.45,135,2017-05-24
216181,003520,영진약품,9960,60,0.6,2594387,25865030380,10050,10100,9860,1821611600760,0.11,182892731,2555237.0,1.4,135,2017-05-25
218440,003520,영진약품,10150,190,1.9,2781000,28023885930,10000,10200,9900,1856361219650,0.11,182892731,2668851.0,1.46,133,2017-05-26
220697,003520,영진약품,10550,400,3.9,4137225,42817420700,10300,10700,10050,1929518312050,0.11,182892731,2577933.0,1.41,128,2017-05-29
222945,003520,영진약품,11850,1300,12.3,13951503,159421141800,10650,11900,10450,2167278862350,0.12,182892731,2892192.0,1.58,115,2017-05-30
225202,003520,영진약품,12500,650,5.5,19847862,251427849400,11900,13350,11850,2286159137500,0.13,182892731,2868891.0,1.57,111,2017-05-31
227462,003520,영진약품,12800,300,2.4,7819684,98781441050,13050,13100,12250,2341026956800,0.13,182892731,3210195.0,1.76,110,2017-06-01
229727,003520,영진약품,12300,-500,-3.9,5774386,71674861150,12700,12700,12150,2249580591300,0.13,182892731,3262774.0,1.78,112,2017-06-02
231991,003520,영진약품,12400,100,0.8,6722990,84417094900,12400,12950,12150,2267869864400,0.13,182892731,3184701.0,1.74,112,2017-06-05
234255,003520,영진약품,12500,100,0.8,3826537,47873021550,12400,12750,12250,2286159137500,0.13,182892731,3005060.0,1.64,111,2017-06-07
236513,003520,영진약품,13150,650,5.2,7514780,96327277450,12600,13150,12400,2405039412650,0.14,182892731,2959718.0,1.62,105,2017-06-08
238779,003520,영진약품,13300,150,1.1,5809294,76998758750,13300,13500,13050,2432473322300,0.14,182892731,2661879.0,1.46,105,2017-06-09
241045,003520,영진약품,13200,-100,-0.8,4312295,57244452550,13300,13500,13100,2414184049200,0.14,182892731,2550166.0,1.39,104,2017-06-12
243316,003520,영진약품,13250,50,0.4,5338311,71477206900,13150,13700,13050,2423328685750,0.14,182892731,2820447.0,1.54,108,2017-06-13
245584,003520,영진약품,12850,-400,-3.0,4127408,54150727300,13350,13500,12750,2350171593350,0.13,182892731,2965708.0,1.62,109,2017-06-14
247850,003520,영진약품,12500,-350,-2.7,7389977,92388596750,12950,13100,12200,2286159137500,0.13,182892731,3485583.0,1.91,111,2017-06-15
250110,003520,영진약품,12450,-50,-0.4,4243664,52722311750,12400,12600,12150,2277014500950,0.13,182892731,3667975.0,2.01,111,2017-06-16
252368,003520,영진약품,12400,-50,-0.4,3168839,39592868900,12450,12700,12350,2267869864400,0.13,182892731,3642012.0,1.99,109,2017-06-19
254646,003520,영진약품,11000,-1400,-11.3,13503249,155936789500,12450,12550,10900,2011820041000,0.11,182892731,4134750.0,2.26,126,2017-06-20
256891,003520,영진약품,12100,1100,10.0,16150193,190388844700,10950,12500,10700,2213002045100,0.13,182892731,4656236.0,2.55,111,2017-06-21
259151,003520,영진약품,11800,-300,-2.5,4276082,51154130900,12400,12450,11600,2158134225800,0.12,182892731,4430871.0,2.42,111,2017-06-22
261413,003520,영진약품,11800,0,0.0,2393743,28473052050,11900,12150,11700,2158134225800,0.12,182892731,4307408.0,2.36,112,2017-06-23
263681,003520,영진약품,11500,-300,-2.5,3026954,34834688000,11750,11800,11350,2103266406500,0.12,182892731,4403235.0,2.41,119,2017-06-26
265936,003520,영진약품,11800,300,2.6,3941120,46527256000,11500,12100,11500,2158134225800,0.12,182892731,4348303.0,2.38,111,2017-06-27
268209,003520,영진약품,11300,-500,-4.2,2441447,27876859000,11700,11750,11200,2066687860300,0.12,182892731,4175707.0,2.28,120,2017-06-28
270474,003520,영진약품,11400,100,0.9,2122774,24311872550,11450,11700,11200,2084977133400,0.12,182892731,4204757.0,2.3,120,2017-06-29
272739,003520,영진약품,11350,-50,-0.4,1286648,14602873450,11300,11600,11200,2075832496850,0.12,182892731,4187464.0,2.29,120,2017-06-30
275009,003520,영진약품,11000,-350,-3.1,2749781,30412086150,11400,11500,10900,2011820041000,0.11,182892731,4068793.0,2.22,124,2017-07-03
277274,003520,영진약품,11100,100,0.9,4090400,44458717550,11000,11150,10600,2030109314100,0.12,182892731,4349135.0,2.38,123,2017-07-04
279538,003520,영진약품,11050,-50,-0.4,2708168,30347290450,11100,11450,11050,2020964677550,0.11,182892731,4154600.0,2.27,121,2017-07-05
281800,003520,영진약품,11250,200,1.8,2040865,23002526050,11150,11400,11100,2057543223750,0.12,182892731,4085388.0,2.23,118,2017-07-06
284070,003520,영진약품,11000,-250,-2.2,1817541,20163745750,11250,11400,10900,2011820041000,0.11,182892731,3942048.0,2.16,123,2017-07-07
286339,003520,영진약품,10800,-200,-1.8,1723952,18625455750,11100,11150,10600,1975241494800,0.11,182892731,3826864.0,2.09,126,2017-07-10
288606,003520,영진약품,10800,0,0.0,1682316,18241708050,10750,11050,10750,1975241494800,0.11,182892731,3865020.0,2.11,126,2017-07-11
290877,003520,영진약품,10150,-650,-6.0,4464098,46832652800,10750,11150,10000,1856361219650,0.1,182892731,3863660.0,2.11,130,2017-07-12
293144,003520,영진약품,10400,250,2.5,3554596,36265105800,10250,10500,9860,1902084402400,0.11,182892731,4073338.0,2.23,129,2017-07-13
