,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
484,003570,S&T중공업,9120,-180,-1.9,55547,508026090,9360,9360,9100,296157763680,0.02,32473439,5290284.0,16.29,485,2017-01-02
2724,003570,S&T중공업,9290,170,1.9,47014,433491790,9130,9360,9100,301678248310,0.02,32473439,5319219.0,16.38,478,2017-01-03
4967,003570,S&T중공업,9330,40,0.4,28663,266894810,9300,9350,9220,302977185870,0.02,32473439,5355092.0,16.49,474,2017-01-04
7216,003570,S&T중공업,9340,10,0.1,26775,251772090,9310,9460,9310,303301920260,0.02,32473439,5363157.0,16.52,476,2017-01-05
9460,003570,S&T중공업,9320,-20,-0.2,20632,193420050,9420,9440,9320,302652451480,0.02,32473439,5369787.0,16.54,473,2017-01-06
11709,003570,S&T중공업,9330,10,0.1,24753,232192250,9320,9450,9320,302977185870,0.02,32473439,5370789.0,16.54,475,2017-01-09
13938,003570,S&T중공업,9520,190,2.0,40975,385949430,9290,9520,9250,309147139280,0.02,32473439,5372717.0,16.54,457,2017-01-10
16185,003570,S&T중공업,9520,0,0.0,55483,528323340,9450,9590,9360,309147139280,0.02,32473439,5401689.0,16.63,457,2017-01-11
18424,003570,S&T중공업,9660,140,1.5,32382,312083050,9520,9700,9520,313693420740,0.02,32473439,5407400.0,16.65,450,2017-01-12
20666,003570,S&T중공업,9790,130,1.4,46590,453745070,9650,9790,9590,317914967810,0.02,32473439,5413012.0,16.67,446,2017-01-13
22911,003570,S&T중공업,9730,-60,-0.6,46182,446413510,9790,9830,9570,315966561470,0.02,32473439,5412553.0,16.67,444,2017-01-16
25155,003570,S&T중공업,9770,40,0.4,32671,316341860,9730,9820,9400,317265499030,0.02,32473439,5413308.0,16.67,440,2017-01-17
27402,003570,S&T중공업,9790,20,0.2,39041,380435220,9810,9890,9610,317914967810,0.02,32473439,5417267.0,16.68,441,2017-01-18
29648,003570,S&T중공업,9690,-100,-1.0,21589,209422980,9690,9790,9670,314667623910,0.02,32473439,5412304.0,16.67,441,2017-01-19
31892,003570,S&T중공업,9780,90,0.9,28704,278627470,9600,9810,9550,317590233420,0.02,32473439,5397442.0,16.62,439,2017-01-20
34132,003570,S&T중공업,9650,-130,-1.3,26467,258496100,9710,9920,9600,313368686350,0.02,32473439,5396778.0,16.62,435,2017-01-23
36385,003570,S&T중공업,9420,-230,-2.4,42345,399733960,9600,9690,9340,305899795380,0.02,32473439,5388890.0,16.59,444,2017-01-24
38641,003570,S&T중공업,9070,-350,-3.7,76191,700679620,9420,9450,9070,294534091730,0.02,32473439,5357796.0,16.5,455,2017-01-25
40894,003570,S&T중공업,9030,-40,-0.4,49490,445370850,9020,9130,8950,293235154170,0.02,32473439,5351624.0,16.48,462,2017-01-26
43144,003570,S&T중공업,8980,-50,-0.6,27039,242133900,9130,9130,8900,291611482220,0.02,32473439,5342144.0,16.45,466,2017-01-31
45386,003570,S&T중공업,9120,140,1.6,23777,215437570,9080,9120,8980,296157763680,0.02,32473439,5342945.0,16.45,462,2017-02-01
47625,003570,S&T중공업,9150,30,0.3,27537,253334880,9050,9270,9020,297131966850,0.02,32473439,5343379.0,16.45,455,2017-02-02
49874,003570,S&T중공업,9110,-40,-0.4,25859,235656050,9060,9210,9060,295833029290,0.02,32473439,5342782.0,16.45,457,2017-02-03
52117,003570,S&T중공업,9170,60,0.7,21327,194875570,9110,9220,9060,297781435630,0.02,32473439,5343176.0,16.45,453,2017-02-06
54363,003570,S&T중공업,9300,130,1.4,23440,217032690,9230,9310,9150,302002982700,0.02,32473439,5343568.0,16.46,452,2017-02-07
56600,003570,S&T중공업,9420,120,1.3,29767,277545890,9250,9470,9130,305899795380,0.02,32473439,5331565.0,16.42,442,2017-02-08
58847,003570,S&T중공업,9500,80,0.8,23315,220586770,9420,9540,9390,308497670500,0.02,32473439,5338055.0,16.44,442,2017-02-09
61091,003570,S&T중공업,9570,70,0.7,24182,231686070,9550,9620,9490,310770811230,0.02,32473439,5340074.0,16.44,439,2017-02-10
63338,003570,S&T중공업,9680,110,1.2,24316,235232890,9640,9760,9570,314342889520,0.02,32473439,5346442.0,16.46,439,2017-02-13
65581,003570,S&T중공업,9760,80,0.8,40577,393504190,9700,9770,9510,316940764640,0.02,32473439,5346309.0,16.46,435,2017-02-14
67837,003570,S&T중공업,9680,-80,-0.8,28374,276001120,9690,9800,9630,314342889520,0.02,32473439,5351752.0,16.48,444,2017-02-15
70085,003570,S&T중공업,9680,0,0.0,45452,435384230,9730,9760,9470,314342889520,0.02,32473439,5350237.0,16.48,445,2017-02-16
72330,003570,S&T중공업,9670,-10,-0.1,16614,160785840,9630,9720,9590,314018155130,0.02,32473439,5352713.0,16.48,443,2017-02-17
74579,003570,S&T중공업,9600,-70,-0.7,29382,282100720,9510,9700,9510,311745014400,0.02,32473439,5355312.0,16.49,445,2017-02-20
76825,003570,S&T중공업,9690,90,0.9,26978,260645060,9600,9750,9600,314667623910,0.02,32473439,5357227.0,16.5,444,2017-02-21
79070,003570,S&T중공업,9700,10,0.1,57361,558496050,9610,9790,9490,314992358300,0.02,32473439,5364017.0,16.52,443,2017-02-22
81308,003570,S&T중공업,9780,80,0.8,34058,331124300,9710,9810,9600,317590233420,0.02,32473439,5369477.0,16.53,435,2017-02-23
83553,003570,S&T중공업,9800,20,0.2,28310,275908540,9780,9800,9640,318239702200,0.02,32473439,5370495.0,16.54,432,2017-02-24
85795,003570,S&T중공업,9850,50,0.5,24677,242772600,9850,9850,9790,319863374150,0.02,32473439,5370315.0,16.54,426,2017-02-27
88060,003570,S&T중공업,9580,-270,-2.7,71179,687744230,9850,9850,9580,311095545620,0.02,32473439,5364051.0,16.52,443,2017-02-28
90318,003570,S&T중공업,9420,-160,-1.7,41019,393296040,9550,9710,9420,305899795380,0.02,32473439,5372701.0,16.54,452,2017-03-02
92564,003570,S&T중공업,9320,-100,-1.1,32470,305814490,9420,9550,9280,302652451480,0.02,32473439,5377087.0,16.56,448,2017-03-03
94822,003570,S&T중공업,9240,-80,-0.9,32077,296278040,9270,9310,9190,300054576360,0.02,32473439,5372069.0,16.54,455,2017-03-06
97072,003570,S&T중공업,9360,120,1.3,30474,281986480,9160,9380,9150,303951389040,0.02,32473439,5382854.0,16.58,454,2017-03-07
99320,003570,S&T중공업,9420,60,0.6,18570,174082450,9330,9440,9330,305899795380,0.02,32473439,5386604.0,16.59,453,2017-03-08
101565,003570,S&T중공업,9400,-20,-0.2,41653,391375960,9380,9480,9330,305250326600,0.02,32473439,5394858.0,16.61,449,2017-03-09
103829,003570,S&T중공업,9150,-250,-2.7,68400,628087010,9360,9360,9110,297131966850,0.02,32473439,5385160.0,16.58,464,2017-03-10
106084,003570,S&T중공업,9060,-90,-1.0,94213,854823540,9180,9180,9020,294209357340,0.02,32473439,5372154.0,16.54,470,2017-03-13
108330,003570,S&T중공업,9100,40,0.4,74640,675702730,9060,9130,9000,295508294900,0.02,32473439,5376634.0,16.56,467,2017-03-14
110573,003570,S&T중공업,9110,10,0.1,34487,313171100,9060,9110,9020,295833029290,0.02,32473439,5364425.0,16.52,461,2017-03-15
112828,003570,S&T중공업,9100,-10,-0.1,42646,388018160,9110,9150,9060,295508294900,0.02,32473439,5372015.0,16.54,468,2017-03-16
115072,003570,S&T중공업,9120,20,0.2,38253,348694910,9060,9150,9060,296157763680,0.02,32473439,5384762.0,16.58,464,2017-03-17
117311,003570,S&T중공업,9170,50,0.6,26367,240162530,9120,9170,9070,297781435630,0.02,32473439,5385585.0,16.58,455,2017-03-20
119557,003570,S&T중공업,9220,50,0.6,39660,366125520,9230,9280,9150,299405107580,0.02,32473439,5375147.0,16.55,452,2017-03-21
121813,003570,S&T중공업,9100,-120,-1.3,77845,713263990,9230,9300,9050,295508294900,0.02,32473439,5379650.0,16.57,459,2017-03-22
124060,003570,S&T중공업,9160,60,0.7,40330,369132590,9150,9220,9050,297456701240,0.02,32473439,5380663.0,16.57,457,2017-03-23
126303,003570,S&T중공업,9330,170,1.9,62234,579695970,9190,9370,9150,302977185870,0.02,32473439,5403234.0,16.64,450,2017-03-24
