,account_nm,thstrm_amount
0,비유동자산,487614000000.0
1,유형자산,441721000000.0
2,투자부동산,3530000000.0
3,무형자산,21609000000.0
4,공동기업투자,7035000000.0
5,매도가능금융자산,900000000.0
6,기타비유동자산,33000000.0
7,기타금융자산,10265000000.0
8,이연법인세자산,2521000000.0
9,유동자산,377507000000.0
10,재고자산,166641000000.0
11,매출채권및기타채권,130894000000.0
12,당기법인세자산,518000000.0
13,기타유동자산,3502000000.0
14,기타금융자산,20548000000.0
15,현금및현금성자산,55404000000.0
16,자산총계,865121000000.0
17,지배기업소유주지분,380860000000.0
18,자본금,12000000000.0
19,자본잉여금,24361000000.0
20,기타포괄손익누계액,-4841000000.0
21,적립금,27255000000.0
22,이익잉여금(결손금),322085000000.0
23,비지배지분,-2733000000.0
24,자본총계,378127000000.0
25,비유동부채,162354000000.0
26,이자부차입금,98783000000.0
27,퇴직급여부채,8311000000.0
28,기타장기종업원급여부채,5585000000.0
29,기타금융부채,4625000000.0
30,기타비유동부채,40000000.0
31,이연법인세부채,45010000000.0
32,유동부채,324640000000.0
33,이자부차입금,208754000000.0
34,매입채무및기타채무,109538000000.0
35,기타금융부채,1743000000.0
36,기타유동부채,1801000000.0
37,당기법인세부채,2804000000.0
38,부채총계,486994000000.0
39,자본과부채총계,865121000000.0
40,매출액,724853000000.0
41,매출원가,569793000000.0
42,매출총이익,155060000000.0
43,판매비와관리비,100594000000.0
44,영업이익(손실),54466000000.0
45,기타수익,2121000000.0
46,기타비용,2102000000.0
47,지분법이익,1249000000.0
48,금융수익,24948000000.0
49,금융비용,36496000000.0
50,법인세비용차감전순이익(손실),44186000000.0
51,법인세비용,9480000000.0
52,당기순이익(손실),34706000000.0
53,기타포괄손익,-7408000000.0
54,후속적으로 당기손익으로 재분류되는 항목,-7251000000.0
55,이자율스왑평가손익,460000000.0
56,이자율스왑평가손익 법인세효과,105000000.0
57,해외사업환산손익,-7606000000.0
58,후속적으로 당기손익으로 재분류되지 않는 항목,-157000000.0
59,확정급여제도의 재측정요소,-157000000.0
60,총포괄손익,27298000000.0
61,지배기업소유주지분,35394000000.0
62,비지배지분,-688000000.0
63,지배기업소유주지분,27794000000.0
64,비지배지분,-496000000.0
65,기본 및 희석주당이익(손실) (단위:원),1475.0
66,영업활동현금흐름,55062000000.0
67,당기순이익(손실),34706000000.0
68,비현금 항목의 조정,56873000000.0
69,영업활동으로 인한 자산ㆍ부채의 변동,-24842000000.0
70,이자의 수취,1144000000.0
71,배당금의 수취,7000000.0
72,법인세의 납부,12826000000.0
73,투자활동현금흐름,-49727000000.0
74,유형자산의 처분,86000000.0
75,유형자산의 취득,43482000000.0
76,투자부동산의 처분,0.0
77,무형자산의 처분,48000000.0
78,무형자산의 취득,624000000.0
79,매도가능금융자산의 처분,628000000.0
80,매도가능금융자산의 취득,5000000.0
81,공동기업투자의 처분,0.0
82,공동기업투자의 취득,0.0
83,기타금융자산의 증가,6378000000.0
84,공동기업 배당의 수취,0.0
85,재무활동현금흐름,4699000000.0
86,이자부차입금(유동)의 차입,404387000000.0
87,이자부차입금(유동)의 상환,403340000000.0
88,이자부차입금(비유동)의 차입,10570000000.0
89,이자부차입금(비유동)의 상환,0.0
90,기타금융부채의 증가(감소),-100000000.0
91,보증금의 증가,5890000000.0
92,이자의 지급,9348000000.0
93,배당금의 지급,3360000000.0
94,비지배지분의 취득,0.0
95,현금및현금성자산의 증가(감소),10034000000.0
96,외화 현금및현금성자산의 환율변동효과,-3930000000.0
97,기초의 현금및현금성자산,49300000000.0
98,기말의 현금및현금성자산,55404000000.0
99,기초자본,354189000000.0
100,기초자본,-2237000000.0
101,기초자본,356426000000.0
102,기초자본,2602000000.0
103,기초자본,290544000000.0
104,기초자본,12000000000.0
105,기초자본,24361000000.0
106,기초자본,26919000000.0
107,당기순이익(손실),34706000000.0
108,당기순이익(손실),-688000000.0
109,당기순이익(손실),35394000000.0
110,당기순이익(손실),35394000000.0
111,이자율스왑평가손익,355000000.0
112,이자율스왑평가손익,0.0
113,이자율스왑평가손익,355000000.0
114,이자율스왑평가손익,355000000.0
115,해외사업환산손익,-7606000000.0
116,해외사업환산손익,192000000.0
117,해외사업환산손익,-7787000000.0
118,해외사업환산손익,-7798000000.0
119,확정급여제도의 재측정요소,-157000000.0
120,확정급여제도의 재측정요소,0.0
121,확정급여제도의 재측정요소,-157000000.0
122,확정급여제도의 재측정요소,-157000000.0
123,총포괄손익,27298000000.0
124,총포괄손익,-496000000.0
125,총포괄손익,27794000000.0
126,총포괄손익,-7443000000.0
127,총포괄손익,35237000000.0
128,비지배부분의 취득,0.0
129,비지배부분의 취득,0.0
130,비지배부분의 취득,0.0
131,비지배부분의 취득,
132,종속기업 지분의 처분,0.0
133,종속기업 지분의 처분,0.0
134,종속기업 지분의 처분,0.0
135,연차배당,3360000000.0
136,연차배당,0.0
137,연차배당,3360000000.0
138,연차배당,3360000000.0
139,적립금의 적립,0.0
140,적립금의 적립,0.0
141,적립금의 적립,0.0
142,적립금의 적립,-336000000.0
143,적립금의 적립,336000000.0
144,기말자본,378127000000.0
145,기말자본,-2733000000.0
146,기말자본,380860000000.0
147,기말자본,-4841000000.0
148,기말자본,322085000000.0
149,기말자본,12000000000.0
150,기말자본,24361000000.0
151,기말자본,27255000000.0
