,account_nm,thstrm_amount
0,자산총계,244713604081.0
1,유동자산,83713895299.0
2,현금및현금성자산,15893857529.0
3,매출채권 및 기타유동채권,18557270536.0
4,기타유동금융자산,27226201.0
5,재고자산,48950669100.0
6,기타유동자산,284871933.0
7,비유동자산,160999708782.0
8,비유동매도가능금융자산,111735484263.0
9,기타비유동금융자산,2801144209.0
10,유형자산,26772225924.0
11,투자부동산,19516092386.0
12,영업권 이외의 무형자산,174762000.0
13,부채총계,19057697000.0
14,유동부채,15698525933.0
15,매입채무 및 기타유동채무,5252746515.0
16,단기차입금,315088369.0
17,기타유동금융부채,2117748949.0
18,당기법인세부채,6080269193.0
19,유동충당부채,1593312695.0
20,기타유동부채,339360212.0
21,비유동부채,3359171067.0
22,퇴직급여부채,
23,이연법인세부채,3359171067.0
24,자본총계,225655907081.0
25,지배기업의 소유주에게 귀속되는 자본,225655907081.0
26,자본금,34245690000.0
27,자본잉여금,11749314595.0
28,자기주식,17469888713.0
29,기타포괄손익누계액,13693716115.0
30,이익잉여금(결손금),183437075084.0
31,자본과부채총계,244713604081.0
32,수익(매출액),174294405005.0
33,매출원가,139986887227.0
34,매출총이익,34307517778.0
35,판매비와관리비,9748658189.0
36,영업이익(손실),24558859589.0
37,기타이익,2818255193.0
38,기타손실,1267799473.0
39,금융수익,3692088002.0
40,금융원가,502167144.0
41,법인세비용차감전순이익(손실),29299236167.0
42,법인세비용,7280222548.0
43,당기순이익(손실),22019013619.0
44,기타포괄손익,1947835055.0
45,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1947835055.0
46,매도가능금융자산평가손익(세후기타포괄손익),2497224429.0
47,해외사업장환산외환차이(세후기타포괄손익),
48,기타포괄손익에 대한 법인세효과,-549389374.0
49,당기손익으로 재분류되지 않는항목(세후기타포괄손익),
50,확정급여제도의 재측정손익(세후기타포괄손익),
51,기타포괄손익에 대한 법인세효과,
52,총포괄손익,23966848674.0
53,기본주당이익(손실),6005.0
54,영업활동현금흐름,32497173307.0
55,당기순이익(손실),22019013619.0
56,당기순이익조정을 위한 가감,7402704838.0
57,법인세비용,7280222548.0
58,이자비용,5340328.0
59,판매보증비,119615087.0
60,감가상각비,3528461688.0
61,무형자산상각비,286602.0
62,외화환산손실,157447398.0
63,대손상각비,
64,매도가능금융자산처분손실,496826816.0
65,유형자산처분손실,32396347.0
66,퇴직급여,-200450213.0
67,이자수익,163690338.0
68,배당금수익,909993829.0
69,외화환산이익,104119281.0
70,재고자산평가손실,-128156506.0
71,유형자산처분이익,93077974.0
72,투자부동산처분이익,
73,매도가능금융자산처분이익,2618403835.0
74,잡이익,
75,영업활동으로인한자산ㆍ부채의변동,9454107282.0
76,매출채권의 감소(증가),6690255988.0
77,매출채권 및 기타채권의 감소(증가),330279617.0
78,기타유동자산의 감소(증가),23640180.0
79,재고자산의 감소(증가),6302039971.0
80,매입채무의 증가(감소),-2909964949.0
81,미지급금의 증가(감소),-692946788.0
82,기타금융부채의 증가(감소),-220773002.0
83,기타유동부채의 증가(감소),1642915.0
84,사외적립자산의공정가치의 감소(증가),-70066650.0
85,이자지급(영업),5340328.0
86,법인세납부(환급),6373312104.0
87,투자활동현금흐름,-34439521946.0
88,이자수취,163202600.0
89,배당금수취,909993829.0
90,유형자산의 처분,168209200.0
91,기타금융자산의 처분,1833000000.0
92,투자부동산의 처분,
93,매도가능금융자산의 처분,17578204886.0
94,유형자산의 취득,5808256432.0
95,매도가능금융자산의 취득,47284622029.0
96,기타금융자산의 취득,1999254000.0
97,재무활동현금흐름,-3372495384.0
98,배당금지급,367255100.0
99,단기차입금의 증가,103489266.0
100,단기차입금의 상환,
101,자기주식의 처분,
102,자기주식의 취득,3108729550.0
103,환율변동효과 반영전 현금및현금성자산의 순증가(감소),-5314844023.0
104,기초현금및현금성자산,21127395189.0
105,현금및현금성자산에 대한 환율변동효과,81306363.0
106,재무제표 환산으로 인한 조정,
107,기말현금및현금성자산,15893857529.0
108,기초자본,205165043057.0
109,기초자본,205165043057.0
110,기초자본,-14361159163.0
111,기초자본,11870505399.0
112,기초자본,161660692226.0
113,기초자본,34245690000.0
114,기초자본,11749314595.0
115,당기순이익(손실),22019013619.0
116,당기순이익(손실),22019013619.0
117,당기순이익(손실),22019013619.0
118,매도가능금융자산평가손익,1947835055.0
119,매도가능금융자산평가손익,1947835055.0
120,매도가능금융자산평가손익,1947835055.0
121,해외사업환산손익,
122,해외사업환산손익,
123,해외사업환산손익,-124624339.0
124,해외사업환산손익,124624339.0
125,보험수리적손익,
126,보험수리적손익,
127,보험수리적손익,
128,배당금지급,367255100.0
129,배당금지급,367255100.0
130,배당금지급,367255100.0
131,자기주식 거래로 인한 증감,-3108729550.0
132,자기주식 거래로 인한 증감,-3108729550.0
133,자기주식 거래로 인한 증감,-3108729550.0
134,자기주식 거래로 인한 증감,
135,기말자본,225655907081.0
136,기말자본,225655907081.0
137,기말자본,-17469888713.0
138,기말자본,13693716115.0
139,기말자본,183437075084.0
140,기말자본,34245690000.0
141,기말자본,11749314595.0
