,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
85,004990,롯데제과,176000,-2500,-1.4,13717,2411931500,176000,178000,174500,2501664000000,0.17,14214000,4792640.0,33.72,86,2017-01-02
2333,004990,롯데제과,175000,-1000,-0.6,15098,2640685500,175000,176000,173500,2487450000000,0.16,14214000,4800284.0,33.77,87,2017-01-03
4583,004990,롯데제과,173500,-1500,-0.9,22460,3903488500,175000,175500,173000,2466129000000,0.16,14214000,4801238.0,33.78,90,2017-01-04
6830,004990,롯데제과,175500,2000,1.2,11897,2085035000,173000,176000,173000,2494557000000,0.16,14214000,4804472.0,33.8,90,2017-01-05
9076,004990,롯데제과,174000,-1500,-0.8,13148,2296743500,176000,176000,174000,2473236000000,0.16,14214000,4812842.0,33.86,89,2017-01-06
11320,004990,롯데제과,176000,2000,1.2,18465,3211162000,174000,177000,172000,2501664000000,0.16,14214000,4808712.0,33.83,86,2017-01-09
13571,004990,롯데제과,172500,-3500,-2.0,14267,2468539500,174000,174500,172000,2451915000000,0.16,14214000,4802827.0,33.79,90,2017-01-10
15818,004990,롯데제과,172500,0,0.0,31691,5452173000,171500,174000,171000,2451915000000,0.16,14214000,4808224.0,33.83,90,2017-01-11
18064,004990,롯데제과,173500,1000,0.6,31286,5394135000,171500,173500,171500,2466129000000,0.16,14214000,4817047.0,33.89,90,2017-01-12
20310,004990,롯데제과,173000,-500,-0.3,24078,4172385500,172500,174000,172500,2459022000000,0.16,14214000,4823808.0,33.94,90,2017-01-13
22556,004990,롯데제과,172500,-500,-0.3,20292,3500931500,174500,175000,171500,2451915000000,0.16,14214000,4828111.0,33.97,89,2017-01-16
24805,004990,롯데제과,173000,500,0.3,20953,3623961000,173500,174500,171500,2459022000000,0.16,14214000,4836894.0,34.03,90,2017-01-17
27052,004990,롯데제과,173500,500,0.3,15580,2704203000,172000,175000,172000,2466129000000,0.16,14214000,4838188.0,34.04,91,2017-01-18
29297,004990,롯데제과,177500,4000,2.3,20110,3549591500,173000,178000,172500,2522985000000,0.16,14214000,4838200.0,34.04,90,2017-01-19
31535,004990,롯데제과,195000,17500,9.9,226697,44168228000,189000,207500,186000,2771730000000,0.18,14214000,4852331.0,34.14,82,2017-01-20
33779,004990,롯데제과,198000,3000,1.5,75037,14847223500,195000,201500,194500,2814372000000,0.18,14214000,4844975.0,34.09,82,2017-01-23
36023,004990,롯데제과,198500,500,0.2,47426,9351991000,199500,199500,191500,2821479000000,0.18,14214000,4837345.0,34.03,82,2017-01-24
38269,004990,롯데제과,194500,-4000,-2.0,42192,8131250500,195500,198500,189500,2764623000000,0.18,14214000,4826047.0,33.95,83,2017-01-25
40513,004990,롯데제과,205000,10500,5.4,100576,20688583500,198500,212500,197500,2913870000000,0.19,14214000,4833319.0,34.0,81,2017-01-26
42758,004990,롯데제과,204000,-1000,-0.5,56746,11784766500,203000,212000,203000,2899656000000,0.19,14214000,4823131.0,33.93,80,2017-01-31
45001,004990,롯데제과,215000,11000,5.4,92981,20047395500,211000,222000,210000,3056010000000,0.2,14214000,4817163.0,33.89,77,2017-02-01
47243,004990,롯데제과,227500,12500,5.8,111740,24948276000,216000,229000,215500,3233685000000,0.21,14214000,4823071.0,33.93,73,2017-02-02
49492,004990,롯데제과,223000,-4500,-2.0,60306,13490899000,230000,230000,220500,3169722000000,0.21,14214000,4822728.0,33.93,75,2017-02-03
51740,004990,롯데제과,220000,-3000,-1.4,61098,13348432500,223500,223500,214000,3127080000000,0.2,14214000,4829068.0,33.97,76,2017-02-06
53989,004990,롯데제과,213000,-7000,-3.2,47865,10295460000,220000,221000,212500,3027582000000,0.2,14214000,4823204.0,33.93,78,2017-02-07
56235,004990,롯데제과,214500,1500,0.7,32077,6865068500,214000,218500,211500,3048903000000,0.2,14214000,4821861.0,33.92,77,2017-02-08
58483,004990,롯데제과,214500,0,0.0,39598,8354915500,215000,215000,207000,3048903000000,0.2,14214000,4828553.0,33.97,78,2017-02-09
60729,004990,롯데제과,218000,3500,1.6,34250,7434045000,215000,219500,213500,3098652000000,0.2,14214000,4821471.0,33.92,77,2017-02-10
62976,004990,롯데제과,218500,500,0.2,27684,6030449000,221000,221000,215000,3105759000000,0.2,14214000,4817298.0,33.89,77,2017-02-13
65223,004990,롯데제과,217500,-1000,-0.5,24146,5271638500,219500,220000,215500,3091545000000,0.2,14214000,4810916.0,33.85,77,2017-02-14
67470,004990,롯데제과,219500,2000,0.9,35127,7773291000,215500,224500,215500,3119973000000,0.2,14214000,4814567.0,33.87,77,2017-02-15
69717,004990,롯데제과,216000,-3500,-1.6,22251,4844361500,220500,222000,215000,3070224000000,0.2,14214000,4811703.0,33.85,77,2017-02-16
71965,004990,롯데제과,209500,-6500,-3.0,107753,23243053000,216000,226000,207000,2977833000000,0.19,14214000,4826596.0,33.96,78,2017-02-17
74214,004990,롯데제과,202500,-7000,-3.3,41405,8388487000,207500,207500,200000,2878335000000,0.19,14214000,4834313.0,34.01,80,2017-02-20
76458,004990,롯데제과,207000,4500,2.2,26700,5527512500,203500,208500,203000,2942298000000,0.19,14214000,4840365.0,34.05,77,2017-02-21
78706,004990,롯데제과,203500,-3500,-1.7,22762,4633237000,205000,206500,200500,2892549000000,0.18,14214000,4845421.0,34.09,79,2017-02-22
80954,004990,롯데제과,202000,-1500,-0.7,30572,6194960500,205000,206000,201000,2871228000000,0.18,14214000,4847908.0,34.11,81,2017-02-23
83199,004990,롯데제과,203500,1500,0.7,19751,3993573000,203500,204500,199500,2892549000000,0.19,14214000,4852914.0,34.14,78,2017-02-24
85450,004990,롯데제과,201000,-2500,-1.2,17104,3445824000,204000,204500,199000,2857014000000,0.18,14214000,4855515.0,34.16,81,2017-02-27
87700,004990,롯데제과,195500,-5500,-2.7,55034,10718714000,198000,199500,192500,2778837000000,0.18,14214000,4868284.0,34.25,83,2017-02-28
89952,004990,롯데제과,190000,-5500,-2.8,52534,10019310000,195000,195000,188000,2700660000000,0.17,14214000,4879896.0,34.33,86,2017-03-02
92199,004990,롯데제과,196500,6500,3.4,73508,14588289000,187500,206000,187500,2793051000000,0.18,14214000,4878399.0,34.32,83,2017-03-03
94450,004990,롯데제과,194500,-2000,-1.0,24200,4686712000,194000,197500,191000,2764623000000,0.18,14214000,4880379.0,34.34,83,2017-03-06
96699,004990,롯데제과,202500,8000,4.1,45444,9207677000,196000,206000,195500,2878335000000,0.19,14214000,4880285.0,34.33,81,2017-03-07
98952,004990,롯데제과,194000,-8500,-4.2,43827,8549603500,199500,200000,193000,2757516000000,0.18,14214000,4869533.0,34.26,85,2017-03-08
101198,004990,롯데제과,193500,-500,-0.3,25985,5079488000,195000,198500,193500,2750409000000,0.18,14214000,4863266.0,34.21,82,2017-03-09
103448,004990,롯데제과,194500,1000,0.5,34399,6729629500,195000,198500,193000,2764623000000,0.18,14214000,4856859.0,34.17,83,2017-03-10
105696,004990,롯데제과,196000,1500,0.8,19442,3838411000,196500,201000,195000,2785944000000,0.18,14214000,4851843.0,34.13,82,2017-03-13
107946,004990,롯데제과,193000,-3000,-1.5,23950,4643710500,196000,198000,192500,2743302000000,0.17,14214000,4848032.0,34.11,83,2017-03-14
110194,004990,롯데제과,196000,3000,1.6,30097,5814731000,192000,196000,190000,2785944000000,0.18,14214000,4848224.0,34.11,82,2017-03-15
112443,004990,롯데제과,195500,-500,-0.3,34499,6815028500,200000,203000,194000,2778837000000,0.17,14214000,4849139.0,34.12,83,2017-03-16
114692,004990,롯데제과,197500,2000,1.0,18021,3536127000,196500,198000,193000,2807265000000,0.18,14214000,4851590.0,34.13,84,2017-03-17
116941,004990,롯데제과,194500,-3000,-1.5,10881,2135545000,197500,199000,194000,2764623000000,0.17,14214000,4850389.0,34.12,85,2017-03-20
119190,004990,롯데제과,194000,-500,-0.3,16405,3184919000,197000,197000,193000,2757516000000,0.17,14214000,4850642.0,34.13,85,2017-03-21
121439,004990,롯데제과,194500,500,0.3,25942,5066817500,195500,197000,193500,2764623000000,0.17,14214000,4839311.0,34.05,85,2017-03-22
123690,004990,롯데제과,193000,-1500,-0.8,22996,4427640000,195500,195500,191000,2743302000000,0.17,14214000,4832884.0,34.0,87,2017-03-23
