,account_nm,thstrm_amount
0,유동자산,362178312852.0
1,현금및현금성자산,22970169432.0
2,단기금융자산,203489256205.0
3,매출채권,73837248116.0
4,미수금,1169326931.0
5,미수수익,1059591527.0
6,선급금,136805501.0
7,선급비용,20917753732.0
8,재고자산,38598161408.0
9,비유동자산,273444293706.0
10,장기금융자산,25040451884.0
11,유형자산,220820712378.0
12,무형자산,5389755140.0
13,보증금,18782298753.0
14,장기선급금,1683114585.0
15,장기선급비용,375893439.0
16,이연법인세자산,1352067527.0
17,자산총계,635622606558.0
18,유동부채,93758682222.0
19,매입채무,50849266077.0
20,미지급금,20308806434.0
21,유동성장기차입금,0.0
22,미지급비용,5968548542.0
23,미지급법인세,5212295541.0
24,미지급배당금,2400040.0
25,기타유동부채,11417365588.0
26,비유동부채,13018263611.0
27,장기차입금,0.0
28,퇴직급여부채,3788801040.0
29,장기수입보증금,5886155757.0
30,장기미지급비용,3248353780.0
31,이연법인세부채,64953034.0
32,기타비유동부채,30000000.0
33,부채총계,106776945833.0
34,지배기업 소유주지분,528843113647.0
35,자본금,49756205000.0
36,자본잉여금,64768908197.0
37,기타자본항목,-22482303960.0
38,기타포괄손익누계액,2355001970.0
39,적립금,401814575965.0
40,이익잉여금,32630726475.0
41,비지배지분,2547078.0
42,자본총계,528845660725.0
43,자본과부채총계,635622606558.0
44,매출액,857454493207.0
45,매출원가,611940006269.0
46,매출총이익,245514486938.0
47,판매비와관리비,210806150769.0
48,영업이익,34708336169.0
49,금융수익,15099790105.0
50,금융비용,527440148.0
51,기타영업외수익,1331916751.0
52,기타영업외비용,2503103129.0
53,법인세비용차감전순이익,48109499748.0
54,법인세비용,18494464874.0
55,계속영업이익,29615034874.0
56,중단영업이익(세후),0.0
57,당기순이익,29615034874.0
58,법인세비용차감후기타포괄손익,-11472757148.0
59,후속적으로 당기손익으로 재분류되지 않는 항목:,-865951013.0
60,확정급여제도의 재측정요소,-865951013.0
61,후속적으로 당기손익으로 재분류되는 항목:,-10606806135.0
62,매도가능금융자산평가손익,-10080496125.0
63,해외사업환산손익,-526310010.0
64,총포괄손익,18142277726.0
65,지배기업주주지분순이익,29615019964.0
66,비지배주주지분순이익(손실),14910.0
67,지배기업소유주지분,18142638988.0
68,비지배주주지분,-361262.0
69,기본주당이익,3349.0
70,기본주당계속영업이익,3349.0
71,희석주당이익,3349.0
72,희석주당계속영업이익,3349.0
73,영업활동현금흐름,41884336879.0
74,당기순이익,29615034874.0
75,비현금항목의 조정,37893289311.0
76,운전자본의변동,-6010275964.0
77,법인세의납부,19613711342.0
78,투자활동현금흐름,-28356696877.0
79,이자의수취,3771836141.0
80,배당금의수취,218574900.0
81,단기금융자산의 증가,8096016532.0
82,장기금융자산의 증가,767006774.0
83,연결범위변동으로 인한 현금증감,0.0
84,유형자산의 처분,339460536.0
85,유형자산의 취득,23040952193.0
86,무형자산의 처분,114000000.0
87,무형자산의 취득,844619312.0
88,보증금의 감소,537970137.0
89,보증금의 증가,589943780.0
90,재무활동현금흐름,-11064096820.0
91,이자의 지급,11847490.0
92,단기차입금의 상환,0.0
93,유동성장기차입금의 상환,0.0
94,장기차입금의 상환,0.0
95,기타유동부채의 감소,0.0
96,배당금지급,11052249330.0
97,현금및현금성자산의순증가,2463543182.0
98,외화표시현금성자산의환율변동효과,-625054395.0
99,기초현금및현금성자산,21131680645.0
100,기말현금및현금성자산,22970169432.0
101,기초자본,521755634249.0
102,기초자본,2908339.0
103,기초자본,521752725910.0
104,기초자본,-22482303960.0
105,기초자본,12961431934.0
106,기초자본,33377908774.0
107,기초자본,49756205000.0
108,기초자본,64768908197.0
109,기초자본,383370575965.0
110,당기순이익,29615034874.0
111,당기순이익,14910.0
112,당기순이익,29615019964.0
113,당기순이익,29615019964.0
114,매도가능금융자산평가손익,-10080496125.0
115,매도가능금융자산평가손익,-10080496125.0
116,매도가능금융자산평가손익,-10080496125.0
117,확정급여제도의 재측정요소,-865951013.0
118,확정급여제도의 재측정요소,-865951013.0
119,확정급여제도의 재측정요소,-865951013.0
120,해외사업환산손익,-526310010.0
121,해외사업환산손익,-376171.0
122,해외사업환산손익,-525933839.0
123,해외사업환산손익,-525933839.0
124,연차배당금지급,-11052251250.0
125,연차배당금지급,-11052251250.0
126,연차배당금지급,-11052251250.0
127,적립금의이입,2666000000.0
128,적립금의이입,-2666000000.0
129,적립금의전입,-21110000000.0
130,적립금의전입,21110000000.0
131,연결범위의 변동,
132,연결범위의 변동,
133,연결범위의 변동,
134,연결범위의 변동,
135,기말자본,528845660725.0
136,기말자본,2547078.0
137,기말자본,528843113647.0
138,기말자본,-22482303960.0
139,기말자본,2355001970.0
140,기말자본,32630726475.0
141,기말자본,49756205000.0
142,기말자본,64768908197.0
143,기말자본,401814575965.0
