,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
8,005490,POSCO,260500,3000,1.2,143941,37276498500,256500,260500,255000,22712170517500,1.5,87186835,46049921.0,52.82,9,2017-01-02
2255,005490,POSCO,256000,-4500,-1.7,268587,68638158000,260000,260500,254000,22319829760000,1.46,87186835,46076086.0,52.85,9,2017-01-03
4504,005490,POSCO,254500,-1500,-0.6,245215,62364371500,256000,257500,253000,22189049507500,1.45,87186835,46132137.0,52.91,11,2017-01-04
6750,005490,POSCO,247500,-7000,-2.8,452611,112574333000,254500,256500,246500,21578741662500,1.41,87186835,46080772.0,52.85,10,2017-01-05
8997,005490,POSCO,250000,2500,1.0,308978,76791353500,250000,250000,245000,21796708750000,1.42,87186835,46160809.0,52.94,10,2017-01-06
11244,005490,POSCO,244000,-6000,-2.4,304092,74173961000,249000,249500,241500,21273587740000,1.39,87186835,46164621.0,52.95,10,2017-01-09
13491,005490,POSCO,249500,5500,2.2,312153,77452126250,244000,250500,243500,21753115332500,1.42,87186835,46168813.0,52.95,10,2017-01-10
15737,005490,POSCO,269000,19500,7.8,766951,201265310000,257000,269000,255000,23453258615000,1.51,87186835,46561827.0,53.4,9,2017-01-11
17983,005490,POSCO,266500,-2500,-0.9,437745,117953450500,270000,273000,266500,23235291527500,1.49,87186835,46747979.0,53.62,9,2017-01-12
20229,005490,POSCO,267500,1000,0.4,313300,83860514500,264000,271500,264000,23322478362500,1.51,87186835,46803727.0,53.68,9,2017-01-13
22476,005490,POSCO,267500,0,0.0,201349,53678301000,269000,269500,264000,23322478362500,1.52,87186835,46821057.0,53.7,9,2017-01-16
24724,005490,POSCO,265000,-2500,-0.9,247270,65934446000,268000,271000,264000,23104511275000,1.5,87186835,46797571.0,53.68,9,2017-01-17
26969,005490,POSCO,268000,3000,1.1,263393,70106516000,266000,268500,263000,23366071780000,1.51,87186835,46890762.0,53.78,8,2017-01-18
29215,005490,POSCO,278000,10000,3.7,614144,169568175972,271000,279000,270500,24237940130000,1.57,87186835,47228694.0,54.17,8,2017-01-19
31461,005490,POSCO,273000,-5000,-1.8,262807,71824649500,274500,275500,270500,23802005955000,1.55,87186835,47256187.0,54.2,8,2017-01-20
33705,005490,POSCO,270500,-2500,-0.9,249436,67441874500,273000,274500,268000,23584038867500,1.53,87186835,47300709.0,54.25,8,2017-01-23
35949,005490,POSCO,271000,500,0.2,248232,66995714288,269500,272000,267000,23627632285000,1.54,87186835,47423083.0,54.39,8,2017-01-24
38195,005490,POSCO,267500,-3500,-1.3,279703,74806982500,271000,273500,265500,23322478362500,1.52,87186835,47422203.0,54.39,9,2017-01-25
40440,005490,POSCO,276000,8500,3.2,530462,146117883000,262500,280500,262000,24063566460000,1.55,87186835,47551190.0,54.54,8,2017-01-26
42686,005490,POSCO,271000,-5000,-1.8,262001,71593827500,271500,278000,269000,23627632285000,1.53,87186835,47505628.0,54.49,8,2017-01-31
44931,005490,POSCO,278000,7000,2.6,308192,84769854296,269000,278500,268000,24237940130000,1.56,87186835,47535669.0,54.52,7,2017-02-01
47178,005490,POSCO,272500,-5500,-2.0,207327,56927427000,276000,278000,272500,23758412537500,1.54,87186835,47529508.0,54.51,8,2017-02-02
49426,005490,POSCO,265500,-7000,-2.6,407019,108429302500,274500,276500,262000,23148104692500,1.5,87186835,47470716.0,54.45,9,2017-02-03
51673,005490,POSCO,262500,-3000,-1.1,194638,51032318500,265000,267500,259000,22886544187500,1.48,87186835,47466578.0,54.44,9,2017-02-06
53920,005490,POSCO,268000,5500,2.1,228652,60371133500,260000,268000,258500,23366071780000,1.51,87186835,47455514.0,54.43,9,2017-02-07
56167,005490,POSCO,268000,0,0.0,178775,47760792000,266000,270000,263500,23366071780000,1.52,87186835,47438247.0,54.41,9,2017-02-08
58413,005490,POSCO,271500,3500,1.3,247431,67342425000,270500,274000,267000,23671225702500,1.54,87186835,47488796.0,54.47,8,2017-02-09
60660,005490,POSCO,275500,4000,1.5,251534,69255150500,274500,276500,274000,24019973042500,1.56,87186835,47534064.0,54.52,8,2017-02-10
62906,005490,POSCO,278500,3000,1.1,303055,84618100000,279000,282000,277000,24281533547500,1.57,87186835,47530063.0,54.52,7,2017-02-13
65153,005490,POSCO,282500,4000,1.4,418131,118661650424,281500,286000,280000,24630280887500,1.6,87186835,47534620.0,54.52,7,2017-02-14
67400,005490,POSCO,282000,-500,-0.2,268692,75946215500,282000,285000,279500,24586687470000,1.59,87186835,47566014.0,54.56,7,2017-02-15
69648,005490,POSCO,281000,-1000,-0.4,228560,63927644851,280000,281500,277500,24499500635000,1.58,87186835,47596910.0,54.59,8,2017-02-16
71895,005490,POSCO,285000,4000,1.4,327039,92907942568,279500,285500,278500,24848247975000,1.6,87186835,47630939.0,54.63,8,2017-02-17
74142,005490,POSCO,284500,-500,-0.2,195236,55451678250,283000,286000,282000,24804654557500,1.6,87186835,47677035.0,54.68,8,2017-02-20
76389,005490,POSCO,288500,4000,1.4,364012,105031684000,286000,290000,285000,25153401897500,1.61,87186835,47668064.0,54.67,8,2017-02-21
78634,005490,POSCO,293500,5000,1.7,351507,102559491500,288000,293500,286500,25589336072500,1.63,87186835,47740998.0,54.76,7,2017-02-22
80880,005490,POSCO,292000,-1500,-0.5,213638,62329924000,291500,293000,289000,25458555820000,1.63,87186835,47727428.0,54.74,7,2017-02-23
83129,005490,POSCO,280000,-12000,-4.1,479758,135609967500,289000,289000,278500,24412313800000,1.57,87186835,47723920.0,54.74,8,2017-02-24
85377,005490,POSCO,280000,0,0.0,262089,73931581000,278500,285500,277500,24412313800000,1.58,87186835,47800864.0,54.83,8,2017-02-27
87625,005490,POSCO,283500,3500,1.2,346205,98578165590,282000,288500,282000,24717467722500,1.59,87186835,47730484.0,54.75,8,2017-02-28
89873,005490,POSCO,291500,8000,2.8,512186,149251133500,291000,293500,287500,25414962402500,1.63,87186835,47905977.0,54.95,7,2017-03-02
92123,005490,POSCO,287500,-4000,-1.4,261238,75143380000,288500,289500,285500,25066215062500,1.63,87186835,47903976.0,54.94,7,2017-03-03
94374,005490,POSCO,288500,1000,0.4,201812,58130545000,289000,290000,284500,25153401897500,1.63,87186835,47945950.0,54.99,7,2017-03-06
96625,005490,POSCO,288000,-500,-0.2,163891,47335260500,290000,290500,287000,25109808480000,1.62,87186835,47950229.0,55.0,7,2017-03-07
98874,005490,POSCO,290000,2000,0.7,344480,100568820500,287000,295000,286500,25284182150000,1.63,87186835,47998350.0,55.05,7,2017-03-08
101123,005490,POSCO,286000,-4000,-1.4,308172,88781098500,290500,292000,286000,24935434810000,1.61,87186835,48047298.0,55.11,7,2017-03-09
103372,005490,POSCO,283000,-3000,-1.0,265911,75123152000,285000,285500,280000,24673874305000,1.58,87186835,48009926.0,55.07,7,2017-03-10
105621,005490,POSCO,281000,-2000,-0.7,273664,76784215000,281500,285000,278000,24499500635000,1.56,87186835,48024167.0,55.08,7,2017-03-13
107871,005490,POSCO,280000,-1000,-0.4,272137,76550951000,282500,285500,279000,24412313800000,1.54,87186835,48013341.0,55.07,8,2017-03-14
110120,005490,POSCO,277500,-2500,-0.9,238167,66311026500,278500,281500,276500,24194346712500,1.53,87186835,47980298.0,55.03,8,2017-03-15
112367,005490,POSCO,291500,14000,5.0,499310,143847612750,284000,291500,283500,25414962402500,1.59,87186835,48075223.0,55.14,7,2017-03-16
114615,005490,POSCO,291500,0,0.0,277504,81040642000,292000,297000,288000,25414962402500,1.58,87186835,48036906.0,55.1,7,2017-03-17
116863,005490,POSCO,296500,5000,1.7,242146,71680226000,292500,297500,291500,25850896577500,1.62,87186835,48051936.0,55.11,7,2017-03-20
119112,005490,POSCO,293000,-3500,-1.2,254172,74944600000,298000,298000,292500,25545742655000,1.59,87186835,47962837.0,55.01,7,2017-03-21
121363,005490,POSCO,280500,-12500,-4.3,533901,149753958500,277500,284000,276500,24455907217500,1.52,87186835,47748328.0,54.77,9,2017-03-22
123612,005490,POSCO,281000,500,0.2,272685,76934699500,283500,286000,279500,24499500635000,1.53,87186835,47702515.0,54.71,9,2017-03-23
125860,005490,POSCO,278500,-2500,-0.9,329305,91647008500,282000,283000,275000,24281533547500,1.51,87186835,47588256.0,54.58,7,2017-03-24
128112,005490,POSCO,270000,-8500,-3.0,505417,136782348000,275500,276000,268000,23540445450000,1.47,87186835,47490459.0,54.47,9,2017-03-27
130361,005490,POSCO,275500,5500,2.0,315380,86394358500,275500,276500,269000,24019973042500,1.5,87186835,47377231.0,54.34,7,2017-03-28
132612,005490,POSCO,286500,11000,4.0,539752,153265347723,279500,287500,279500,24979028227500,1.55,87186835,47614413.0,54.61,7,2017-03-29
134863,005490,POSCO,284000,-2500,-0.9,267021,75819675478,286000,286000,282000,24761061140000,1.54,87186835,47514477.0,54.5,7,2017-03-30
137114,005490,POSCO,291000,7000,2.5,548202,159547556500,291500,294000,287000,25371368985000,1.58,87186835,47714183.0,54.73,7,2017-03-31
139366,005490,POSCO,282500,-8500,-2.9,326207,92978905000,291000,292000,281500,24630280887500,1.53,87186835,47731037.0,54.75,7,2017-04-03
141619,005490,POSCO,275000,-7500,-2.6,354477,97883336500,277500,280000,274000,23976379625000,1.49,87186835,47630747.0,54.63,8,2017-04-04
143870,005490,POSCO,280000,5000,1.8,283512,78762436000,277000,280500,272500,24412313800000,1.52,87186835,47613336.0,54.61,7,2017-04-05
146123,005490,POSCO,273000,-7000,-2.5,305062,83232209500,275500,276500,271000,23802005955000,1.48,87186835,47532953.0,54.52,8,2017-04-06
148376,005490,POSCO,272000,-1000,-0.4,196389,53514652000,271500,274000,271000,23714819120000,1.48,87186835,47496750.0,54.48,8,2017-04-07
150629,005490,POSCO,272500,500,0.2,196454,53382008000,272000,273500,269000,23758412537500,1.49,87186835,47455508.0,54.43,7,2017-04-10
152883,005490,POSCO,271500,-1000,-0.4,206036,56262659500,272500,275500,271000,23671225702500,1.49,87186835,47503662.0,54.48,7,2017-04-11
155139,005490,POSCO,273000,1500,0.6,234115,64077244900,271000,277000,271000,23802005955000,1.5,87186835,47504367.0,54.49,7,2017-04-12
157395,005490,POSCO,265000,-8000,-2.9,529101,140164121000,271000,271500,262500,23104511275000,1.44,87186835,47395656.0,54.36,8,2017-04-13
159649,005490,POSCO,265500,500,0.2,139913,37084304000,262500,268000,261000,23148104692500,1.45,87186835,47419995.0,54.39,8,2017-04-14
