,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
343,005740,크라운제과,28100,0,0.0,35956,1013342450,28350,28500,28100,414060244000,0.03,14735240,948780.0,6.44,344,2017-01-02
2591,005740,크라운제과,28100,0,0.0,52746,1480901700,28050,28300,27850,414060244000,0.03,14735240,943930.0,6.41,345,2017-01-03
4834,005740,크라운제과,28050,-50,-0.2,61257,1713147000,28150,28200,27850,413323482000,0.03,14735240,937096.0,6.36,341,2017-01-04
7077,005740,크라운제과,29000,950,3.4,90034,2593524250,28100,29100,28000,427321960000,0.03,14735240,940332.0,6.38,337,2017-01-05
9322,005740,크라운제과,28900,-100,-0.3,34931,1009833850,28800,29100,28750,425848436000,0.03,14735240,939299.0,6.37,335,2017-01-06
11571,005740,크라운제과,28400,-500,-1.7,54807,1563586750,29000,29100,28350,418480816000,0.03,14735240,929332.0,6.31,337,2017-01-09
13820,005740,크라운제과,28150,-250,-0.9,40651,1145422750,28300,28450,28000,414797006000,0.03,14735240,922760.0,6.26,339,2017-01-10
16067,005740,크라운제과,28050,-100,-0.4,46780,1312446350,28150,28300,27850,413323482000,0.03,14735240,916649.0,6.22,339,2017-01-11
18308,005740,크라운제과,28500,450,1.6,55272,1569918250,28150,28800,28100,419954340000,0.03,14735240,926353.0,6.29,334,2017-01-12
20545,005740,크라운제과,29900,1400,4.9,171158,5065210500,28400,30300,28400,440583676000,0.03,14735240,982560.0,6.67,325,2017-01-13
22787,005740,크라운제과,30200,300,1.0,82621,2493349200,30100,30600,29750,445004248000,0.03,14735240,984862.0,6.68,320,2017-01-16
25035,005740,크라운제과,30250,50,0.2,58679,1769212700,30200,30500,29800,445741010000,0.03,14735240,976559.0,6.63,320,2017-01-17
27272,005740,크라운제과,31000,750,2.5,135451,4195095350,30250,31500,30050,456792440000,0.03,14735240,993283.0,6.74,311,2017-01-18
29522,005740,크라운제과,30750,-250,-0.8,78038,2438692550,30800,31800,30700,453108630000,0.03,14735240,998919.0,6.78,315,2017-01-19
31760,005740,크라운제과,31500,750,2.4,74297,2336982700,30750,31750,30750,464160060000,0.03,14735240,1010581.0,6.86,307,2017-01-20
34000,005740,크라운제과,32100,600,1.9,164888,5326787050,31650,32850,31600,473001204000,0.03,14735240,1036399.0,7.03,303,2017-01-23
36241,005740,크라운제과,31950,-150,-0.5,83616,2667096500,32400,32550,31200,470790918000,0.03,14735240,1025174.0,6.96,300,2017-01-24
38487,005740,크라운제과,31450,-500,-1.6,69920,2230382500,32250,32400,31400,463423298000,0.03,14735240,1017772.0,6.91,301,2017-01-25
40738,005740,크라운제과,31500,50,0.2,73002,2291499400,31650,31900,30900,464160060000,0.03,14735240,1029964.0,6.99,306,2017-01-26
42967,005740,크라운제과,33450,1950,6.2,204877,6748639550,31700,33600,31650,492893778000,0.03,14735240,1072019.0,7.28,289,2017-01-31
45217,005740,크라운제과,33600,150,0.4,92217,3079145700,33400,33750,32800,495104064000,0.03,14735240,1062941.0,7.21,293,2017-02-01
47464,005740,크라운제과,32950,-650,-1.9,71778,2392613950,33600,33800,32900,485526158000,0.03,14735240,1061059.0,7.2,294,2017-02-02
49715,005740,크라운제과,32350,-600,-1.8,125698,4126129000,32950,33500,32300,476685014000,0.03,14735240,1063359.0,7.22,298,2017-02-03
51952,005740,크라운제과,34200,1850,5.7,186849,6330427200,32550,34550,32550,503945208000,0.03,14735240,1087237.0,7.38,288,2017-02-06
54202,005740,크라운제과,33850,-350,-1.0,86724,2955574300,34300,34600,33750,498787874000,0.03,14735240,1076101.0,7.3,291,2017-02-07
56448,005740,크라운제과,33850,0,0.0,53323,1787316500,33750,33900,33150,498787874000,0.03,14735240,1067847.0,7.25,290,2017-02-08
58694,005740,크라운제과,34100,250,0.7,56189,1911935250,33900,34450,33550,502471684000,0.03,14735240,1055069.0,7.16,289,2017-02-09
60942,005740,크라운제과,34050,-50,-0.2,75068,2543325750,34150,34500,33500,501734922000,0.03,14735240,1054208.0,7.15,290,2017-02-10
63188,005740,크라운제과,34200,150,0.4,40624,1385511800,34050,34450,33800,503945208000,0.03,14735240,1062618.0,7.21,289,2017-02-13
65439,005740,크라운제과,33550,-650,-1.9,71516,2409894400,34450,34500,33350,494367302000,0.03,14735240,1060366.0,7.2,293,2017-02-14
67688,005740,크라운제과,33800,250,0.8,35940,1205305050,33600,33800,33050,498051112000,0.03,14735240,1072083.0,7.28,295,2017-02-15
69936,005740,크라운제과,33000,-800,-2.4,62556,2081092750,33900,33900,33000,486262920000,0.03,14735240,1055809.0,7.17,296,2017-02-16
72185,005740,크라운제과,32950,-50,-0.2,35037,1153995850,32700,33300,32700,485526158000,0.03,14735240,1061329.0,7.2,298,2017-02-17
74440,005740,크라운제과,32050,-900,-2.7,76021,2465854600,32900,33150,32050,472264442000,0.03,14735240,1047568.0,7.11,306,2017-02-20
76679,005740,크라운제과,33200,1150,3.6,79649,2618437650,32100,33350,31750,489209968000,0.03,14735240,1057018.0,7.17,298,2017-02-21
78927,005740,크라운제과,32650,-550,-1.7,55616,1820228600,33300,33300,32450,481105586000,0.03,14735240,1036725.0,7.04,300,2017-02-22
81177,005740,크라운제과,31900,-750,-2.3,115821,3733500550,32950,33050,31600,470054156000,0.03,14735240,999969.0,6.79,304,2017-02-23
83419,005740,크라운제과,33200,1300,4.1,288928,9521027900,31550,33300,31500,489209968000,0.03,14735240,1041361.0,7.07,298,2017-02-24
85665,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041361.0,7.07,296,2017-02-27
87911,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,294,2017-02-28
90159,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,293,2017-03-02
92407,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,291,2017-03-03
94657,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,290,2017-03-06
96909,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,291,2017-03-07
99158,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,291,2017-03-08
101410,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,294,2017-03-09
103660,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,295,2017-03-10
105910,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,296,2017-03-13
108157,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,294,2017-03-14
110403,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,291,2017-03-15
112653,005740,크라운제과,33200,0,0.0,0,0,0,0,0,489209968000,0.03,14735240,1041561.0,7.07,293,2017-03-16
