,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
648,005950,이수화학,15250,0,0.0,54832,828264700,15350,15400,15000,232989500000,0.01,15278000,799113.0,5.23,649,2018-01-02
2956,005950,이수화학,15400,150,1.0,26637,407856650,15100,15400,15100,235281200000,0.01,15278000,801824.0,5.25,646,2018-01-03
5261,005950,이수화학,15500,100,0.6,54539,843038050,15400,15600,15300,236809000000,0.01,15278000,808119.0,5.29,640,2018-01-04
7588,005950,이수화학,15500,0,0.0,45463,700484450,15600,15600,15250,236809000000,0.01,15278000,798139.0,5.22,657,2018-01-05
9899,005950,이수화학,15500,0,0.0,53761,827213850,15350,15600,15150,236809000000,0.01,15278000,803532.0,5.26,656,2018-01-08
12211,005950,이수화학,15350,-150,-1.0,34801,534192600,15500,15550,15250,234517300000,0.01,15278000,805735.0,5.27,656,2018-01-09
14526,005950,이수화학,15400,50,0.3,42604,653628050,15250,15450,15250,235281200000,0.01,15278000,815989.0,5.34,659,2018-01-10
16846,005950,이수화학,15200,-200,-1.3,62643,954150450,15400,15450,15100,232225600000,0.01,15278000,828244.0,5.42,667,2018-01-11
19159,005950,이수화학,15050,-150,-1.0,52919,797805400,15250,15300,14950,229933900000,0.01,15278000,827683.0,5.42,667,2018-01-12
21482,005950,이수화학,14750,-300,-2.0,94364,1391706000,15050,15100,14550,225350500000,0.01,15278000,826308.0,5.41,677,2018-01-15
23820,005950,이수화학,14300,-450,-3.0,141615,2029007100,14700,14700,14200,218475400000,0.01,15278000,827458.0,5.42,702,2018-01-16
26134,005950,이수화학,14250,-50,-0.4,133819,1915383400,14300,14550,14100,217711500000,0.01,15278000,832565.0,5.45,703,2018-01-17
28444,005950,이수화학,14400,150,1.0,82029,1170284350,14300,14450,14150,220003200000,0.01,15278000,832668.0,5.45,700,2018-01-18
30765,005950,이수화학,14350,-50,-0.4,57339,818397600,14350,14400,14200,219239300000,0.01,15278000,827987.0,5.42,708,2018-01-19
33076,005950,이수화학,14250,-100,-0.7,38497,549694600,14350,14400,14200,217711500000,0.01,15278000,827433.0,5.42,707,2018-01-22
35391,005950,이수화학,14450,200,1.4,82147,1188021000,14300,14600,14250,220767100000,0.01,15278000,841616.0,5.51,710,2018-01-23
37687,005950,이수화학,15150,700,4.8,188351,2810682950,14550,15150,14450,231461700000,0.01,15278000,893827.0,5.85,694,2018-01-24
