,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
108,006260,LS,59800,500,0.8,48542,2903063100,58700,60500,58700,1925560000000,0.13,32200000,6690486.0,20.78,109,2017-01-02
2356,006260,LS,59800,0,0.0,44921,2674491100,60300,60300,59000,1925560000000,0.13,32200000,6701437.0,20.81,110,2017-01-03
4605,006260,LS,59400,-400,-0.7,55451,3304700100,59800,60200,59100,1912680000000,0.13,32200000,6695599.0,20.79,112,2017-01-04
6848,006260,LS,61100,1700,2.9,168257,10322216100,59300,61900,59300,1967420000000,0.13,32200000,6702906.0,20.82,108,2017-01-05
9093,006260,LS,62400,1300,2.1,122212,7590259500,61200,62800,61000,2009280000000,0.13,32200000,6701724.0,20.81,106,2017-01-06
11341,006260,LS,61500,-900,-1.4,70423,4373103200,62400,63000,61100,1980300000000,0.13,32200000,6695637.0,20.79,107,2017-01-09
13588,006260,LS,60400,-1100,-1.8,114720,6913682300,61100,61300,59900,1944880000000,0.13,32200000,6686785.0,20.77,107,2017-01-10
15833,006260,LS,62400,2000,3.3,219744,13671169500,60500,63100,60500,2009280000000,0.13,32200000,6702468.0,20.82,105,2017-01-11
18079,006260,LS,62500,100,0.2,102576,6369819600,62400,62800,61400,2012500000000,0.13,32200000,6700540.0,20.81,105,2017-01-12
20328,006260,LS,62000,-500,-0.8,54946,3402794300,62700,63000,61500,1996400000000,0.13,32200000,6702066.0,20.81,108,2017-01-13
22574,006260,LS,62100,100,0.2,68543,4229377800,61800,62500,61300,1999620000000,0.13,32200000,6695879.0,20.79,107,2017-01-16
24822,006260,LS,62300,200,0.3,85947,5405176000,62400,64000,61900,2006060000000,0.13,32200000,6702832.0,20.82,107,2017-01-17
27068,006260,LS,62900,600,1.0,66697,4180057800,62000,63200,61500,2025380000000,0.13,32200000,6702941.0,20.82,107,2017-01-18
29316,006260,LS,62500,-400,-0.6,78893,4971116700,62900,63900,62300,2012500000000,0.13,32200000,6690241.0,20.78,109,2017-01-19
31558,006260,LS,63500,1000,1.6,99925,6358380800,62800,64000,62500,2044700000000,0.13,32200000,6715000.0,20.85,105,2017-01-20
33802,006260,LS,63700,200,0.3,71696,4565066000,63900,64000,62900,2051140000000,0.13,32200000,6733163.0,20.91,105,2017-01-23
36045,006260,LS,63800,100,0.2,60818,3844082300,63600,63900,62500,2054360000000,0.13,32200000,6735626.0,20.92,104,2017-01-24
38290,006260,LS,62200,-1600,-2.5,91346,5713287900,64500,64500,62000,2002840000000,0.13,32200000,6715878.0,20.86,104,2017-01-25
40537,006260,LS,64000,1800,2.9,112612,7120844400,62500,64500,61300,2060800000000,0.13,32200000,6702226.0,20.81,105,2017-01-26
42784,006260,LS,62600,-1400,-2.2,65778,4124993100,64000,64100,62200,2015720000000,0.13,32200000,6691618.0,20.78,106,2017-01-31
45030,006260,LS,63200,600,1.0,60019,3779417900,63000,63600,62200,2035040000000,0.13,32200000,6687339.0,20.77,106,2017-02-01
47278,006260,LS,61900,-1300,-2.1,81364,5049057700,62800,63000,61700,1993180000000,0.13,32200000,6683752.0,20.76,108,2017-02-02
49525,006260,LS,61900,0,0.0,82103,5091232500,61600,62800,61500,1993180000000,0.13,32200000,6703366.0,20.82,108,2017-02-03
51770,006260,LS,62400,500,0.8,114574,7200038100,62500,63300,62000,2009280000000,0.13,32200000,6723891.0,20.88,106,2017-02-06
54016,006260,LS,63100,700,1.1,41402,2605502200,62900,63300,62200,2031820000000,0.13,32200000,6732962.0,20.91,105,2017-02-07
56264,006260,LS,63700,600,1.0,92322,5863874900,62800,64100,62200,2051140000000,0.13,32200000,6722330.0,20.88,106,2017-02-08
58511,006260,LS,64200,500,0.8,125365,8138085500,63700,66200,63500,2067240000000,0.13,32200000,6751613.0,20.97,106,2017-02-09
60750,006260,LS,70200,6000,9.4,291992,20094927300,65600,70200,64800,2260440000000,0.15,32200000,6784213.0,21.07,98,2017-02-10
62997,006260,LS,70300,100,0.1,125216,8799098500,70400,71000,69700,2263660000000,0.15,32200000,6792838.0,21.1,98,2017-02-13
65246,006260,LS,69900,-400,-0.6,114438,7974357100,70800,70900,69100,2250780000000,0.15,32200000,6810672.0,21.15,100,2017-02-14
67493,006260,LS,71000,1100,1.6,98497,6954851800,70000,71500,69200,2286200000000,0.15,32200000,6839070.0,21.24,100,2017-02-15
69740,006260,LS,70100,-900,-1.3,83793,5844615300,71400,71400,69200,2257220000000,0.15,32200000,6854255.0,21.29,100,2017-02-16
71989,006260,LS,69100,-1000,-1.4,65308,4527333400,69900,70400,68800,2225020000000,0.14,32200000,6864739.0,21.32,102,2017-02-17
74236,006260,LS,68400,-700,-1.0,56181,3848868900,69300,69300,68200,2202480000000,0.14,32200000,6875350.0,21.35,102,2017-02-20
76483,006260,LS,69400,1000,1.5,74386,5197250200,68800,70700,68600,2234680000000,0.14,32200000,6877280.0,21.36,102,2017-02-21
78731,006260,LS,68700,-700,-1.0,84713,5804182500,69500,70500,67900,2212140000000,0.14,32200000,6884256.0,21.38,104,2017-02-22
