,account_nm,thstrm_amount
0,유동자산,285668398878.0
1,현금및현금성자산,71889911562.0
2,매출채권 및 기타유동채권,51281022079.0
3,기타유동금융자산,131713414812.0
4,유동당기손익인식지정금융자산,1831658495.0
5,유동매도가능금융자산,8258529454.0
6,유동만기보유금융자산,36430000.0
7,단기금융상품,121586796863.0
8,재고자산,24865676267.0
9,기타유동비금융자산,5918374158.0
10,비유동자산,175113346429.0
11,기타비유동금융자산,26598675291.0
12,비유동매도가능금융자산,12438548930.0
13,비유동만기보유금융자산,15190000.0
14,비유동당기손익인식금융자산,0.0
15,장기금융상품,14144936361.0
16,지분법적용 투자지분,8410190526.0
17,유형자산,131742138016.0
18,영업권 이외의 무형자산,1459200184.0
19,기타비유동자산,4668548465.0
20,이연법인세자산,2234593947.0
21,자산총계,460781745307.0
22,유동부채,168193531695.0
23,매입채무 및 기타유동채무,40303334503.0
24,단기차입금,112262709727.0
25,유동당기손익인식지정금융부채,0.0
26,기타유동금융부채,7391376161.0
27,당기법인세부채,4581802058.0
28,유동충당부채,3654309246.0
29,비유동부채,8957329889.0
30,장기차입금,1500000000.0
31,퇴직급여부채,6949548019.0
32,기타비유동부채,507781870.0
33,이연법인세부채,0.0
34,비지배지분부채,0.0
35,부채총계,177150861584.0
36,지배기업의 소유주에게 귀속되는 자본,283630701914.0
37,자본금,8950000000.0
38,보통주자본금,8950000000.0
39,자본잉여금,21367817308.0
40,주식발행초과금,21367817308.0
41,기타자본구성요소,-91384308.0
42,기타자본조정,-91384308.0
43,기타포괄손익누계액,-4096011675.0
44,이익잉여금(결손금),257500280589.0
45,비지배지분,181809.0
46,자본총계,283630883723.0
47,자본과부채총계,460781745307.0
48,수익(매출액),445631662403.0
49,매출원가,353579416904.0
50,매출총이익,92052245499.0
51,판매비와관리비,64157614637.0
52,영업이익(손실),27894630862.0
53,금융수익,16355587892.0
54,금융원가,22310490728.0
55,기타이익,9896394857.0
56,기타손실,2356093546.0
57,지분법이익,548059341.0
58,법인세비용차감전순이익(손실),30028088678.0
59,법인세비용,5128576447.0
60,당기순이익(손실),24899512231.0
61,기타포괄손익,-3713281053.0
62,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-3718178031.0
63,매도가능금융자산평가손익(세후기타포괄손익),1104929582.0
64,해외사업장환산외환차이(세후기타포괄손익),-4668880088.0
65,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-154227525.0
66,당기손익으로 재분류되지 않는항목(세후기타포괄손익),4896978.0
67,확정급여제도의 재측정손익(세후기타포괄손익),4896978.0
68,총포괄손익,21186231178.0
69,지배기업의 소유주에게 귀속되는 당기순이익(손실),23667031004.0
70,비지배지분에 귀속되는 당기순이익(손실),1232481227.0
71,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",19370102802.0
72,"총 포괄손익, 비지배지분",1816128376.0
73,기본주당이익(손실),1406.0
74,희석주당이익(손실),1406.0
75,영업활동현금흐름,38404973678.0
76,법인세차감전순이익,30028088678.0
77,비현금조정,42077725291.0
78,운전자본 조정,-27989431628.0
79,법인세납부(환급),5711408663.0
80,투자활동현금흐름,-78997659620.0
81,당기손익인식금융자산의 처분,2623916591.0
82,매도가능금융자산의 처분,10049268000.0
83,만기보유금융자산의 처분,5350000.0
84,기타금융자산의 처분,103113218685.0
85,임차보증금의 감소,115000.0
86,대여금및수취채권의 처분,
87,유형자산의 처분,8057905804.0
88,영업권 이외의 무형자산의 처분,
89,정부보조금의 수취,70910000.0
90,이자수취,3348261705.0
91,배당금수취,
92,기타금융자산의 취득,121586796863.0
93,당기손익인식금융자산의 취득,
94,매도가능금융자산의 취득,1956939373.0
95,만기보유금융자산의 취득,2370000.0
96,장기금융상품의 취득,679558460.0
97,당기손익인식금융부채의 상환,-2148854872.0
98,임차보증금의 증가,46519821.0
99,유형자산의 취득,76844604263.0
100,무형자산의 취득,263691817.0
101,종속기업에 대한 투자자산의 취득,0.0
102,종속기업에 대한 투자자산의 처분,-4134979680.0
103,관계기업에 대한 투자자산의 취득,2900000000.0
104,재무활동현금흐름,55231432861.0
105,단기차입금의 증가,167044684544.0
106,이자지급,1680853485.0
107,배당금지급,6731732000.0
108,단기차입금의 상환,98595840928.0
109,자기주식의 처분,0.0
110,비지배지분취득,189973.0
111,비지배지분부채의감소,-4805015243.0
112,환율변동효과 반영전 현금및현금성자산의 순증가(감소),14638746919.0
113,현금및현금성자산에 대한 환율변동효과,-412668667.0
114,현금및현금성자산의순증가(감소),14226078252.0
115,기초현금및현금성자산,57663833310.0
116,기말현금및현금성자산,71889911562.0
117,기초자본,284689273732.0
118,기초자본,9952250109.0
119,기초자본,274737023623.0
120,기초자본,-91384308.0
121,기초자본,205813505.0
122,기초자본,243982471535.0
123,기초자본,8950000000.0
124,기초자본,21690122891.0
125,당기순이익(손실),24899512231.0
126,당기순이익(손실),1232481227.0
127,당기순이익(손실),23667031004.0
128,당기순이익(손실),23667031004.0
129,퇴직급여부채의 재측정요소,4896978.0
130,퇴직급여부채의 재측정요소,4896978.0
131,퇴직급여부채의 재측정요소,4896978.0
132,매도가능증권평가손익,1104929582.0
133,매도가능증권평가손익,583651929.0
134,매도가능증권평가손익,521277653.0
135,매도가능증권평가손익,521277653.0
136,해외사업환산손익,-4668880088.0
137,해외사업환산손익,-4780.0
138,해외사업환산손익,-4668875308.0
139,해외사업환산손익,-4668875308.0
140,지분법자본변동,-154227525.0
141,지분법자본변동,-154227525.0
142,지분법자본변동,-154227525.0
143,배당금지급,6731732000.0
144,배당금지급,6731732000.0
145,배당금지급,6731732000.0
146,자기주식 거래로 인한 증감,
147,자기주식 거래로 인한 증감,
148,자기주식 거래로 인한 증감,
149,비지배지분취득,
150,비지배지분취득,
151,비지배지분취득,
152,비지배지분취득,
153,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-15512889187.0
154,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-11768196676.0
155,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-3744692511.0
156,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-3422386928.0
157,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소)/비지배지분의 변동,-322305583.0
158,자본 증가(감소) 합계,-1058390009.0
159,자본 증가(감소) 합계,-9952068300.0
160,자본 증가(감소) 합계,8893678291.0
161,자본 증가(감소) 합계,
162,자본 증가(감소) 합계,-4301825180.0
163,자본 증가(감소) 합계,13517809054.0
164,자본 증가(감소) 합계,
165,자본 증가(감소) 합계,-322305583.0
166,기말자본,283630883723.0
167,기말자본,181809.0
168,기말자본,283630701914.0
169,기말자본,-91384308.0
170,기말자본,-4096011675.0
171,기말자본,257500280589.0
172,기말자본,8950000000.0
173,기말자본,21367817308.0
