,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
498,006380,카프로,7130,330,4.8,1061779,7475178650,6900,7190,6790,285200000000,0.02,40000000,1419757.0,3.55,499,2017-01-02
2744,006380,카프로,7150,20,0.3,830929,5864726010,7120,7160,6930,286000000000,0.02,40000000,1393368.0,3.48,498,2017-01-03
4991,006380,카프로,7240,90,1.3,670145,4831472720,7050,7380,7010,289600000000,0.02,40000000,1368958.0,3.42,498,2017-01-04
7217,006380,카프로,7570,330,4.6,1272402,9529202750,7170,7620,7170,302800000000,0.02,40000000,1672533.0,4.18,477,2017-01-05
9469,006380,카프로,7440,-130,-1.7,747833,5549006890,7540,7570,7310,297600000000,0.02,40000000,1561922.0,3.9,482,2017-01-06
11718,006380,카프로,7480,40,0.5,619382,4658349720,7360,7660,7140,299200000000,0.02,40000000,1584265.0,3.96,484,2017-01-09
13963,006380,카프로,7390,-90,-1.2,446752,3314665130,7450,7580,7320,295600000000,0.02,40000000,1591805.0,3.98,482,2017-01-10
16208,006380,카프로,7430,40,0.5,459454,3409081840,7350,7570,7350,297200000000,0.02,40000000,1616697.0,4.04,480,2017-01-11
18418,006380,카프로,7900,470,6.3,1819744,14370773500,7450,8180,7400,316000000000,0.02,40000000,1720589.0,4.3,444,2017-01-12
20661,006380,카프로,8000,100,1.3,741790,5850226960,7950,8040,7750,320000000000,0.02,40000000,1653950.0,4.13,441,2017-01-13
22908,006380,카프로,8000,0,0.0,534822,4260420590,8000,8100,7860,320000000000,0.02,40000000,1546505.0,3.87,441,2017-01-16
25127,006380,카프로,8410,410,5.1,1453083,12170734070,7950,8580,7950,336400000000,0.02,40000000,1694332.0,4.24,412,2017-01-17
27367,006380,카프로,8610,200,2.4,1164658,9866910180,8460,8710,8240,344400000000,0.02,40000000,1630217.0,4.08,406,2017-01-18
29604,006380,카프로,8910,300,3.5,851420,7473426580,8640,9000,8460,356400000000,0.02,40000000,1615436.0,4.04,397,2017-01-19
31836,006380,카프로,9130,220,2.5,1224360,11165430400,8900,9300,8810,365200000000,0.02,40000000,1574303.0,3.94,383,2017-01-20
34128,006380,카프로,8010,-1120,-12.3,3670309,31482805090,9200,9400,7950,320400000000,0.02,40000000,1488489.0,3.72,431,2017-01-23
36340,006380,카프로,8580,570,7.1,3989898,32787402460,7800,8770,7600,343200000000,0.02,40000000,1762452.0,4.41,399,2017-01-24
38595,006380,카프로,8350,-230,-2.7,919264,7739491560,8580,8750,8200,334000000000,0.02,40000000,1691722.0,4.23,409,2017-01-25
40838,006380,카프로,8470,120,1.4,506298,4299562690,8450,8640,8350,338800000000,0.02,40000000,1723218.0,4.31,406,2017-01-26
43095,006380,카프로,8250,-220,-2.6,771857,6384500370,8470,8660,8100,330000000000,0.02,40000000,1676402.0,4.19,417,2017-01-31
45345,006380,카프로,8280,30,0.4,462419,3787766300,8250,8390,8050,331200000000,0.02,40000000,1772929.0,4.43,421,2017-02-01
47600,006380,카프로,8030,-250,-3.0,660486,5340548970,8250,8250,7960,321200000000,0.02,40000000,1680533.0,4.2,430,2017-02-02
49827,006380,카프로,8450,420,5.2,845553,7008714440,8060,8480,8040,338000000000,0.02,40000000,1708132.0,4.27,410,2017-02-03
52088,006380,카프로,8140,-310,-3.7,696908,5751729710,8550,8570,8100,325600000000,0.02,40000000,1493187.0,3.73,424,2017-02-06
54343,006380,카프로,7940,-200,-2.5,1208741,9433930540,8210,8210,7600,317600000000,0.02,40000000,1505103.0,3.76,432,2017-02-07
56580,006380,카프로,8170,230,2.9,431268,3441111440,7940,8190,7700,326800000000,0.02,40000000,1530892.0,3.83,422,2017-02-08
58831,006380,카프로,8100,-70,-0.9,373046,3056470780,8190,8350,8070,324000000000,0.02,40000000,1461240.0,3.65,426,2017-02-09
61079,006380,카프로,8070,-30,-0.4,296301,2405240120,8150,8230,8020,322800000000,0.02,40000000,1449459.0,3.62,427,2017-02-10
63324,006380,카프로,8150,80,1.0,295001,2399318420,8100,8240,8020,326000000000,0.02,40000000,1441028.0,3.6,425,2017-02-13
65578,006380,카프로,8030,-120,-1.5,319085,2568120780,8180,8180,7980,321200000000,0.02,40000000,1420037.0,3.55,432,2017-02-14
67827,006380,카프로,8030,0,0.0,418500,3343026440,7990,8130,7860,321200000000,0.02,40000000,1403151.0,3.51,434,2017-02-15
70083,006380,카프로,7870,-160,-2.0,318550,2517088090,8050,8060,7850,314800000000,0.02,40000000,1380810.0,3.45,443,2017-02-16
72332,006380,카프로,7840,-30,-0.4,300085,2376643050,7670,8050,7670,313600000000,0.02,40000000,1401447.0,3.5,445,2017-02-17
74551,006380,카프로,8470,630,8.0,1449665,12189260350,7920,8730,7890,338800000000,0.02,40000000,1580460.0,3.95,417,2017-02-20
76793,006380,카프로,8550,80,0.9,754350,6453028330,8510,8720,8310,342000000000,0.02,40000000,1457675.0,3.64,412,2017-02-21
79040,006380,카프로,8490,-60,-0.7,476930,4063341690,8530,8690,8400,339600000000,0.02,40000000,1416525.0,3.54,413,2017-02-22
81290,006380,카프로,8350,-140,-1.6,457688,3799873020,8490,8500,8160,334000000000,0.02,40000000,1325911.0,3.31,417,2017-02-23
83545,006380,카프로,8100,-250,-3.0,318282,2602735020,8380,8390,8090,324000000000,0.02,40000000,1270589.0,3.18,424,2017-02-24
85793,006380,카프로,8110,10,0.1,255431,2095536000,8180,8340,8110,324400000000,0.02,40000000,1255127.0,3.14,424,2017-02-27
88035,006380,카프로,8250,140,1.7,287719,2360945100,8140,8280,8110,330000000000,0.02,40000000,1241450.0,3.1,418,2017-02-28
90273,006380,카프로,8590,340,4.1,857180,7325224210,8200,8730,8190,343600000000,0.02,40000000,1235486.0,3.09,407,2017-03-02
92518,006380,카프로,8580,-10,-0.1,545811,4623616900,8600,8640,8270,343200000000,0.02,40000000,1179536.0,2.95,402,2017-03-03
94770,006380,카프로,8570,-10,-0.1,396106,3392454350,8430,8700,8400,342800000000,0.02,40000000,1193093.0,2.98,403,2017-03-06
97010,006380,카프로,8850,280,3.3,918577,8051091940,8460,8870,8460,354000000000,0.02,40000000,1350396.0,3.38,392,2017-03-07
99285,006380,카프로,8270,-580,-6.6,1765436,14871961740,8930,8940,8100,330800000000,0.02,40000000,1152583.0,2.88,418,2017-03-08
101542,006380,카프로,7930,-340,-4.1,1619575,12863031790,8200,8320,7760,317200000000,0.02,40000000,1115224.0,2.79,426,2017-03-09
103790,006380,카프로,7980,50,0.6,880747,6824035060,7810,7980,7590,319200000000,0.02,40000000,1114078.0,2.79,425,2017-03-10
106052,006380,카프로,7860,-120,-1.5,811517,6330516280,8090,8090,7690,314400000000,0.02,40000000,972710.0,2.43,438,2017-03-13
108298,006380,카프로,7860,0,0.0,429203,3392353000,7750,8000,7750,314400000000,0.02,40000000,965447.0,2.41,435,2017-03-14
110546,006380,카프로,7860,0,0.0,227161,1784068880,7880,7950,7780,314400000000,0.02,40000000,956078.0,2.39,434,2017-03-15
112772,006380,카프로,8410,550,7.0,767779,6286608200,7910,8430,7910,336400000000,0.02,40000000,1000858.0,2.5,412,2017-03-16
115020,006380,카프로,8390,-20,-0.2,388276,3236453950,8470,8470,8210,335600000000,0.02,40000000,932737.0,2.33,412,2017-03-17
117264,006380,카프로,8450,60,0.7,342131,2860939500,8480,8480,8200,338000000000,0.02,40000000,930376.0,2.33,408,2017-03-20
119515,006380,카프로,8410,-40,-0.5,284582,2393566210,8560,8560,8360,336400000000,0.02,40000000,925225.0,2.31,410,2017-03-21
121762,006380,카프로,8450,40,0.5,475083,4025841880,8290,8650,8290,338000000000,0.02,40000000,979664.0,2.45,408,2017-03-22
123999,006380,카프로,8700,250,3.0,1201710,10516885270,8540,8980,8440,348000000000,0.02,40000000,1154089.0,2.89,396,2017-03-23
126249,006380,카프로,8800,100,1.2,1679916,14753827860,8750,9080,8300,352000000000,0.02,40000000,1030888.0,2.58,396,2017-03-24
128512,006380,카프로,8500,-300,-3.4,547153,4695625660,8680,8830,8420,340000000000,0.02,40000000,993037.0,2.48,409,2017-03-27
130758,006380,카프로,8710,210,2.5,299291,2582447480,8450,8750,8440,348400000000,0.02,40000000,1037803.0,2.59,404,2017-03-28
133007,006380,카프로,8650,-60,-0.7,334614,2887512040,8790,8790,8540,346000000000,0.02,40000000,1074579.0,2.69,402,2017-03-29
135263,006380,카프로,8470,-180,-2.1,285700,2432620610,8650,8690,8470,338800000000,0.02,40000000,1077566.0,2.69,407,2017-03-30
137517,006380,카프로,8500,30,0.4,349223,2954414310,8480,8580,8370,340000000000,0.02,40000000,1092398.0,2.73,410,2017-03-31
139778,006380,카프로,8400,-100,-1.2,306420,2580217770,8410,8530,8350,336000000000,0.02,40000000,1039228.0,2.6,419,2017-04-03
142056,006380,카프로,7980,-420,-5.0,839874,6821594790,8380,8390,7910,319200000000,0.02,40000000,902803.0,2.26,445,2017-04-04
144315,006380,카프로,7850,-130,-1.6,942073,7384502390,8080,8110,7600,314000000000,0.02,40000000,817223.0,2.04,452,2017-04-05
146569,006380,카프로,7840,-10,-0.1,615511,4745438910,7800,7860,7560,313600000000,0.02,40000000,761385.0,1.9,454,2017-04-06
148811,006380,카프로,8060,220,2.8,364098,2923452460,7900,8120,7840,322400000000,0.02,40000000,696928.0,1.74,443,2017-04-07
151064,006380,카프로,7950,-110,-1.4,364553,2874860230,8070,8070,7700,318000000000,0.02,40000000,620314.0,1.55,442,2017-04-10
153311,006380,카프로,8090,140,1.8,637397,5211030390,8280,8360,7980,323600000000,0.02,40000000,577904.0,1.44,435,2017-04-11
155567,006380,카프로,8020,-70,-0.9,256589,2049378750,8180,8180,7870,320800000000,0.02,40000000,595486.0,1.49,435,2017-04-12
157832,006380,카프로,7990,-30,-0.4,212053,1687046500,8020,8020,7910,319600000000,0.02,40000000,601776.0,1.5,445,2017-04-13
160079,006380,카프로,8030,40,0.5,326745,2644940970,7990,8200,7960,321200000000,0.02,40000000,639149.0,1.6,438,2017-04-14
162339,006380,카프로,8060,30,0.4,194446,1567622400,8040,8150,8000,322400000000,0.02,40000000,638000.0,1.6,444,2017-04-17
164598,006380,카프로,7950,-110,-1.4,529988,4206836950,8070,8130,7860,318000000000,0.02,40000000,618719.0,1.55,450,2017-04-18
166856,006380,카프로,7910,-40,-0.5,304909,2397454900,7950,7980,7800,316400000000,0.02,40000000,637776.0,1.59,455,2017-04-19
169112,006380,카프로,7920,10,0.1,213836,1699222580,7910,8030,7850,316800000000,0.02,40000000,630804.0,1.58,458,2017-04-20
171364,006380,카프로,7860,-60,-0.8,195897,1544609840,7920,7960,7840,314400000000,0.02,40000000,619564.0,1.55,457,2017-04-21
173610,006380,카프로,7860,0,0.0,140742,1102925500,7810,7940,7800,314400000000,0.02,40000000,626081.0,1.57,450,2017-04-24
175866,006380,카프로,7980,120,1.5,469424,3707903700,7900,8040,7750,319200000000,0.02,40000000,607868.0,1.52,452,2017-04-25
178124,006380,카프로,7830,-150,-1.9,389577,3080178160,8040,8070,7800,313200000000,0.02,40000000,629873.0,1.57,459,2017-04-26
180383,006380,카프로,7630,-200,-2.6,518174,3985103070,7810,7880,7600,305200000000,0.02,40000000,625765.0,1.56,467,2017-04-27
182637,006380,카프로,7640,10,0.1,265623,2039016490,7680,7830,7560,305600000000,0.02,40000000,637601.0,1.59,468,2017-04-28
184885,006380,카프로,7700,60,0.8,244392,1885288530,7610,7800,7610,308000000000,0.02,40000000,645094.0,1.61,462,2017-05-02
187152,006380,카프로,7650,-50,-0.6,220408,1696133260,7700,7780,7630,306000000000,0.02,40000000,601669.0,1.5,472,2017-05-04
189428,006380,카프로,7410,-240,-3.1,535544,3985287720,7640,7640,7380,296400000000,0.02,40000000,585460.0,1.46,491,2017-05-08
191705,006380,카프로,6980,-430,-5.8,1469786,10503478370,7480,7500,6970,279200000000,0.02,40000000,682439.0,1.71,513,2017-05-10
193950,006380,카프로,7270,290,4.2,762810,5480906910,7080,7280,6980,290800000000,0.02,40000000,739393.0,1.85,500,2017-05-11
196220,006380,카프로,7100,-170,-2.3,520544,3681870990,7270,7280,6990,284000000000,0.02,40000000,722873.0,1.81,512,2017-05-12
198487,006380,카프로,6880,-220,-3.1,944877,6464009720,7040,7050,6720,275200000000,0.02,40000000,812175.0,2.03,519,2017-05-15
200776,006380,카프로,6450,-430,-6.2,1660500,10907150110,6880,6950,6370,258000000000,0.01,40000000,962344.0,2.41,548,2017-05-16
203016,006380,카프로,6620,170,2.6,790526,5232871750,6500,6700,6490,264800000000,0.02,40000000,1055141.0,2.64,529,2017-05-17
205286,006380,카프로,6530,-90,-1.4,612149,4041457340,6470,6770,6470,261200000000,0.02,40000000,1011259.0,2.53,540,2017-05-18
207524,006380,카프로,6790,260,4.0,947899,6432508730,6570,6920,6570,271600000000,0.02,40000000,973026.0,2.43,519,2017-05-19
209766,006380,카프로,7130,340,5.0,1324146,9222582380,6710,7140,6600,285200000000,0.02,40000000,990332.0,2.48,502,2017-05-22
212029,006380,카프로,7090,-40,-0.6,487108,3444688840,7110,7170,6980,283600000000,0.02,40000000,903371.0,2.26,505,2017-05-23
214300,006380,카프로,6990,-100,-1.4,615495,4286712790,7050,7050,6860,279600000000,0.02,40000000,846252.0,2.12,515,2017-05-24
216566,006380,카프로,6960,-30,-0.4,462994,3250453200,6920,7110,6920,278400000000,0.02,40000000,847560.0,2.12,520,2017-05-25
218844,006380,카프로,6770,-190,-2.7,669271,4598969520,6970,7060,6760,270800000000,0.02,40000000,904894.0,2.26,537,2017-05-26
221073,006380,카프로,7240,470,6.9,1836476,13053878740,6850,7290,6750,289600000000,0.02,40000000,1331784.0,3.33,504,2017-05-29
223349,006380,카프로,7050,-190,-2.6,905644,6439313720,7270,7380,7000,282000000000,0.02,40000000,1103859.0,2.76,519,2017-05-30
225609,006380,카프로,7090,40,0.6,763981,5419085230,7060,7270,6990,283600000000,0.02,40000000,1011627.0,2.53,518,2017-05-31
227880,006380,카프로,6980,-110,-1.6,370467,2592619740,7070,7080,6960,279200000000,0.02,40000000,986561.0,2.47,528,2017-06-01
230158,006380,카프로,6810,-170,-2.4,884101,6044596400,7020,7090,6760,272400000000,0.02,40000000,831473.0,2.08,543,2017-06-02
232420,006380,카프로,6840,30,0.4,344467,2337937930,6810,6870,6660,273600000000,0.02,40000000,863091.0,2.16,541,2017-06-05
234691,006380,카프로,6780,-60,-0.9,404304,2739629610,6770,6860,6740,271200000000,0.02,40000000,885492.0,2.21,547,2017-06-07
236970,006380,카프로,6560,-220,-3.2,797437,5257242700,6800,6800,6540,262400000000,0.01,40000000,838292.0,2.1,562,2017-06-08
239234,006380,카프로,6660,100,1.5,580982,3848849910,6580,6720,6460,266400000000,0.02,40000000,906011.0,2.27,560,2017-06-09
241500,006380,카프로,6630,-30,-0.4,378770,2545436710,6650,6820,6610,265200000000,0.02,40000000,893619.0,2.23,559,2017-06-12
243776,006380,카프로,6440,-190,-2.9,881041,5695317160,6630,6660,6410,257600000000,0.01,40000000,748232.0,1.87,568,2017-06-13
246071,006380,카프로,6150,-290,-4.5,1169771,7204692300,6440,6440,6060,246000000000,0.01,40000000,734681.0,1.84,596,2017-06-14
248346,006380,카프로,5970,-180,-2.9,872159,5227649400,6140,6140,5900,238800000000,0.01,40000000,725376.0,1.81,607,2017-06-15
250607,006380,카프로,5950,-20,-0.3,566150,3397418950,5970,6160,5910,238000000000,0.01,40000000,702017.0,1.76,608,2017-06-16
252876,006380,카프로,5910,-40,-0.7,397915,2377853370,6050,6060,5890,236400000000,0.01,40000000,710402.0,1.78,617,2017-06-19
255111,006380,카프로,6060,150,2.5,444250,2671946610,5910,6090,5900,242400000000,0.01,40000000,744613.0,1.86,591,2017-06-20
257395,006380,카프로,5820,-240,-4.0,467887,2762361800,6070,6070,5810,232800000000,0.01,40000000,694637.0,1.74,615,2017-06-21
259650,006380,카프로,5840,20,0.3,604503,3477963050,5750,5960,5580,233600000000,0.01,40000000,827632.0,2.07,610,2017-06-22
261924,006380,카프로,5780,-60,-1.0,241042,1398617110,5810,5920,5750,231200000000,0.01,40000000,830415.0,2.08,623,2017-06-23
264197,006380,카프로,5600,-180,-3.1,511331,2868018420,5800,5800,5540,224000000000,0.01,40000000,902519.0,2.26,635,2017-06-26
