,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
67,007070,GS리테일,47000,-600,-1.3,71412,3363036300,47600,47750,46900,3619000000000,0.24,77000000,13100255.0,17.01,68,2017-01-02
2314,007070,GS리테일,46900,-100,-0.2,112579,5275876300,47000,47200,46500,3611300000000,0.24,77000000,13133826.0,17.06,68,2017-01-03
4562,007070,GS리테일,46550,-350,-0.8,150472,7013917900,46900,47050,46400,3584350000000,0.23,77000000,13155006.0,17.08,69,2017-01-04
6808,007070,GS리테일,47650,1100,2.4,130826,6214377650,46500,47950,46500,3669050000000,0.24,77000000,13189298.0,17.13,68,2017-01-05
9055,007070,GS리테일,48200,550,1.2,106036,5098305550,47650,48300,47500,3711400000000,0.24,77000000,13222188.0,17.17,68,2017-01-06
11303,007070,GS리테일,47200,-1000,-2.1,70330,3338419800,47800,48200,47200,3634400000000,0.24,77000000,13211261.0,17.16,69,2017-01-09
13550,007070,GS리테일,48000,800,1.7,176005,8391722600,47250,48450,46750,3696000000000,0.24,77000000,13272428.0,17.24,69,2017-01-10
15792,007070,GS리테일,49400,1400,2.9,301536,14946936650,47850,50000,47850,3803800000000,0.25,77000000,13352528.0,17.34,64,2017-01-11
18039,007070,GS리테일,49350,-50,-0.1,117273,5769104850,49900,49900,48650,3799950000000,0.24,77000000,13356818.0,17.35,65,2017-01-12
20284,007070,GS리테일,49500,150,0.3,110594,5477403400,49300,49750,49000,3811500000000,0.25,77000000,13352530.0,17.34,64,2017-01-13
22530,007070,GS리테일,49350,-150,-0.3,96169,4747894550,49650,49800,49000,3799950000000,0.25,77000000,13377338.0,17.37,63,2017-01-16
24778,007070,GS리테일,49550,200,0.4,121591,5962838400,49500,49600,48450,3815350000000,0.25,77000000,13323335.0,17.3,63,2017-01-17
27027,007070,GS리테일,49100,-450,-0.9,77084,3771920200,49500,49550,48700,3780700000000,0.24,77000000,13305373.0,17.28,66,2017-01-18
29274,007070,GS리테일,48750,-350,-0.7,122997,6004064450,48700,49300,48500,3753750000000,0.24,77000000,13293703.0,17.26,67,2017-01-19
31520,007070,GS리테일,49650,900,1.8,190700,9463666950,48750,50000,48650,3823050000000,0.25,77000000,13290839.0,17.26,67,2017-01-20
33763,007070,GS리테일,50500,850,1.7,166917,8439409500,49650,50900,49650,3888500000000,0.25,77000000,13312495.0,17.29,66,2017-01-23
36007,007070,GS리테일,50400,-100,-0.2,88003,4426691300,50500,50500,49950,3880800000000,0.25,77000000,13309775.0,17.29,66,2017-01-24
38252,007070,GS리테일,50000,-400,-0.8,126159,6330287500,50600,50900,49550,3850000000000,0.25,77000000,13329121.0,17.31,66,2017-01-25
40497,007070,GS리테일,50900,900,1.8,147089,7432758750,49900,51200,49600,3919300000000,0.25,77000000,13373227.0,17.37,65,2017-01-26
42743,007070,GS리테일,52000,1100,2.2,242737,12597115200,50900,52500,50900,4004000000000,0.26,77000000,13364784.0,17.36,65,2017-01-31
44989,007070,GS리테일,52000,0,0.0,129311,6696884860,52000,52200,51300,4004000000000,0.26,77000000,13345473.0,17.33,65,2017-02-01
47235,007070,GS리테일,49900,-2100,-4.0,306836,15597283350,51800,52300,49150,3842300000000,0.25,77000000,13414393.0,17.42,65,2017-02-02
49482,007070,GS리테일,51900,2000,4.0,347095,17835623150,49850,52200,49750,3996300000000,0.26,77000000,13459595.0,17.48,65,2017-02-03
51729,007070,GS리테일,53000,1100,2.1,396221,21008126000,52200,54000,51900,4081000000000,0.26,77000000,13460059.0,17.48,65,2017-02-06
