,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
269,007570,일양약품,38850,300,0.8,215561,8434519850,38450,39650,38450,739936478400,0.04,19045984,1237488.0,6.5,270,2018-01-02
2580,007570,일양약품,39250,400,1.0,243284,9568077900,39300,39900,38650,747554872000,0.04,19045984,1275298.0,6.7,270,2018-01-03
4891,007570,일양약품,38950,-300,-0.8,364220,14609922350,39500,41100,38850,741841076800,0.04,19045984,1257318.0,6.6,270,2018-01-04
7198,007570,일양약품,40000,1050,2.7,189157,7558075900,39150,40400,39150,761839360000,0.04,19045984,1306417.0,6.86,267,2018-01-05
9511,007570,일양약품,40200,200,0.5,118002,4721843850,40550,40800,39550,765648556800,0.04,19045984,1289362.0,6.77,268,2018-01-08
11825,007570,일양약품,39250,-950,-2.4,178083,7081562600,40300,40700,38800,747554872000,0.04,19045984,1312275.0,6.89,270,2018-01-09
14133,007570,일양약품,39850,600,1.5,121297,4808930550,39400,40250,39150,758982462400,0.04,19045984,1315403.0,6.91,266,2018-01-10
16443,007570,일양약품,40500,650,1.6,203903,8283208650,40000,41250,39850,771362352000,0.04,19045984,1360441.0,7.14,264,2018-01-11
18758,007570,일양약품,40400,-100,-0.2,432360,17921685000,41050,42550,39900,769457753600,0.04,19045984,1343964.0,7.06,266,2018-01-12
21070,007570,일양약품,41500,1100,2.7,221942,9061688250,41000,41750,39600,790408336000,0.04,19045984,1351529.0,7.1,265,2018-01-15
23388,007570,일양약품,40900,-600,-1.4,166903,6836238650,41600,41900,40250,778980745600,0.04,19045984,1320442.0,6.93,270,2018-01-16
25704,007570,일양약품,39700,-1200,-2.9,192361,7685123300,40700,40900,39400,756125564800,0.04,19045984,1333357.0,7.0,273,2018-01-17
28015,007570,일양약품,40250,550,1.4,142024,5686165350,40000,40550,39500,766600856000,0.04,19045984,1354826.0,7.11,271,2018-01-18
30330,007570,일양약품,39500,-750,-1.9,127317,5074627850,40350,40500,39450,752316368000,0.04,19045984,1363395.0,7.16,273,2018-01-19
32640,007570,일양약품,40450,950,2.4,154690,6208303350,39800,40500,39500,770410052800,0.04,19045984,1406796.0,7.39,271,2018-01-22
34955,007570,일양약품,40650,200,0.5,112419,4557574250,40650,40800,40150,774219249600,0.04,19045984,1397196.0,7.34,274,2018-01-23
37264,007570,일양약품,41700,1050,2.6,186354,7680897700,40850,41700,40600,794217532800,0.04,19045984,1418915.0,7.45,271,2018-01-24
39578,007570,일양약품,41450,-250,-0.6,113095,4697011800,41900,42000,41150,789456036800,0.04,19045984,1409675.0,7.4,273,2018-01-25
41881,007570,일양약품,44550,3100,7.5,854520,37425235050,41550,45350,41550,848498587200,0.04,19045984,1492033.0,7.83,263,2018-01-26
44195,007570,일양약품,44150,-400,-0.9,388739,17251869750,44950,45550,43650,840880193600,0.04,19045984,1416444.0,7.44,263,2018-01-29
46507,007570,일양약품,43950,-200,-0.4,297144,13163054700,43900,45400,43200,837070996800,0.04,19045984,1399457.0,7.35,261,2018-01-30
48831,007570,일양약품,42400,-1550,-3.5,297960,12742142750,43950,44000,41650,807549721600,0.04,19045984,1362900.0,7.16,271,2018-01-31
51149,007570,일양약품,41350,-1050,-2.5,217039,9030974600,42300,42800,41050,787551438400,0.04,19045984,1367604.0,7.18,275,2018-02-01
53465,007570,일양약품,40500,-850,-2.1,213678,8658274500,41450,41550,40000,771362352000,0.04,19045984,1368068.0,7.18,276,2018-02-02
55779,007570,일양약품,38800,-1700,-4.2,233858,9139111850,38600,39700,38600,738984179200,0.04,19045984,1364501.0,7.16,275,2018-02-05
58098,007570,일양약품,37950,-850,-2.2,274632,10211727150,37500,38150,36050,722795092800,0.04,19045984,1364713.0,7.17,279,2018-02-06
60417,007570,일양약품,37000,-950,-2.5,186084,7092253350,39000,39000,37000,704701408000,0.04,19045984,1363151.0,7.16,283,2018-02-07
62731,007570,일양약품,37600,600,1.6,128457,4811625600,36500,37950,36500,716128998400,0.04,19045984,1361659.0,7.15,283,2018-02-08
65043,007570,일양약품,37850,250,0.7,162977,6088170050,36450,38200,36250,720890494400,0.04,19045984,1377056.0,7.23,280,2018-02-09
67355,007570,일양약품,38450,600,1.6,98736,3787131200,38400,38850,37800,732318084800,0.04,19045984,1388557.0,7.29,277,2018-02-12
69673,007570,일양약품,37600,-850,-2.2,81061,3100860600,38900,38900,37600,716128998400,0.04,19045984,1392252.0,7.31,279,2018-02-13
71988,007570,일양약품,38450,850,2.3,58712,2243800400,37750,38600,37650,732318084800,0.04,19045984,1401781.0,7.36,278,2018-02-14
74302,007570,일양약품,39300,850,2.2,68050,2651201350,38450,39300,38350,748507171200,0.04,19045984,1408714.0,7.4,277,2018-02-19
