,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
363,008060,대덕전자,9990,130,1.3,43201,428061490,9870,10000,9810,487475037000,0.03,48796300,11099680.0,22.75,364,2018-01-02
2676,008060,대덕전자,9920,-70,-0.7,87575,869317380,9900,9980,9840,484059296000,0.03,48796300,11097190.0,22.74,366,2018-01-03
4978,008060,대덕전자,10000,80,0.8,152168,1526389880,9920,10150,9910,487963000000,0.03,48796300,11091791.0,22.73,357,2018-01-04
7298,008060,대덕전자,9930,-70,-0.7,97781,974487910,10100,10100,9920,484547259000,0.03,48796300,11072047.0,22.69,367,2018-01-05
9616,008060,대덕전자,9850,-80,-0.8,89810,886844320,9950,10000,9820,480643555000,0.02,48796300,11066029.0,22.68,373,2018-01-08
11927,008060,대덕전자,9810,-40,-0.4,97600,957559450,9950,9950,9760,478691703000,0.02,48796300,11082319.0,22.71,372,2018-01-09
14233,008060,대덕전자,9970,160,1.6,112209,1113511740,9860,10000,9760,486499111000,0.03,48796300,11082526.0,22.71,366,2018-01-10
16543,008060,대덕전자,10100,130,1.3,106352,1068269920,10000,10200,9950,492842630000,0.03,48796300,11096038.0,22.74,364,2018-01-11
18871,008060,대덕전자,9660,-440,-4.4,191342,1875130070,10200,10200,9640,471372258000,0.02,48796300,11039354.0,22.62,379,2018-01-12
21190,008060,대덕전자,9680,20,0.2,129451,1262058440,9670,9860,9660,472348184000,0.02,48796300,11027019.0,22.6,385,2018-01-15
23508,008060,대덕전자,9620,-60,-0.6,100294,964095180,9700,9760,9570,469420406000,0.02,48796300,11043120.0,22.63,390,2018-01-16
25837,008060,대덕전자,9300,-320,-3.3,190480,1779808690,9600,9600,9230,453805590000,0.02,48796300,11033939.0,22.61,406,2018-01-17
28154,008060,대덕전자,9280,-20,-0.2,100757,938402610,9330,9420,9270,452829664000,0.02,48796300,11058770.0,22.66,410,2018-01-18
30468,008060,대덕전자,9260,-20,-0.2,136598,1268557140,9270,9350,9250,451853738000,0.02,48796300,11158219.0,22.87,411,2018-01-19
32785,008060,대덕전자,9190,-70,-0.8,141896,1311168180,9290,9340,9050,448437997000,0.02,48796300,11134087.0,22.82,416,2018-01-22
35096,008060,대덕전자,9250,60,0.6,122843,1135577950,9190,9320,9140,451365775000,0.02,48796300,11134590.0,22.82,415,2018-01-23
37403,008060,대덕전자,9470,220,2.4,95135,895687630,9250,9470,9250,462100961000,0.02,48796300,11150482.0,22.85,410,2018-01-24
39717,008060,대덕전자,9440,-30,-0.3,194810,1852146570,9470,10000,9350,460637072000,0.02,48796300,11117113.0,22.78,412,2018-01-25
42034,008060,대덕전자,9580,140,1.5,81734,779972730,9420,9600,9420,467468554000,0.02,48796300,11118273.0,22.79,416,2018-01-26
44346,008060,대덕전자,9650,70,0.7,90544,877271020,9640,9740,9610,470884295000,0.02,48796300,11114063.0,22.78,414,2018-01-29
46656,008060,대덕전자,9680,30,0.3,103820,1007950630,9620,9790,9620,472348184000,0.02,48796300,11115344.0,22.78,410,2018-01-30
48964,008060,대덕전자,9640,-40,-0.4,162530,1572382000,9700,9770,9600,470396332000,0.02,48796300,11113792.0,22.78,404,2018-01-31
51286,008060,대덕전자,9470,-170,-1.8,110008,1044962820,9620,9660,9420,462100961000,0.02,48796300,11122846.0,22.79,412,2018-02-01
53597,008060,대덕전자,9390,-80,-0.8,153386,1438073820,9550,9550,9290,458197257000,0.02,48796300,11124713.0,22.8,408,2018-02-02
55912,008060,대덕전자,9130,-260,-2.8,130249,1192324370,9300,9430,9080,445510219000,0.02,48796300,11097757.0,22.74,408,2018-02-05
58233,008060,대덕전자,9040,-90,-1.0,221079,1967569380,9070,9180,8700,441118552000,0.02,48796300,11138635.0,22.83,414,2018-02-06
60531,008060,대덕전자,9040,0,0.0,163265,1494207280,9050,9320,9040,441118552000,0.02,48796300,11159469.0,22.87,397,2018-02-07
62862,008060,대덕전자,9080,40,0.4,130152,1185370220,9020,9230,9010,443070404000,0.02,48796300,11166459.0,22.88,414,2018-02-08
65158,008060,대덕전자,9290,210,2.3,252400,2308256690,8960,9340,8900,453317627000,0.02,48796300,11096289.0,22.74,395,2018-02-09
67480,008060,대덕전자,9240,-50,-0.5,73310,678296040,9290,9290,9110,450877812000,0.02,48796300,11080792.0,22.71,402,2018-02-12
69795,008060,대덕전자,9080,-160,-1.7,101911,935820770,9180,9310,9040,443070404000,0.02,48796300,11037464.0,22.62,401,2018-02-13
72108,008060,대덕전자,9230,150,1.6,97552,898289690,9070,9270,9070,450389849000,0.02,48796300,11037083.0,22.62,398,2018-02-14
74437,008060,대덕전자,9180,-50,-0.5,90638,828827440,9300,9300,9110,447950034000,0.02,48796300,11031425.0,22.61,412,2018-02-19
76746,008060,대덕전자,9210,30,0.3,91083,839200140,9120,9270,9120,449413923000,0.02,48796300,11037268.0,22.62,406,2018-02-20
79055,008060,대덕전자,9410,200,2.2,143452,1348926930,9210,9520,9210,459173183000,0.02,48796300,11029329.0,22.6,400,2018-02-21
81374,008060,대덕전자,9250,-160,-1.7,83211,770264100,9410,9410,9200,451365775000,0.02,48796300,10982926.0,22.51,404,2018-02-22
83693,008060,대덕전자,9190,-60,-0.6,100685,925963670,9310,9310,9140,448437997000,0.02,48796300,10964408.0,22.47,408,2018-02-23
86003,008060,대덕전자,9210,20,0.2,58338,535228140,9210,9240,9130,449413923000,0.02,48796300,10956806.0,22.45,404,2018-02-26
88318,008060,대덕전자,9170,-40,-0.4,76225,700877850,9210,9270,9140,447462071000,0.02,48796300,10948389.0,22.44,405,2018-02-27
90636,008060,대덕전자,8960,-210,-2.3,180571,1628187340,9200,9200,8960,437214848000,0.02,48796300,10887283.0,22.31,409,2018-02-28
92958,008060,대덕전자,8710,-250,-2.8,262067,2278107100,8890,8960,8580,425015773000,0.02,48796300,10773201.0,22.08,417,2018-03-02
95275,008060,대덕전자,8420,-290,-3.3,154395,1310718150,8710,8770,8370,410864846000,0.02,48796300,10743381.0,22.02,421,2018-03-05
97588,008060,대덕전자,8550,130,1.5,71734,610976900,8450,8600,8440,417208365000,0.02,48796300,10745034.0,22.02,421,2018-03-06
99900,008060,대덕전자,8430,-120,-1.4,101331,852842050,8530,8530,8350,411352809000,0.02,48796300,10725770.0,21.98,420,2018-03-07
102214,008060,대덕전자,8480,50,0.6,105471,887708710,8470,8480,8340,413792624000,0.02,48796300,10729548.0,21.99,421,2018-03-08
104534,008060,대덕전자,8510,30,0.4,75980,648089120,8430,8590,8430,415256513000,0.02,48796300,10731567.0,21.99,428,2018-03-09
106851,008060,대덕전자,8520,10,0.1,88204,753097690,8590,8620,8490,415744476000,0.02,48796300,10733215.0,22.0,433,2018-03-12
109165,008060,대덕전자,8550,30,0.4,83196,710287190,8490,8580,8470,417208365000,0.02,48796300,10743450.0,22.02,435,2018-03-13
111474,008060,대덕전자,8570,20,0.2,86043,734723490,8500,8610,8500,418184291000,0.02,48796300,10747483.0,22.03,433,2018-03-14
113789,008060,대덕전자,8540,-30,-0.4,107146,912731000,8560,8590,8490,416720402000,0.02,48796300,10756950.0,22.04,435,2018-03-15
116106,008060,대덕전자,8540,0,0.0,80076,684247730,8540,8590,8510,416720402000,0.02,48796300,10741102.0,22.01,439,2018-03-16
118418,008060,대덕전자,8480,-60,-0.7,96337,817180400,8580,8590,8450,413792624000,0.02,48796300,10737850.0,22.01,438,2018-03-19
120733,008060,대덕전자,8400,-80,-0.9,129969,1091021120,8480,8490,8360,409888920000,0.02,48796300,10669083.0,21.86,440,2018-03-20
123041,008060,대덕전자,8450,50,0.6,37844,319290350,8370,8480,8370,412328735000,0.02,48796300,10669682.0,21.87,436,2018-03-21
125358,008060,대덕전자,8420,-30,-0.4,66510,561482310,8450,8510,8420,410864846000,0.02,48796300,10659323.0,21.84,441,2018-03-22
127662,008060,대덕전자,8250,-170,-2.0,117145,970514830,8350,8350,8250,402569475000,0.02,48796300,10621029.0,21.77,432,2018-03-23
129982,008060,대덕전자,8150,-100,-1.2,173258,1407164660,8210,8270,8070,397689845000,0.02,48796300,10560366.0,21.64,439,2018-03-26
132286,008060,대덕전자,8400,250,3.1,92263,768398480,8150,8410,8150,409888920000,0.02,48796300,10569634.0,21.66,430,2018-03-27
134603,008060,대덕전자,8330,-70,-0.8,42547,352898780,8400,8400,8240,406473179000,0.02,48796300,10556072.0,21.63,434,2018-03-28
136926,008060,대덕전자,8240,-90,-1.1,37704,310901850,8310,8330,8200,402081512000,0.02,48796300,10539996.0,21.6,444,2018-03-29
139232,008060,대덕전자,8350,110,1.3,54742,454957590,8340,8370,8250,407449105000,0.02,48796300,10535281.0,21.59,437,2018-03-30
141546,008060,대덕전자,8350,0,0.0,38508,322208630,8380,8450,8300,407449105000,0.02,48796300,10528519.0,21.58,440,2018-04-02
143867,008060,대덕전자,8240,-110,-1.3,70919,584978150,8270,8280,8220,402081512000,0.02,48796300,10509783.0,21.54,449,2018-04-03
146182,008060,대덕전자,8050,-190,-2.3,157414,1277829240,8250,8280,8050,392810215000,0.02,48796300,10489248.0,21.5,452,2018-04-04
148492,008060,대덕전자,8090,40,0.5,58408,473220840,8060,8140,8060,394762067000,0.02,48796300,10469876.0,21.46,449,2018-04-05
150804,008060,대덕전자,8080,-10,-0.1,71200,571738540,8100,8100,7990,394274104000,0.02,48796300,10441264.0,21.4,448,2018-04-06
153123,008060,대덕전자,8040,-40,-0.5,65580,527032890,8020,8090,8010,392322252000,0.02,48796300,10430797.0,21.38,453,2018-04-09
155423,008060,대덕전자,8380,340,4.2,161174,1318698660,7990,8400,7950,408912994000,0.02,48796300,10385729.0,21.28,439,2018-04-10
157748,008060,대덕전자,8330,-50,-0.6,110073,916957660,8250,8410,8210,406473179000,0.02,48796300,10352748.0,21.22,450,2018-04-11
160062,008060,대덕전자,8290,-40,-0.5,90244,753604160,8310,8420,8250,404521327000,0.02,48796300,10329218.0,21.17,450,2018-04-12
162387,008060,대덕전자,8150,-140,-1.7,155322,1269645880,8250,8330,8110,397689845000,0.02,48796300,10273950.0,21.05,461,2018-04-13
164703,008060,대덕전자,8210,60,0.7,73418,600896370,8180,8260,8100,400617623000,0.02,48796300,10256599.0,21.02,463,2018-04-16
167012,008060,대덕전자,8310,100,1.2,87037,720582200,8190,8360,8170,405497253000,0.02,48796300,10251937.0,21.01,458,2018-04-17
169327,008060,대덕전자,8280,-30,-0.4,80972,672039710,8280,8370,8230,404033364000,0.02,48796300,10224089.0,20.95,460,2018-04-18
171636,008060,대덕전자,8310,30,0.4,109134,908087360,8290,8370,8280,405497253000,0.02,48796300,10227829.0,20.96,457,2018-04-19
173933,008060,대덕전자,8590,280,3.4,177940,1522558480,8310,8650,8300,419160217000,0.02,48796300,10248489.0,21.0,442,2018-04-20
176253,008060,대덕전자,8440,-150,-1.8,139958,1188165990,8650,8650,8380,411840772000,0.02,48796300,10213118.0,20.93,450,2018-04-23
178569,008060,대덕전자,8380,-60,-0.7,85261,718297140,8490,8540,8350,408912994000,0.02,48796300,10174892.0,20.85,454,2018-04-24
180875,008060,대덕전자,8440,60,0.7,121126,1020348620,8380,8490,8300,411840772000,0.02,48796300,10147213.0,20.8,448,2018-04-25
183190,008060,대덕전자,8410,-30,-0.4,80001,676312190,8410,8540,8390,410376883000,0.02,48796300,10145521.0,20.79,452,2018-04-26
185508,008060,대덕전자,8340,-70,-0.8,94124,789171230,8410,8490,8300,406961142000,0.02,48796300,10127784.0,20.76,459,2018-04-27
187820,008060,대덕전자,8330,-10,-0.1,66238,551167200,8400,8410,8270,406473179000,0.02,48796300,10120809.0,20.74,459,2018-04-30
190114,008060,대덕전자,8520,190,2.3,86174,726922660,8330,8550,8310,415744476000,0.02,48796300,10121299.0,20.74,441,2018-05-02
192427,008060,대덕전자,8520,0,0.0,71163,606185070,8530,8560,8480,415744476000,0.02,48796300,10113691.0,20.73,442,2018-05-03
194745,008060,대덕전자,8350,-170,-2.0,133620,1119479790,8470,8550,8320,407449105000,0.02,48796300,10094142.0,20.69,448,2018-05-04
197046,008060,대덕전자,8370,20,0.2,109753,920654370,8400,8460,8330,408425031000,0.02,48796300,10120662.0,20.74,438,2018-05-08
199364,008060,대덕전자,8400,30,0.4,84105,705659670,8350,8450,8330,409888920000,0.02,48796300,10121283.0,20.74,444,2018-05-09
201670,008060,대덕전자,8480,80,1.0,99248,839221110,8370,8500,8370,413792624000,0.02,48796300,10126612.0,20.75,439,2018-05-10
203984,008060,대덕전자,8530,50,0.6,124323,1058587250,8490,8550,8450,416232439000,0.02,48796300,10146254.0,20.79,442,2018-05-11
206286,008060,대덕전자,8620,90,1.1,140956,1216132040,8530,8720,8530,420624106000,0.02,48796300,10183313.0,20.87,433,2018-05-14
208606,008060,대덕전자,8430,-190,-2.2,132887,1127686070,8580,8630,8350,411352809000,0.02,48796300,10126111.0,20.75,443,2018-05-15
210922,008060,대덕전자,8200,-230,-2.7,209806,1728255500,8370,8390,8200,400129660000,0.02,48796300,10026437.0,20.55,449,2018-05-16
213234,008060,대덕전자,8140,-60,-0.7,132381,1082421250,8200,8300,8110,397201882000,0.02,48796300,9983444.0,20.46,450,2018-05-17
215552,008060,대덕전자,8150,10,0.1,90658,734673280,8140,8180,8060,397689845000,0.02,48796300,9969909.0,20.43,457,2018-05-18
217866,008060,대덕전자,8140,-10,-0.1,53979,438362180,8120,8160,8080,397201882000,0.02,48796300,9959147.0,20.41,460,2018-05-21
220167,008060,대덕전자,8260,120,1.5,163163,1346005360,8110,8360,8110,403057438000,0.02,48796300,9931390.0,20.35,450,2018-05-23
222491,008060,대덕전자,8090,-170,-2.1,144041,1169906930,8240,8270,8070,394762067000,0.02,48796300,9865088.0,20.22,464,2018-05-24
224797,008060,대덕전자,8070,-20,-0.2,139094,1123191050,8080,8140,8020,393786141000,0.02,48796300,9873558.0,20.23,460,2018-05-25
227109,008060,대덕전자,8090,20,0.2,80544,652300330,8080,8150,8070,394762067000,0.02,48796300,9856377.0,20.2,462,2018-05-28
229415,008060,대덕전자,8130,40,0.5,92426,754606270,8140,8220,8110,396713919000,0.02,48796300,9838759.0,20.16,458,2018-05-29
231726,008060,대덕전자,8000,-130,-1.6,118759,953789070,8110,8140,7990,390370400000,0.02,48796300,9802785.0,20.09,458,2018-05-30
234042,008060,대덕전자,7970,-30,-0.4,104980,840843520,8020,8080,7970,388906511000,0.02,48796300,9780726.0,20.04,463,2018-05-31
236344,008060,대덕전자,8190,220,2.8,85490,693833940,8020,8190,7990,399641697000,0.02,48796300,9770321.0,20.02,454,2018-06-01
238648,008060,대덕전자,8250,60,0.7,74363,611828570,8230,8280,8160,402569475000,0.02,48796300,9781267.0,20.05,446,2018-06-04
240966,008060,대덕전자,8170,-80,-1.0,107318,879536980,8260,8290,8140,398665771000,0.02,48796300,9767978.0,20.02,452,2018-06-05
243279,008060,대덕전자,8230,60,0.7,132280,1086815500,8140,8290,8130,401593549000,0.02,48796300,9806917.0,20.1,454,2018-06-07
245579,008060,대덕전자,8400,170,2.1,223034,1874416750,8230,8490,8220,409888920000,0.02,48796300,9868906.0,20.22,442,2018-06-08
247886,008060,대덕전자,8580,180,2.1,155033,1322716810,8500,8610,8410,418672254000,0.02,48796300,9865435.0,20.22,436,2018-06-11
250194,008060,대덕전자,8740,160,1.9,206117,1792795330,8620,8790,8520,426479662000,0.02,48796300,9881977.0,20.25,431,2018-06-12
252496,008060,대덕전자,8780,40,0.5,361090,3209839370,8740,9040,8690,428431514000,0.02,48796300,9936126.0,20.36,419,2018-06-14
254815,008060,대덕전자,8700,-80,-0.9,297715,2631484030,8810,9000,8700,424527810000,0.02,48796300,9948877.0,20.39,424,2018-06-15
257127,008060,대덕전자,8350,-350,-4.0,149787,1266245400,8700,8760,8350,407449105000,0.02,48796300,9963044.0,20.42,422,2018-06-18
259431,008060,대덕전자,8480,130,1.6,138631,1176154380,8350,8540,8320,413792624000,0.02,48796300,9942875.0,20.38,412,2018-06-19
261750,008060,대덕전자,8440,-40,-0.5,107099,907477020,8530,8530,8390,411840772000,0.02,48796300,9884371.0,20.26,417,2018-06-20
264070,008060,대덕전자,8160,-280,-3.3,109468,904434310,8380,8430,8160,398177808000,0.02,48796300,9870705.0,20.23,423,2018-06-21
266390,008060,대덕전자,8080,-80,-1.0,158569,1276880060,8120,8130,8020,394274104000,0.02,48796300,9870073.0,20.23,429,2018-06-22
268704,008060,대덕전자,8100,20,0.2,87101,704707600,8030,8200,8010,395250030000,0.02,48796300,9856673.0,20.2,429,2018-06-25
271015,008060,대덕전자,8260,160,2.0,116974,959162400,8080,8290,8060,403057438000,0.02,48796300,9896029.0,20.28,425,2018-06-26
273324,008060,대덕전자,8300,40,0.5,85052,704395750,8220,8340,8150,405009290000,0.02,48796300,9899656.0,20.29,418,2018-06-27
275637,008060,대덕전자,8200,-100,-1.2,86256,710556660,8330,8330,8170,400129660000,0.02,48796300,9870605.0,20.23,414,2018-06-28
277953,008060,대덕전자,8350,150,1.8,89708,744226480,8250,8450,8180,407449105000,0.02,48796300,9878349.0,20.24,413,2018-06-29
280274,008060,대덕전자,8040,-310,-3.7,105687,861767320,8320,8360,8040,392322252000,0.02,48796300,9857515.0,20.2,416,2018-07-02
282594,008060,대덕전자,8120,80,1.0,59480,482866760,8050,8200,8050,396225956000,0.02,48796300,9865261.0,20.22,418,2018-07-03
