,account_nm,thstrm_amount
0,I.유동자산,1198436751046.0
1,현금및현금성자산,474418582798.0
2,기타금융자산,19208180491.0
3,매출채권및기타채권,160321649586.0
4,단기대여금,518152670.0
5,선급금,11935345911.0
6,선급비용,32210373273.0
7,재고자산,499797379020.0
8,당기법인세자산,27087297.0
9,매각예정비유동자산,
10,Ⅱ.비유동자산,1051476687590.0
11,관계기업및공동기업투자,32764828103.0
12,매도가능금융자산,774535147.0
13,기타금융자산,173653335903.0
14,장기대여금,79195643359.0
15,유형자산,693083835691.0
16,무형자산,43785328130.0
17,장기선급비용,20592034144.0
18,이연법인세자산,7627147113.0
19,자산총계,2249913438636.0
20,I.유동부채,910093320183.0
21,매입채무및기타채무,436294541494.0
22,기타금융부채,158259613613.0
23,단기차입금,21617010000.0
24,유동성사채,199977656342.0
25,선수금,50297694451.0
26,선수수익,22821825533.0
27,당기법인세부채,14045202538.0
28,충당부채,6779776212.0
29,Ⅱ.비유동부채,671682263458.0
30,장기기타채무,10860294664.0
31,기타금융부채,3295738800.0
32,사채,648551363437.0
33,확정급여부채,8974866557.0
34,부채총계,1581775583641.0
35,I.지배기업의 소유주에게 귀속되는 자본,667485508091.0
36,자본금,200000000000.0
37,자본잉여금,196555683971.0
38,기타자본,-104474163364.0
39,기타포괄손익누계액,-6160336141.0
40,이익잉여금,381564323625.0
41,II.비지배지분,652346904.0
42,자본총계,668137854995.0
43,부채및자본총계,2249913438636.0
44,I.  매출액,4011499999472.0
45,II. 재료비,-2362850855870.0
46,III. 인건비,-202828553620.0
47,IV. 기타영업비용,-1372734431905.0
48,V. 영업이익,73086158077.0
49,VI. 영업외손익,-28336507618.0
50,금융수익,7632745496.0
51,금융비용,-22469813680.0
52,투자손익,-8024088715.0
53,기타영업외수익,32842339040.0
54,기타영업외비용,-38317689759.0
55,VII. 법인세비용차감전순이익(손실),44749650459.0
56,법인세비용,19463387700.0
57,VIII. 당기순이익,25286262759.0
58,지배기업 소유주,25285047320.0
59,비지배지분,1215439.0
60,기본및희석보통주당이익,667.0
61,기본및희석우선주당이익,717.0
62,I. 당기순이익,25286262759.0
63,II. 기타포괄손익,-6058828146.0
64,순확정급여부채의 재측정요소,-1734911484.0
65,매도가능금융자산평가손익,
66,지분법자본변동,764159333.0
67,해외사업환산손익,-5088075995.0
68,III. 당기총포괄이익,19227434613.0
69,지배기업소유주지분,19230604505.0
70,비지배지분,-3169892.0
71,Ⅰ. 영업활동으로 인한 현금흐름,207159424960.0
72,1. 당기순이익,25286262759.0
73,2. 비현금항목의 조정,130287949705.0
74,재고자산평가손실,1959360175.0
75,대손상각비,
76,퇴직급여,11198696989.0
77,감가상각비,58082825312.0
78,무형자산상각비,13342993192.0
79,외화환산손실,1867775894.0
80,지분법손실,8108685358.0
81,유형자산처분손실,3432238389.0
82,무형자산처분손실,746113261.0
83,투자자산처분손실,
84,기타영업외비용,
85,외화환산이익,1501271077.0
86,지분법이익,84588643.0
87,유형자산처분이익,1056181826.0
88,무형자산처분이익,109145203.0
89,투자자산처분이익,8000.0
90,금융자산처분이익,
91,금융수익(이자수익),7632745496.0
92,금융비용(이자비용),22469813680.0
93,배당금수익,
94,법인세비용,19463387700.0
95,3. 영업활동으로 인한 자산부채의 변동,66443494160.0
