,account_nm,thstrm_amount
0,유동자산,17663719902000.0
1,현금및현금성자산,3239726945000.0
2,단기금융자산,401318869000.0
3,매출채권 및 기타채권,1942374070000.0
4,미청구공사,3357947345000.0
5,재고자산,845360005000.0
6,파생상품자산,140891609000.0
7,확정계약자산,4581378000.0
8,당기법인세자산,19960616000.0
9,매각예정비유동자산,5847024511000.0
10,기타유동자산,1864534554000.0
11,비유동자산,12745127605000.0
12,관계기업및공동기업투자,142287116000.0
13,장기금융자산,134966406000.0
14,장기매출채권 및 기타채권,102288164000.0
15,투자부동산,233864145000.0
16,유형자산,11046256085000.0
17,무형자산,105443303000.0
18,파생상품자산,28335542000.0
19,확정계약자산,299595000.0
20,이연법인세자산,903758043000.0
21,기타비유동자산,47629206000.0
22,자산총계,30408847507000.0
23,유동부채,15614871052000.0
24,단기금융부채,4022787596000.0
25,매입채무 및 기타채무,2995444445000.0
26,선수금,397846839000.0
27,초과청구공사,3182438171000.0
28,파생상품부채,512490000.0
29,확정계약부채,80352951000.0
30,미지급법인세,32969188000.0
31,유동충당부채,
32,매각예정부채,4877890595000.0
33,기타유동부채,24628777000.0
34,비유동부채,2421938473000.0
35,장기금융부채,1321664252000.0
36,장기매입채무 및 기타채무,9992533000.0
37,확정급여부채,136635778000.0
38,비유동충당부채,844489980000.0
39,파생상품부채,410327000.0
40,확정계약부채,26700916000.0
41,이연법인세부채,81903492000.0
42,기타비유동부채,141195000.0
43,부채총계,18036809525000.0
44,지배기업의 소유주에게 귀속되는 자본,11121441396000.0
45,자본금,283327130000.0
46,자본잉여금,1049896118000.0
47,신종자본증권,428589000000.0
48,자본조정,-8355403121000.0
49,기타포괄손익누계액,1478130372000.0
50,이익잉여금,16236901897000.0
51,비지배지분,1250596586000.0
52,자본총계,12372037982000.0
53,부채및자본총계,30408847507000.0
54,매출액,15468835510000.0
55,매출원가,14434935998000.0
56,매출총이익,1033899512000.0
57,판매비와관리비,1019253882000.0
58,영업이익,14645630000.0
59,금융수익,1925191679000.0
60,금융비용,967984292000.0
61,기타영업외수익,207781127000.0
62,기타영업외비용,1228699675000.0
63,지분법손익,22160071000.0
64,법인세비용차감전순이익(손실),-26905460000.0
65,법인세비용(수익),66484593000.0
66,계속영업당기순이익(손실),-93390053000.0
67,중단영업당기순이익,2786531985000.0
68,당기순이익(손실),2693141932000.0
69,기타포괄손익,-86092863000.0
70,후속적으로 당기손익으로 재분류되는 세후기타포괄손익,-49439741000.0
71,매도가능금융자산평가손익,-6158094000.0
72,파생상품평가손익,23592332000.0
73,해외사업환산손익,-35294091000.0
74,지분법자본변동,-31579888000.0
75,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익,-36653122000.0
76,보험수리적손익,16311954000.0
77,유형자산재평가이익,-52966689000.0
78,지분법이익잉여금,1613000.0
79,총포괄손익,2607049069000.0
80,지배기업의 소유주지분,2457750195000.0
81,비지배지분,235391737000.0
82,지배기업의 소유주지분,2376638169000.0
83,비지배지분,230410900000.0
84,계속영업기본주당이익(손실),-3550.0
85,중단영업기본주당이익(손실),48348.0
86,영업활동으로 인한 순현금흐름,593314273000.0
87,영업활동에서 창출된 현금흐름,894252428000.0
