,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
551,009580,무림P&P,4010,-40,-1.0,93306,374462610,4050,4075,4005,250096979240,0.02,62368324,2138900.0,3.43,552,2017-01-02
2801,009580,무림P&P,4015,5,0.1,266000,1076542010,4030,4230,3995,250408820860,0.02,62368324,2125949.0,3.41,555,2017-01-03
5051,009580,무림P&P,4000,-15,-0.4,74962,301112045,4035,4040,4000,249473296000,0.02,62368324,2131861.0,3.42,558,2017-01-04
7298,009580,무림P&P,4010,10,0.2,62130,249646170,4010,4035,4000,250096979240,0.02,62368324,2134780.0,3.42,558,2017-01-05
9544,009580,무림P&P,4025,15,0.4,53896,216565770,4030,4035,4010,251032504100,0.02,62368324,2130835.0,3.42,557,2017-01-06
11787,009580,무림P&P,4000,-25,-0.6,92905,371894935,4035,4045,3995,249473296000,0.02,62368324,2123874.0,3.41,553,2017-01-09
14034,009580,무림P&P,3975,-25,-0.6,61952,246774950,4000,4005,3965,247914087900,0.02,62368324,2114930.0,3.39,553,2017-01-10
16284,009580,무림P&P,3990,15,0.4,64882,258544190,3985,4000,3965,248849612760,0.02,62368324,2118265.0,3.4,556,2017-01-11
18531,009580,무림P&P,3955,-35,-0.9,193284,765293495,4010,4010,3935,246666721420,0.02,62368324,2130658.0,3.42,557,2017-01-12
20783,009580,무림P&P,3950,-5,-0.1,83778,331107885,3955,3975,3945,246354879800,0.02,62368324,2130656.0,3.42,563,2017-01-13
23023,009580,무림P&P,3950,0,0.0,77729,306619150,3945,3980,3930,246354879800,0.02,62368324,2123458.0,3.4,556,2017-01-16
25262,009580,무림P&P,3980,30,0.8,46736,184888520,3945,3980,3935,248225929520,0.02,62368324,2130925.0,3.42,547,2017-01-17
27512,009580,무림P&P,3970,-10,-0.2,33383,132191440,3980,3990,3945,247602246280,0.02,62368324,2125999.0,3.41,551,2017-01-18
29764,009580,무림P&P,3955,-15,-0.4,34574,137241180,3970,3995,3955,246666721420,0.02,62368324,2131295.0,3.42,557,2017-01-19
32003,009580,무림P&P,3960,5,0.1,64355,254020590,3960,3970,3930,246978563040,0.02,62368324,2137723.0,3.43,550,2017-01-20
34244,009580,무림P&P,3950,-10,-0.2,57919,229507980,3970,3980,3950,246354879800,0.02,62368324,2159685.0,3.46,547,2017-01-23
36487,009580,무림P&P,3950,0,0.0,45568,180032835,3985,3985,3940,246354879800,0.02,62368324,2155495.0,3.46,546,2017-01-24
38729,009580,무림P&P,3930,-20,-0.5,47253,185684160,3970,3975,3920,245107513320,0.02,62368324,2150621.0,3.45,543,2017-01-25
40979,009580,무림P&P,3935,5,0.1,59653,234072240,3935,3950,3910,245419354940,0.02,62368324,2144534.0,3.44,547,2017-01-26
43223,009580,무림P&P,3945,10,0.2,23651,93272480,3935,3955,3930,246043038180,0.02,62368324,2144559.0,3.44,545,2017-01-31
45473,009580,무림P&P,3965,20,0.5,51983,205158205,3945,3970,3935,247290404660,0.02,62368324,2142777.0,3.44,549,2017-02-01
47716,009580,무림P&P,3960,-5,-0.1,31364,124185915,3970,3975,3950,246978563040,0.02,62368324,2137588.0,3.43,546,2017-02-02
49960,009580,무림P&P,3935,-25,-0.6,33852,133330935,3965,3970,3925,245419354940,0.02,62368324,2132695.0,3.42,543,2017-02-03
52205,009580,무림P&P,3935,0,0.0,19630,77317320,3955,3955,3930,245419354940,0.02,62368324,2126221.0,3.41,541,2017-02-06
54453,009580,무림P&P,3930,-5,-0.1,32475,127872610,3950,3950,3930,245107513320,0.02,62368324,2123197.0,3.4,542,2017-02-07
56701,009580,무림P&P,3920,-10,-0.2,53410,209609375,3940,3940,3915,244483830080,0.02,62368324,2121691.0,3.4,543,2017-02-08
58950,009580,무림P&P,3925,5,0.1,35343,138949290,3920,3950,3910,244795671700,0.02,62368324,2124562.0,3.41,545,2017-02-09
61195,009580,무림P&P,3960,35,0.9,39800,156952010,3920,3965,3920,246978563040,0.02,62368324,2127970.0,3.41,543,2017-02-10
63437,009580,무림P&P,3980,20,0.5,75949,302144210,3950,4000,3930,248225929520,0.02,62368324,2127644.0,3.41,538,2017-02-13
65691,009580,무림P&P,3975,-5,-0.1,29239,116050280,3980,3990,3950,247914087900,0.02,62368324,2130075.0,3.42,545,2017-02-14
