,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
466,009680,모토닉,9340,90,1.0,2033,18842740,9380,9380,9190,308220000000,0.02,33000000,5990780.0,18.15,467,2017-01-02
2716,009680,모토닉,9260,-80,-0.9,6982,64417390,9200,9340,9190,305580000000,0.02,33000000,5985936.0,18.14,470,2017-01-03
4961,009680,모토닉,9270,10,0.1,10481,96921320,9300,9350,9220,305910000000,0.02,33000000,5978669.0,18.12,468,2017-01-04
7207,009680,모토닉,9270,0,0.0,2130,19772010,9320,9350,9220,305910000000,0.02,33000000,5977848.0,18.11,467,2017-01-05
9456,009680,모토닉,9250,-20,-0.2,4514,41793780,9300,9320,9240,305250000000,0.02,33000000,5976192.0,18.11,469,2017-01-06
11710,009680,모토닉,9180,-70,-0.8,5132,47253750,9100,9280,9100,302940000000,0.02,33000000,5974382.0,18.1,476,2017-01-09
13946,009680,모토닉,9260,80,0.9,7470,68517520,9170,9260,9130,305580000000,0.02,33000000,5971761.0,18.1,465,2017-01-10
16188,009680,모토닉,9340,80,0.9,4482,41998080,9270,9340,9200,308220000000,0.02,33000000,5970374.0,18.09,460,2017-01-11
18432,009680,모토닉,9280,-60,-0.6,3063,28669630,9500,9500,9280,306240000000,0.02,33000000,5969956.0,18.09,458,2017-01-12
20675,009680,모토닉,9390,110,1.2,2798,26199870,9280,9430,9280,309870000000,0.02,33000000,5969930.0,18.09,455,2017-01-13
22928,009680,모토닉,9180,-210,-2.2,25992,240188610,9490,9500,9050,302940000000,0.02,33000000,5961769.0,18.07,461,2017-01-16
25169,009680,모토닉,9240,60,0.6,20625,191431570,9280,9350,9230,304920000000,0.02,33000000,5949530.0,18.03,454,2017-01-17
27415,009680,모토닉,9330,90,1.0,4836,44908350,9290,9380,9250,307890000000,0.02,33000000,5947787.0,18.02,454,2017-01-18
29660,009680,모토닉,9290,-40,-0.4,6316,58663900,9350,9350,9280,306570000000,0.02,33000000,5945696.0,18.02,453,2017-01-19
31904,009680,모토닉,9250,-40,-0.4,7896,73037060,9320,9320,9140,305250000000,0.02,33000000,5943074.0,18.01,451,2017-01-20
34140,009680,모토닉,9250,0,0.0,20702,190527370,9320,9320,9100,305250000000,0.02,33000000,5936292.0,17.99,443,2017-01-23
36384,009680,모토닉,9300,50,0.5,15980,147720370,9250,9300,9230,306900000000,0.02,33000000,5931023.0,17.97,443,2017-01-24
38628,009680,모토닉,9270,-30,-0.3,11415,105376500,9370,9370,9200,305910000000,0.02,33000000,5926175.0,17.96,442,2017-01-25
40874,009680,모토닉,9310,40,0.4,6491,59910630,9300,9310,9220,307230000000,0.02,33000000,5924046.0,17.95,442,2017-01-26
43127,009680,모토닉,9110,-200,-2.2,19815,182354450,9460,9460,9080,300630000000,0.02,33000000,5922994.0,17.95,449,2017-01-31
45381,009680,모토닉,9060,-50,-0.6,7080,64138740,9110,9250,9030,298980000000,0.02,33000000,5920685.0,17.94,457,2017-02-01
