,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
59,009830,한화케미칼,25400,700,2.8,611930,15301517650,24750,25450,24350,4186157718600,0.28,164809359,42317841.0,25.68,60,2017-01-02
2305,009830,한화케미칼,26250,850,3.4,1541973,40236314650,25550,26450,25350,4326245673750,0.28,164809359,42318289.0,25.68,59,2017-01-03
4553,009830,한화케미칼,26500,250,1.0,951966,25096726250,26250,26550,26100,4367448013500,0.29,164809359,42269597.0,25.65,60,2017-01-04
6799,009830,한화케미칼,26450,-50,-0.2,1105540,29520917000,26800,27150,26350,4359207545550,0.29,164809359,42147008.0,25.57,59,2017-01-05
9047,009830,한화케미칼,26250,-200,-0.8,544767,14328939500,26450,26600,26050,4326245673750,0.28,164809359,42059369.0,25.52,60,2017-01-06
11294,009830,한화케미칼,25850,-400,-1.5,926455,24025848250,26200,26300,25700,4260321930150,0.28,164809359,42046482.0,25.51,60,2017-01-09
13541,009830,한화케미칼,26200,350,1.4,691273,18081641350,25850,26400,25700,4318005205800,0.28,164809359,42107563.0,25.55,60,2017-01-10
15788,009830,한화케미칼,26550,350,1.3,1025082,27130550750,26050,26750,25850,4375688481450,0.28,164809359,42207099.0,25.61,60,2017-01-11
18033,009830,한화케미칼,26600,50,0.2,1084480,29098636100,26700,27150,26500,4383928949400,0.28,164809359,42057355.0,25.52,59,2017-01-12
20278,009830,한화케미칼,26900,300,1.1,865247,23167175450,26600,26950,26550,4433371757100,0.29,164809359,41878212.0,25.41,58,2017-01-13
22528,009830,한화케미칼,26100,-800,-3.0,842566,22098804850,26750,26850,25950,4301524269900,0.28,164809359,41749955.0,25.33,61,2017-01-16
24772,009830,한화케미칼,27700,1600,6.1,3234686,88995443350,26400,27900,26350,4565219244300,0.3,164809359,42135545.0,25.57,57,2017-01-17
27018,009830,한화케미칼,27450,-250,-0.9,1133711,31229213650,27850,27900,27350,4524016904550,0.29,164809359,41902846.0,25.43,57,2017-01-18
29264,009830,한화케미칼,27250,-200,-0.7,971514,26436768200,27500,27600,26950,4491055032750,0.29,164809359,41813208.0,25.37,57,2017-01-19
31512,009830,한화케미칼,27300,50,0.2,957194,26217545700,27200,27700,26850,4499295500700,0.29,164809359,41646084.0,25.27,59,2017-01-20
33755,009830,한화케미칼,27300,0,0.0,766074,20944816550,27500,27550,26950,4499295500700,0.29,164809359,41474226.0,25.16,58,2017-01-23
35999,009830,한화케미칼,27450,150,0.6,792721,21702587850,27200,27550,27100,4524016904550,0.29,164809359,41409202.0,25.13,58,2017-01-24
38245,009830,한화케미칼,26800,-650,-2.4,718199,19460919400,27700,27750,26750,4416890821200,0.29,164809359,41420434.0,25.13,59,2017-01-25
40492,009830,한화케미칼,27250,450,1.7,597712,16326503450,27000,27550,26900,4491055032750,0.29,164809359,41484740.0,25.17,60,2017-01-26
42738,009830,한화케미칼,26100,-1150,-4.2,1280466,33663575050,26950,27150,26000,4301524269900,0.28,164809359,41402077.0,25.12,60,2017-01-31
44984,009830,한화케미칼,26600,500,1.9,894011,23546331600,26200,26700,25950,4383928949400,0.28,164809359,41584200.0,25.23,60,2017-02-01
47230,009830,한화케미칼,26350,-250,-0.9,753464,19985918050,26500,26750,26350,4342726609650,0.28,164809359,41590531.0,25.24,60,2017-02-02
49478,009830,한화케미칼,26300,-50,-0.2,650757,17131919250,26500,26850,26000,4334486141700,0.28,164809359,41496446.0,25.18,61,2017-02-03
51725,009830,한화케미칼,26250,-50,-0.2,430690,11334038250,26600,26700,26100,4326245673750,0.28,164809359,41484887.0,25.17,61,2017-02-06
53973,009830,한화케미칼,25500,-750,-2.9,1083368,27776540700,26150,26200,25350,4202638654500,0.27,164809359,41404278.0,25.12,62,2017-02-07
56220,009830,한화케미칼,25500,0,0.0,721204,18455458100,25500,25950,25400,4202638654500,0.27,164809359,41416471.0,25.13,62,2017-02-08
58468,009830,한화케미칼,25950,450,1.8,687232,17829664000,25600,26150,25500,4276802866050,0.28,164809359,41627320.0,25.26,63,2017-02-09
60714,009830,한화케미칼,26550,600,2.3,717025,18912449250,26300,26600,26050,4375688481450,0.28,164809359,41690677.0,25.3,62,2017-02-10
62961,009830,한화케미칼,27300,750,2.8,1340792,36446092300,26600,27400,26450,4499295500700,0.29,164809359,41786189.0,25.35,62,2017-02-13
65207,009830,한화케미칼,27250,-50,-0.2,1433630,39574350600,27550,28100,27100,4491055032750,0.29,164809359,41706884.0,25.31,61,2017-02-14
67452,009830,한화케미칼,27850,600,2.2,1325782,36833970950,27400,28000,27250,4589940648150,0.3,164809359,41951019.0,25.45,59,2017-02-15
