,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
29,010950,S-Oil,117000,0,0.0,158674,18573855000,117000,118000,116500,13172186664000,0.69,112582792,86372277.0,76.72,30,2018-01-02
2340,010950,S-Oil,113500,-3500,-3.0,468519,53413561000,116500,117000,112000,12778146892000,0.67,112582792,86433259.0,76.77,30,2018-01-03
4651,010950,S-Oil,113500,0,0.0,328862,37173031500,114000,115000,112000,12778146892000,0.67,112582792,86468617.0,76.8,30,2018-01-04
6961,010950,S-Oil,113000,-500,-0.4,313688,35424991000,113500,115000,112000,12721855496000,0.66,112582792,86465114.0,76.8,30,2018-01-05
9274,010950,S-Oil,111500,-1500,-1.3,386891,43192616500,113500,114000,110500,12552981308000,0.65,112582792,86547541.0,76.87,31,2018-01-08
11587,010950,S-Oil,114000,2500,2.2,350083,39602481500,111500,114000,111000,12834438288000,0.66,112582792,86552679.0,76.88,32,2018-01-09
13897,010950,S-Oil,117500,3500,3.1,541025,63197317500,114000,118500,113000,13228478060000,0.69,112582792,86627216.0,76.95,30,2018-01-10
16211,010950,S-Oil,116000,-1500,-1.3,428143,49508270000,117500,117500,114500,13059603872000,0.68,112582792,86703945.0,77.01,32,2018-01-11
18524,010950,S-Oil,113500,-2500,-2.2,263361,30119069000,117000,117500,112500,12778146892000,0.66,112582792,86751651.0,77.06,32,2018-01-12
20837,010950,S-Oil,113000,-500,-0.4,127029,14419150500,114000,114500,113000,12721855496000,0.65,112582792,86741569.0,77.05,32,2018-01-15
23150,010950,S-Oil,113000,0,0.0,232617,25966391000,113000,113000,111000,12721855496000,0.65,112582792,86766705.0,77.07,32,2018-01-16
25463,010950,S-Oil,113500,500,0.4,242877,27277371000,112500,114000,111500,12778146892000,0.65,112582792,86803944.0,77.1,32,2018-01-17
27777,010950,S-Oil,110500,-3000,-2.6,388720,43187309500,113500,113500,109500,12440398516000,0.63,112582792,86819105.0,77.12,33,2018-01-18
30090,010950,S-Oil,113000,2500,2.3,196625,22011246500,110500,113000,110000,12721855496000,0.65,112582792,86842726.0,77.14,33,2018-01-19
32400,010950,S-Oil,118000,5000,4.4,587223,68448103000,115000,118000,114000,13284769456000,0.68,112582792,86950346.0,77.23,31,2018-01-22
34713,010950,S-Oil,118500,500,0.4,328391,38721202500,117500,119000,116500,13341060852000,0.68,112582792,86970121.0,77.25,32,2018-01-23
37025,010950,S-Oil,118000,-500,-0.4,174876,20671392000,119000,119000,117500,13284769456000,0.67,112582792,86962942.0,77.24,32,2018-01-24
39337,010950,S-Oil,116500,-1500,-1.3,248381,29029159500,118000,118500,116000,13115895268000,0.66,112582792,86905442.0,77.19,32,2018-01-25
41650,010950,S-Oil,115500,-1000,-0.9,199661,23075000000,116000,117000,114500,13003312476000,0.65,112582792,86873051.0,77.16,32,2018-01-26
43962,010950,S-Oil,123500,8000,6.9,875023,106698012500,116000,125000,116000,13903974812000,0.69,112582792,86996229.0,77.27,30,2018-01-29
46275,010950,S-Oil,125500,2000,1.6,551811,69106761000,123500,126500,123500,14129140396000,0.71,112582792,87058564.0,77.33,29,2018-01-30
48590,010950,S-Oil,123000,-2500,-2.0,339673,41821757000,124000,125500,121000,13847683416000,0.69,112582792,87039839.0,77.31,30,2018-01-31
50903,010950,S-Oil,124000,1000,0.8,256782,31871988000,123500,125500,123000,13960266208000,0.7,112582792,87027110.0,77.3,29,2018-02-01
53220,010950,S-Oil,123000,-1000,-0.8,178606,21928482500,124000,124500,121500,13847683416000,0.7,112582792,87068676.0,77.34,31,2018-02-02
55535,010950,S-Oil,121500,-1500,-1.2,371059,45645332500,121500,126000,118500,13678809228000,0.71,112582792,87092392.0,77.36,31,2018-02-05
57849,010950,S-Oil,119500,-2000,-1.6,359685,42453219000,118500,120500,116000,13453643644000,0.71,112582792,87131355.0,77.39,30,2018-02-06
60164,010950,S-Oil,115500,-4000,-3.4,252434,29594293500,120500,121000,115500,13003312476000,0.7,112582792,87088784.0,77.36,30,2018-02-07
62478,010950,S-Oil,116000,500,0.4,239097,27861019000,115000,118000,114000,13059603872000,0.7,112582792,87143636.0,77.4,30,2018-02-08
64793,010950,S-Oil,113500,-2500,-2.2,236028,26668678500,112000,114000,111500,12778146892000,0.69,112582792,87105388.0,77.37,30,2018-02-09
67108,010950,S-Oil,115000,1500,1.3,157272,17904668500,113500,115500,111000,12947021080000,0.7,112582792,87114808.0,77.38,30,2018-02-12
69424,010950,S-Oil,114500,-500,-0.4,152420,17546847500,115000,116500,113500,12890729684000,0.69,112582792,87067316.0,77.34,30,2018-02-13
71740,010950,S-Oil,113000,-1500,-1.3,162083,18426360000,114000,115000,112500,12721855496000,0.67,112582792,87023288.0,77.3,30,2018-02-14
74054,010950,S-Oil,120000,7000,6.2,228518,27102960000,115500,120000,115000,13509935040000,0.71,112582792,87072561.0,77.34,29,2018-02-19
76368,010950,S-Oil,119500,-500,-0.4,105273,12531298500,119500,120000,117500,13453643644000,0.71,112582792,87074898.0,77.34,28,2018-02-20
78685,010950,S-Oil,119500,0,0.0,178765,21384489500,119500,121000,117500,13453643644000,0.71,112582792,87016061.0,77.29,30,2018-02-21
81000,010950,S-Oil,116000,-3500,-2.9,220677,25685035500,118000,118500,115000,13059603872000,0.69,112582792,86970758.0,77.25,30,2018-02-22
83316,010950,S-Oil,119000,3000,2.6,155372,18401668500,117500,119000,117000,13397352248000,0.7,112582792,86986862.0,77.26,31,2018-02-23
85626,010950,S-Oil,123500,4500,3.8,330735,40868035000,121000,125000,120500,13903974812000,0.73,112582792,86960300.0,77.24,27,2018-02-26
87941,010950,S-Oil,123000,-500,-0.4,305912,38028149000,124500,125500,123000,13847683416000,0.72,112582792,86946070.0,77.23,28,2018-02-27
90255,010950,S-Oil,123500,500,0.4,378059,47158452000,122500,126000,122000,13903974812000,0.73,112582792,86944796.0,77.23,28,2018-02-28
92568,010950,S-Oil,126000,2500,2.0,401467,50287537500,123000,126500,121500,14185431792000,0.76,112582792,86908915.0,77.2,27,2018-03-02
94881,010950,S-Oil,124500,-1500,-1.2,232262,29247896500,126500,127500,124500,14016557604000,0.76,112582792,86870009.0,77.16,27,2018-03-05
97194,010950,S-Oil,123000,-1500,-1.2,199055,24562508500,126500,126500,122000,13847683416000,0.74,112582792,86855911.0,77.15,27,2018-03-06
99506,010950,S-Oil,122500,-500,-0.4,252697,30655037000,121500,123000,119000,13791392020000,0.74,112582792,86827770.0,77.12,26,2018-03-07
101820,010950,S-Oil,121000,-1500,-1.2,401198,48196447000,121000,122500,118000,13622517832000,0.72,112582792,86843421.0,77.14,27,2018-03-08
104133,010950,S-Oil,122000,1000,0.8,216283,26363565000,121000,123000,120500,13735100624000,0.72,112582792,86848071.0,77.14,27,2018-03-09
106445,010950,S-Oil,125000,3000,2.5,167700,20901319500,124000,125500,123000,14072849000000,0.73,112582792,86878947.0,77.17,27,2018-03-12
108757,010950,S-Oil,123500,-1500,-1.2,193839,23863120500,123500,125000,121500,13903974812000,0.71,112582792,86898180.0,77.19,27,2018-03-13
111068,010950,S-Oil,123000,-500,-0.4,102259,12575314000,121500,124000,121500,13847683416000,0.71,112582792,86897461.0,77.19,27,2018-03-14
113383,010950,S-Oil,120500,-2500,-2.0,172934,20964145000,123500,123500,120500,13566226436000,0.7,112582792,86880326.0,77.17,29,2018-03-15
115696,010950,S-Oil,119500,-1000,-0.8,214924,25813733000,121000,122000,119500,13453643644000,0.69,112582792,86859915.0,77.15,29,2018-03-16
118009,010950,S-Oil,120000,500,0.4,183017,21984980500,120500,121000,119000,13509935040000,0.7,112582792,86894563.0,77.18,29,2018-03-19
120323,010950,S-Oil,117000,-3000,-2.5,320764,37554022000,119000,119500,116500,13172186664000,0.68,112582792,86799553.0,77.1,30,2018-03-20
122635,010950,S-Oil,117500,500,0.4,244454,28465849000,117500,118000,115500,13228478060000,0.68,112582792,86780513.0,77.08,30,2018-03-21
124946,010950,S-Oil,119500,2000,1.7,339469,40247060500,119000,119500,117500,13453643644000,0.69,112582792,86796526.0,77.1,29,2018-03-22
127259,010950,S-Oil,117000,-2500,-2.1,211631,24742270500,116500,117500,116000,13172186664000,0.7,112582792,86828131.0,77.12,29,2018-03-23
129572,010950,S-Oil,119000,2000,1.7,223461,26338769500,116500,119500,115500,13397352248000,0.7,112582792,86824888.0,77.12,29,2018-03-26
131885,010950,S-Oil,118000,-1000,-0.8,277401,32753865500,119500,119500,117000,13284769456000,0.69,112582792,86860892.0,77.15,29,2018-03-27
134199,010950,S-Oil,117000,-1000,-0.8,174225,20379489500,117000,118000,116000,13172186664000,0.7,112582792,86887772.0,77.18,30,2018-03-28
136510,010950,S-Oil,119500,2500,2.1,234713,27942752500,117500,119500,117000,13453643644000,0.71,112582792,86922975.0,77.21,28,2018-03-29
138823,010950,S-Oil,120000,500,0.4,148137,17852386000,121000,121000,119500,13509935040000,0.71,112582792,86926150.0,77.21,28,2018-03-30
141134,010950,S-Oil,121000,1000,0.8,202265,24706401000,120500,123000,119500,13622517832000,0.71,112582792,86945024.0,77.23,28,2018-04-02
143447,010950,S-Oil,120000,-1000,-0.8,120037,14389839500,120000,121000,119000,13509935040000,0.71,112582792,86949007.0,77.23,29,2018-04-03
145757,010950,S-Oil,119000,-1000,-0.8,288064,34279810500,120000,120500,117500,13397352248000,0.71,112582792,86941938.0,77.22,27,2018-04-04
148070,010950,S-Oil,120000,1000,0.8,134296,16078187000,118500,120500,118500,13509935040000,0.71,112582792,86972500.0,77.25,27,2018-04-05
150383,010950,S-Oil,119000,-1000,-0.8,127427,15160414500,120000,120500,118000,13397352248000,0.7,112582792,86973794.0,77.25,27,2018-04-06
152698,010950,S-Oil,116000,-3000,-2.5,296316,34550799000,118000,118500,116000,13059603872000,0.68,112582792,86953696.0,77.24,28,2018-04-09
155012,010950,S-Oil,115000,-1000,-0.9,273697,31342908000,116000,116500,113000,12947021080000,0.67,112582792,86968979.0,77.25,28,2018-04-10
157325,010950,S-Oil,114500,-500,-0.4,196622,22641911500,115500,116000,114500,12890729684000,0.67,112582792,86948745.0,77.23,27,2018-04-11
159639,010950,S-Oil,117500,3000,2.6,299509,35154288000,115500,119000,115000,13228478060000,0.69,112582792,86985850.0,77.26,27,2018-04-12
161954,010950,S-Oil,116000,-1500,-1.3,197305,22952043000,117000,118000,115500,13059603872000,0.68,112582792,86963594.0,77.24,28,2018-04-13
164267,010950,S-Oil,117500,1500,1.3,154798,18244872500,117500,119000,117000,13228478060000,0.68,112582792,86977393.0,77.26,27,2018-04-16
166581,010950,S-Oil,117000,-500,-0.4,106945,12467960000,117000,117000,116000,13172186664000,0.68,112582792,86953880.0,77.24,27,2018-04-17
168895,010950,S-Oil,116500,-500,-0.4,134590,15708762000,116500,117500,116000,13115895268000,0.67,112582792,86944404.0,77.23,28,2018-04-18
171206,010950,S-Oil,116000,-500,-0.4,106610,12438360000,117500,118000,116000,13059603872000,0.67,112582792,86931092.0,77.22,27,2018-04-19
173518,010950,S-Oil,117000,1000,0.9,70639,8239868500,116500,117500,116000,13172186664000,0.68,112582792,86939944.0,77.22,27,2018-04-20
175830,010950,S-Oil,115500,-1500,-1.3,116467,13418312000,116000,116500,115000,13003312476000,0.67,112582792,86933638.0,77.22,27,2018-04-23
178142,010950,S-Oil,115000,-500,-0.4,109488,12584578000,115500,116000,114500,12947021080000,0.67,112582792,86922130.0,77.21,27,2018-04-24
180456,010950,S-Oil,110000,-5000,-4.4,742930,81905317000,115000,115000,108000,12384107120000,0.64,112582792,86806654.0,77.1,29,2018-04-25
182767,010950,S-Oil,110500,500,0.4,393214,43587585500,109500,112500,108500,12440398516000,0.64,112582792,86751970.0,77.06,29,2018-04-26
185080,010950,S-Oil,109500,-1000,-0.9,213749,23541724500,111000,112500,109000,12327815724000,0.63,112582792,86732704.0,77.04,31,2018-04-27
187393,010950,S-Oil,110000,500,0.5,237609,26123395000,109000,112000,109000,12384107120000,0.63,112582792,86661430.0,76.98,32,2018-04-30
189704,010950,S-Oil,110000,0,0.0,252391,27905147000,111500,111500,110000,12384107120000,0.63,112582792,86581226.0,76.9,31,2018-05-02
192015,010950,S-Oil,110500,500,0.4,343293,38380926500,109000,114000,109000,12440398516000,0.64,112582792,86530366.0,76.86,30,2018-05-03
194327,010950,S-Oil,108000,-2500,-2.3,319655,34635088000,110000,110500,107500,12158941536000,0.63,112582792,86510955.0,76.84,30,2018-05-04
196638,010950,S-Oil,106000,-2000,-1.8,287389,30666612000,108500,109000,105500,11933775952000,0.62,112582792,86504163.0,76.84,30,2018-05-08
198951,010950,S-Oil,106000,0,0.0,192285,20475032500,106000,108000,105500,11933775952000,0.62,112582792,86467594.0,76.8,31,2018-05-09
201262,010950,S-Oil,106000,0,0.0,220132,23390430000,107500,107500,105500,11933775952000,0.62,112582792,86438180.0,76.78,31,2018-05-10
