,account_nm,thstrm_amount
0,유동자산,3859384688340.0
1,현금및현금성자산,931335151866.0
2,기타유동금융자산,576751999557.0
3,매출채권,1172586252091.0
4,대여금및기타채권,63086259299.0
5,기타유동자산,61533351893.0
6,당기법인세자산,7968125332.0
7,재고자산,890939858796.0
8,미청구공사,155183689506.0
9,비유동자산,3334297289679.0
10,기타비유동금융자산,221014296.0
11,비유동매도가능금융자산,73688089944.0
12,비유동대여금및기타채권,59187883615.0
13,유형자산,2600274429076.0
14,투자부동산,1522714000.0
15,무형자산,243739964023.0
16,관계기업투자,326781783351.0
17,공동기업투자,18639228077.0
18,이연법인세자산,9953269589.0
19,기타비유동자산,288913708.0
20,자산총계,7193681978019.0
21,유동부채,1727926131338.0
22,매입채무,1246031502802.0
23,기타채무,152653521670.0
24,단기차입금,14889776840.0
25,유동성장기부채,182823879406.0
26,당기법인세부채,3075368523.0
27,기타유동금융부채,61294794.0
28,충당부채,20098363227.0
29,기타유동부채,56792663042.0
30,초과청구공사,51499761034.0
31,비유동부채,2325657852770.0
32,비유동기타채무,4355742800.0
33,장기차입금,858204697422.0
34,사채,1196919413947.0
35,종업원급여부채,9091955989.0
36,기타비유동금융부채,121582003.0
37,비유동충당부채,176339769574.0
38,이연법인세부채,80624691035.0
39,순확정급여부채,
40,부채총계,4053583984108.0
41,지배기업의 소유주에게 귀속되는 자본,3140097993911.0
42,자본금,135975415000.0
43,기타불입자본,387327701240.0
44,기타자본구성요소,10127022071.0
45,이익잉여금,2606667855600.0
46,자본총계,3140097993911.0
47,자본과부채총계,7193681978019.0
48,매출액,7487391747448.0
49,매출원가,7193349181632.0
50,매출총이익,294042565816.0
51,판매비,100915924879.0
52,관리비,176408801430.0
53,영업이익(손실),16717839507.0
54,기타영업외수익,78332078874.0
55,기타영업외비용,148578940429.0
56,금융수익,15906556346.0
57,금융비용,57832574857.0
58,지분법손익,-5177922067.0
59,사업결합손익,3576238152.0
60,법인세비용차감전순이익,-97056724474.0
61,법인세비용,34053094525.0
62,당기순이익(손실),-63003629949.0
63,기타포괄손익,-26269791430.0
64,후속적으로 당기손익으로 재분류될 수 있는 항목,-35614232502.0
65,해외사업환산손익,-27176561217.0
66,매도가능금융자산평가손익,2848442037.0
67,지분법자본변동,-13984068120.0
68,당기손익으로 재분류되는 항목의 법인세,2697954798.0
69,후속적으로 당기손익으로 재분류되지 않는항목,9344441072.0
70,확정급여제도의 재측정요소,12309894707.0
71,당기손익으로 재분류되지 않는 항목의 법인세,-2965453635.0
72,총포괄손익,-89273421379.0
73,지배기업소유주지분,-63003629949.0
74,지배기업소유주지분,-89273421379.0
75,기본 및 희석주당이익,-2372.0
76,영업활동현금흐름,72711409571.0
77,당기순이익(손실),-63003629949.0
78,현금의 유출이 없는 비용등의 가산,384473816454.0
79,현금의 유입이 없는 수익등의 차감,33561957256.0
80,영업활동으로 인한 자산 부채의 변동,-139505099003.0
81,이자의 수취,16178503443.0
82,이자의 지급,49587828864.0
83,배당금의 수취,4320010121.0
84,법인세의 지급,46602405375.0
85,투자활동현금흐름,-234418294514.0
86,기타유동금융자산의 처분,770655980172.0
87,대여금 및 기타채권의 감소,68653373.0
88,매도가능금융자산의 처분,
89,종속기업에 대한 투자자산의 처분,
90,유형자산의 처분,653066766.0
91,무형자산의 처분,
92,비유동대여금 및 기타채권의 감소,27436000.0
93,정부보조금의 취득,391975824.0
94,기타유동금융자산의 취득,655826033164.0
95,유형자산의 취득,308140847194.0
96,무형자산의 취득,42005734469.0
97,정부보조금의 반환,
98,기타비유동금융자산의 취득,
99,비유동대여금 및 기타채권의 증가,242791822.0
100,관계기업의 취득,
101,공동기업의 취득,
102,재무활동현금흐름,311183024190.0
103,단기차입금의 증가,8000000000.0
104,사채의 발행,388328520000.0
105,장기차입금의 차입,218649865373.0
106,단기차입금의 상환,
107,유동성장기부채의 상환,162367289423.0
108,장기차입금의 상환,112210169860.0
109,배당금의 지급,29217901900.0
110,자기주식의 취득,
111,현금의 증가(감소),149476139247.0
112,기초의 현금,799263907582.0
113,현금성자산의 환율변동효과,-19275200572.0
114,사업결합으로 인한 순유입,1870305609.0
115,기말의 현금,931335151866.0
116,기초자본,3258589317190.0
117,기초자본,3258589317190.0
118,기초자본,387327701240.0
119,기초자본,45741254573.0
120,기초자본,2689544946377.0
121,기초자본,135975415000.0
122,매도가능금융자산평가손익,2162252350.0
123,매도가능금융자산평가손익,2162252350.0
124,매도가능금융자산평가손익,2162252350.0
125,지분법자본변동,-10599923635.0
126,지분법자본변동,-10599923635.0
127,지분법자본변동,-10599923635.0
128,해외사업환산손익,-27176561217.0
129,해외사업환산손익,-27176561217.0
130,해외사업환산손익,-27176561217.0
131,확정급여제도의 재측정요소,9344441072.0
132,확정급여제도의 재측정요소,9344441072.0
133,확정급여제도의 재측정요소,9344441072.0
134,당기순이익(손실),-63003629949.0
135,당기순이익(손실),-63003629949.0
136,당기순이익(손실),-63003629949.0
137,종속기업주식의 처분,
138,종속기업주식의 처분,
139,배당금지급,29217901900.0
140,배당금지급,29217901900.0
141,배당금지급,29217901900.0
142,자기주식의 처분,
143,기말자본,3140097993911.0
144,기말자본,3140097993911.0
145,기말자본,387327701240.0
146,기말자본,10127022071.0
147,기말자본,2606667855600.0
148,기말자본,135975415000.0
